security_code,security_name,entry_year,exit_year,reason
000869,张裕A,2009,2014,1892品牌+烟台产区+全国渠道毛利75%；2015年营收五年CAGR转负、进口酒冲击致护城河侵蚀
002024,ST易购,2009,2014,2010年名苏宁电器营收755亿千余门店，同期京东GMV约百亿；2015年电商分流下连锁网络优势瓦解
600585,海螺水泥,2009,2014,T型战略成本曲线最低且需求上行；2015年营收CAGR降至1%触发判例4的需求见顶条件
600588,用友网络,2009,2014,国内ERP份额第一毛利83%转换成本高；2014年后云转型阵痛回报下滑
600271,航天信息,2009,2014,金税工程独家专营；2015年毛利由24%降至19%，政策性降价侵蚀超额回报
600315,上海家化,2010,2015,六神在花露水品类份额超六成毛利55%；2013年管理层动荡后外资夹击下回报走弱
002152,广电运通,2011,2016,ATM国产替代期份额第一毛利50%ROE29%，银行认证+服务网络；2016年后银行网点见顶
002508,老板电器,2012,2021,油烟机毛利56%与方太高端双寡头；2022年后地产下行拖累厨电需求
603899,晨光股份,2014,2022,书写工具份额第一，八万家零售终端网络；2023年后人口与电商冲击文具零售
000596,古井贡酒,2013,2023,明代古窖+国家名酒+徽酒深度分销毛利75%；2024年后白酒需求降速
603160,汇顶科技,2017,2020,屏下指纹芯片全球龙头ROE61%；2021年竞品复制致价格崩（判例11的证伪实例）
002607,中公教育,2016,2020,公考培训绝对龙头ROE65%，师资体系+千余网点；2021年协议班模式与现金流崩塌
002812,恩捷股份,2020,2022,湿法隔膜全球份额过半，设备与工艺壁垒；2023年后隔膜产能过剩价格战
601888,中国中免,2019,2022,免税牌照占九成且海南离岛免税打开；2023年后出境游恢复与电商分流致回报回落
