security_code,evidence_year,anchor,reason
600519,2003,锚3,茅台镇产区与基酒陈化周期不可复制；2001-2003毛利82.2/81.4/80.1对同业25.2/24.4/22.5连续三年超额逾55pp，ROE 26.8/13.9/18.6对9.2/7.7/7.3
600276,2003,§5.4.1-4,抗肿瘤仿创药与注射剂批文构成资本难复制的审批与产能壁垒；2001-2003毛利59.7/63.1/66.8对25.2/24.4/22.5连续三年超额35pp以上
600436,2003,锚12,片仔癀国家绝密配方与一级中药保护品种属品类独占；2001-2003毛利63.4/64.9/67.0对25.2/24.4/22.5，ROE 36.3/39.1对9.2/7.7
600085,2003,锚3,中华老字号中成药品牌与自有药材种养；2001-2003毛利40.6/44.0/47.4对25.2/24.4/22.5超额15-25pp，ROE三年均高于同业约7-11pp
600660,2003,§5.4.1-4,汽车玻璃OEM认证周期长且需配套建厂；2001-2003毛利38.0/37.4/38.8对25.2/24.4/22.5，ROE 28.4/28.4/30.9对9.2/7.7/7.3超额逾20pp
600585,2003,判例6,石灰岩矿权与长江水运构成水泥的成本领先；2001-2003毛利36.5/34.6/42.0对25.2/24.4/22.5连续三年超额11-19pp
600009,2003,锚12,浦东与虹桥两场的区域独占经营；2001-2003毛利57.0/54.5/56.3对同业45.1/39.1/38.0，ROE 11.8/11.4/11.2对7.9/7.7/7.6
600717,2003,锚12,天津港区岸线与装卸资质的区域独占；2001-2003毛利54.7/54.0/52.5对45.1/39.1/38.0，ROE 17.8/17.1/14.3对7.9/7.7/7.6超额逾6pp
000778,2003,§5.4.1-4,离心球墨铸铁管的规模与供水管网准入；2001-2003毛利31.2/32.3/28.4对22.4/22.4/22.6，ROE 21.3/19.8/22.1对6.9/6.5/9.2超额逾12pp
600188,2003,判例6,优质动力煤煤质与铁路专用线构成成本领先；2001-2003毛利53.4/55.4/53.7对22.6/23.3/23.7连续三年超额30pp
002022,2003,§5.4.1-4,临床诊断试剂的注册证与医院装机通道；2001-2003毛利68.8/64.6/54.3对22.4/22.4/22.6，ROE 37.7/36.9/38.4对6.9/6.5/9.2
000933,2004,判例6,煤电铝一体化与自备电厂构成电解铝成本领先；2001-2003毛利32.8/35.9/39.9对22.4/22.4/22.6，ROE三年均高于同业逾5pp
000792,2004,锚12,察尔汗盐湖钾资源独占且采矿权排他；2001-2003毛利47.0/43.5/45.7对22.4/22.4/22.6超额逾21pp
002063,2005,锚12,电网系统财务与ERP软件的客户结构壁垒；2003-2005毛利78.6/80.8/77.3对32.6/31.2/31.7，ROE 26.6/24.3/22.6
600900,2005,锚12,三峡与葛洲坝水电站属不可复制的流域资源独占；2003-2005毛利70.5/74.9/75.0对30.2/28.0/22.4，ROE 14.3/14.6/15.1对8.2/7.2/6.4
601001,2006,判例6,山西优质动力煤矿权与坑口区位；2003-2005毛利60.5/55.9/56.0对23.7/25.6/22.5，ROE 19.5/29.9/32.8对11.7/11.0/13.1
002304,2006,锚3,蓝色经典系列建立的白酒品牌与江苏基地市场；2004-2006毛利57.9/52.9/47.4对21.9/21.6/22.7超额25pp以上，2006年ROE 61.6
601088,2006,锚12,神东矿区资源加煤电路港一体化运输；2004-2006毛利48.5/55.7/52.9对25.6/22.5/22.0，ROE 35.0/35.0/26.5对11.0/13.1/16.3
601857,2007,锚12,陆上油气区块的国家专营与炼化一体；2004-2006毛利53.7/49.9/47.4对25.6/22.5/22.0，ROE 26.0/28.9/26.3对11.0/13.1/16.3
601318,2007,锚12,全国性保险牌照与个人代理人渠道规模；2003-2005 ROE 15.0/11.6/10.6对同业7.0/5.8/6.0，2006-2007升至17.3/16.9
002152,2007,锚12,金融专用设备需银行入围认证与全国服务网点；2004-2006毛利48.5/51.1/53.5对21.9/21.6/22.7，2006年ROE 47.3对16.3
002153,2007,§5.4.1-4,酒店与餐饮信息系统的高切换成本与装机基数；2004-2006毛利50.9/54.3/58.5对31.2/31.7/38.4，2006年ROE 43.1
002275,2007,锚12,西瓜霜系列独家中药品种与OTC渠道；2005-2007毛利66.2/70.2/72.7对21.6/22.7/25.0超额逾44pp，ROE 35.1/34.6对16.3/24.5
002236,2007,§5.4.1-4,视频监控的算法与工程渠道规模；2005-2007毛利33.8/33.8/41.1对21.6/22.7/25.0，ROE 44.3/30.6/41.3对10.8/16.3/24.5
600897,2008,锚12,厦门高崎机场的区域独占与候机楼商业；2006-2008毛利56.9/53.3/51.1对37.0/39.0/36.3，ROE 10.6/13.8/16.7对12.0/12.3/11.1转为超额
002415,2008,§5.4.1-4,安防视频的规模、算法与分销网络；2006-2008毛利43.2/48.5/50.8对22.7/25.0/25.3，2007-2008 ROE 80.8/76.3对24.5/20.6
601515,2012,锚12,烟标印刷需烟草系统资质，属牌照型寡头；2008-2010毛利46.2/52.1/50.8对18.6/20.1/20.4，ROE 75.7/61.1/59.0对6.0/9.2/10.6
002223,2011,锚3,家用医疗器械的品牌与药店渠道；2009-2011毛利38.2/35.2/35.5对28.1/27.9/28.6，ROE 23.1/23.9/23.0对22.4/16.5/12.6
002252,2011,锚12,血液制品单采血浆站审批属牌照独占；2005-2007毛利38.1/37.5/54.8对21.6/22.7/25.0，ROE 24.4/27.3/43.5对10.8/16.3/24.5
300357,2011,锚12,粉尘螨滴剂为国内独家脱敏治疗品种；2009-2011毛利87.9/90.4/93.7对28.1/27.9/28.6超额60pp以上
603288,2014,锚12,酱油品类第一与餐饮渠道深度分销；2009-2011毛利38.4/33.0/35.9对20.1/20.4/21.9，ROE 33.0/29.0/35.0对9.2/10.6/13.0
000333,2013,§5.4.1-4,白电双寡头的渠道与压缩机等上游一体化；2011-2013 ROE 29.1/23.9/24.9对同业12.6/10.0/10.3连续三年超额逾13pp
603868,2016,锚3,电动剃须刀品牌与全国经销网络；2011-2013毛利32.7/33.2/34.1对21.9/24.0/25.4，ROE 83.4/71.4/54.0对13.0/12.5/12.5
002833,2016,§5.4.1-4,板式家具生产设备的国产替代与服务网络；2011-2013 ROE 47.8/46.6/43.0对12.6/10.0/10.3超额逾32pp
002841,2017,§5.4.1-4,液晶主控板卡全球份额与希沃教育交互平板渠道；2011-2013 ROE 45.6/64.1/62.2对12.6/10.0/10.3
300628,2017,§5.4.1-4,SIP话机全球前二与运营商认证通道；2012-2014毛利52.2/53.6/55.3对28.1/28.0/28.6，ROE 69.4/51.1/59.4
300760,2018,§5.4.1-4,生命信息支持与体外诊断的注册证及医院装机基数；2014-2016毛利63.4/62.2/64.6对28.6/29.7/30.6超额逾33pp
300595,2019,锚12,角膜塑形镜三类器械注册证与验配终端网络；2012-2014毛利76.0/79.6/77.1对28.1/28.0/28.6，ROE 36.0/21.7/38.6
603195,2020,§5.4.1-4,转换器与墙壁开关的百万级五金网点分销；2015-2017毛利41.6/45.2/37.7对26.8/29.5/29.6，ROE 75.4/71.7/59.8
600925,2023,判例6,江苏本地煤矿与坑口电力一体化；2018-2020毛利36.5/38.7/33.2对24.9/21.1/20.0，ROE 17.1/19.4/18.8对7.2/6.6/7.2
600938,2022,锚12,中国海域油气对外合作专营权与低桶油成本；2018-2020毛利42.9/44.5/37.3对24.9/21.1/20.0，ROE 13.1/14.1对7.2/6.6
605499,2021,锚3,东鹏特饮功能饮料品牌与全国经销体系；2017-2019毛利47.9/46.0/46.7对29.6/29.1/30.2，ROE 43.3/22.1/43.1对12.4/11.7/11.4
001389,0,,PCB制造：2017-2019毛利19.9/23.3/23.2低于同业30.0/29.2/29.5，无定价权证据；ROE超额来自代工效率而非壁垒。不入选
000887,0,,汽车密封件二级配套：2007-2009毛利29.7/29.1/34.4对25.0/25.3/28.1仅超额4-6pp，ROE与同业接近，无可辨壁垒。不入选
002739,0,,院线放映：2011-2013毛利36.5/34.0/34.8低于同业40.8/43.7/43.3，银幕与租约可复制，无壁垒。不入选
301004,0,,保温杯ODM：2017年毛利25.9低于同业30.0，客户集中且无定价权，ROE超额属代工效率。不入选
600006,0,,商用车整车：2001-2003毛利21.3/20.1/18.3低于同业25.2/24.4/22.5，周期性强且无定价权。不入选
