security_code,worth_from,anchor,reason
000001,0,,全国性股份制银行·同质化无独占，ROE与同业无持续超额（规则11）
000022,2004,锚12,港口岸线地理独占；2003年报毛利65.6%对同业21.7、ROE22.6%，高毛利已连续三年
000046,0,,信托保险与地产混业，ROE 3-8%波动无壁垒证据
000065,0,,工程承包毛利5-14%持续低于同业，无定价权
000157,0,,工程机械毛利仅高于同业3-5pp，三一徐工柳工同处，资本可复制测试不过
000411,0,,医药流通毛利5-7%，纯通道无壁垒
000415,0,,租赁业ROE剧烈波动含多年为负
000418,0,,洗衣机毛利25-26%低于同业中位29-31%，锚1不成立
000423,2009,锚12,阿胶品类垄断+驴皮资源；2008年报毛利49.6%对同业25.3、ROE21.6%，高毛利已连续八年
000425,0,,工程机械毛利17-22%持续低于同业
000522,0,,中西成药规模小且2005年前营收缺失，证据不足
000527,0,,家电毛利17-22%低于同业，锚1不成立
000528,0,,工程机械毛利16-25%低于同业
000568,2007,锚3,白酒品牌与明代窖池；2006年报毛利56.4%对同业22.7、ROE由3.0%跃至19.4%，回报开始转化
000612,0,,电解铝毛利-3~24%剧烈波动，无穿越周期证据
000629,0,,钒钛毛利低于同业且ROE含多年巨亏
000661,2010,锚12,生长激素国内近品类垄断；2009年报毛利75.2%对同业28.1、ROE由5.5%升至18.3%
000672,0,,水泥借壳后毛利波动14-48%，区域性无独占
000683,0,,天然碱资源独占但ROE -13~57%不穿越周期
000703,0,,化纤毛利2-7%，纯加工无定价权
000708,2020,§5.4.1-4,特殊钢认证与工艺壁垒；2018-2019两年ROE19.3/24.2%对同业10%，营收722亿
000761,0,,钢铁毛利低于同业且后期连年巨亏
000762,0,,铬铁与盐湖锂资源独占但ROE多年为负，未转化为回报
000789,0,,区域水泥毛利接近同业中位，无独占
000800,0,,重卡毛利低于同业且ROE波动含负
000807,0,,电解铝毛利持续低于同业
000809,0,,营收0.2-16亿剧烈波动，业务不连续
000858,2007,锚3,白酒品牌与产区；2006年报毛利52.8%对同业22.7、ROE15.0%，毛利已连续六年高于同业20pp以上
000861,0,,百货柜台出租，商业地产收租无独占，后期ROE转负
000876,0,,饲料毛利5-17%持续低于同业
000885,2020,锚12,高速公路收费为特许经营牌照；2018-2019两年毛利59.6/57.9%对同业33，ROE26.9/21.4%
000895,2006,§5.4.1-4,肉制品冷链与经销网络规模；2005年报ROE21.9%对同业10.8，2001起连续五年15-22%
000908,0,,借壳且ROE剧烈负值，业务不连续
000911,0,,制糖毛利低于同业且连年亏损
000915,2011,锚12,儿童药品类与品牌；2010年报毛利68.1%对同业27.9、ROE由10.3%升至18.3%，回报开始转化
000921,0,,家电毛利17-24%低于同业，ROE波动含巨额负值
000926,0,,房地产开发，后期连年巨亏
000938,0,,IT分销毛利4-22%且ROE4-12%低于同业
000963,2010,§5.4.1-4,药品生产与商业渠道；2009年报ROE40.2%对同业15.2，连续三年28%以上且穿越周期
000998,0,,种业毛利高于同业但ROE多年个位数含负，回报未转化
000999,2010,锚12,感冒灵OTC品类份额第一；2009年报毛利50.6%对同业28.1、ROE21.3%
001696,0,,摩托车发动机毛利11-19%低于同业
002008,0,,激光设备毛利仅高于同业8-14pp且ROE0.2-51%不穿越周期
002014,0,,软包装毛利17-25%低于同业
002016,0,,房地产小盘，业绩剧烈波动
002043,0,,人造板毛利10-19%持续低于同业
002049,2021,判例10,特种集成电路军品资质与型号锁定；2019-2020两年毛利52.3/59.5%、ROE17.7/31.9%
002053,0,,风电与盐业ROE 2-29%波动含负
002060,0,,建筑施工毛利8-13%，无定价权
002075,0,,钢铁毛利低于同业且剧烈波动
002078,0,,造纸毛利13-26%低于同业
002081,0,,装饰工程毛利与同业持平无定价权，超额来自周转
002085,0,,铝合金车轮毛利12-28%低于同业
002092,0,,氯碱毛利波动且后期连年亏损
002097,0,,工程机械毛利接近同业且ROE含负
002104,0,,智能卡竞争充分，2016年起ROE塌至0-8%
002124,0,,生猪养殖ROE剧烈波动含-116%，无穿越周期证据
002128,2007,锚12,霍林河褐煤指标稀缺+坑口电厂一体化成本最低；2006年报毛利40.5%对同业30.1、ROE44.3%对同业17.8，已连续三年30%以上
002130,0,,热缩材料毛利高出同业5-10pp但ROE 0.8-40%剧烈波动
002158,0,,螺杆压缩机国产替代，2013-2018 ROE塌至10-12%，不穿越周期
002160,0,,铝箔加工毛利持续低于同业
002170,0,,复合肥毛利持续低于同业
002179,2016,判例10,军用连接器资质与型号锁定；2014-2015两年ROE12.5/18.2%、毛利稳定33%对同业28-30
002185,0,,封测毛利低于同业且ROE个位数
002204,0,,通用设备毛利低于同业且ROE塌至0.2-0.7%
002206,0,,化纤毛利持续低于同业
002217,0,,显示器件后期连年巨亏
002245,0,,小型锂电毛利持续低于同业
002249,0,,微电机毛利持续低于同业
002250,0,,专用化学品2016年起ROE塌至0.7-10%，不穿越周期
002251,0,,超市百货后期连年巨亏
002293,0,,家纺毛利优势来自零售加价而非定价权，ROE长期13-17%未显著超额
002294,2009,锚12,氯吡格雷首仿专利期与医保准入；2008年报毛利50.8%对同业25.3、ROE57.2%，连续三年毛利46%以上
002307,0,,公路桥梁施工毛利9-17%低于同业
002320,0,,琼州海峡航线牌照独占但ROE长期个位数，回报未转化
002325,0,,公共建筑装饰后期连年巨亏
002366,0,,核电装备业绩剧烈波动且多年亏损
002368,0,,系统集成毛利15-24%远低于同业32-45%
002371,2021,锚6,半导体设备工艺验证周期长客户切换成本高；2019-2020两年营收60.6→96.8亿翻倍而毛利守住36.7/39.4%
