security_code,security_name,worth_from,worth_to,rule,reason
000063,中兴通讯,2023,9999,锚6,全球电信设备四寡头格局固化+制裁靴子落地(2022合规监察结束)+算力服务器第二曲线,2021-23ROE连续三年12-16%稳定
000338,潍柴动力,2009,9999,锚1,10L+重卡柴油机份额超八成(2008年报公开)+发动机变速箱车桥黄金产业链;2012-15周期低谷份额未失,机制未破不退出
000425,徐工机械,2024,9999,锚6,全球工程机械前三格局+全品类矩阵+出海占比过半(2023年报),混改后回报修复;此前与三一中联竞争充分无独占(判例7)
000426,兴业银锡,2023,9999,锚12,银漫矿业技改达产(2022公告)+亚洲最大单体银矿储量+成本曲线低位,2023ROE16.1%兑现资源三要素
000792,盐湖股份,2004,2015,锚12,察尔汗盐湖可溶性钾独占(规则12 capped-capacity),1996-2004毛利38-60%净利九年单调增
000792,盐湖股份,2021,9999,锚12,破产重整完成恢复上市(2021-08)剥离镁化工拖累回归钾锂主业,多元化拖累判例反向解除
000893,亚钾国际,2023,9999,锚12,老挝甲磷里钾盐储量亚洲前列+首个百万吨产能达产(2022末公告)+吨成本处全球低位,2023可判三要素齐备
000951,中国重汽,2023,9999,锚6,重卡出口份额约五成(2023行业数据公开)+非洲中亚渠道先发独占+潍柴链协同,出口结构性溢价兑现
000975,山金国际,2024,9999,锚12,山东黄金入主整合(2023公告)+玉龙矿业高品位银铅锌+克金成本行业最低区间,2024三要素可判
002003,伟星股份,2021,9999,规则12,服装辅料国内绝对龙头全球第二拉链,智能制造改造完成后ROE上台阶16-18%且穿越疫情年,品类垄断豁免
002130,沃尔核材,2024,9999,锚12,高速通信线(224G)认证独占进入算力链(2024公告)+热缩材料现金牛,细分独占兑现
002138,顺络电子,2024,9999,规则12,片式电感全球前二(村田之后)国产唯一规模玩家,AI服务器电感放量(2024年报)ROE回15%+
002158,汉钟精机,2023,9999,锚12,半导体干式真空泵国产替代唯一通过量产验证(2023大客户放量)+螺杆压缩机现金牛,ROE三年上台阶20/23/26%
002222,福晶科技,2021,9999,锚12,LBO/BBO非线性光学晶体全球份额第一,晶体生长工艺不可复制(沿用Aug-9判定)
