security_code,worth_from,anchor,reason
000001,0,,全国性股份制银行·同质化无独占，ROE与同业无持续超额（规则11）
000002,0,,地产开发资本可复制无独占，毛利差-3~+4
000009,0,,投资控股无持续超额
000011,0,,区域地产无独占
000012,0,,玻璃中近期毛利差转负
000014,0,,小盘地产
000022,2004,锚12,港口岸线地理独占；2003年报毛利65.6%对同业21.7、ROE22.6%，高毛利已连续三年
000024,0,,地产开发
000027,0,,规制电力，规则6判boundary
000028,0,,医药分销毛利差为负
000035,0,,垃圾焚烧读数剧烈波动
000036,0,,地产开发
000039,0,,集装箱毛利差-9~-12
000046,0,,信托保险与地产混业，ROE 3-8%波动无壁垒证据
000048,0,,生猪与地产混业，仅近段超额
000055,0,,幕墙无超额
000062,0,,电子分销
000063,0,,通信设备ROE差-4~+5，竞争充分
000065,0,,工程承包毛利5-14%持续低于同业，无定价权
000069,0,,主题公园与地产组合，资本可复制且近段盈利5/9
000157,0,,工程机械毛利仅高于同业3-5pp，三一徐工柳工同处，资本可复制测试不过
000401,0,,水泥无超额
000402,0,,地产开发
000408,2021,锚12,察尔汗盐湖钾锂资源独占；2017-2020四年毛利差持续+30以上且盈利
000411,0,,医药流通毛利5-7%，纯通道无壁垒
000415,0,,租赁业ROE剧烈波动含多年为负
000417,0,,区域零售
000418,0,,洗衣机毛利25-26%低于同业中位29-31%，锚1不成立
000422,0,,化肥毛利差为负
000423,2009,锚12,阿胶品类垄断+驴皮资源；2008年报毛利49.6%对同业25.3、ROE21.6%，高毛利已连续八年
000425,0,,工程机械毛利17-22%持续低于同业
000426,0,,有色近段毛利差+20但ROE差-2
000428,0,,酒店近段连年亏损
000498,0,,公路施工毛利差为负
000501,0,,零售ROE差为负
000506,0,,黄金近段毛利差-22
000513,2011,锚12,独家品种艾普拉唑与亮丙瑞林；2009-2010毛利差+32且ROE超额转正
000517,0,,地产开发
000522,0,,中西成药规模小且2005年前营收缺失，证据不足
000525,0,,农药毛利与ROE双负
000527,0,,家电毛利17-22%低于同业，锚1不成立
000528,0,,工程机械毛利16-25%低于同业
000537,0,,规制电力
000538,2006,锚12,国家保密配方行政独占；2001-2005五年ROE持续高出同业10pp以上
000540,0,,地产金融近段亏损
000544,0,,规制水务，规则6判boundary
000550,0,,汽车近段毛利差-10
000552,0,,煤炭无超额
000568,2007,锚3,白酒品牌与明代窖池；2006年报毛利56.4%对同业22.7、ROE由3.0%跃至19.4%，回报开始转化
000578,0,,数据不全，2003年前无可用读数
000596,2013,锚3,年份原浆放量与明代古窖；2010-2012三年毛利差+40且ROE超额转正
000600,0,,规制电力
000602,0,,数据不全且近段亏损
000603,0,,银矿中段超额但规模仅8亿且早段4/8盈利
000607,0,,广告无超额
000612,0,,电解铝毛利-3~24%剧烈波动，无穿越周期证据
000617,0,,金融控股
000620,0,,地产亏损
000623,0,,毛利极高但ROE无超额，利润主要来自参股投资收益
000626,0,,大宗贸易毛利差-16
000629,0,,钒钛毛利低于同业且ROE含多年巨亏
000651,2006,§5.4.1-4,空调双寡头与自建渠道；2001-2005五年ROE持续高出同业8pp且25年全盈利
000661,2010,锚12,生长激素国内近品类垄断；2009年报毛利75.2%对同业28.1、ROE由5.5%升至18.3%
000672,0,,水泥借壳后毛利波动14-48%，区域性无独占
000679,0,,零售近段连年亏损
000680,0,,工程机械毛利与ROE双负
000683,0,,天然碱资源独占但ROE -13~57%不穿越周期
000688,0,,铅锌银规模仅12亿
000690,0,,电力无超额
000703,0,,化纤毛利2-7%，纯加工无定价权
000707,0,,纯碱毛利与ROE双负
