kind,security_code,security_name,anchor_year,rule,note
entry,600519,贵州茅台,2002,锚3,品牌+产区+基酒 上市即判
entry,600036,招商银行,2002,规则11,零售负债franchise
entry,600276,恒瑞医药,2002,§5.4.1-4,仿创药+批文壁垒
entry,000651,格力电器,2005,§5.4.1-4,双寡头+自建渠道体系确立
entry,600887,伊利股份,2006,锚3,双寡头全国化 三聚氰胺属穿越测试
entry,300124,汇川技术,2011,§5.4.1-4,2010上市即龙头 次新顺延一年
entry,603288,海天味业,2014,锚3,上市即判 业务史披露充分
entry,600900,长江电力,2016,判例1,规则9特例须兑现 注入完成+ROE上台阶
entry,300750,宁德时代,2019,锚6,2017装机全球第一公开 2018上市顺延
entry,300760,迈瑞医疗,2019,§5.4.1-4,2018回A顺延
entry,002714,牧原股份,2015,判例6,2013-14猪周期低谷首次深亏实证(锚点校准修正:原2019误以非瘟为首个测试,§12.34判定2015成立)
entry,002594,比亚迪,2021,规则3.1,刀片2020+DM-i2021+垂直一体化 不以毛利否决
never,300104,乐视网,0,防过度纳入5,造血为负+关联应收 当年即可判
never,002450,康得新,0,§5.4.3-2,存贷双高2016年报可见 治理不透明优先
never,002456,欧菲光,0,规则3.1,可竞争买方集中
never,600507,方大特钢,0,防过度纳入,普通钢企无独占
never,300359,全通教育,0,防过度纳入5,题材非业务
never,000887,中鼎股份,0,§12.52,二级配套毛利超额不足 维持原否
exit,002024,ST易购,2014,判例12同型,电商结构性分流兑现
exit,601888,中国中免,2024,判例12,渠道价值被结构性分流
exit,600009,上海机场,2022,判例12同型,免税重签+线上分流
exit,600585,海螺水泥,2021,判例4,需求条件失效 2003~2020成本王应为worth
noexit,600660,福耀玻璃,2021,机制未破,X1触发但份额与壁垒完好
noexit,600085,同仁堂,2007,机制未破,X1触发但品牌护城河完好
