security_code,as_of_year,cutoff_notice,verdict,basis,business_desc_at_period,reason,evidence,batch,judged_at
600005,2002,2003-04-30,boundary_pending,fin,制造业-黑色金属冶炼和压延加工业｜湖北,黑色冶炼：1999-2001 ROE 14~16% 未达门槛，毛利率 14~17% 窄而低属成本加成，无定价权证据,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000024,2002,2003-04-30,boundary_pending,fin,房地产业-房地产业｜广东,房地产：ROE 8~12.5%、毛利率 12~34% 摆动，净利 1~2.4 亿未形成稳定高回报,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000022,2002,2003-04-30,boundary_pending,boundary,"交通运输、仓储和邮政业-水上运输业｜广东｜员工15,013人",港口区位独占为真（判据 2），但 1998-2001 ROE 5.5~7.8%，2002 单年升至 15.2%/毛利率 56%，回报过门槛尚待确认,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000866,2002,2003-03-31,boundary_pending,fin,行业不详｜江苏,石化：ROE 0.7~12.6%、毛利率 6~11%，周期品无稳定回报,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600270,2002,2003-04-30,boundary_pending,fin,交通运输、仓储和邮政业-多式联运和运输代理业｜北京,货代/航空快递：上市满 2 年，摊薄后 ROE 15.4%/15.8% 已可观测且低于门槛，毛利率 73.8%→48.5% 两年下行 25pp,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600832,2002,2003-04-30,boundary_pending,fin,水利、环境和公共设施管理业-公共设施管理业｜上海,电视塔租赁/地产/媒体混业：ROE 8~12.3%，净利 1.9~2.3 亿五年不增，2001 增发 BPS 跳升,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000406,2002,2003-04-15,boundary_pending,boundary,行业不详｜山东,油田开发采矿权为真但 ROE 26.6%→15.1%→9.8% 三年下行、净利腰斩，主业含地产/酒店，回报未稳在门槛之上,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600636,2003,2004-04-30,boundary_pending,fin,信息传输、软件和信息技术服务业-软件和信息技术服务业｜上海｜员工518人,ROE 10~20% 摆动、2003 回落 10.5%，毛利率 15~25% 不窄不高，净利 0.49 亿规模小,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600656,2003,2004-04-30,boundary_pending,fin,批发和零售业-零售业｜广西｜员工96人,1996 亏损、此后 ROE 10~13%，2003 单年 24.8%/毛利率 36% 为一次性跃升，无多年稳定证据,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000416,2003,2004-04-30,boundary_pending,fin,金融业-货币金融服务｜山东｜员工24人,金融控股/投资：1999-2000 亏损后 ROE 16.6%→52%→34% 大幅摆动（判据 3 同型），BPS 3.25→1.41 不连续,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600005,2004,2005-04-30,boundary_pending,fin,制造业-黑色金属冶炼和压延加工业｜湖北,钢铁 2004 周期顶：整体上市后营收 68→241 亿、单年 ROE 27.8%/毛利率 23.2%，此前八年 ROE 10~16%、毛利率 14~17%，可比性中断,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000022,2004,2005-04-30,worth_attention,qual,"交通运输、仓储和邮政业-水上运输业｜广东｜员工15,013人",港口区位独占（判据 2 第三步过门槛）：ROE 15.2%→22.6%→32.3%、毛利率 56%→66%→68% 随营收两年翻倍不降反升（判据 5②），净利 1.84→5.36 亿,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000866,2004,2005-04-12,boundary_pending,fin,行业不详｜江苏,石化 2004 景气顶：ROE 24.9%/49.3% 两年，此前 0.7~12.6%，营收/毛利率缺失，周期品顶部不外推,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600823,2004,2005-04-30,boundary_pending,boundary,房地产业-房地产业｜上海｜员工913人,地产重组型：2002-2003 营收 0 亿、BPS 2.88→2.15→2.00→2.56→2.11 不连续（判据 7），ROE 读数分母不可比,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600991,2004,2005-03-25,boundary_pending,fin,其它｜湖南,轻型越野车：上市当年（2004-06）净利 3.48→1.30 亿（−63%），摊薄后 ROE 9.6%，回报未过门槛,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000916,2004,2005-04-30,boundary_pending,boundary,交通运输、仓储和邮政业-道路运输业｜北京,收费公路牌照为真（判据 2），ROE 5.8~10.8% 受管制价格压在 13% 以下，未转化为资本回报,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600002,2005,2006-04-18,boundary_pending,fin,其它｜山东,石化周期：2001 亏损、2002 ROE 1%，2004-2005 景气顶 ROE 23~27%，十年单边摆动不稳定,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600087,2005,2006-04-30,boundary_pending,fin,"交通运输、仓储和邮政业-水上运输业｜江苏｜员工3,151人",油运：ROE 10.7~17.1% 五年稳定但低于门槛，毛利率 30→40% 随运价，BPS 多次不连续（送配）,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600432,2005,2006-04-30,boundary_pending,boundary,"制造业-有色金属冶炼和压延加工业｜吉林｜员工2,676人",镍冶炼：上市满 2 年、可比历史 ≤4 年（判据 4），摊薄后 ROE 24~25% 贴门槛且处镍价景气，待五年以上观测,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600190,2005,2006-04-30,boundary_pending,boundary,"交通运输、仓储和邮政业-水上运输业｜辽宁｜员工1,545人",港口牌照为真（判据 2），ROE −0.2%~14.2%、2001-2003 近零，回报未过门槛,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600003,2005,2006-04-25,boundary_pending,fin,其它｜吉林,收费公路 ROE 0~7.6%、2004 亏损——长历史已由亏损年与低回报否决,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000527,2006,2007-03-17,boundary_pending,fin,制造业-电气机械和器材制造业｜广东,家电：ROE 7.1~15.5% 十年未达门槛（2002-03 回落 7%），净利十年 5.6 倍但回报水平不足，毛利率 17.7%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600837,2006,2007-04-30,boundary_pending,boundary,"金融业-资本市场服务｜上海｜员工13,346人",券商（判据 3）：1996-2000 连续亏损、BPS 为负，2001 起 ROE 9.8~41% 摆动，2006 重组后可比性中断,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600102,2006,2007-03-23,boundary_pending,fin,采矿业｜山东,钢铁：ROE 8.9~21.8% 随周期摆动，毛利率 10.9% 低,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600001,2006,2007-04-19,boundary_pending,fin,制造业｜河北,钢铁：ROE 18.7%→8.6% 十年单边下行，毛利率 11%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600357,2006,2007-04-04,boundary_pending,fin,其它｜河北,钒钛/钢：ROE 7.3~15.9%、毛利率 12.4%，未达门槛,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000918,2006,2007-04-30,boundary_pending,fin,房地产业-房地产业｜浙江｜员工499人,地产：2004-2005 巨亏（ROE −67%/−155%）、BPS 跌至 0.14，2006 ROE 23.6% 系分母坍塌,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600591,2006,2007-04-30,boundary_pending,fin,其它｜上海,航空：ROE 0.4%~24.7% 大幅摆动，2006 净利 0.09 亿/营收 100 亿趋零,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
