effective_from,effective_to,screen_year,security_code,security_name,avg_roe_3y,rank
2009-01-01,,2009,0000001800,ABT ABBOTT LABORATORIES,,
2009-01-01,2013-09-22,2009,0000002488,AMD ADVANCED MICRO DEVICES INC,,
2017-03-20,,2017,0000002488,AMD ADVANCED MICRO DEVICES INC,,
2009-01-01,,2009,0000002969,"APD Air Products & Chemicals, Inc.",,
2009-01-01,2011-02-27,2009,0000003673,"AYE ALLEGHENY ENERGY, INC",,
2015-03-12,,2015,0000004127,"SWKS SKYWORKS SOLUTIONS, INC.",,
2009-01-01,2019-10-29,2009,0000004281,ARNC Howmet Aerospace Inc.,,
2019-10-30,2020-04-05,2019,0000004281,ARNC Howmet Aerospace Inc.,,
2020-04-06,,2020,0000004281,HWM Howmet Aerospace Inc.,,
2009-01-01,2025-07-22,2009,0000004447,HES HESS CORP,,
2009-01-01,,2009,0000004904,AEP AMERICAN ELECTRIC POWER CO INC,,
2015-03-23,2024-09-22,2015,0000006201,AAL American Airlines Group Inc.,,
2009-01-01,,2009,0000006281,ADI ANALOG DEVICES INC,,
2009-01-01,2021-02-28,2009,0000006769,APA APACHE CORP,,
2009-01-01,,2009,0000006951,AMAT APPLIED MATERIALS INC /DE,,
2009-01-01,,2009,0000007084,ADM Archer-Daniels-Midland Co,,
2009-01-01,2017-04-03,2009,0000007332,SWN SOUTHWESTERN ENERGY CO,,
2009-01-01,,2009,0000008670,ADP AUTOMATIC DATA PROCESSING INC,,
2009-01-01,,2009,0000008818,AVY Avery Dennison Corp,,
2009-01-01,2015-03-22,2009,0000008868,AVP AVON PRODUCTS INC,,
2009-01-01,2022-05-09,2009,0000009389,BLL BALL Corp,,
2022-05-10,,2022,0000009389,BALL BALL Corp,,
2009-01-01,2017-12-28,2009,0000009892,BCR BARD C R INC /NJ/,,
2009-01-01,,2009,0000010456,BAX BAXTER INTERNATIONAL INC,,
2009-01-01,,2009,0000010795,BDX BECTON DICKINSON & CO,,
2009-01-01,2014-12-04,2009,0000011199,"BMS Amcor Flexibles North America, Inc.",,
2020-06-22,2024-09-22,2020,0000012208,"BIO BIO-RAD LABORATORIES, INC.",,
2009-01-01,2020-09-20,2009,0000012659,HRB H&R BLOCK INC,,
2009-01-01,,2009,0000012927,BA BOEING CO,,
2009-01-01,,2009,0000014272,BMY BRISTOL MYERS SQUIBB CO,,
2009-01-01,,2009,0000014693,BF.B BROWN FORMAN CORP,,
2009-01-01,2026-06-21,2009,0000016732,CPB CAMPBELL'S Co,,
2009-01-01,,2009,0000016918,"STZ CONSTELLATION BRANDS, INC.",,
2009-01-01,,2009,0000018230,CAT CATERPILLAR INC,,
