security_code,event,period,notice,trigger,basis,reason,evidence
000778,exit,2008-12-31,2009-04-30,X1,fin,滚动三年加权ROE中位2007年为12.9%、2008年为12.1%，连续两期跌破退出线15.0%（=基准线15%与入选期中位19.8%的较低者）。　同期毛利率由入选期2002年的32.3%降至9.2%、累计-23.1pp且逐年单向下滑，X2 亦成立。,2004 ROE 19.9%；2005 ROE 15.5%；2006 ROE 12.1%；2007 ROE 12.9%；2008 ROE 9.9%
600000,exit,2023-12-31,2024-04-30,X3,fin,滚动三年加权ROE中位2022年为8.8%、2023年为8.0%，连续两期跌破退出线10.0%（=基准线10%与入选期中位15.1%的较低者）。,2019 ROE 12.3%；2020 ROE 10.8%；2021 ROE 8.8%；2022 ROE 8.0%；2023 ROE 5.2%
600006,exit,2006-12-31,2007-04-30,X1,fin,滚动三年加权ROE中位2005年为11.2%、2006年为9.3%，连续两期跌破退出线15.0%（=基准线15%与入选期中位18.4%的较低者）。　毛利率由入选期2002年的20.1%降至16.0%，营收由70.0亿增至105.8亿而归母由6.23亿降至4.86亿，规模扩张伴随单位回报下移。,2002 ROE 18.9%；2003 ROE 16.6%；2004 ROE 11.2%；2005 ROE 8.9%；2006 ROE 9.3%
600009,exit,2010-12-31,2011-02-26,X3,fin,滚动三年加权ROE中位2009年为7.2%、2010年为7.2%，连续两期跌破退出线10.0%（=基准线10%与入选期中位11.8%的较低者）。,2006 ROE 15.6%；2007 ROE 15.6%；2008 ROE 7.2%；2009 ROE 5.6%；2010 ROE 9.7%
600009,reentry,2013-12-31,2014-03-29,重入,fin,滚动三年加权ROE中位2012年为10.0%、2013年为10.2%，连续两期重回退出线10.0%以上（X3镜像口径）。,2009 ROE 5.6%；2010 ROE 9.7%；2011 ROE 10.2%；2012 ROE 10.0%；2013 ROE 11.4%
600009,exit,2022-12-31,2023-03-25,X3,fin,滚动三年加权ROE中位2021年为-4.1%、2022年为-4.1%，连续两期跌破退出线10.0%（=基准线10%与入选期中位11.8%的较低者）。　2020、2021、2022连续三年归母为负，毛利率转负，X1 的亏损年条款独立成立。,2018 ROE 15.8%；2019 ROE 16.7%；2020 ROE -4.1%；2021 ROE -4.1%；2022 ROE -8.2%
600016,exit,2022-12-31,2023-03-28,X3,fin,滚动三年加权ROE中位2021年为6.8%、2022年为6.6%，连续两期跌破退出线10.0%（=基准线10%与入选期中位15.4%的较低者）。,2018 ROE 12.9%；2019 ROE 12.4%；2020 ROE 6.8%；2021 ROE 6.6%；2022 ROE 6.3%
600085,exit,2007-12-31,2008-04-30,X1,fin,滚动三年加权ROE中位2006年为13.4%、2007年为9.3%，连续两期跌破退出线15.0%（=基准线15%与入选期中位17.5%的较低者）。,2003 ROE 15.6%；2004 ROE 16.2%；2005 ROE 13.4%；2006 ROE 7.1%；2007 ROE 9.3%
600188,exit,2015-12-31,2016-03-30,X1,fin,滚动三年加权ROE中位2014年为5.5%、2015年为2.9%，连续两期跌破退出线9.5%（=基准线15%与入选期中位11.5%的较低者，已减2pp实质跌穿缓冲）。　毛利率由入选期2002年的55.4%降至14.5%，煤炭主业单位回报塌陷，X2 亦成立。,2011 ROE 19.6%；2012 ROE 11.3%；2013 ROE 2.9%；2014 ROE 5.5%；2015 ROE 2.5%
600188,reentry,2022-12-31,2023-03-25,重入,fin,2021、2022连续两个年度加权ROE为27.8%与39.4%，均重回入选原判据的25%以上。　2021、2022连续两年ROE为27.8%与39.4%，毛利率由13.2%回升至42.4%。,2018 ROE 16.2%；2019 ROE 15.9%；2020 ROE 9.5%；2021 ROE 27.8%；2022 ROE 39.4%
600717,exit,2005-12-31,2006-04-30,X1,fin,滚动三年加权ROE中位2004年为14.3%、2005年为14.3%，连续两期跌破退出线15.0%（=基准线15%与入选期中位17.1%的较低者）。,2001 ROE 17.8%；2002 ROE 17.1%；2003 ROE 14.3%；2004 ROE 10.9%；2005 ROE 21.0%
600028,exit,2016-12-31,2017-03-27,X3,fin,滚动三年加权ROE中位2015年为8.1%、2016年为6.7%，连续两期跌破退出线10.0%（=基准线10%与入选期中位10.6%的较低者）。,2012 ROE 12.8%；2013 ROE 12.2%；2014 ROE 8.1%；2015 ROE 5.1%；2016 ROE 6.7%
600585,exit,2025-12-31,2026-03-25,X1,fin,滚动三年加权ROE中位2024年为5.6%、2025年为4.3%，连续两期跌破退出线7.5%（=基准线15%与入选期中位9.5%的较低者，已减2pp实质跌穿缓冲）。　入选期2003年滚动三年中位仅9.5%，退出线按实质跌穿口径取7.5%；2022年起归母由332.68亿降至81.13亿。,2021 ROE 19.2%；2022 ROE 8.5%；2023 ROE 5.6%；2024 ROE 4.1%；2025 ROE 4.3%
600660,exit,2021-12-31,2022-03-18,X1,fin,滚动三年加权ROE中位2020年为14.1%、2021年为13.0%，连续两期跌破退出线15.0%（=基准线15%与入选期中位28.4%的较低者）。,2017 ROE 17.2%；2018 ROE 20.8%；2019 ROE 14.1%；2020 ROE 12.1%；2021 ROE 13.0%
000792,exit,2015-12-31,2016-04-30,X1,fin,滚动三年加权ROE中位2014年为7.6%、2015年为6.5%，连续两期跌破退出线11.2%（=基准线15%与入选期中位13.2%的较低者，已减2pp实质跌穿缓冲）。,2011 ROE 19.9%；2012 ROE 17.1%；2013 ROE 6.5%；2014 ROE 7.6%；2015 ROE 3.1%
000933,exit,2014-12-31,2015-03-25,X1,fin,滚动三年加权ROE中位2013年为3.1%、2014年为1.3%，连续两期跌破退出线11.6%（=基准线15%与入选期中位13.6%的较低者，已减2pp实质跌穿缓冲）。,2010 ROE 28.3%；2011 ROE 23.5%；2012 ROE 3.1%；2013 ROE 1.3%；2014 ROE -5.0%
000933,reentry,2022-12-31,2023-03-28,重入,fin,2021、2022连续两个年度加权ROE为37.6%与57.4%，均重回入选原判据的25%以上。　2021年归母由3.58亿增至32.37亿（+804%）远超BPS增幅（3.13→4.16，+33%），判据4b正向成立；主业为自有煤矿配套的电解铝一体化，产能指标属政策红线下的稀缺配额，按防过度纳入清单第12条可视为类资源牌照。,2018 ROE 0.1%；2019 ROE 33.9%；2020 ROE 7.7%；2021 ROE 37.6%；2022 ROE 57.4%
001872,exit,2019-12-31,2020-04-16,X3,fin,滚动三年加权ROE中位2018年为9.2%、2019年为8.7%，连续两期跌破退出线10.0%（=基准线10%与入选期中位22.6%的较低者）。,2015 ROE 12.2%；2016 ROE 9.2%；2017 ROE 10.2%；2018 ROE 3.9%；2019 ROE 8.7%
000538,exit,2019-12-31,2020-03-27,X3,fin,滚动三年加权ROE中位2018年为9.1%、2019年为9.1%，连续两期跌破退出线10.0%（=基准线10%与入选期中位27.3%的较低者）。,2015 ROE 22.4%；2016 ROE 20.0%；2017 ROE 7.9%；2018 ROE 9.1%；2019 ROE 10.3%
000538,reentry,2021-12-31,2022-03-26,重入,fin,滚动三年加权ROE中位2020年为10.3%、2021年为10.3%，连续两期重回退出线10.0%以上（X3镜像口径）。,2017 ROE 7.9%；2018 ROE 9.1%；2019 ROE 10.3%；2020 ROE 14.5%；2021 ROE 7.6%
000538,exit,2023-12-31,2024-03-30,X3,fin,滚动三年加权ROE中位2022年为7.9%、2023年为7.9%，连续两期跌破退出线10.0%（=基准线10%与入选期中位27.3%的较低者）。,2019 ROE 10.3%；2020 ROE 14.5%；2021 ROE 7.6%；2022 ROE 7.9%；2023 ROE 10.5%
000538,reentry,2025-12-31,2026-04-01,重入,fin,滚动三年加权ROE中位2024年为10.5%、2025年为12.0%，连续两期重回退出线10.0%以上（X3镜像口径）。,2021 ROE 7.6%；2022 ROE 7.9%；2023 ROE 10.5%；2024 ROE 12.0%；2025 ROE 13.0%
600015,exit,2022-12-31,2023-04-28,X3,fin,滚动三年加权ROE中位2021年为9.0%、2022年为9.0%，连续两期跌破退出线10.0%（=基准线10%与入选期中位12.8%的较低者）。,2018 ROE 12.7%；2019 ROE 10.6%；2020 ROE 8.6%；2021 ROE 9.0%；2022 ROE 9.0%
600123,exit,2016-12-31,2017-04-12,X3,fin,滚动三年加权ROE中位2015年为0.6%、2016年为0.1%，连续两期跌破退出线10.0%（=基准线10%与入选期中位24.0%的较低者）。,2012 ROE 21.3%；2013 ROE 10.4%；2014 ROE 0.6%；2015 ROE 0.1%；2016 ROE -7.4%
600123,reentry,2023-12-31,2024-04-23,重入,fin,滚动三年加权ROE中位2022年为19.9%、2023年为19.9%，连续两期重回退出线10.0%以上（X3镜像口径）。,2019 ROE 6.4%；2020 ROE 3.5%；2021 ROE 19.9%；2022 ROE 22.6%；2023 ROE 13.1%
600900,exit,2010-12-31,2011-04-30,X1,fin,滚动三年加权ROE中位2009年为10.2%、2010年为10.2%，连续两期跌破退出线12.6%（=基准线15%与入选期中位14.6%的较低者，已减2pp实质跌穿缓冲）。,2006 ROE 15.6%；2007 ROE 15.2%；2008 ROE 10.1%；2009 ROE 10.2%；2010 ROE 12.8%
000869,exit,2016-12-31,2017-04-22,X1,fin,滚动三年加权ROE中位2015年为14.4%、2016年为14.0%，连续两期跌破退出线15.0%（=基准线15%与入选期中位22.1%的较低者）。,2012 ROE 31.1%；2013 ROE 16.4%；2014 ROE 14.0%；2015 ROE 14.4%；2016 ROE 12.6%
002024,exit,2014-12-31,2015-03-31,X1,fin,滚动三年加权ROE中位2013年为10.6%、2014年为3.0%，连续两期跌破退出线15.0%（=基准线15%与入选期中位35.0%的较低者）。,2010 ROE 24.5%；2011 ROE 23.7%；2012 ROE 10.6%；2013 ROE 1.3%；2014 ROE 3.0%
600583,exit,2012-12-31,2013-03-18,X3,fin,滚动三年加权ROE中位2011年为2.0%、2012年为2.0%，连续两期跌破退出线10.0%（=基准线10%与入选期中位28.3%的较低者）。,2008 ROE 25.8%；2009 ROE 11.5%；2010 ROE 0.9%；2011 ROE 2.0%；2012 ROE 8.6%
600583,reentry,2015-12-31,2016-03-17,重入,fin,滚动三年加权ROE中位2014年为22.5%、2015年为22.5%，连续两期重回退出线10.0%以上（X3镜像口径）。,2011 ROE 2.0%；2012 ROE 8.6%；2013 ROE 22.5%；2014 ROE 22.8%；2015 ROE 15.9%
600583,exit,2018-12-31,2019-03-26,X3,fin,滚动三年加权ROE中位2017年为5.7%、2018年为2.1%，连续两期跌破退出线10.0%（=基准线10%与入选期中位28.3%的较低者）。,2014 ROE 22.8%；2015 ROE 15.9%；2016 ROE 5.7%；2017 ROE 2.1%；2018 ROE 0.3%
600809,exit,2016-12-31,2017-04-28,X1,fin,滚动三年加权ROE中位2015年为12.5%、2016年为12.5%，连续两期跌破退出线15.0%（=基准线15%与入选期中位25.3%的较低者）。,2012 ROE 44.1%；2013 ROE 25.6%；2014 ROE 9.3%；2015 ROE 12.5%；2016 ROE 13.2%
600809,reentry,2020-12-31,2021-04-27,重入,fin,2019、2020连续两个年度加权ROE为27.4%与35.1%，均重回入选原判据的25%以上。,2016 ROE 13.2%；2017 ROE 18.7%；2018 ROE 24.8%；2019 ROE 27.4%；2020 ROE 35.1%
601001,exit,2013-12-31,2014-04-29,X3,fin,滚动三年加权ROE中位2012年为6.3%、2013年为0.7%，连续两期跌破退出线10.0%（=基准线10%与入选期中位20.3%的较低者）。　煤价下行期归母由2011年24.36亿转为持续收缩，采矿权仍在但回报中枢塌陷。,2009 ROE 18.8%；2010 ROE 13.4%；2011 ROE 6.3%；2012 ROE 0.7%；2013 ROE -10.7%
601001,reentry,2019-12-31,2020-04-29,重入,fin,滚动三年加权ROE中位2018年为11.3%、2019年为12.6%，连续两期重回退出线10.0%以上（X3镜像口径）。,2015 ROE -28.2%；2016 ROE 3.7%；2017 ROE 11.3%；2018 ROE 12.6%；2019 ROE 15.1%
601169,exit,2024-12-31,2025-04-15,X3,fin,滚动三年加权ROE中位2023年为9.6%、2024年为9.3%，连续两期跌破退出线10.0%（=基准线10%与入选期中位24.0%的较低者）。,2020 ROE 10.7%；2021 ROE 10.3%；2022 ROE 9.6%；2023 ROE 9.3%；2024 ROE 8.9%
601328,exit,2025-12-31,2026-03-28,X3,fin,滚动三年加权ROE中位2024年为9.7%、2025年为9.1%，连续两期跌破退出线10.0%（=基准线10%与入选期中位15.0%的较低者）。,2021 ROE 10.8%；2022 ROE 10.3%；2023 ROE 9.7%；2024 ROE 9.1%；2025 ROE 8.4%
601628,exit,2013-12-31,2014-03-26,X3,fin,滚动三年加权ROE中位2012年为9.2%、2013年为9.2%，连续两期跌破退出线10.0%（=基准线10%与入选期中位14.2%的较低者）。　保险投资收益波动导致ROE两年低于10%；牌照未失效，属回报中枢口径退出。,2009 ROE 17.1%；2010 ROE 16.0%；2011 ROE 9.2%；2012 ROE 5.4%；2013 ROE 11.2%
601628,reentry,2015-12-31,2016-03-24,重入,fin,滚动三年加权ROE中位2014年为11.2%、2015年为11.6%，连续两期重回退出线10.0%以上（X3镜像口径）。　退出与重入间隔仅两年，属保险投资端周期而非护城河变化——记录在案，提示该段membership稳定性弱。,2011 ROE 9.2%；2012 ROE 5.4%；2013 ROE 11.2%；2014 ROE 12.8%；2015 ROE 11.6%
601857,exit,2016-12-31,2017-03-31,X3,fin,滚动三年加权ROE中位2015年为9.3%、2016年为3.0%，连续两期跌破退出线10.0%（=基准线10%与入选期中位26.3%的较低者）。　油价下行期ROE由2011年15.9%降至2015年5.1%，油气开采权仍在但回报中枢塌陷。,2012 ROE 11.1%；2013 ROE 11.4%；2014 ROE 9.3%；2015 ROE 3.0%；2016 ROE 0.7%
601857,reentry,2024-12-31,2025-03-31,重入,fin,滚动三年加权ROE中位2023年为11.3%、2024年为11.3%，连续两期重回退出线10.0%以上（X3镜像口径）。,2020 ROE 1.6%；2021 ROE 7.4%；2022 ROE 11.3%；2023 ROE 11.4%；2024 ROE 11.1%
000568,exit,2016-12-31,2017-04-19,X1,fin,滚动三年加权ROE中位2015年为14.7%、2016年为14.7%，连续两期跌破退出线15.0%（=基准线15%与入选期中位31.7%的较低者）。,2012 ROE 46.9%；2013 ROE 33.1%；2014 ROE 8.7%；2015 ROE 14.7%；2016 ROE 18.1%
000568,reentry,2020-12-31,2021-04-30,重入,fin,2019、2020连续两个年度加权ROE为25.5%与28.3%，均重回入选原判据的25%以上。,2016 ROE 18.1%；2017 ROE 20.3%；2018 ROE 21.8%；2019 ROE 25.5%；2020 ROE 28.3%
002152,exit,2018-12-31,2019-04-27,X1,fin,滚动三年加权ROE中位2017年为11.8%、2018年为10.3%，连续两期跌破退出线15.0%（=基准线15%与入选期中位43.8%的较低者）。,2014 ROE 21.2%；2015 ROE 21.0%；2016 ROE 11.8%；2017 ROE 10.3%；2018 ROE 7.5%
600897,exit,2022-12-31,2023-04-28,X3,fin,滚动三年加权ROE中位2021年为4.6%、2022年为3.8%，连续两期跌破退出线10.0%（=基准线10%与入选期中位13.8%的较低者）。,2018 ROE 14.4%；2019 ROE 14.1%；2020 ROE 4.6%；2021 ROE 3.8%；2022 ROE 0.7%
601088,exit,2017-12-31,2018-03-24,X3,fin,滚动三年加权ROE中位2016年为7.5%、2017年为7.5%，连续两期跌破退出线10.0%（=基准线10%与入选期中位19.8%的较低者）。,2013 ROE 17.2%；2014 ROE 13.0%；2015 ROE 5.5%；2016 ROE 7.5%；2017 ROE 14.7%
601088,reentry,2019-12-31,2020-03-28,重入,fin,滚动三年加权ROE中位2018年为13.9%、2019年为13.9%，连续两期重回退出线10.0%以上（X3镜像口径）。,2015 ROE 5.5%；2016 ROE 7.5%；2017 ROE 14.7%；2018 ROE 13.9%；2019 ROE 12.7%
002022,exit,2017-12-31,2018-04-19,X1,fin,滚动三年加权ROE中位2016年为13.9%、2017年为13.2%，连续两期跌破退出线15.0%（=基准线15%与入选期中位30.3%的较低者）。,2013 ROE 27.5%；2014 ROE 24.7%；2015 ROE 13.9%；2016 ROE 13.2%；2017 ROE 11.3%
