security_code,security_name,attention_class,quality_tier,q2_moat_score,q1_business_model_score,quality_score,primary_strategy_tag,moat_summary,capital_replicability,peer_comparison,garbage_reason,boundary_recheck_trigger,tier_reason,q2_reason,q3_capital_allocation_score,q4_management_score,credibility_deduction,flags,score_reason,evidence_status,evidence_note,score_version,scored_at,prior_tier,score_batch,watch_action,evidence_sources,decision_log_summary,analysis_batch_id,reviewed_at_utc,workflow_version,evidence_available_at,q1_reason,q2_moat_type,q2_erosion_paths,q3_reason,q4_reason,tactical_thesis,l4_since
000063,中兴通讯,boundary_pending,L2,74,58,65.8,D-产业链爆发/关键瓶颈型,电信设备全球前四寡头（格局固化）+5G专利与自研芯片纵深+运营商绑定，AI服务器/算力第二曲线放量；前瞻侵蚀：运营商资本开支下行（利润-33%）、华为全面覆盖、服务器低毛利稀释利润率。,专利/研发规模/运营商关系难复制，全球寡头格局封闭，测试通过。,全球寡头第四、国内第二（华为未上市）；NM4.2%盈利质量为寡头组最弱。,,2026年报毛利率仍<28%或ROE<8%→按§5.5重判载体（已登记，维持）；新增：2026年报经营活动现金流净额为负、或连续两年低于归母净利的50%→按§3.1复核Q1地板，并同步核Q2是否仍≥72（Q1已58，Q2若跌破72即触L3）。,护城河强（Q2=74）足以倚仗，但生意模式塌陷（Q1=58）——降一档不越档,,62,62,0,short_board(Q1),Q1 运营商招标制+必须持续巨额研发；Q2 全球四寡头+专利池真实；Q4 计2018制裁违规史,reexamined_no_source,2026H1 逐家核对（2026-08-30）：营收 780.25 亿(+9.0%)、归母 27.53 亿(-45.6%)、ROE 3.65%（25H1 6.85%）、毛利 25.48%（25H1 32.45%）——定档断言「电信设备寡头格局固化＋AI服务器第二曲线放量」在中报中一半兑现一半承压：营收+9.0%证实服务器放量且设备份额未失；毛利32.45→25.48（−6.97pt）、ROE 6.85→3.65、每股经营现金流−0.03，说明第二曲线是以利润率与营运资本为代价换取的规模。断言未被推翻——载体是设备格局与专利池而非当期毛利；但tier_reason_pool中「护城河强(Q2=74)、生意模式塌陷(Q1=58)、降一档不越档」的判断被中报进一步坐实，Q1侧已无缓冲。服务器业务毛利率与应收账款账龄中报未单独拆分，为待核验项。 ｜ 按 §10.7 偏差模式复检（未取外部新证）：**模式1**。电信设备**全球四寡头之一**+5G 专利池，原判仅记招标制与研发投入而未计全球四寡头格局。72→74 ｜ 2026-09-07 护城河逐家审核（建议降 boundary_pending，待用户裁定；载体 客户锁定；复制测试 pass；置信 medium）：四寡头格局真实但未转化为回报：十一年 ROE ≥15% 仅 3 年、两年亏损、中位 12.3%、净利率约 4%、营收 CAGR 2.9%；运营商单一买方下 ROE 不稳定，客户集中口径不满足；2026H1 毛利 −7pp、经营现金流转负。 ｜ 2026-09-07 用户裁定：worth_attention → boundary_pending（护城河审核）,v0.4,2026-07-31,L2,anchor,maintain(旧L2),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新; moat_audit_2026-09-07(batch_01.jsonl),电信设备全球寡头+算力第二曲线，运营商开支下行利润-33%为周期折扣，维持L2下沿。,tier_rebuild_202607_b08,2026-09-06T22:08:59+00:00,a-share-selection-operation-v4.96,2026-08-22,运营商招标制+必须持续巨额研发（Q1=58 塌陷，short_board 旗标）；NM 4.2% 寡头组最弱、利润 −33%,事实标准与技术代际（电信设备全球四寡头+5G 专利池+自研芯片纵深；华为全面覆盖）,运营商资本开支下行（利润-33%）、华为全面覆盖、服务器低毛利稀释利润率。,AI 服务器/算力第二曲线放量但低毛利稀释利润率——再投资路径,计 2018 制裁违规史,,
000425,徐工机械,boundary_pending,L2,72,60,65.6,C-GARP成长型,起重机全球第一+全品类工程机械+混改治理改善；前瞻侵蚀：行业同质竞争无定价权、国企应收与回款质量、对照三一效率差距。,规模品牌渠道难复制，但行业内多寡头同质竞争，测试部分通过。,锚点对照三一（L2锚）：盈利质量（NM6.6%对9.5%）与国际化效率低一档。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,70,72,-3,short_board(Q1),品类最全+海外扩张，与三一并列；强周期+信用销售应收重,corrected,2026H1 机械核对（2026-08-30）：营收 612.47 亿(+11.7%)、归母 39.62 亿(-9.1%)、ROE 6.33%（25H1 7.15%）、毛利 22.12%（25H1 22.03%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ **2026 全球工程机械第 3**（销售额 143.68 亿美元），品类最全。与三一同属全球第一梯队，Q2 66→72、Q1 58→60。**升 L2**。 ｜ 2026-09-07 护城河逐家审核（建议降 boundary_pending，待用户裁定；载体 成本优势；复制测试 doubtful；置信 high）：规模（全球第三、起重机第一）未转化为六项之一：净利率约 6.6%、十一年 ROE 中位 9.8%、≥15% 仅 1 年、门类分位中位 51 与制造业中位持平；多寡头同质竞争无定价权，分层表自认「测试部分通过」即存疑。 ｜ 2026-09-07 用户裁定：worth_attention → boundary_pending（护城河审核）,v0.4,2026-07-31,L3,B11机械,upgrade(旧L4),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新; moat_audit_2026-09-07(batch_01.jsonl),起重机全球第一但对照三一效率低一档，周期上行为战术理由，由L4升L3。,tier_rebuild_202607_b10,2026-09-06T22:08:59+00:00,a-share-selection-operation-v4.96,2026-08-29,行业同质竞争无定价权、国企应收与回款质量（Q1=60，short_board 旗标）；NM 6.6% 对三一 9.5% 低一档,成本与规模优势（全球工程机械第 3、起重机全球第一、品类最全）,行业同质竞争无定价权、国企应收与回款质量、对照三一效率差距。,,混改治理改善,,
000951,中国重汽,boundary_pending,L2,72,62,69.9,C-GARP成长型,重卡寡头前二+HOWO出口第一（出口韧性验证）；前瞻侵蚀：行业同质化（GM7.8%低毛利）、国内重卡周期、天然气/电动切换。,重卡品牌与出口渠道难速成，但行业无定价权，测试部分通过。,对照潍柴（链核心L2）：整车环节毛利与议价更弱（NM4.2%）。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,74,72,0,short_board(Q1),重卡份额+曼技术平台+出口第一；重卡强周期；分红高,corrected,2026H1 机械核对（2026-08-30）：营收 384.10 亿(+46.8%)、归母 9.73 亿(+45.5%)、ROE 5.88%（25H1 4.29%）、毛利 6.89%（25H1 7.50%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ **Q2/Q1 均打低**：**2026H1 重卡销量全球第一**（19.6 万辆 +40.3%），营收 110 亿美元 +42%；新能源重卡中国第一（+141.3%）；海外布局 **37 座 KD 组装厂、千余家营销网点、700+ 标准化服务站**——规模与海外渠道是真实壁垒。2H25 毛利率企稳 **15.1%**，受益高毛利出口占比提升。Q2 66→72、Q1 58→62。**升 L2**。 ｜ 2026-09-07 护城河逐家审核（建议降 boundary_pending，待用户裁定；载体 品牌渠道锁（海外 KD 厂与服务网络）＋成本优势（规模）；复制测试 doubtful；置信 medium）：唯一难买要素是 21 年出口第一的海外服务网络（品牌渠道锁），但十年毛利 10.0→7.5%、ROE 中位 9.85% 未转化为定价权或超额回报；三一/徐工 7 年内在新能源重卡越过重汽，复制测试存疑，存疑不留。 ｜ 2026-09-07 用户裁定：worth_attention → boundary_pending（护城河审核）,v0.4,2026-07-31,L3,B11机械,upgrade(旧L4),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新; moat_audit_2026-09-07(batch_02.jsonl),重卡前二+出口第一，收入+29%，低毛利整车环节限制，由L4升L3。,tier_rebuild_202607_b10,2026-09-06T22:08:59+00:00,a-share-selection-operation-v4.96,2026-08-27,行业同质化低毛利（GM 7.8%→2H25 企稳 15.1%）、重卡强周期（Q1=62，short_board 旗标）；2026H1 销量全球第一、出口韧性验证,成本与规模优势（重卡规模+37 座 KD 组装厂/千余营销网点海外渠道）+ 事实标准与技术代际（曼技术平台）,行业同质化（GM7.8%低毛利）、国内重卡周期、天然气/电动切换。,分红高——返还路径,,,
002130,沃尔核材,boundary_pending,L2,71,66,69.8,D-产业链爆发/关键瓶颈型,热缩材料基本盘+子公司乐庭智线AI高速铜缆（224G高速线全球头部），材料配方+高速信号完整性工艺；前瞻侵蚀：机柜内互连铜vs光/CPO技术路线切换、AI周期、基本盘业务平庸。,高速线缆认证与材料配方难短期复制，测试通过（标注路线风险）。,高速铜连接国内卡位领先（对照华丰科技连接器侧互补）；ROE19.1%/利润+35%。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,72,70,0,,辐照交联材料技术+高速通信线缆放量,reexamined_no_source,2026H1 机械核对（2026-08-30）：营收 46.53 亿(+17.9%)、归母 5.67 亿(+1.5%)、ROE 6.32%（25H1 9.61%）、毛利 29.41%（25H1 32.45%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ 按 §10.7 偏差模式复检（未取外部新证）：模式2。辐照交联材料技术+高速通信线缆放量，材料工艺积累真实。70→71 ｜ 2026-09-07 护城河逐家审核（建议降 boundary_pending，待用户裁定；载体 客户锁定（认证锁）＋能力锁；复制测试 doubtful；置信 medium）：高速铜缆全球第二（2024约25%）、224G批量交付英伟达，但2025高速通信线收入10.17亿仅占84.51亿的12%；2016-19年ROE 0.8~7.7%，超额回报仅始于AI景气，铜/光路线可切换，复制测试存疑。 ｜ 2026-09-07 用户裁定：worth_attention → boundary_pending（护城河审核）,v0.4,2026-07-31,L2,B9光电,maintain(旧L2),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新; moat_audit_2026-09-07(batch_03.jsonl),AI高速铜缆头部卡位+热缩基本盘，ROE19.1%，铜vs光路线风险标注，维持L2。,tier_rebuild_202607_b04,2026-09-06T22:08:59+00:00,a-share-selection-operation-v4.96,2026-08-25,基本盘热缩材料业务平庸；乐庭智线 224G 高速铜缆放量，ROE 19.1%/利润 +35%；铜 vs 光/CPO 路线切换风险,事实标准与技术代际（224G 高速线全球头部）+ 转换成本与认证锁定（辐照交联材料配方+高速信号完整性工艺）,机柜内互连铜vs光/CPO技术路线切换、AI周期、基本盘业务平庸。,,,,
002158,汉钟精机,boundary_pending,L2,71,70,71.8,C-GARP成长型,螺杆压缩机+半导体真空泵niche龙头，可靠性与售后体系；前瞻侵蚀：光伏真空泵需求崩（收入-20%/利润-46%）、热泵周期、半导体级真空泵对照Edwards差距。,高可靠压缩机/真空泵经验与客户验证难速成，测试通过（细分层面）。,对照中科仪（干泵L3）同处真空泵国产化，工业基本盘更大；盈利下行期。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,74,74,0,,螺杆压缩机工艺积累+真空泵，光伏周期冲击,reexamined_no_source,2026H1 机械核对（2026-08-30）：营收 15.02 亿(+0.9%)、归母 2.80 亿(+8.9%)、ROE 6.31%（25H1 5.99%）、毛利 33.92%（25H1 35.01%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ 按 §10.7 偏差模式复检（未取外部新证）：模式2。螺杆压缩机工艺积累+真空泵，光伏周期冲击由 Q1 承担。70→71 ｜ 2026-09-07 护城河逐家审核（建议降 boundary_pending，待用户裁定；载体 能力锁（可靠性与售后体系）；复制测试 doubtful；置信 high）：螺杆压缩机市占约12%非主导；光伏真空泵份额高但2025营收-20.4%、归母-45.7%；半导体真空泵Edwards/Ebara占约80%。2015-19年ROE 10~13%（分位45~56），2020-24年超额回报系光伏景气。 ｜ 2026-09-07 用户裁定：worth_attention → boundary_pending（护城河审核）,v0.4,2026-07-31,L3,B11机械,maintain(旧L3),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新; moat_audit_2026-09-07(batch_03.jsonl),螺杆机+真空泵龙头但光伏拖累利润-46%，半导体泵国产化为战术理由，维持L3。,tier_rebuild_202607_b08,2026-09-06T22:08:59+00:00,a-share-selection-operation-v4.96,2026-08-28,光伏真空泵需求崩（收入 −20%/利润 −46%）、热泵周期；螺杆压缩机基本盘可靠性与售后体系,转换成本与认证锁定（螺杆压缩机工艺积累+可靠性售后体系；半导体级真空泵对照 Edwards 差距）,光伏真空泵需求崩（收入-20%/利润-46%）、热泵周期、半导体级真空泵对照Edwards差距。,,,,
002223,鱼跃医疗,boundary_pending,L2,68,72,69.8,C-GARP成长型,家用医疗器械平台第一（呼吸/血糖/制氧/消毒多品类），品牌信任+线上线下渠道+注册体系；前瞻侵蚀：家用品类门槛中等（线上白牌与小米生态链持续进攻）、疫情高基数消化（利润-17.9%）、CGM竞争激烈。,医疗品牌信任与注册渠道体系难速成，多年进攻未撼动其平台份额，测试通过。,家用器械无同量级平台（对照可孚/怡和嘉业单品类）；ROE11.4%中枢15%+。,,2026 年报 ROE <10%，或毛利率跌破 47%，或呼吸机/制氧机/血糖任一主品类被公开市占数据确认份额被小米生态链或线上白牌夺走 → 按 §5.7 重打 Q2 并对照 L3 第一条（是否仍有不可替代利基）；若商誉减值单年超过归母净利 25% → 按 §7.4 事件复核并计 rubric 报表可信度扣分,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,72,68,0,,家用器械复购+品牌+渠道，但品类广而单品门槛低,reexamined_no_source,2026H1 逐家核对（2026-08-30）：营收 45.69 亿(-1.9%)、归母 8.43 亿(-29.9%)、ROE 6.22%（25H1 9.21%）、毛利 49.80%（25H1 50.37%）——定档断言为 L2，已写明侵蚀路径为家用品类门槛中等＋疫情高基数消化＋CGM 竞争。中报事实：营收 -1.9% 基本持平，毛利率 49.80% 对 50.37% 仅降 0.57pct 且五年 48.3→50.6 反而上行——产品定价端未被白牌击穿，载体未被中报推翻，维持 L2。真正的问题不在中报而在五年结构：营收 68.94→79.55 五年横盘，归母 14.82→14.82 五年零增长，ROE 19.2→11.4 单调下滑 7.8pct，2025 年报 ROE 11.4% 已跌破防3 三重门槛的 12% 线（2026H1 年化 12.4% 仅勉强踩线）。同组校准文件明确把鱼跃排除在高端器械组外、留待家用组单独校准，即其进池未经医疗器械同业校准的直接留观通道。毛利稳而 ROE 崩，指向净资产扩张与费用/减值而非产品竞争力（据模型知识与历史并购商誉及金融资产投资有关，待核验）。此项应在下次质量复核时正式重打 Q2，不宜靠单份中报下调。 ｜ 按 §10.7 偏差模式复检（未取外部新证）：模式1。家用医疗器械**品类份额领先**+品牌+渠道，单品门槛低但组合与渠道是实位。66→68 ｜ 2026-09-07 护城河逐家审核（建议降 boundary_pending，待用户裁定；载体 品牌渠道锁；复制测试 doubtful；置信 medium）：载体仅品牌渠道锁（制氧机12年全网销量第一、血压计年销千万台）；疫情前2016-19年ROE 11~14%（分位49~60），2025回落至11.4%，2024制氧机/呼吸机收入-22.4%、集采下买一送一清库存，回报平庸无结构性原因。 ｜ 2026-09-07 用户裁定：worth_attention → boundary_pending（护城河审核）,v0.4,2026-07-31,L2,B13医药,maintain(旧L2),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新; moat_audit_2026-09-07(batch_03.jsonl),家用器械平台第一，品牌渠道复用，高基数消化利润-18%，维持L2下沿。,tier_rebuild_202607_b11,2026-09-06T22:08:59+00:00,a-share-selection-operation-v4.96,2026-08-22,家用器械复购+品牌+渠道；品类广而单品门槛低（白牌与小米生态链进攻），疫情高基数消化（利润 −17.9%、ROE 11.4% 对中枢 15%+）,品牌与心智（家用医疗器械平台第一、品牌信任）+ 渠道（线上线下+注册体系组合）,家用品类门槛中等（线上白牌与小米生态链持续进攻）、疫情高基数消化（利润-17.9%）、CGM竞争激烈。,,,,
002273,水晶光电,boundary_pending,L2,71,66,69.4,D-产业链爆发/关键瓶颈型,精密光学薄膜/滤光片全球第一梯队+微棱镜苹果独供级+AR光学储备；前瞻侵蚀：苹果链集中（判例11可替换性风险）、光学创新节奏由大客户主导、AR期权兑现遥远。,高良率镀膜与大客户认证难速成，但苹果链功能件位置非平台（判例11口径），测试部分通过。,对照蓝思/歌尔（苹果链防3判boundary）：品类垄断度（滤光片）更高故round1保留，但对照元件垄断L2组（法拉/华明）定价权弱。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,70,70,0,,光学镀膜工艺+苹果供应链，AR/HUD在建,reexamined_no_source,2026H1 机械核对（2026-08-30）：营收 34.78 亿(+15.2%)、归母 5.24 亿(+4.7%)、ROE 5.20%（25H1 5.39%）、毛利 31.68%（25H1 29.46%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ 按 §10.7 偏差模式复检（未取外部新证）：模式2。光学镀膜工艺+苹果供应链认证，AR/HUD 在建。70→71 ｜ 2026-09-07 护城河逐家审核（建议降 boundary_pending，待用户裁定；载体 能力锁（镀膜工艺）＋客户锁定（苹果认证，非平台）；复制测试 doubtful；置信 high）：红外截止滤光片全球份额21%（2023）为第一但非垄断，微棱镜为苹果第一供应商；十年ROE中位9.1%、无一年≥15%、分位中位51，毛利28~31%持平，定价由大客户主导，无超额回报亦无结构性原因。 ｜ 2026-09-07 用户裁定：worth_attention → boundary_pending（护城河审核）,v0.4,2026-07-31,L3,B9光电,downgrade(旧L2),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新; moat_audit_2026-09-07(batch_03.jsonl),滤光片全球头部+微棱镜独供，苹果链依赖限制定价权，AR为远期期权，由L2降L3。,tier_rebuild_202607_b08,2026-09-06T22:08:59+00:00,a-share-selection-operation-v4.96,2026-08-24,苹果链集中（可替换性风险）、光学创新节奏由大客户主导；AR 期权兑现遥远,转换成本与认证锁定（光学镀膜工艺+微棱镜苹果独供级认证；对照元件垄断组定价权弱）,苹果链集中（判例11可替换性风险）、光学创新节奏由大客户主导、AR期权兑现遥远。,,,,
002409,雅克科技,boundary_pending,L2,74,66,70.3,D-产业链爆发/关键瓶颈型,半导体前驱体国内第一（UP Chemical等并购整合，HBM/先进制程关键材料）+电子特气+光刻胶配套；前瞻侵蚀：业务混杂（LNG保温/阻燃剂稀释纯度）、并购商誉、韩系客户集中。,前驱体配方与晶圆厂长期验证难速成，测试通过。,前驱体环节国内无对手（对照南大光电MO源品类小）；ROE12.6%/收入+25%。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,70,68,0,,前驱体+电子特气，技术由并购获得+客户认证；商誉与整合风险,reexamined_no_source,2026H1 机械核对（2026-08-30）：营收 45.13 亿(+5.1%)、归母 5.61 亿(+7.3%)、ROE 7.07%（25H1 6.97%）、毛利 29.87%（25H1 31.82%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ 按 §10.7 偏差模式复检（未取外部新证）：模式不适用。前驱体与电子特气技术主要由并购获得、整合风险真实，74 合理。维持 ｜ 2026-09-07 护城河逐家审核（建议降 boundary_pending，待用户裁定；载体 客户锁定（前驱体晶圆厂认证，经 UP Chemical 并购获得）；复制测试 doubtful；置信 medium）：前驱体2025收入21.11亿仅占86.11亿的24.5%（毛利44.8%、稼动率59.3%），其余为光刻胶分销、LNG保温等；十年ROE中位6.9%、无一年≥15%、分位中位34，并购溢价摊薄回报。护城河仅在子公司，公司层面复制存疑。 ｜ 2026-09-07 用户裁定：worth_attention → boundary_pending（护城河审核）,v0.4,2026-07-31,L2,B7半导体设备,upgrade(旧L3),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新; moat_audit_2026-09-07(batch_03.jsonl),前驱体国内第一+HBM卡位，收入+25%，业务混杂为折扣，由L3升L2下沿。,tier_rebuild_202607_b05,2026-09-06T22:08:59+00:00,a-share-selection-operation-v4.96,2026-08-26,业务混杂（LNG 保温/阻燃剂稀释纯度）、韩系客户集中；前驱体环节国内无对手，ROE 12.6%/收入 +25%,转换成本与认证锁定（半导体前驱体国内第一+客户认证；技术由并购获得）,业务混杂（LNG保温/阻燃剂稀释纯度）、并购商誉、韩系客户集中。,UP Chemical 等并购整合获得技术——再投资路径，商誉与整合风险在检,,,
002484,江海股份,boundary_pending,L2,72,66,69.8,D-产业链爆发/关键瓶颈型,铝电解电容国产第一（全球第二梯队）+薄膜/超级电容延伸，AI服务器电源电容需求放量；前瞻侵蚀：对照日系（NCC/Nichicon）高端差距、原材料（电极箔）成本周期、超容商业化节奏。,电容材料工艺与寿命验证需长期积累，测试通过（细分层面）。,对照法拉电子（薄膜全球第一L2锚）：主业全球位置低一档（国产第一vs全球第一）；ROE11.2%中等。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,70,70,0,,铝电解电容国内第一+薄膜/超容布局,reexamined_no_source,2026H1 机械核对（2026-08-30）：营收 31.51 亿(+17.0%)、归母 3.83 亿(+6.9%)、ROE 5.91%（25H1 6.16%）、毛利 25.18%（25H1 24.93%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ 按 §10.7 偏差模式复检（未取外部新证）：模式1。铝电解电容**国内第一**+薄膜/超容布局，国内第一未被原判计入。70→72 ｜ 2026-09-07 护城河逐家审核（建议降 boundary_pending，待用户裁定；载体 成本优势；复制测试 doubtful；置信 high）：国内份额约 7.6% 仅为分散市场第一梯队，高端在日系手中；十一年 ROE 最高 14.4%、中位 10.2%、分位 47，毛利十年不动，无重资产低谷或投入期等结构性解释，载体未转化为超额回报。 ｜ 2026-09-07 用户裁定：worth_attention → boundary_pending（护城河审核）,v0.4,2026-07-31,L3,B9光电,upgrade(旧L4),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新; moat_audit_2026-09-07(batch_04.jsonl),铝电解电容国产第一，AI电源需求放量为战术理由，全球位置第二梯队，由L4升L3。,tier_rebuild_202607_b04,2026-09-06T22:08:59+00:00,a-share-selection-operation-v4.96,2026-08-21,对照日系高端差距、电极箔成本周期；AI 服务器电源电容需求放量，ROE 11.2% 中等,成本与规模优势（铝电解电容国产第一、全球第二梯队）,对照日系（NCC/Nichicon）高端差距、原材料（电极箔）成本周期、超容商业化节奏。,,,,
002683,广东宏大,boundary_pending,L2,76,68,73.0,F-垄断资源型,民爆产能许可红线（总量冻结）+矿服爆破一体化整合龙头+军工（导弹总体民企稀缺资质）；前瞻侵蚀：矿服属execution-heavy服务、并购整合执行风险、军品订单波动。,民爆许可产能无法新增，整合方向明确且宏大为最大整合者，测试通过（规则12）。,民爆行业整合第一（对照易普力/雅化规模与矿服协同占优）；ROE14.2%/收入+49%。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,74,72,0,,民爆牌照法定管制+矿服一体化，并购整合兑现,reexamined_with_source,按 §10.7 偏差模式复检（未取外部新证）：模式1。**民爆生产经营牌照为法定强管制**（安全监管，新证极难获批）+矿服一体化，法律锁强于原判。74→76｜**2026-08-25 中报质量复核（东财逐季面板，公告 08-25）**：H1 归母 5.20 亿（+3.2%）、扣非 EPS 0.6545（+3.3%）、营收 101.4 亿（+10.8%）、毛利率 21.6%（+1.8pp）、加权 ROE 7.52%（H1）、每股经营现金流 −1.20（去年同期 −0.30）；民爆许可红线载体未变，并购后每股净负债 18.49（模型薄权益守卫 FY2025/Q1/H1 三期拒绝）属既列「并购整合执行风险」侵蚀路径——层级 L2、四维分数不变。 ｜ 2026-09-07 护城河逐家审核（建议降 boundary_pending，待用户裁定；载体 稀缺资源；复制测试 doubtful；置信 medium）：牌照载体只覆盖民爆14.7%收入，主业矿服70.9%为执行型服务且资质多家持有；牌照可经并购购买（公司即以此扩张）；十年ROE中位8.8%、无一年≥15%，2025 14.2%靠并购杠杆（每股净负债18.5、26H1现金流转负）。 ｜ 2026-09-07 用户裁定：worth_attention → boundary_pending（护城河审核）,v0.4,2026-07-31,L2,B5资源,upgrade(旧L5),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新; moat_audit_2026-09-07(batch_11.jsonl),民爆许可红线+矿服一体化整合龙头+军工资质，收入+49%；服务业属性为折扣，自旧L5纠偏至L2下沿。,tier_rebuild_202607_b02,2026-09-06T22:08:59+00:00,a-share-workflow-v4.82,2026-08-25,矿服属 execution-heavy 服务；一体化整合龙头，ROE 14.2%/收入 +49%,行政法律独占（民爆产能许可红线、总量冻结，新证极难获批）+ 转换成本与认证锁定（军工导弹总体民企稀缺资质）,矿服属execution-heavy服务、并购整合执行风险、军品订单波动。,并购整合兑现——再投资路径为主，整合执行风险在检,,,
