security_code,security_name,quality_tier,carrier,carrier_fact,replication_test,quant_support,quant_note,peer_anchor,erosion,erosion_path,verdict,confidence,reason,sources,evidence_status,industry,roe_median,roe_pctl_median,roe_years_ge15,_batch
000538,云南白药,L1,稀缺资源（国家保密配方·法律锁）＋品牌定价权,云南白药配方为国家保密配方（行政法律独占）；白药牙膏 2025H1 全渠道份额>20%、连续多年第一（2023 年 24.6%，营收超 60 亿）；气雾剂/创可贴等核心品类独占品牌心智,pass,partial,ROE 中位 10.51、最低 7.58、≥15% 仅 2 年，门类分位中位 62；毛利首末五年 30.3→27.5；归母 CAGR 6.4；OCF/NI 中位 0.85。回报平庸有结构性原因：2019 年吸收合并白药控股后权益翻倍并持有大额净现金（每股净现金 6.75 元）、省医药低毛利批发拉低综合毛利、2021-22 证券投资亏损 25 亿；牙膏/药品分部本身高毛利,对照片仔癀（同为保密配方，ROE 中位 22.6）：白药产品带更宽、增长更稳，但资本配置与权益基数拖累 ROE 一半；对照华润三九（ROE 中位 15.2）经营效率略低,medium,牙膏增长触顶（年均约 2%）；证券投资/多元化再度拖累；三七等原料涨价,维持,high,载体为国家保密配方（法律锁）与牙膏第一份额（>20%、连续第一），资金买不到；ROE 中位 10.5% 平庸源于合并白药控股后的权益翻倍、大额净现金与省医药批发，非载体失效。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000538_云南白药/README.md ; docs/peer-group-calibration/a-share-traditional-chinese-medicine.md ; http://notice.10jqka.com.cn/api/pdf/7a47a6b51ae2b211.pdf ; https://tidenews.com.cn/news.html?id=3088514 ; https://news.qq.com/rain/a/20250401A08SMC00,external_verified,制造业,10.51,62.0,2,batch_02.jsonl
002371,北方华创,L1,客户锁定（晶圆厂验证认证锁）＋能力锁（多品类平台广度）,刻蚀/薄膜/清洗/炉管/外延多品类平台国内唯一；2025 营收 393.53 亿(+30.85%)、研发投入超 70 亿；2025H1 全球设备商第七、全球前十唯一中国厂商；国产化率仅 13.6% 留有空间；出口管制使国产替代成为刚需,pass,partial,ROE 中位 8.51、最低 3.01（2015）、≥15% 共 3 年（2023-25）；分位由 20 升至 91~95；回报平庸的结构性原因为投入期（研发/产能爬坡、国企股权融资）；毛利首末五年 39.2→41.4；营收 CAGR 41.5%；OCF/NI 中位 −0.09（合同资产/存货占款，需跟踪）,对照中微公司（刻蚀深度、进台积电 3nm）：北方华创广度第一、深度居次；对照拓荆/华海清科单品类；对照 AMAT/Lam 仍有代差,medium,出口管制升级双向影响；晶圆厂资本开支周期；对海外三巨头技术代差；经营现金流长期弱于净利,维持,high,刻蚀/薄膜/清洗/炉管多品类平台国内唯一，2025营收393.5亿(+30.9%)、研发超70亿，全球前十唯一中国设备商；ROE 3%→20.6%→16.4%属投入期结构性抬升。晶圆厂验证周期与出口管制共同构成准入锁。,data/interim/moat_audit_2026-09-07/batch_03_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; docs/peer-group-calibration/a-share-semiconductor-equipment.md ; https://static.cninfo.com.cn/finalpage/2026-04-18/1225122918.PDF ; https://www.eet-china.com/news/202604221943.html ; https://m.c114.com.cn/w38-1297316.html,external_verified,制造业,8.51,40.0,3,batch_03.jsonl
300750,宁德时代,L1,成本优势＋客户锁定＋超额回报,SNE Research：2025 全球动力电池装机 464.7GWh、份额 39.2%，唯一超 30% 的厂商，第二名比亚迪 16.4%（自供为主）；第三方市场无对手；FY2021-25 ROE 21.5-24.9%、门类分位 83-98；价格战期毛利仍 23-26%,pass,yes,ROE 中位 24.04（2015-16 为上市前小基数）、最低 11.27（2020）、≥15% 共 8/11 年；毛利首末五年 36.1→23.3、2025 26.3；OCF/NI 中位 2.1；归母 CAGR 54.5%；2026H1 ROE 12.08%（半年）,对照亿纬锂能（ROE 中位 17.1，2023-25 降至 12.5/11.3/10.5）与国轩高科（中位 4.8）：同一价格战中二线盈利下行，宁德 2025 ROE 24.9 反创五年新高，盈利差距拉大,low,车企自产电池分流、美欧本土化政策与关税、固态路线切换（公司自身领跑）,维持,high,全球份额 39.2% 断档第一（SNE 2025），二线追赶多年盈利差距反而拉大：宁德 ROE 24.9% vs 亿纬 10.5%、国轩 8.7%。规模成本＋客户认证＋技术代际复合壁垒，复制测试通过。,data/interim/moat_audit_2026-09-07/batch_06_input.json ; data/companies/300750_宁德时代/README.md ; docs/peer-group-calibration/a-share-ev-battery.md ; https://cnevpost.com/2026/02/04/global-ev-battery-market-share-2025/ ; https://www.electrive.com/2026/02/04/sne-research-catl-continues-to-dominate-global-battery-market/,external_verified,制造业,24.04,92.0,8,batch_06.jsonl
600160,巨化股份,L1,稀缺资源＋成本优势,2026 年 HFCs 生产配额 29.99 万吨、占全国 37.6%-39.3% 第一（生态环境部核发）；HCFC-22 配额占全国 26.3%；配额按基加利修正案总量封顶、逐年削减，不可通过投资获得；氟氯联动一体化；2025 ROE 19.6%、归母 2023 9.4 亿→2025 37.8 亿；2026H1 归母 +29.2%、毛利 34.0%,pass,partial,ROE 中位 8.48、最低 0.75（2020）、≥15% 共 3/11 年；2015-23 平庸对应配额基线年（2020-22）抢份额价格战与周期低谷（结构性）；配额制 2024 生效后 ROE 11.5→19.6→2026H1 12.15（半年）；毛利首末五年 16.2→18.4、2025 28.2；OCF/NI 1.66,对照三美股份（配额第二梯队，ROE 中位 15.5 但 4.5-74 剧烈波动）与永和股份（中位 12.4、2026 配额占 7.6%）：巨化配额约为三美 2 倍以上、永和 5 倍，一体化使成本位更低；配额红利期同业同步上行但巨化规模断档,medium,下游空调/汽车需求周期、四代制冷剂（HFO）路线切换（公司亦布局）、配额削减时点（2029 年起）、产品仍为大宗,维持,high,法律锁：HFCs 配额 29.99 万吨占全国 37.6% 第一，总量封顶递减、新进入者无配额。配额前十年 ROE 中位 8.5% 为基线年抢份额价格战所致（结构性），配额生效后 ROE 11.5→19.6%。复制测试通过。,data/interim/moat_audit_2026-09-07/batch_06_input.json ; data/companies/600160_巨化股份/README.md ; docs/peer-group-calibration/a-share-fluorochemicals.md ; data/archive/completed-queues/evidence_review_log.md ; https://finance.sina.com.cn/wm/2026-06-12/doc-iniceccm3426944.shtml ; https://finance.sina.com.cn/wm/2026-05-22/doc-inhytkat5913496.shtml ; https://cj.sina.com.cn/articles/view/1889633901/70a1866d00101j2v0,external_verified,制造业,8.48,42.0,3,batch_06.jsonl
600406,国电南瑞,L1,客户锁定＋超额回报,电网调度系统份额>75%，变电站/配网自动化>35%，继保（南瑞继保＋南京控制）近 34%（2024 年报）；国内电力自动化多数标准由其发起；客户国家电网为控股股东；认证锁＋事实标准,pass,yes,ROE 中位 16.0、最低 14.0、≥15% 共 9 年，十一年区间 14.0-16.9；毛利首末五年 27.5→26.6；归母 CAGR 20.3%；OCF/NI 1.39,对照许继电气/四方股份：调度份额断档、ROE 低一档（约 10-13%）；对照长江电力：同为电网体系独占资产，回报稳定性同级,medium,电网投资节奏；关联交易定价与国企机制；电力市场化对调度体系重构（南瑞亦为承接者）,维持,high,调度系统份额>75%、继保近 34%、多数行业标准由其发起——认证锁＋事实标准；十一年 ROE 14.0-16.9% 无一年低于 14%，规制口径下已持续转化为高于许继/四方的回报。,data/interim/moat_audit_2026-09-07/batch_01_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/600406_国电南瑞/README.md ; docs/peer-group-calibration/a-share-electrical-automation.md ; http://notice.10jqka.com.cn/api/pdf/7a6d243f534425e3.pdf ; http://qxb-pdf-osscache.qixin.com/AnBaseinfo/bc4cca0252dcaff60f45f8a9da27e06c.pdf,external_verified,信息传输、软件和信息技术服务业,16.04,63.0,9,batch_01.jsonl
600415,小商品城,L1,网络效应＋稀缺资源＋定价权,"义乌市场66,600摊位、79,500商户、出口230+国家；商位出租率98%以上接近物理满载，2023租金市场化后时隔十余年再涨租，市场经营毛利率82.9%；Chinagoods GMV 650亿(2025)；义乌2025快递137.7亿件连续全国县市第一（2026H1经营评述）",pass,partial,ROE中位10.04、最低6.88(2020)、≥15%共3年(2023-25为16.1/16.1/17.5)；分位中位48、≥80共3年；毛利首末五年44.9→27.6（贸易服务扩张稀释）；归母CAGR 19.8；经营现金流÷净利中位1.2；十年中位平庸的结构性原因=2023前商位租金政府指导价+地产开发拖累,轻纺城/农产品(boundary，无提价通道)；中国国贸(L2，出租率92-95%且租金回落，弱于小商品城),medium,六区（全球数贸中心）投运后租金爬坡节奏；电商对线下批发长期分流；外贸政策与汇率,维持,high,载体=义乌产业集群网络效应+市场物理位置：商位出租率98%+满载、时隔十余年再涨租、市场经营毛利82.9%。十年ROE中位10%系2023前租金受政府指导价压制，市场化后升至16-17.5%。,data/interim/moat_audit_2026-09-07/batch_11_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/600415_小商品城/README.md ; docs/peer-group-calibration/a-share-trade.md ; docs/peer-group-calibration/a-share-specialty-markets.md ; 东财 F10 经营分析/核心题材（emweb.securities.eastmoney.com/PC_HSF10，2026H1 经营评述与 2025 分部）,repo_only,租赁和商务服务业,10.04,48.0,3,batch_11.jsonl
600436,片仔癀,L1,稀缺资源＋定价权,全国仅片仔癀与云南白药两个国家绝密级配方，处方工艺均列绝密；允许使用天然麝香的 7 种药品之一，据西南证券获国家配额约一半（250kg），四川／陕西养麝基地持林业局驯养许可、天然麝香自给率约 70%；十年 ROE 最低 14.8,pass,yes,ROE 中位 22.6、最低 14.8（2025）、≥15% 共 10 年；分位中位 85、≥80 共 8 年；毛利 45.2→44.5（2025 36.4，牛黄成本）；归母 CAGR 16.6%；OCF÷NI 中位 0.73（原料囤积）,对照云南白药（另一绝密配方）：片仔癀单品定价权更强、品类更窄；对照茅台：行政独占更甚但需求广度与现金流规模远弱,medium,提价驱动模式在需求走弱期失效：2025 营收 -16.6%／归母 -27.5%，五年毛利 -14pct；牛黄成本 57→170 万/kg（2025-04 进口牛黄试点可能缓解）；礼品收藏需求退潮,维持,high,国家绝密配方（全国仅两家）＋天然麝香配额（约国家配额一半、自养 70%）为法律与资源双锁，资本无法复制；ROE 十年 ≥14.8、分位中位 85。2025 量价承压属需求周期，载体未受损。,data/interim/moat_audit_2026-09-07/batch_07_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/600436_片仔癀/README.md ; docs/peer-group-calibration/a-share-traditional-chinese-medicine.md ; https://www.thepaper.cn/newsDetail_forward_1492331 ; https://m.21jingji.com/article/20230516/herald/7db9bb0c62b78f97c2899b45a806af0e.html ; https://stockmc.xueqiu.com/202508/600436_20250823_OWHJ.pdf,external_verified,制造业,22.64,85.0,10,batch_07.jsonl
600519,贵州茅台,L1,定价权＋稀缺资源,白酒品牌力、吨价、毛利（91%）全面第一；十一年 ROE 24.4-36.0、门类分位 84-99；飞天出厂价长期低于批价，提价与直营结构优化验证定价权；赤水河产区与年份基酒库存不可购买,pass,yes,ROE 中位 32.5、最低 24.4（2016）、≥15% 共 11 年；分位中位 93、≥80 共 11 年；毛利 91.1→91.7；归母 CAGR 18.2%；OCF÷NI 中位 1.10,对照五粮液／汾酒：吨价、毛利、ROE 均低一档；茅台为全池最强锚点，本批 L1 候选均以其为对照,low,政务商务与礼品需求收缩致批价下行、2026H1 归母 -1.9%；年轻消费习惯变化（行业普遍风险）,维持,high,品牌＋赤水河产区＋陈年基酒三重不可购买要素，十一年 ROE 24-36、毛利 91%、分位 84-99，定价权经多轮周期验证；2026 行业调整为需求周期，无触及品牌与定价权的可见路径。,data/interim/moat_audit_2026-09-07/batch_07_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/600519_贵州茅台/README.md ; docs/peer-group-calibration/a-share-baijiu.md ; https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-17/600519_20260417_9QS4.pdf ; https://assets.kpmg.com/content/dam/kpmg/cn/pdf/zh/2025/06/mid-term-research-report-on-the-chinese-baijiu-market-2025.pdf,repo_only,制造业,32.53,93.0,11,batch_07.jsonl
600660,福耀玻璃,L1,成本优势＋客户锁定,全球汽车玻璃份额 2015 年 21.9% → 2022 末约 34%（中国约 68%），研报估 2025 约 37%；旭硝子 16%／板硝子 14%／圣戈班 14.5% 均较 2015 下降，四家合计 >75%；2025 营收 457.9 亿（+16.7%）、归母 93.1 亿（+24.2%）,pass,yes,ROE 中位 18.6、最低 12.1（2020 疫情）、≥15% 共 8 年；分位中位 74、后四年 82-98；毛利 41.7→35.8（海外工厂投入期）；归母 CAGR 13.6%；OCF÷NI 中位 1.35,对照旭硝子／板硝子／圣戈班：汽玻业务利润率个位数且份额持续下滑，福耀净利率约 20% 且为唯一份额持续提升者；A 股零部件无同量级品类王,low,美国／欧洲工厂成本与关税；汽车产量周期；智能化（HUD／天幕）需求节奏,维持,high,汽车玻璃全球第一、份额由 2015 年 21.9% 升至约 34-37%，三家百年对手份额持续下滑、扩张意愿低；OEM 认证＋就近配套＋一体化成本使资本复制三十年未成功；ROE 中位 18.6、2025 达 25.6。,data/interim/moat_audit_2026-09-07/batch_07_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/600660_福耀玻璃/README.md ; docs/peer-group-calibration/a-share-auto-parts.md ; https://finance.sina.com.cn/roll/2025-04-21/doc-inetwqye5380424.shtml ; https://m.gelonghui.com/p/1973866,external_verified,制造业,18.62,74.0,8,batch_07.jsonl
600809,山西汾酒,L1,定价权＋稀缺资源,清香型白酒绝对龙头、品类份额 60-65%；2025 营收 387 亿居行业第三，省内 -0.8% 而省外 +12.6%，全国化已兑现；青花系列高端化，毛利 69→75；ROE 2020 起 33-45,pass,yes,ROE 中位 33.5、最低 12.5（2015）、≥15% 共 9 年；分位中位 94、后四年 99；毛利 69.1→75.3；归母 CAGR 37.1%；OCF÷NI 中位 0.97,对照茅台／五粮液：价位带低一档、品牌力弱一档；对照泸州老窖（窖池物理锁）：清香地缸工艺壁垒弱于窖池，但品类第一心智独占；行业下行期唯一 2025 仍正增长的全国性酒企,medium,2026H1 营收 -12.2%／归母 -24.3% 为量的收缩；玻汾光瓶带内卷；青花高端化天花板待验证,维持,high,清香品类第一（份额 60-65%）与杏花村品牌为资本买不到的心智资产，全国化已兑现（2025 省外 +12.6%）；ROE 中位 33.5、分位 99，毛利升至 75%；2026 缩量为行业周期，毛利与回款结构未损。,data/interim/moat_audit_2026-09-07/batch_07_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/600809_山西汾酒/README.md ; docs/peer-group-calibration/a-share-baijiu.md ; data/archive/completed-queues/evidence_review_log.md ; https://www.tmtpost.com/8042942 ; https://www.stcn.com/article/detail/3871617,repo_only,制造业,33.48,94.0,9,batch_07.jsonl
