security_code,ex_dividend_date,cash_per_share,share_ratio,rights_ratio,rights_price,price_cash_per_share,price_share_ratio,price_rights_ratio,price_rights_price,notice_date,source_url,source_pages,source_sha256,note
000333,2019-05-30,1.303962,0.0,0.0,0.0,1.30,0,0,0,2019-05-23,https://pdf.dfcfw.com/pdf/H2_AN201905221331671605_1.pdf,4,c7e64aa656b2221bb4bbfa34b29d53685c124e03ab93197daead4360ef107056,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000333,2020-06-02,1.6,0.0,0.0,0.0,1.59,0,0,0,2020-05-27,https://pdf.dfcfw.com/pdf/H2_AN202005261380263567_1.pdf,3,7f723ce6352c6fb8032aa499a680d982b93d85464881b3af353368de58668c09,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000333,2021-06-02,1.600585,0.0,0.0,0.0,1.57,0,0,0,2021-05-26,https://pdf.dfcfw.com/pdf/H2_AN202105261494005519_1.pdf,4,3ae86625494a29dbf4f5032d366698e9c428a93811083c57230420f76670ee1c,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000333,2022-06-02,1.700894,0.0,0.0,0.0,1.67,0,0,0,2022-05-27,https://pdf.dfcfw.com/pdf/H2_AN202205261568037907_1.pdf,4,716fafb0e4163618ab0251d31033271a05a1639e81ad153addd08c71fb4f3b29,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000333,2023-06-01,2.5,0.0,0.0,0.0,2.45,0,0,0,2023-05-25,https://pdf.dfcfw.com/pdf/H2_AN202305241587147839_1.pdf,3,a7229455f23fb8364a3a5730ea3ab76cf5c7b1ffa60f9d5d7dc06ec219a9dcd6,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000333,2024-05-15,3.0,0.0,0.0,0.0,2.9791154,0,0,0,2024-05-09,https://pdf.dfcfw.com/pdf/H2_AN202405081632672875_1.pdf,1;3,c0cab0c355c20c4dbb3510dba55b0645185866696d99a16a87ff3c887a540f34,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000333,2025-06-12,3.5,0.0,0.0,0.0,3.4788428,0,0,0,2025-06-06,https://pdf.dfcfw.com/pdf/H2_AN202506051685353982_1.pdf,1;3,d9bb47f27deb4b2eb3fce504509d826c2fa6df3f17664feab24b5e0e2ddfbe3c,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000333,2025-11-18,0.5,0.0,0.0,0.0,0.4902212,0,0,0,2025-11-12,https://pdf.dfcfw.com/pdf/H2_AN202511111779427574_1.pdf,1;3,9f994668dbc5e1e4583e0536bdc7c0b88f3b45d7749851010960a69971e712b3,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000338,2022-08-26,0.185,0.0,0.0,0.0,0.1828659,0,0,0,2022-08-19,https://pdf.dfcfw.com/pdf/H2_AN202208181577348580_1.pdf,1;4,93e9f957e7cfbf9e17a755f593f908cfbaba4fcf3f1c6006abf98b21c0b14dea,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000338,2022-10-21,0.096,0.0,0.0,0.0,0.0947650,0,0,0,2022-10-14,https://pdf.dfcfw.com/pdf/H2_AN202210131579133107_1.pdf,1;5,78a1bb285be1080dd25b893823d81e4e18283768bb7cada3e298203b285cbc84,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000338,2023-08-25,0.158,0.0,0.0,0.0,0.1559674,0,0,0,2023-08-18,https://pdf.dfcfw.com/pdf/H2_AN202308171595017666_1.pdf,1;4,e2bf0939a2cbccf1095f9aba65af7f94b64a898952c9c41c77198edf2cfecacc,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000338,2023-10-27,0.226,0.0,0.0,0.0,0.2230926,0,0,0,2023-10-20,https://pdf.dfcfw.com/pdf/H2_AN202310191602096337_1.pdf,1;4,7637eec360861f5ccced5551e40797e3fc108eb042d27b0679eb62e191ea7fa4,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000338,2024-06-28,0.293,0.0,0.0,0.0,0.2926114,0,0,0,2024-06-21,https://pdf.dfcfw.com/pdf/H2_AN202406201636709614_1.pdf,1;4,29aff03c31705af9f565fd870e29bb755be14c5b23702704deea80e89b94a67c,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
000338,2024-10-18,0.372,0.0,0.0,0.0,0.3715066,0,0,0,2024-10-11,https://pdf.dfcfw.com/pdf/H2_AN202410101640249964_1.pdf,1;5,6c077d96db2e813d83131c24b44c13e1afab787bd128694817615cd128ec612e,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
