group,arm,metric,level_median,paired_delta_median,positive_starts,finite_starts
full,STOPMAX,持仓数中位,6.0,-1.0,1,14
full,STOPMAX,单票权重中位,0.6000985,-0.028298500000000004,0,14
full,STOPMAX,单票权重P90,0.6657795,-0.06673800000000008,0,14
full,STOPMAX,单票权重最大,0.8398680000000001,-0.07799650000000002,0,14
full,STOPMAX,前三权重中位,1.2034985,-0.22067400000000004,0,14
full,STOPMAX,单票超60%天数占比,0.5005565,-0.19585799999999998,0,14
full,STOPMAX,滚动3年年化中位,0.24420350000000002,-0.229709,0,14
full,STOPMAX,滚动3年回撤中位,0.35348199999999996,-0.04937649999999999,0,14
full,STOPMAX,滚动3年Calmar中位,0.675353,-0.468632,0,14
full,STOPMAX,滚动3年Sharpe中位,0.695066,-0.3218195000000001,0,14
full,STOPMAX,滚动3年为负的窗口占比,0.0098125,0.008778000000000001,12,14
full,STOPMAX,滚动5年年化中位,0.2628765,-0.221966,0,14
full,STOPMAX,滚动5年年化P25,0.2059565,-0.21228399999999997,0,14
full,STOPMAX,滚动5年年化最差,0.12774,-0.13138,2,14
full,STOPMAX,滚动5年回撤中位,0.409859,-0.03316000000000002,5,14
full,STOPMAX,滚动5年Calmar中位,0.62523,-0.48738599999999993,0,14
full,STOPMAX,滚动5年Sharpe中位,0.720941,-0.3249345,0,14
full,STOPMAX,滚动5年为负的窗口占比,0.0,0.0,0,14
full,STOPMAX,滚动5年窗口数,102.0,0.0,0,14
full,STOPMAX,互不重叠5年块中位,0.33921999999999997,-0.268448,0,14
full,STOPMAX,滚动10年年化中位,0.243367,-0.22280700000000003,0,14
full,STOPMAX,滚动10年窗口数,42.0,0.0,0,14
full,STOPMAX,逐年收益中位,0.208343,-0.21681449999999997,0,14
full,STOPMAX,逐年为正比例,0.7207794999999999,-0.087121,0,14
full,STOPMAX,逐年最差,-0.18534,-0.019304500000000016,3,14
full,STOPMAX,完整自然年数,12.5,0.0,0,14
full,STOPMAX,强平次数,0.0,0.0,0,14
full,STOPMAX,最低担保比例,2.202455,0.3264165,14,14
full,STOPMAX,最低股票同跌缓冲,0.40975,0.10269999999999999,14,14
full,STOPMAX,最低总资产冲击缓冲,0.40975,0.10269999999999999,14,14
full,STOPMAX,rf覆盖率,1.0,0.0,0,14
full,STOPMAX,年化_交易日口径,0.28581999999999996,-0.17744149999999997,0,14
full,STOPMAX,最低担保比例日,20210929.0,10606.0,13,14
full,STOPMAX,最低股票同跌缓冲日,20210929.0,10606.0,13,14
full,STOPMAX,滚动5年年化最差窗口末日,20200529.0,0.0,5,14
full,STOPMAX,最大回撤起日,20210922.0,60495.0,10,14
full,STOPMAX,最大回撤止日,20221124.0,60594.0,12,14
full,STOPMAX,末次净值日,20260828.0,0.0,0,14
full,STOPMAX,最低现金,0.0,0.0,0,14
full,STOPMAX,负现金日数,0.0,0.0,0,14
full,STOPMAX,最低现金日,20181072.5,154.5,7,14
full,STOPMAX,滚动5年窗口年化,,-0.24510347015,0,14
A,BASE,年化,0.5487055000000001,0.0,0,14
A,BASE,最大回撤,0.4950715,0.0,0,14
A,BASE,Sharpe,1.257836,0.0,0,14
A,BASE,Calmar,1.09753,0.0,0,14
A,BASE,平均仓位,1.5203535000000001,0.0,0,14
A,BASE,年均换手,5.982939,0.0,0,14
A,BASE,持仓数中位,6.75,0.0,0,14
A,BASE,单票权重中位,0.6066940000000001,0.0,0,14
A,BASE,单票权重P90,0.7238640000000001,0.0,0,14
A,BASE,单票权重最大,0.964394,0.0,0,14
A,BASE,前三权重中位,1.345876,0.0,0,14
A,BASE,单票超60%天数占比,0.5593795,0.0,0,14
A,BASE,滚动3年年化中位,0.5175734999999999,0.0,0,14
A,BASE,滚动3年回撤中位,0.41131249999999997,0.0,0,14
A,BASE,滚动3年Calmar中位,1.252142,0.0,0,14
A,BASE,滚动3年Sharpe中位,1.2531185,0.0,0,14
A,BASE,滚动3年为负的窗口占比,0.0,0.0,0,14
A,BASE,滚动5年年化中位,0.6023054999999999,0.0,0,14
A,BASE,滚动5年年化P25,0.43432950000000003,0.0,0,14
A,BASE,滚动5年年化最差,0.241812,0.0,0,14
A,BASE,滚动5年回撤中位,0.487803,0.0,0,14
A,BASE,滚动5年Calmar中位,1.276531,0.0,0,14
A,BASE,滚动5年Sharpe中位,1.2823775,0.0,0,14
A,BASE,滚动5年为负的窗口占比,0.0,0.0,0,14
A,BASE,滚动5年窗口数,102.0,0.0,0,14
A,BASE,互不重叠5年块中位,0.7013294999999999,0.0,0,14
A,BASE,滚动10年年化中位,0.516955,0.0,0,14
A,BASE,滚动10年窗口数,42.0,0.0,0,14
A,BASE,逐年收益中位,0.484476,0.0,0,14
A,BASE,逐年为正比例,0.8,0.0,0,14
A,BASE,逐年最差,-0.259924,0.0,0,14
A,BASE,完整自然年数,12.5,0.0,0,14
A,BASE,强平次数,0.0,0.0,0,14
A,BASE,最低担保比例,1.8840344999999998,0.0,0,14
A,BASE,最低股票同跌缓冲,0.3099915,0.0,0,14
A,BASE,最低总资产冲击缓冲,0.3099915,0.0,0,14
A,BASE,rf覆盖率,1.0,0.0,0,14
A,BASE,年化_交易日口径,0.55043,0.0,0,14
A,BASE,最低担保比例日,20200323.0,0.0,0,14
A,BASE,最低股票同跌缓冲日,20200323.0,0.0,0,14
A,BASE,滚动5年年化最差窗口末日,20190779.5,0.0,0,14
A,BASE,最大回撤起日,20180730.0,0.0,0,14
A,BASE,最大回撤止日,20190103.0,0.0,0,14
A,BASE,末次净值日,20260828.0,0.0,0,14
A,BASE,最低现金,0.0,0.0,0,14
A,BASE,负现金日数,0.0,0.0,0,14
A,BASE,最低现金日,20135814.0,0.0,0,14
A,BASE,滚动5年窗口年化,,0.0,0,14
A,STOPMAX,年化,0.2700825,-0.256963,0,14
A,STOPMAX,最大回撤,0.442702,-0.051809999999999995,0,14
A,STOPMAX,Sharpe,0.7764040000000001,-0.429515,0,14
A,STOPMAX,Calmar,0.610409,-0.439876,0,14
A,STOPMAX,平均仓位,1.214127,-0.2981355,0,14
A,STOPMAX,年均换手,22.7459105,16.714612,14,14
A,STOPMAX,持仓数中位,6.0,-1.0,0,14
A,STOPMAX,单票权重中位,0.5974079999999999,-0.010245000000000004,0,14
A,STOPMAX,单票权重P90,0.6557925,-0.068224,0,14
A,STOPMAX,单票权重最大,0.8443505,-0.12015200000000004,0,14
A,STOPMAX,前三权重中位,1.180186,-0.1637995,0,14
A,STOPMAX,单票超60%天数占比,0.4838475,-0.08542950000000002,0,14
A,STOPMAX,滚动3年年化中位,0.22350399999999998,-0.29499549999999997,0,14
A,STOPMAX,滚动3年回撤中位,0.355256,-0.05375150000000001,0,14
A,STOPMAX,滚动3年Calmar中位,0.6401224999999999,-0.6100669999999999,0,14
A,STOPMAX,滚动3年Sharpe中位,0.679454,-0.5782885,0,14
A,STOPMAX,滚动3年为负的窗口占比,0.0,0.0,0,14
A,STOPMAX,滚动5年年化中位,0.27553249999999996,-0.320586,0,14
A,STOPMAX,滚动5年年化P25,0.1907585,-0.2431645,0,14
A,STOPMAX,滚动5年年化最差,0.0501705,-0.192448,3,14
A,STOPMAX,滚动5年回撤中位,0.362037,-0.1139955,1,14
A,STOPMAX,滚动5年Calmar中位,0.6698805,-0.5895715000000001,0,14
A,STOPMAX,滚动5年Sharpe中位,0.787555,-0.48954100000000006,0,14
A,STOPMAX,滚动5年为负的窗口占比,0.0,0.0,0,14
A,STOPMAX,滚动5年窗口数,102.0,0.0,0,14
A,STOPMAX,互不重叠5年块中位,0.316855,-0.3898255,0,14
A,STOPMAX,滚动10年年化中位,0.2474915,-0.26462050000000004,0,14
A,STOPMAX,滚动10年窗口数,42.0,0.0,0,14
A,STOPMAX,逐年收益中位,0.4218515,-0.1752045,2,14
A,STOPMAX,逐年为正比例,0.7207794999999999,-0.08012799999999998,0,14
A,STOPMAX,逐年最差,-0.289929,-0.028797500000000004,1,14
A,STOPMAX,完整自然年数,12.5,0.0,0,14
A,STOPMAX,强平次数,0.0,0.0,0,14
A,STOPMAX,最低担保比例,2.2516475,0.3676959999999999,14,14
A,STOPMAX,最低股票同跌缓冲,0.42264500000000005,0.11269350000000003,14,14
A,STOPMAX,最低总资产冲击缓冲,0.42264500000000005,0.11269350000000003,14,14
A,STOPMAX,rf覆盖率,1.0,0.0,0,14
A,STOPMAX,年化_交易日口径,0.270948,-0.257841,0,14
A,STOPMAX,最低担保比例日,20200228.0,-95.0,0,14
A,STOPMAX,最低股票同跌缓冲日,20200228.0,-95.0,0,14
A,STOPMAX,滚动5年年化最差窗口末日,20200529.0,24151.0,9,14
A,STOPMAX,最大回撤起日,20210913.0,30183.0,14,14
A,STOPMAX,最大回撤止日,20221124.0,31021.0,14,14
A,STOPMAX,末次净值日,20260828.0,0.0,0,14
A,STOPMAX,最低现金,-0.0,0.0,0,14
A,STOPMAX,负现金日数,0.0,0.0,0,14
A,STOPMAX,最低现金日,20220701.0,24902.5,8,14
A,STOPMAX,滚动5年窗口年化,,-0.3056028598,0,14
U,BASE,年化,0.4809725,0.0,0,14
U,BASE,最大回撤,0.4950715,0.0,0,14
U,BASE,Sharpe,1.1610445,0.0,0,14
U,BASE,Calmar,0.9620495,0.0,0,14
U,BASE,平均仓位,1.5222695000000002,0.0,0,14
U,BASE,年均换手,5.753247,0.0,0,14
U,BASE,持仓数中位,6.5,0.0,0,14
U,BASE,单票权重中位,0.611165,0.0,0,14
U,BASE,单票权重P90,0.719409,0.0,0,14
U,BASE,单票权重最大,0.9473095,0.0,0,14
U,BASE,前三权重中位,1.361414,0.0,0,14
U,BASE,单票超60%天数占比,0.5968264999999999,0.0,0,14
U,BASE,滚动3年年化中位,0.4646,0.0,0,14
U,BASE,滚动3年回撤中位,0.4014785,0.0,0,14
U,BASE,滚动3年Calmar中位,1.126098,0.0,0,14
U,BASE,滚动3年Sharpe中位,1.1435935,0.0,0,14
U,BASE,滚动3年为负的窗口占比,0.0,0.0,0,14
U,BASE,滚动5年年化中位,0.47671300000000005,0.0,0,14
U,BASE,滚动5年年化P25,0.38698299999999997,0.0,0,14
U,BASE,滚动5年年化最差,0.24562499999999998,0.0,0,14
U,BASE,滚动5年回撤中位,0.487803,0.0,0,14
U,BASE,滚动5年Calmar中位,1.044012,0.0,0,14
U,BASE,滚动5年Sharpe中位,1.1602345,0.0,0,14
U,BASE,滚动5年为负的窗口占比,0.0,0.0,0,14
U,BASE,滚动5年窗口数,102.0,0.0,0,14
U,BASE,互不重叠5年块中位,0.6113545,0.0,0,14
U,BASE,滚动10年年化中位,0.44163949999999996,0.0,0,14
U,BASE,滚动10年窗口数,42.0,0.0,0,14
U,BASE,逐年收益中位,0.45637150000000004,0.0,0,14
U,BASE,逐年为正比例,0.8,0.0,0,14
U,BASE,逐年最差,-0.259924,0.0,0,14
U,BASE,完整自然年数,12.5,0.0,0,14
U,BASE,强平次数,0.0,0.0,0,14
U,BASE,最低担保比例,2.0044044999999997,0.0,0,14
U,BASE,最低股票同跌缓冲,0.35142799999999996,0.0,0,14
U,BASE,最低总资产冲击缓冲,0.35142799999999996,0.0,0,14
U,BASE,rf覆盖率,1.0,0.0,0,14
U,BASE,年化_交易日口径,0.482453,0.0,0,14
U,BASE,最低担保比例日,20200323.0,0.0,0,14
U,BASE,最低股票同跌缓冲日,20200323.0,0.0,0,14
U,BASE,滚动5年年化最差窗口末日,20181228.0,0.0,0,14
U,BASE,最大回撤起日,20180730.0,0.0,0,14
U,BASE,最大回撤止日,20190103.0,0.0,0,14
U,BASE,末次净值日,20260828.0,0.0,0,14
U,BASE,最低现金,0.0,0.0,0,14
U,BASE,负现金日数,0.0,0.0,0,14
U,BASE,最低现金日,20131109.5,0.0,0,14
U,BASE,滚动5年窗口年化,,0.0,0,14
U,STOPMAX,年化,0.182321,-0.2807655,0,14
U,STOPMAX,最大回撤,0.5880045,0.09300749999999997,14,14
U,STOPMAX,Sharpe,0.582237,-0.543891,0,14
U,STOPMAX,Calmar,0.30957650000000003,-0.628305,0,14
U,STOPMAX,平均仓位,1.1944025,-0.322688,0,14
U,STOPMAX,年均换手,19.9796015,14.0326305,14,14
U,STOPMAX,持仓数中位,5.0,-1.0,0,14
U,STOPMAX,单票权重中位,0.6009089999999999,-0.010086499999999998,0,14
U,STOPMAX,单票权重P90,0.650605,-0.06897949999999997,0,14
U,STOPMAX,单票权重最大,0.7556025,-0.192266,0,14
U,STOPMAX,前三权重中位,1.1878574999999998,-0.17116450000000005,0,14
U,STOPMAX,单票超60%天数占比,0.5100125,-0.08192549999999998,0,14
U,STOPMAX,滚动3年年化中位,0.1322605,-0.32391499999999995,0,14
U,STOPMAX,滚动3年回撤中位,0.354978,-0.0506385,5,14
U,STOPMAX,滚动3年Calmar中位,0.36794000000000004,-0.732457,0,14
U,STOPMAX,滚动3年Sharpe中位,0.4612565,-0.682337,0,14
U,STOPMAX,滚动3年为负的窗口占比,0.18733450000000001,0.1843705,14,14
U,STOPMAX,滚动5年年化中位,0.106243,-0.370932,0,14
U,STOPMAX,滚动5年年化P25,0.038476,-0.3570995,0,14
U,STOPMAX,滚动5年年化最差,-0.0768765,-0.32563549999999997,0,14
U,STOPMAX,滚动5年回撤中位,0.485211,-0.009721499999999994,7,14
U,STOPMAX,滚动5年Calmar中位,0.23826950000000002,-0.8057425,0,14
U,STOPMAX,滚动5年Sharpe中位,0.385641,-0.7852994999999999,0,14
U,STOPMAX,滚动5年为负的窗口占比,0.147186,0.147186,14,14
U,STOPMAX,滚动5年窗口数,102.0,0.0,0,14
U,STOPMAX,互不重叠5年块中位,0.1978075,-0.4123215,0,14
U,STOPMAX,滚动10年年化中位,0.1201825,-0.32128249999999997,0,14
U,STOPMAX,滚动10年窗口数,42.0,0.0,0,14
U,STOPMAX,逐年收益中位,0.198895,-0.271254,0,14
U,STOPMAX,逐年为正比例,0.6396105000000001,-0.16025599999999995,0,14
U,STOPMAX,逐年最差,-0.32107949999999996,-0.06117350000000002,0,14
U,STOPMAX,完整自然年数,12.5,0.0,0,14
U,STOPMAX,强平次数,0.0,0.0,0,14
U,STOPMAX,最低担保比例,2.2777760000000002,0.27021050000000013,14,14
U,STOPMAX,最低股票同跌缓冲,0.429268,0.07704850000000002,14,14
U,STOPMAX,最低总资产冲击缓冲,0.429268,0.07704850000000002,14,14
U,STOPMAX,rf覆盖率,1.0,0.0,0,14
U,STOPMAX,年化_交易日口径,0.1829935,-0.281681,0,14
U,STOPMAX,最低担保比例日,20210929.0,10606.0,13,14
U,STOPMAX,最低股票同跌缓冲日,20210929.0,10606.0,13,14
U,STOPMAX,滚动5年年化最差窗口末日,20230131.0,48903.0,12,14
U,STOPMAX,最大回撤起日,20201123.0,20393.0,14,14
U,STOPMAX,最大回撤止日,20221124.0,31021.0,14,14
U,STOPMAX,末次净值日,20260828.0,0.0,0,14
U,STOPMAX,最低现金,0.0,0.0,0,14
U,STOPMAX,负现金日数,0.0,0.0,0,14
U,STOPMAX,最低现金日,20136112.5,0.0,5,14
U,STOPMAX,滚动5年窗口年化,,-0.39041762738999997,0,14
