security_code,security_name,attention_class,quality_tier,q2_moat_score,q1_business_model_score,quality_score,primary_strategy_tag,moat_summary,capital_replicability,peer_comparison,garbage_reason,boundary_recheck_trigger,tier_reason,q2_reason,q3_capital_allocation_score,q4_management_score,credibility_deduction,flags,score_reason,evidence_status,evidence_note,score_version,scored_at,prior_tier,score_batch,watch_action,evidence_sources,decision_log_summary,analysis_batch_id,reviewed_at_utc,workflow_version,evidence_available_at,q1_reason,q2_moat_type,q2_erosion_paths,q3_reason,q4_reason,tactical_thesis,l4_since
000063,中兴通讯,worth_attention,L2,74,58,65.8,D-产业链爆发/关键瓶颈型,电信设备全球前四寡头（格局固化）+5G专利与自研芯片纵深+运营商绑定，AI服务器/算力第二曲线放量；前瞻侵蚀：运营商资本开支下行（利润-33%）、华为全面覆盖、服务器低毛利稀释利润率。,专利/研发规模/运营商关系难复制，全球寡头格局封闭，测试通过。,全球寡头第四、国内第二（华为未上市）；NM4.2%盈利质量为寡头组最弱。,,2026年报毛利率仍<28%或ROE<8%→按§5.5重判载体（已登记，维持）；新增：2026年报经营活动现金流净额为负、或连续两年低于归母净利的50%→按§3.1复核Q1地板，并同步核Q2是否仍≥72（Q1已58，Q2若跌破72即触L3）。,护城河强（Q2=74）足以倚仗，但生意模式塌陷（Q1=58）——降一档不越档,,62,62,0,short_board(Q1),Q1 运营商招标制+必须持续巨额研发；Q2 全球四寡头+专利池真实；Q4 计2018制裁违规史,reexamined_no_source,2026H1 逐家核对（2026-08-30）：营收 780.25 亿(+9.0%)、归母 27.53 亿(-45.6%)、ROE 3.65%（25H1 6.85%）、毛利 25.48%（25H1 32.45%）——定档断言「电信设备寡头格局固化＋AI服务器第二曲线放量」在中报中一半兑现一半承压：营收+9.0%证实服务器放量且设备份额未失；毛利32.45→25.48（−6.97pt）、ROE 6.85→3.65、每股经营现金流−0.03，说明第二曲线是以利润率与营运资本为代价换取的规模。断言未被推翻——载体是设备格局与专利池而非当期毛利；但tier_reason_pool中「护城河强(Q2=74)、生意模式塌陷(Q1=58)、降一档不越档」的判断被中报进一步坐实，Q1侧已无缓冲。服务器业务毛利率与应收账款账龄中报未单独拆分，为待核验项。 ｜ 按 §10.7 偏差模式复检（未取外部新证）：**模式1**。电信设备**全球四寡头之一**+5G 专利池，原判仅记招标制与研发投入而未计全球四寡头格局。72→74,v0.4,2026-07-31,L2,anchor,maintain(旧L2),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新,电信设备全球寡头+算力第二曲线，运营商开支下行利润-33%为周期折扣，维持L2下沿。,tier_rebuild_202607_b08,2026-08-30T00:00:00Z,a-share-selection-operation-v4.96,2026-08-22,运营商招标制+必须持续巨额研发（Q1=58 塌陷，short_board 旗标）；NM 4.2% 寡头组最弱、利润 −33%,事实标准与技术代际（电信设备全球四寡头+5G 专利池+自研芯片纵深；华为全面覆盖）,运营商资本开支下行（利润-33%）、华为全面覆盖、服务器低毛利稀释利润率。,AI 服务器/算力第二曲线放量但低毛利稀释利润率——再投资路径,计 2018 制裁违规史,,
000333,美的集团,worth_attention,L2,77,74,78.1,A-DCF/现金流复利型,全球白电龙头：品牌矩阵+全球渠道+规模成本+T+3供应链效率，ToB第二引擎（库卡机器人/楼宇/工业技术）打开空间；前瞻侵蚀：白电需求地产关联与海外关税，ToB整合执行风险。,品牌/规模/渠道/全球制造网络数十年沉淀不可速成，测试通过。,家电三巨头之首：对照格力多元化与治理优、对照海尔盈利效率优（NM9.8%对6.7%）；全球对照惠而浦/伊莱克斯全面胜出。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,全球家电规模+效率；成熟品类竞争激烈、小米进入,78,88,0,"erosion_path(低端,中)",Q4 接近满分（何享健→方洪波交接为A股治理典范）；Q1/Q2 成熟品类竞争+小米进入,reexamined_no_source,2026H1 机械核对（2026-08-30）：营收 2610.52 亿(+3.5%)、归母 264.46 亿(+1.7%)、ROE 11.33%（25H1 11.29%）、毛利 25.26%（25H1 25.62%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ 按 §10.7 偏差模式复检（未取外部新证）：模式1。家电**全球规模第一梯队**+效率与供应链+ToB 转型（库卡/楼宇）。76→77,v0.4,2026-07-31,L1,anchor,maintain(旧L1),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新,全球白电平台+ToB第二引擎，ROE19.7%、收入+12%、现金流强，规模效率治理三优，家电业唯一L1，维持核心候选锚点。,tier_rebuild_202607_b01,2026-08-30T00:00:00Z,a-share-selection-operation-v4.96,2026-08-29,全球白电规模+T+3 供应链效率，NM 9.8% 家电三巨头最优；成熟品类竞争+小米进入,成本与规模优势（全球规模+供应链效率）+ 品牌与心智（品牌矩阵+全球渠道）,"[旗标 低端,中] 白电需求地产关联与海外关税，ToB整合执行风险。",ToB 第二引擎（库卡/楼宇/工业技术）并购再投资打开空间，整合执行风险在检——混合路径,何享健→方洪波交接为 A 股治理典范，Q4 接近满分,,
000338,潍柴动力,worth_attention,L2,74,62,71.0,C-GARP成长型,重卡发动机第一（份额约三成）+凯傲/林德叉车全球第一+大缸径发动机（数据中心备电）增量，动力总成规模技术配套壁垒；前瞻侵蚀：重卡周期、新能源重卡对内燃机替代（潍柴亦布局）、KION欧洲经营波动。,发动机规模技术与整车配套绑定+全球叉车份额，难复制，测试通过。,重卡链核心（对照重汽整车位置更上游+多元化）；ROE12.1%，大缸径为结构性增量。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,74,74,0,,重卡发动机份额+大缸径高毛利+凯傲全球布局；Q3 大缸径再投回报好,reexamined_no_source,2026H1 机械核对（2026-08-30）：营收 1231.63 亿(+8.8%)、归母 77.01 亿(+36.5%)、ROE 8.00%（25H1 6.29%）、毛利 21.46%（25H1 22.18%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ 按 §10.7 偏差模式复检（未取外部新证）：模式1。重卡发动机国内份额第一+**大缸径发动机全球领先**（高毛利、数据中心与船机需求）+凯傲全球布局。72→74,v0.4,2026-07-31,L2,B11机械,upgrade(旧L3),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新,重卡发动机第一+叉车全球第一+大缸径增量，周期与替代为折扣，由L3升L2。,tier_rebuild_202607_b10,2026-08-30T00:00:00Z,a-share-selection-operation-v4.96,2026-08-28,重卡周期敞口；发动机份额约三成+大缸径高毛利结构性增量，ROE 12.1%,成本与规模优势（动力总成规模技术配套壁垒）+ 事实标准与技术代际（大缸径发动机全球领先+凯傲/林德叉车全球第一）,重卡周期、新能源重卡对内燃机替代（潍柴亦布局）、KION欧洲经营波动。,大缸径（数据中心备电）再投回报好——再投资路径,,,
000408,藏格矿业,worth_attention,L2,77,62,66.0,F-垄断资源型,察尔汗钾肥+低成本盐湖锂+巨龙铜业30%权益（紫金操盘的世界级斑岩铜矿），紫金入主后治理与资源运营强化；前瞻侵蚀：钾锂价格周期、巨龙为参股非控股、历史大股东占用前科（已整改+控制权已变更）。,察尔汗盐湖与巨龙铜权益不可复制，测试通过。,对照盐湖股份：钾体量小但锂成本与铜权益弹性优；ROE24.7%+利润+49%盈利质量组内领先。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,察尔汗采矿权+巨龙铜矿权益，资源硬；治理为独立扣分项,70,58,-3,governance_open_issue,察尔汗采矿权+巨龙铜矿权益资源硬；Q4 实控人历史违规与资金占用前科；麻米措推进慢,reexamined_no_source,2026H1 机械核对（2026-08-30）：营收 20.65 亿(+23.0%)、归母 36.38 亿(+102.1%)、ROE 21.19%（25H1 12.27%）、毛利 66.69%（25H1 56.66%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ 按 §10.7 偏差模式复检（未取外部新证）：模式不适用。察尔汗采矿权+巨龙铜矿权益，77 合理；治理问题由独立旗标与扣分承担。维持,v0.4,2026-07-31,L2,B5资源,maintain(旧L2),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新,察尔汗钾+盐湖锂+巨龙铜权益三重资源，紫金入主治理强化，ROE24.7%；参股结构与周期为折扣，维持L2。,tier_rebuild_202607_b02,2026-08-30T00:00:00Z,a-share-selection-operation-v4.96,2026-08-11,钾锂大宗价格承受者；ROE 24.7%+利润 +49% 盈利质量组内领先；巨龙为参股非控股,资源地理独占（察尔汗采矿权+低成本盐湖锂+巨龙铜业 30% 权益）,钾锂价格周期、巨龙为参股非控股、历史大股东占用前科（已整改+控制权已变更）。,,实控人历史违规与资金占用前科（已整改+控制权变更，governance_open_issue）,,
000423,东阿阿胶,worth_attention,L2,76,78,75.2,A-DCF/现金流复利型,阿胶品类=东阿品牌的心智垄断+传承品牌+驴皮资源掌控，2019去库存危机后定价体系重建并验证恢复；前瞻侵蚀：品类年轻化与滋补需求变迁、单品类依赖。,传承品牌与品类心智不可购买，同仁堂/福牌多年未撼动其定价基准地位，测试通过。,滋补品类垄断度对照片仔癀（行政独占）低一档，对照华润江中同为品类垄断型但弹性更大；ROE16.7%+双位数增长验证修复。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,74,70,0,,品牌+驴皮资源约束真实，但曾因提价过度崩盘证明可替代；华润入主后分红提升,reexamined_no_source,2026H1 机械核对（2026-08-30）：营收 31.55 亿(+3.4%)、归母 8.60 亿(+5.7%)、ROE 8.12%（25H1 7.73%）、毛利 74.82%（25H1 73.13%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ 按 §10.7 偏差模式复检（未取外部新证）：模式2。阿胶**品类心智独占**+驴皮资源约束（毛驴存栏长期下降），品类小不减心智锁；曾因提价过度崩盘证明有上限。74→76，维持 L2。,v0.4,2026-07-31,L2,B2中药,maintain(旧L2),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新,阿胶品类心智垄断经2019崩盘-重建完整验证，当前ROE16.7%、收入利润双位数增长，定价权恢复；单品类空间与代际需求为持续折扣，维持L2。,tier_rebuild_202607_b01,2026-08-30T00:00:00Z,a-share-selection-operation-v4.96,2026-08-21,2019 去库存危机后定价体系重建并验证恢复（ROE 16.7%+双位数增长）；单品类依赖，曾因提价过度崩盘证明有上限,品牌与心智（阿胶品类=东阿品牌）+ 资源地理独占（驴皮资源掌控、毛驴存栏长期下降）,品类年轻化与滋补需求变迁、单品类依赖。,华润入主后分红提升——返还路径为主,,,
000425,徐工机械,worth_attention,L2,72,60,65.6,C-GARP成长型,起重机全球第一+全品类工程机械+混改治理改善；前瞻侵蚀：行业同质竞争无定价权、国企应收与回款质量、对照三一效率差距。,规模品牌渠道难复制，但行业内多寡头同质竞争，测试部分通过。,锚点对照三一（L2锚）：盈利质量（NM6.6%对9.5%）与国际化效率低一档。,,,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,,70,72,-3,short_board(Q1),品类最全+海外扩张，与三一并列；强周期+信用销售应收重,corrected,2026H1 机械核对（2026-08-30）：营收 612.47 亿(+11.7%)、归母 39.62 亿(-9.1%)、ROE 6.33%（25H1 7.15%）、毛利 22.12%（25H1 22.03%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ **2026 全球工程机械第 3**（销售额 143.68 亿美元），品类最全。与三一同属全球第一梯队，Q2 66→72、Q1 58→60。**升 L2**。,v0.4,2026-07-31,L3,B11机械,upgrade(旧L4),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新,起重机全球第一但对照三一效率低一档，周期上行为战术理由，由L4升L3。,tier_rebuild_202607_b10,2026-08-30T00:00:00Z,a-share-selection-operation-v4.96,2026-08-29,行业同质竞争无定价权、国企应收与回款质量（Q1=60，short_board 旗标）；NM 6.6% 对三一 9.5% 低一档,成本与规模优势（全球工程机械第 3、起重机全球第一、品类最全）,行业同质竞争无定价权、国企应收与回款质量、对照三一效率差距。,,混改治理改善,,
000426,兴业银锡,worth_attention,L2,,,66,F 资源NAV型,银漫矿业为国内最大单体银矿之一（银铅锌锡多金属），25年报 ROE19.6%、**毛利57.6%**，矿石品位高使成本处行业低位；锡与银均属稀缺小金属；前瞻侵蚀：单一矿山依赖度高、金属价格周期、安全生产历史需持续关注,防4 资源三要素齐备（稀缺+低成本已由毛利率验证+储量规模足）,,,,,,,,,,,,2026H1 机械核对（2026-08-30）：营收 42.82 亿(+73.1%)、归母 22.63 亿(+184.4%)、ROE 21.32%（25H1 9.58%）、毛利 68.75%（25H1 56.90%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持,,,,,,,,,2026-08-30T00:00:00Z,a-share-selection-operation-v4.96,2026-08-29,金属价格周期主导；矿石品位高使成本处行业低位，ROE 19.6%/毛利 57.6%（2025 年报）,资源地理独占（银漫矿业国内最大单体银矿之一、银铅锡多金属稀缺；单一矿山依赖度高）,单一矿山依赖度高、金属价格周期、安全生产历史需持续关注,,安全生产历史需持续关注,,
000538,云南白药,worth_attention,L1,83,80,74.9,A-DCF/现金流复利型,国家保密配方（法律独占）+白药品牌+牙膏第一份额；前瞻侵蚀：牙膏份额被云南白药自身增长天花板压制，药品板块增长平庸，多元化（医美/资管）执行风险。,保密配方为行政独占，品牌心智不可复制，测试通过。,保密配方双垄断对照片仔癀同源但产品带更宽、增长更稳；经营效率（ROE13%）对照华润三九略低。,,,通道A 护城河型：Q2=83 Q1=80,国家保密配方（法定，保护级别低于绝密）+ 牙膏品牌心智,62,62,0,governance_open_issue,国家保密配方法定独占+牙膏高毛利复购；Q3/Q4 炒股巨亏与董事长被查是资本配置与治理重大污点,verified_with_caveat,2026H1 机械核对（2026-08-30）：营收 218.84 亿(+2.9%)、归母 37.01 亿(+1.9%)、ROE 9.04%（25H1 9.09%）、毛利 30.06%（25H1 30.86%）——未命中恶化预筛（归母同比≤−30%／转亏／毛利同比降≥5pp／ROE 腰斩／营收同比≤−20%），定档断言未逐条复核，维持 ｜ 保密配方与牙膏 25% 份额行业第一确认。但牙膏营收年均增长仅约 1.5%，2026-2028 预计年均 2%，「市场增长触达天花板」；证券投资 2021 年末累计亏损约 19.29 亿、2022 年再亏 6.09 亿。护城河完好（增长见顶不构成侵蚀路径），Q2=83 成立；资本配置与治理之差已由 Q3=62/Q4=62 与参考分 74.9（L1 内倒数第二）如实反映——这正是两输出设计要捕捉的信息。,v0.4,2026-07-31,L2,B2中药,maintain(旧L2),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新,保密配方+牙膏第一+传承品牌三重护城河明确，混改后治理修复、利润+8.5%；增长平庸与资本配置前科为折扣，维持L2。,tier_rebuild_202607_b01,2026-08-30T00:00:00Z,a-share-selection-operation-v4.96,2026-08-29,牙膏第一份额（25%）高毛利复购；牙膏营收年均增长仅约 1.5% 触及天花板，药品板块增长平庸，多元化执行风险,行政法律独占（国家保密配方）+ 品牌与心智,牙膏份额被云南白药自身增长天花板压制，药品板块增长平庸，多元化（医美/资管）执行风险。,证券投资 2021 年末累计亏损约 19.29 亿、2022 再亏 6.09 亿——资本配置重大污点,董事长被查，治理重大污点（governance_open_issue）,,
000568,泸州老窖,worth_attention,L2,86,80,80.7,A-DCF/现金流复利型,400年连续使用老窖池物理独占+国窖1573高端品牌；前瞻侵蚀：高端三强末位库存与价格压力最大，腰部产品竞争烈度高。,连续使用老窖池的时间资产无法复制，测试通过。,高端白酒第三，品牌力与渠道弱于茅五，2026Q1收入-17.5%显示下行弹性大；对照汾酒的增长韧性亦弱。,,2026 年报营收同比仍差于山西汾酒 15pp 以上，或 ROE 低于 12% → 按 §3.1 复核是否继续降档；连续两年企稳且 ROE 回到 20% 以上 → 复核回 L1,L2：未过 L1（侵蚀路径已成立且已兑现），未触发 L3（Q2=86 ≥ 72、非 dominated）。侵蚀路径已兑现：已登记的「高端三强末位库存与价格压力最大」不再是前瞻风险——2026H1 营收 −36.4%／归母 −43.4%、ROE 15.4%→8.6%，两年口径（2026H1 对 2024H1，避开 2025 崩塌基数）：泸州老窖 营收 −38.1%／归母 −45.9%；同为 L1 的 贵州茅台 +10.6%／+6.8%、山西汾酒 −7.5%／−23.4%，五粮液 −43.9%／−54.1%。四条判据：①路径具体（高端价位带库存与批价）；②非行业普遍——同档锚点茅台两年仍增长、汾酒仅 −7.5%，老窖跌幅是汾酒的五倍；③中/高概率与影响有事实依据（连续两年下滑、ROE 已腰斩）；④与同档锚点执行一致（茅台维持 L1，五粮液同因已兑现侵蚀另案提请降档）。按 §3.1「L1 须无中/高概率可见侵蚀路径」降 L2；Q2=86 的老窖池物理独占未被推翻，不越档至 L3。,1573国宝窖池连续使用450年；较五粮液品牌位次低半档,76,74,0,"erosion_path(高端价位带库存与批价倒挂,高),special_advantage_check(400年连续使用老窖池物理独占,计入Q2)",1573国宝窖池连续使用450年，真实不可复制；品牌位次第三、腰部竞争；Q4 计信托踩雷史,verified,【2026-08-30 定档变更 L1→L2，用户裁定】侵蚀路径已兑现：已登记的「高端三强末位库存与价格压力最大」不再是前瞻风险——2026H1 营收 −36.4%／归母 −43.4%、ROE 15.4%→8.6%，两年口径（2026H1 对 2024H1，避开 2025 崩塌基数）：泸州老窖 营收 −38.1%／归母 −45.9%；同为 L1 的 贵州茅台 +10.6%／+6.8%、山西汾酒 −7.5%／−23.4%，五粮液 −43.9%／−54.1%。四条判据：①路径具体（高端价位带库存与批价）；②非行业普遍——同档锚点茅台两年仍增长、汾酒仅 −7.5%，老窖跌幅是汾酒的五倍；③中/高概率与影响有事实依据（连续两年下滑、ROE 已腰斩）；④与同档锚点执行一致（茅台维持 L1，五粮液同因已兑现侵蚀另案提请降档）。按 §3.1「L1 须无中/高概率可见侵蚀路径」降 L2；Q2=86 的老窖池物理独占未被推翻，不越档至 L3。 ｜ 2026H1 同业对照（补 §5.7 判据二「不是行业普遍风险」，本次新增）：泸州老窖 营收 −36.4%／归母 −43.4%，为全国性名酒中最差（仅好于水井坊 −27.8%／−105.9%）；同期 贵州茅台 +1.3%／−1.9%、五粮液 +20.9%／+89.3% 均未同步下滑，山西汾酒 −12.2%／−24.3%、古井贡酒 −27.0%／−40.9%、洋河股份 −28.8%／−40.1%。ROE 15.4%→8.6%、毛利 87.1%→85.3%。已登记侵蚀路径「高端三强末位」由此同时具备：路径具体、非行业普遍（茅五未同步）、有事实依据；按 §3.1 中/高概率侵蚀路径排除 L1，**提请裁定 L1→L2**。 ｜ 2026H1 逐家核对（2026-08-30）：营收 104.72 亿(-36.4%)、归母 43.39 亿(-43.4%)、ROE 8.62%（25H1 15.42%）、毛利 85.35%（25H1 87.09%）——L1通道A断言（Q2=86、Q1=88且无成立的中/高概率侵蚀路径）中报后须分两侧看。护城河侧未被推翻：毛利85.35%仅降1.74pt，价格体系仍在，营收−36.4%是发货量口径。生意模式侧出现瑕疵：每股经营现金流1.41对每股收益2.95，现金转化不足一半，Q1=88所依据的「预收＋高现金转化」当期不成立（合同负债余额待核验）。已登记侵蚀路径「高端三强末位、库存与价格压力最大」的影响已有事实（连续第二年营收下滑），但§5.7要求路径「不是行业普遍风险」，白酒本轮下行是全行业性的，须以贵州茅台、五粮液同期降幅对照才能判定「末位」差异是否成立——该对照数据不在本批，故本次不下调L1。 ｜ 窖池护城河未受攻击；公司由「渠道压货」转向「消费者开瓶」的五码溯源，简化渠道层级、清理库存以修复价格体系。属主动调整而非护城河受损。Q2=86 成立。,v0.4,2026-08-30,L1,B1消费,downgrade_to_L2(2026-08-30 用户裁定),round1_triage_2026-07 + prior_round_deep_review_2026-06(data/archive/2026-06-two-layer-review) + local_quarterly_panel(data/raw/financials/) + docs/peer-group-calibration; 模型既有知识判断，权威材料需后续刷新,老窖池物理独占+国窖高端品牌成立，但高端三强末位地位使其在缩量周期承受最大价格与库存压力，收入-17.5%；护城河真实、韧性折扣，定L2。,tier_rebuild_202607_b01,2026-08-30T00:00:00Z,a-share-selection-operation-v4.97,2026-08-26,白酒预收先款后货+高毛利+近零维持开支的结构未变，但已实现口径两年腰斩（营收 −38.1%、归母 −45.9%、ROE 30.4→22.7→8.6%），Q1 由 88 下调至 80：结构仍优于多数消费品，但「已实现的赚钱方式」不再支撑 88 分。,资源地理独占（400年连续使用老窖池）+ 品牌与心智,高端三强末位库存与价格压力最大，腰部产品竞争烈度高。,,计信托踩雷史,,
000596,古井贡酒,worth_attention,L2,,,70,A 现金流复利型,徽酒龙头且已全国化，营收 188.3亿、毛利 79.3%、八年 ROE 14.3~26%；年份原浆价格带卡位清晰，产能与品牌均难复制,锚1 提价能力+品牌；资本复制测试通过,,,2026年报营收跌破167亿（回到2022年水平）或毛利率跌破77%（2022年水平）→按§5.5重判「年份原浆价格带卡位」载体；ROE连续两年<12%（跌破2022年17.9%再一档）→按§3.1复核Q2是否已<66并提L3；省外收入占比若在2026年报仍未披露，列入§7.4复核待核验项。,,,,,,,,,2026H1 逐家核对（2026-08-30）：营收 101.31 亿(-27.0%)、归母 21.64 亿(-40.9%)、ROE 8.42%（25H1 13.82%）、毛利 80.33%（25H1 79.87%）——定档断言「徽酒龙头且已全国化、年份原浆价格带卡位清晰、产能与品牌均难复制」在本轮下行期首次得到真实检验，结论是断言成立：毛利79.87→80.33逆势上行说明价格带没有被击穿；营收−27.0%的降幅小于同批泸州老窖的−36.4%，行业校准档案中「强区域龙头、下行期韧性未证」这一保留条款被中报部分证实为有韧性。两点保留：一是2025年ROE 14.3%已是五年最低、26H1折年约16.8%，回报在收敛；二是「全国化」这半个断言无法从中报验证，省内外分区收入拆分为关键待核验项。,,,,,,,,,2026-08-30T00:00:00Z,a-share-selection-operation-v4.96,2026-08-29,营收 188.3 亿、毛利 79.3%、八年 ROE 14.3~26%；年份原浆价格带卡位清晰,品牌与心智（徽酒龙头已全国化、年份原浆价格带卡位）+ 资源地理独占（产能难复制）,,,,,
