peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
金融-非银行金融-证券,600030,中信证券,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,Direct watch after peer-group company review.,"largest full-service securities platform with A+H listing, institutional franchise, investment banking, wealth management, derivatives and global client coverage","Retained. 中信证券: largest full-service securities platform with A+H listing, institutional franchise, investment banking, wealth management, derivatives and global client coverage triage 66.11; moat 83.00; technology 43.00; market 88.50; quality 67.82; governance 66.00.","Directly retain national leaders with full-service institutional, wealth, investment-bank, derivatives, international, and balance-sheet capability.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600030;https://www.citics.com,2026-06-09T14:34:01+00:00
金融-非银行金融-证券,600061,国投资本,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"国投资本 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis.","Rejected for now. 国投资本: 国投资本 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis. triage 65.29; moat 77.55; technology 48.00; market 77.97; quality 73.14; governance 67.47.",Reject smaller regional or mixed brokerages when brokerage license alone is not enough and stronger retained national platforms already cover the capital-market beta.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600061;https://www.sdiccapital.com,2026-06-09T14:34:01+00:00
金融-非银行金融-证券,000776,广发证券,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"large balanced broker with Bay Area base, wealth and asset-management capabilities, and long operating history","Retained after boundary review. 广发证券: large balanced broker with Bay Area base, wealth and asset-management capabilities, and long operating history triage 64.89; moat 79.39; technology 45.00; market 86.05; quality 69.24; governance 66.49.","Boundary-retain large or differentiated brokers with strong regional ecosystems, technology-led wealth platforms, or distinctive investment-bank/asset-management franchises.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000776;https://www.gf.com.cn,2026-06-09T14:34:01+00:00
金融-非银行金融-证券,600999,招商证券,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"招商局-backed full-license broker with conservative culture, institutional customers and national platform","Retained after boundary review. 招商证券: 招商局-backed full-license broker with conservative culture, institutional customers and national platform triage 63.89; moat 78.78; technology 43.00; market 83.85; quality 68.47; governance 67.10.","Boundary-retain large or differentiated brokers with strong regional ecosystems, technology-led wealth platforms, or distinctive investment-bank/asset-management franchises.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600999;https://www.cmschina.com,2026-06-09T14:34:01+00:00
金融-非银行金融-证券,000783,长江证券,borderline,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"长江证券 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis.","Rejected for now. 长江证券: 长江证券 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis. triage 62.66; moat 76.73; technology 43.00; market 76.17; quality 67.98; governance 68.08.",Reject smaller regional or mixed brokerages when brokerage license alone is not enough and stronger retained national platforms already cover the capital-market beta.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000783;https://www.cjsc.com,2026-06-09T14:34:01+00:00
金融-非银行金融-证券,601108,财通证券,borderline,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"财通证券 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis.","Rejected for now. 财通证券: 财通证券 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis. triage 62.25; moat 78.51; technology 43.00; market 71.77; quality 63.20; governance 69.55.",Reject smaller regional or mixed brokerages when brokerage license alone is not enough and stronger retained national platforms already cover the capital-market beta.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601108;https://www.ctsec.com,2026-06-09T14:34:01+00:00
金融-非银行金融-证券,600909,华安证券,borderline,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"华安证券 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis.","Rejected for now. 华安证券: 华安证券 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis. triage 61.77; moat 74.49; technology 45.00; market 67.68; quality 68.51; governance 68.94.",Reject smaller regional or mixed brokerages when brokerage license alone is not enough and stronger retained national platforms already cover the capital-market beta.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600909;https://www.hazq.com,2026-06-09T14:34:01+00:00
金融-非银行金融-证券,000750,国海证券,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"国海证券 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis.","Rejected for now. 国海证券: 国海证券 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis. triage 59.92; moat 76.47; technology 43.00; market 60.91; quality 58.96; governance 71.63.",Reject smaller regional or mixed brokerages when brokerage license alone is not enough and stronger retained national platforms already cover the capital-market beta.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000750;https://www.ghzq.com.cn,2026-06-09T14:34:01+00:00
金融-非银行金融-证券,601211,国泰海通,reject,watch,direct_watch,analyst_company_by_company_review,Direct watch after peer-group company review.,"merged Guotai Haitong platform creates one of the largest integrated brokerage franchises with scale, institutional coverage and national branch depth","Retained. 国泰海通: merged Guotai Haitong platform creates one of the largest integrated brokerage franchises with scale, institutional coverage and national branch depth triage 59.55; moat 71.80; technology 35.00; market 79.68; quality 71.82; governance 65.24.","Directly retain national leaders with full-service institutional, wealth, investment-bank, derivatives, international, and balance-sheet capability.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601211;https://www.gtht.com,2026-06-09T14:34:01+00:00
金融-非银行金融-证券,601696,中银证券,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"中银证券 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis.","Rejected for now. 中银证券: 中银证券 is a regional, smaller, mixed, or less differentiated brokerage/holding platform; licensing is real but stronger retained national brokers already cover the durable brokerage thesis. triage 59.27; moat 73.27; technology 45.00; market 61.32; quality 61.94; governance 67.96.",Reject smaller regional or mixed brokerages when brokerage license alone is not enough and stronger retained national platforms already cover the capital-market beta.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601696;https://www.bocichina.com,2026-06-09T14:34:01+00:00
