peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
文化传媒-平面媒体-平面媒体,601900,南方传媒,borderline,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"南方传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 南方传媒: 南方传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 60.94; moat 58.08; technology 60.33; market 75.81; quality 56.85; governance 66.46.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601900,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,601921,浙版传媒,borderline,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"浙版传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 浙版传媒: 浙版传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 60.91; moat 61.85; technology 57.48; market 78.88; quality 52.23; governance 69.23.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601921,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,601928,凤凰传媒,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for education publishing and content platform strength,"凤凰传媒 has one of the stronger education publishing, distribution and content platforms among A-share publishers. Growth is limited, but license/channel/content assets justify observation.","Watch. 凤凰传媒: 凤凰传媒 has one of the stronger education publishing, distribution and content platforms among A-share publishers. Growth is limited, but license/channel/content assets justify observation. triage 58.20; moat 57.62; technology 47.86; market 81.92; quality 57.08; governance 67.85.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601928,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,300148,天舟文化,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"天舟文化: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 天舟文化: 天舟文化: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 58.05; moat 51.15; technology 70.57; market 49.96; quality 54.38; governance 70.38.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300148,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,000719,中原传媒,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"中原传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 中原传媒: 中原传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 56.75; moat 47.46; technology 54.81; market 70.27; quality 62.77; governance 66.62.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000719,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,300788,中信出版,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"中信出版: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 中信出版: 中信出版: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 54.89; moat 55.62; technology 50.67; market 61.46; quality 54.77; governance 68.54.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300788,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,601019,山东出版,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"山东出版: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 山东出版: 山东出版: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 54.10; moat 51.23; technology 45.95; market 71.50; quality 56.15; governance 68.46.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601019,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,600373,中文传媒,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"中文传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 中文传媒: 中文传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 53.95; moat 49.31; technology 60.52; market 62.88; quality 45.46; governance 66.15.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600373,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,601858,中国科传,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for science and academic publishing niche,中国科传 has a differentiated science/technology publishing and academic-content role. Specialist content rights make it more defensible than ordinary regional publishers.,Watch. 中国科传: 中国科传 has a differentiated science/technology publishing and academic-content role. Specialist content rights make it more defensible than ordinary regional publishers. triage 53.85; moat 47.77; technology 51.00; market 59.50; quality 55.46; governance 69.62.,Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601858,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,600757,长江传媒,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"长江传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 长江传媒: 长江传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 53.14; moat 45.92; technology 48.90; market 64.12; quality 56.92; governance 68.69.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600757,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,600551,时代出版,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"时代出版: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 时代出版: 时代出版: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 52.91; moat 45.54; technology 56.71; market 61.19; quality 40.08; governance 68.92.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600551,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,603230,内蒙新华,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"内蒙新华: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 内蒙新华: 内蒙新华: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 52.59; moat 51.46; technology 48.00; market 58.69; quality 52.23; governance 66.69.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603230,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,603999,读者传媒,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"读者传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 读者传媒: 读者传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 52.47; moat 53.69; technology 50.00; market 54.69; quality 44.85; governance 71.31.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603999,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,601098,中南传媒,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for education publishing and distribution quality,"中南传媒 has textbook, education publishing, distribution and digital/education services. It is a slow-growth cash-flow business, not a high-growth platform.","Watch. 中南传媒: 中南传媒 has textbook, education publishing, distribution and digital/education services. It is a slow-growth cash-flow business, not a high-growth platform. triage 51.47; moat 47.00; technology 40.24; market 74.54; quality 58.46; governance 66.38.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601098,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,300654,世纪天鸿,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"世纪天鸿: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 世纪天鸿: 世纪天鸿: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 51.36; moat 45.77; technology 59.05; market 39.96; quality 54.00; governance 70.08.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300654,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,601999,出版传媒,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"出版传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 出版传媒: 出版传媒: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 50.98; moat 44.38; technology 55.19; market 55.65; quality 42.46; governance 67.08.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601999,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,301052,果麦文化,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"果麦文化: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 果麦文化: 果麦文化: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 48.24; moat 40.92; technology 54.10; market 42.27; quality 52.62; governance 69.85.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=301052,2026-06-10T00:00:00+00:00
文化传媒-平面媒体-平面媒体,300364,中文在线,reject,reject_for_now,,analyst_company_by_company_review,rejected because publishing/media moat is stable but not differentiated enough,"中文在线: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform.","Reject for now. 中文在线: 中文在线: The company has publishing, textbook, media, newspaper, trade-book, digital-reading, or regional distribution exposure, but the advantage is mainly local license and channel rather than a distinctive national content or education platform. triage 48.15; moat 43.23; technology 56.00; market 47.35; quality 53.00; governance 65.23.",Print-media watchlist inclusion should be sparse; regional licenses alone are not enough without content or education-platform strength.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300364,2026-06-10T00:00:00+00:00
