peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
基础化工-合成纤维及树脂-涤纶,002206,海 利 得,reject,watch,boundary_judged_watch,analyst_company_by_company_review,"retained for industrial polyester, technical textiles and film/material applications rather than commodity filament alone","retained for industrial polyester, technical textiles and film/material applications rather than commodity filament alone","Watch. 海 利 得: retained for industrial polyester, technical textiles and film/material applications rather than commodity filament alone. triage 59.83; moat 56.00; technology 63.56; market 68.70; quality 62.44; governance 69.60.",Polyester names require scale/cost integration or differentiated industrial-material capability; ordinary filament capacity and small differentiated-yarn claims are not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002206;https://www.halead.com,2026-06-10T00:00:00+00:00
基础化工-合成纤维及树脂-涤纶,002493,荣盛石化,reject,watch,direct_watch,analyst_company_by_company_review,retained as an integrated refining-PTA-polyester platform where scale and upstream/downstream integration are materially stronger than ordinary polyester capacity,retained as an integrated refining-PTA-polyester platform where scale and upstream/downstream integration are materially stronger than ordinary polyester capacity,Watch. 荣盛石化: retained as an integrated refining-PTA-polyester platform where scale and upstream/downstream integration are materially stronger than ordinary polyester capacity. triage 59.08; moat 63.00; technology 57.22; market 81.10; quality 46.22; governance 66.00.,Polyester names require scale/cost integration or differentiated industrial-material capability; ordinary filament capacity and small differentiated-yarn claims are not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002493;https://www.cnrspc.com,2026-06-10T00:00:00+00:00
基础化工-合成纤维及树脂-涤纶,002427,尤夫股份,reject,reject,,analyst_company_by_company_review,rejected because industrial-yarn and high-performance-fiber claims are weaker and less validated than retained industrial polyester and integrated-platform peers,rejected because industrial-yarn and high-performance-fiber claims are weaker and less validated than retained industrial polyester and integrated-platform peers,Reject. 尤夫股份: rejected because industrial-yarn and high-performance-fiber claims are weaker and less validated than retained industrial polyester and integrated-platform peers. triage 55.21; moat 53.00; technology 67.00; market 54.30; quality 50.89; governance 68.40.,Polyester names require scale/cost integration or differentiated industrial-material capability; ordinary filament capacity and small differentiated-yarn claims are not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002427;https://www.unifull.com,2026-06-10T00:00:00+00:00
基础化工-合成纤维及树脂-涤纶,603225,新凤鸣,reject,reject,,analyst_company_by_company_review,rejected because polyester-filament scale is meaningful but the thesis is still mostly commodity spread and duplicated by stronger integrated peers,rejected because polyester-filament scale is meaningful but the thesis is still mostly commodity spread and duplicated by stronger integrated peers,Reject. 新凤鸣: rejected because polyester-filament scale is meaningful but the thesis is still mostly commodity spread and duplicated by stronger integrated peers. triage 50.14; moat 46.00; technology 50.33; market 65.90; quality 44.00; governance 66.20.,Polyester names require scale/cost integration or differentiated industrial-material capability; ordinary filament capacity and small differentiated-yarn claims are not enough.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603225;https://www.xinfengming.com,2026-06-10T00:00:00+00:00
基础化工-合成纤维及树脂-涤纶,601233,桐昆股份,reject,watch,boundary_judged_watch,analyst_company_by_company_review,"retained for polyester-filament leadership, PTA integration and broader petrochemical platform exposure, but still commodity-cycle constrained","retained for polyester-filament leadership, PTA integration and broader petrochemical platform exposure, but still commodity-cycle constrained","Watch. 桐昆股份: retained for polyester-filament leadership, PTA integration and broader petrochemical platform exposure, but still commodity-cycle constrained. triage 49.88; moat 47.00; technology 45.44; market 69.90; quality 44.67; governance 66.80.",Polyester names require scale/cost integration or differentiated industrial-material capability; ordinary filament capacity and small differentiated-yarn claims are not enough.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601233;https://www.zjtkgf.com,2026-06-10T00:00:00+00:00
基础化工-合成纤维及树脂-涤纶,002998,优彩资源,reject,reject,,analyst_company_by_company_review,rejected because recycled/differentiated polyester is not enough to create a durable moat versus larger polyester and industrial-material peers,rejected because recycled/differentiated polyester is not enough to create a durable moat versus larger polyester and industrial-material peers,Reject. 优彩资源: rejected because recycled/differentiated polyester is not enough to create a durable moat versus larger polyester and industrial-material peers. triage 49.23; moat 43.00; technology 54.78; market 50.30; quality 51.11; governance 69.20.,Polyester names require scale/cost integration or differentiated industrial-material capability; ordinary filament capacity and small differentiated-yarn claims are not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002998;https://www.elitecolor.cn,2026-06-10T00:00:00+00:00
基础化工-合成纤维及树脂-涤纶,603332,苏州龙杰,reject,reject,,analyst_company_by_company_review,rejected because specialty chemical-fiber capacity is narrow and more easily replicated than retained industrial or integrated polyester platforms,rejected because specialty chemical-fiber capacity is narrow and more easily replicated than retained industrial or integrated polyester platforms,Reject. 苏州龙杰: rejected because specialty chemical-fiber capacity is narrow and more easily replicated than retained industrial or integrated polyester platforms. triage 48.77; moat 41.00; technology 54.67; market 47.10; quality 54.22; governance 70.40.,Polyester names require scale/cost integration or differentiated industrial-material capability; ordinary filament capacity and small differentiated-yarn claims are not enough.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603332;https://www.jslongjie.com,2026-06-10T00:00:00+00:00
基础化工-合成纤维及树脂-涤纶,000703,恒逸石化,reject,reject,,analyst_company_by_company_review,rejected because the integrated polyester/petrochemical thesis is weaker than retained platforms and remains highly commodity-cycle dependent,rejected because the integrated polyester/petrochemical thesis is weaker than retained platforms and remains highly commodity-cycle dependent,Reject. 恒逸石化: rejected because the integrated polyester/petrochemical thesis is weaker than retained platforms and remains highly commodity-cycle dependent. triage 47.74; moat 48.00; technology 46.11; market 67.90; quality 34.00; governance 65.60.,Polyester names require scale/cost integration or differentiated industrial-material capability; ordinary filament capacity and small differentiated-yarn claims are not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000703;https://www.hengyishihua.com,2026-06-10T00:00:00+00:00
基础化工-合成纤维及树脂-涤纶,301057,汇隆新材,reject,reject,,analyst_company_by_company_review,rejected because dope-dyed colored polyester is a niche process but not enough to overcome scale and customer-power disadvantages,rejected because dope-dyed colored polyester is a niche process but not enough to overcome scale and customer-power disadvantages,Reject. 汇隆新材: rejected because dope-dyed colored polyester is a niche process but not enough to overcome scale and customer-power disadvantages. triage 47.60; moat 40.00; technology 54.89; market 39.50; quality 61.33; governance 68.00.,Polyester names require scale/cost integration or differentiated industrial-material capability; ordinary filament capacity and small differentiated-yarn claims are not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=301057;https://www.hljtchina.com,2026-06-10T00:00:00+00:00
基础化工-合成纤维及树脂-涤纶,000936,华西股份,reject,reject,,analyst_company_by_company_review,rejected because chemical fiber plus investment-holding exposure lacks a focused hard-to-copy operating or material capability,rejected because chemical fiber plus investment-holding exposure lacks a focused hard-to-copy operating or material capability,Reject. 华西股份: rejected because chemical fiber plus investment-holding exposure lacks a focused hard-to-copy operating or material capability. triage 47.55; moat 47.00; technology 45.00; market 54.30; quality 51.11; governance 69.80.,Polyester names require scale/cost integration or differentiated industrial-material capability; ordinary filament capacity and small differentiated-yarn claims are not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000936;https://www.jshuaxicun.com,2026-06-10T00:00:00+00:00
