security_code,security_name,exchange,board,industry,listing_date,round1_attention_class,round1_attention_reason,round1_note,round1_reviewed_at_utc,prior_final_decision,prior_watch_selection_route,prior_decision_reason,prior_quality_tier,prior_strategy_tag,prior_tier_reason,prior_valuation_tier,prior_valuation_reason,prior_core_pool_eligible,decision_log_entries,decision_log_last_at_utc
000001,平安银行,SZSE,main_board,J 金融业,1991-04-03,boundary_pending,2026H1 中报复核（2026-08-23）：营收 706.17 亿(+1.8%)、归母 256.96 亿(+3.3%)、ROE 5.2%（25H1 5.2%）、毛利 —%（25H1 —%）——三重门槛为年度口径（营收≥30亿且毛利≥35%且八年回报），H1 不改变判定；维持 boundary_pending。前判（2025年报+2026Q1，2026-08-10）：营收 1314.4亿、毛利缺失；ROE18-25 11/11/10/11/12/11/10/9，近三年中位 10.1%、最低 9.2%——回报结构本身成立，但规模或毛利未达逐家深判门槛,零售资产质量与ROE趋势性改善,2026-08-23T00:00:00+00:00,,,,,,,,,,0,
000002,万  科Ａ,SZSE,main_board,K 房地产,1991-01-29,boundary_pending,住宅开发，25年报净利-885.6亿、ROE-55.4%；地产需求侧总量永久下移（§5.7.3），但行业非结构性绝望且公司仍在经营，不判 garbage,债务风险解除+行业出清后格局复核,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000004,*ST国华,SZSE,main_board,I 信息技术,1990-12-01,boundary_pending,营收 0.0亿、毛利缺失；可得 ROE 仅 0 年（无）,重整或实质主业重建,2026-08-10T00:00:00+00:00,,,,,,,,,,0,
000006,深振业Ａ,SZSE,main_board,K 房地产,1992-04-27,boundary_pending,区域地产，25年报微亏,行业出清后格局复核,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000007,全新好,SZSE,main_board,K 房地产,1992-04-13,boundary_pending,物业管理与酒店，毛利12.4%、ROE1.1%,注入实质资产后复核,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000008,神州高铁,SZSE,main_board,C 制造业,1992-05-07,boundary_pending,轨道交通运维装备，毛利27.0%但ROE-32.0%,盈利转正,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000009,中国宝安,SZSE,main_board,J 金融业,1991-06-25,boundary_pending,控股平台（贝特瑞负极+马应龙等），25年报 ROE2.0%，控股公司折价且主业不聚焦,价值实现/分拆,2026-08-09T00:00:00+00:00,watch,boundary_judged_watch,Watch. 中国宝安: 中国宝安 is retained as a boundary cross-industry holding because battery-material and high-tech asset exposure gives it strategic-material optionality. It is not direct-watch because the thesis is mediated through holdings and conglomerate structure. triage 58.42; moat 69.00; technology 36.33; market 76.00; quality 69.00; governance 68.00.,,,,,,,1,
000010,*ST美丽,SZSE,main_board,E 建筑业,1995-10-27,boundary_pending,环保工程与新能源，毛利7.8%、ROE-12.1%,,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000011,深物业A,SZSE,main_board,K 房地产,1992-03-30,boundary_pending,地产开发，ROE1.0%，中报首亏,行业出清后格局复核,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000012,南  玻Ａ,SZSE,main_board,C 制造业,1992-02-28,boundary_pending,浮法玻璃+光伏玻璃+电子玻璃，25年报 ROE0.9%、中报首亏；地产链需求下行,光伏电子玻璃结构升级与治理稳定后复核,2026-08-09T00:00:00+00:00,watch,direct_watch,"Watch. 南  玻Ａ: 南玻A is retained for its integrated float, engineering, energy-saving, PV, silicon-material, fine-glass and ceramic/new-material platform. The business is cyclical, but the breadth of process assets and high-end glass/material capability is harder to copy than ordinary building glass capacity. triage 59.94; moat 61.89; technology 66.56; market 76.39; quality 51.78; governance 67.33.",,,,,,,1,
000014,沙河股份,SZSE,main_board,K 房地产,1992-06-02,boundary_pending,地产开发，毛利-1.2%为负、ROE-9.7%,行业出清后格局复核,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000016,*ST康佳A,SZSE,main_board,C 制造业,1992-03-27,garbage,彩电与半导体，营收由551亿崩至98亿(-82%)、2022-2025连亏累计约-203亿；峰值期毛利率也仅11%的组装代工，从无护城河,多年掏空/结构性绝望行业: 营收四年下滑82%、连续四年亏损累计约203亿，毛利率长期仅2-5%,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000017,深中华A,SZSE,main_board,C 制造业,1992-03-31,boundary_pending,营收 7.4亿、毛利 10.6%；ROE18-25 -11/-54/42/-20/-14/6/5/11，其中 4 年为负,注入实质资产后复核,2026-08-10T00:00:00+00:00,,,,,,,,,,0,
000019,深粮控股,SZSE,main_board,F 批发零售,1992-10-12,boundary_pending,营收 55.1亿、毛利 16.0%；ROE18-25 8/8/9/9/9/7/7/5，近三年中位 6.7%,无重大变化则维持,2026-08-10T00:00:00+00:00,,,,,,,,,,0,
000020,深华发Ａ,SZSE,main_board,C 制造业,1992-04-28,boundary_pending,2026H1 中报复核（2026-08-23）：营收 3.11 亿(-31.8%)、归母 0.08 亿(-41.4%)、ROE 1.9%（25H1 3.5%）、毛利 13.0%（25H1 12.0%）——H1 ROE 折年约 3.8% 仍低于 10%，回报不足结论不变；维持 boundary_pending。前判（2025年报+2026Q1，2026-08-10）：营收 8.6亿、毛利 11.1%；ROE18-25 1/2/2/2/3/4/10/8，近三年中位 8.4%,注入实质资产后复核,2026-08-23T00:00:00+00:00,,,,,,,,,,0,
000021,深科技,SZSE,main_board,C 制造业,1994-02-02,boundary_pending,营收 157.5亿、毛利 18.3%；ROE18-25 9/5/12/9/7/6/8/9，近三年中位 8.1%,存储封测占比与盈利中枢显著抬升,2026-08-10T00:00:00+00:00,,,,,,,,,,0,
000025,特  力Ａ,SZSE,main_board,F 批发零售,1993-06-21,boundary_pending,2026H1 中报复核（2026-08-23）：营收 2.92 亿(-66.7%)、归母 0.85 亿(+0.8%)、ROE 4.5%（25H1 4.8%）、毛利 43.4%（25H1 16.1%）——H1 ROE 折年约 9.1% 仍低于 10%，回报不足结论不变；维持 boundary_pending。前判（2025年报+2026Q1，2026-08-10）：营收 14.6亿、毛利 17.1%；ROE18-25 9/19/4/10/6/8/8/8，近三年中位 8.1%,无重大变化则维持,2026-08-23T00:00:00+00:00,,,,,,,,,,0,
000026,飞亚达,SZSE,main_board,F 批发零售,1993-06-03,boundary_pending,2026H1 中报复核（2026-08-23）：营收 18.40 亿(+3.2%)、归母 1.01 亿(+21.9%)、ROE 3.0%（25H1 2.4%）、毛利 35.0%（25H1 35.6%）——H1 ROE 折年约 6.0% 仍低于 10%，回报不足结论不变；维持 boundary_pending。前判（2025年报+2026Q1，2026-08-10）：营收 35.1亿、毛利 35.5%；ROE18-25 7/8/11/13/9/10/7/3，近三年中位 6.5%,品牌高端化突破,2026-08-23T00:00:00+00:00,,,,,,,,,,0,
000027,深圳能源,SZSE,main_board,D 水电煤气,1993-09-03,boundary_pending,营收 434.3亿、毛利 20.7%；ROE18-25 3/8/15/7/5/5/4/5，近三年中位 4.5%,现金流/股东回报是否突出,2026-08-10T00:00:00+00:00,watch,boundary_judged_watch,"Retained. 深圳能源: Boundary watch: Shenzhen Energy has a high-load city/Greater Bay Area energy platform plus power, gas, environmental, and renewable assets. It is differentiated from pure thermal generators, but the moat is regional and regulated rather than technology-led. triage 68.93; moat 83.59; technology 46.19; market 78.28; quality 75.93; governance 69.10. Special dimension: 大湾区综合能源平台.",,,,,,,1,
000028,国药一致,SZSE,main_board,F 批发零售,1993-08-09,boundary_pending,营收 734.2亿、毛利 10.7%；ROE18-25 11/10/10/9/10/10/4/6，近三年中位 6.3%,零售/分销份额与盈利质量,2026-08-10T00:00:00+00:00,watch,boundary_judged_watch,"Retained after boundary review. 国药一致: Sinopharm distribution and retail platform with national pharmaceutical-commerce backing and scale, retained as a regulated channel leader rather than a high-margin business. triage 72.44; moat 75.09; technology 75.28; market 82.30; quality 59.09; governance 68.73.",,,,,,,1,
000029,深深房Ａ,SZSE,main_board,K 房地产,1993-09-15,boundary_pending,地产开发与物业，毛利27.9%、ROE2.8%，中报首亏,行业出清后格局复核,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000030,富奥股份,SZSE,main_board,C 制造业,1993-09-29,boundary_pending,营收 174.1亿、毛利 12.4%；ROE18-25 15/14/13/11/7/8/9/9，近三年中位 8.6%,无重大变化则维持,2026-08-10T00:00:00+00:00,,,,,,,,,,0,
000031,大悦城,SZSE,main_board,K 房地产,1993-10-08,boundary_pending,商业地产，25年报净利-23.5亿,商业运营盈利占比与减债验证,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000032,深桑达Ａ,SZSE,main_board,E 建筑业,1993-10-28,boundary_pending,中国电子系IT服务与云，25年报亏损、毛利9.7%,盈利结构改善后复核,2026-08-09T00:00:00+00:00,watch,boundary_judged_watch,"Watch. 深桑达Ａ: retained for China Electronics-backed digital infrastructure and high-tech engineering exposure, while recognizing mixed business quality and transition risk. triage 45.41; moat 48.14; technology 40.12; market 64.91; quality 27.12; governance 67.12.",,,,,,,1,
000034,神州数码,SZSE,main_board,F 批发零售,1994-05-09,boundary_pending,营收 1437.5亿、毛利 3.4%；ROE18-25 14/17/14/4/15/15/8/5，近三年中位 8.5%,信创自研占比与盈利中枢验证,2026-08-10T00:00:00+00:00,,,,,,,,,,0,
000035,中国天楹,SZSE,main_board,N 公共环保,1994-04-08,boundary_pending,营收 52.8亿、毛利 29.2%；ROE18-25 7/7/6/6/1/3/3/3，近三年中位 2.6%,储能商业化验证,2026-08-10T00:00:00+00:00,,,,,,,,,,0,
000036,华联控股,SZSE,main_board,K 房地产,1994-06-17,boundary_pending,地产开发，毛利57.3%但ROE1.4%,行业出清后格局复核,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000037,深南电A,SZSE,main_board,D 水电煤气,1994-07-01,boundary_pending,天然气发电与能源，毛利21.5%、ROE10.3%,无重大变化则维持,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000039,中集集团,SZSE,main_board,C 制造业,1994-04-08,boundary_pending,营收 1566.1亿、毛利 12.4%；ROE18-25 10/4/14/15/7/1/6/0，近三年中位 1.0%,高附加值业务占比/穿越周期盈利,2026-08-10T00:00:00+00:00,watch,direct_watch,"Watch. 中集集团: 中集集团 has global container, logistics equipment, energy/chemical equipment and related manufacturing networks; customer qualification, engineering execution and global service footprint are not quickly replicated by capital alone. triage 61.57; moat 63.00; technology 61.00; market 81.05; quality 41.93; governance 66.80.",,,,,,,1,
000042,中洲控股,SZSE,main_board,K 房地产,1994-09-21,boundary_pending,2026H1 中报核对（2026-08-23）：营收 45.01 亿(+168.4%)、归母 9.89 亿(+421.8%)、ROE 35.0%（25H1 5.7%）、毛利 67.9%（25H1 43.7%）；与 07 月预告「预增」一致（预告 422~422%，实际 422%）——H1 归母 9.9 亿为项目交付结转，地产结构性缩量结论不变；维持 boundary_pending（C 层）。前判（2025年报+26Q1+中报预告，2026-08-09）：地产开发，毛利37.1%但ROE-32.1%,行业出清后格局复核,2026-08-23T00:00:00+00:00,,,,,,,,,,0,
000045,深纺织Ａ,SZSE,main_board,C 制造业,1994-08-15,boundary_pending,营收 32.4亿、毛利 15.0%；ROE18-25 -1/1/1/2/3/3/3/2，近三年中位 2.8%,偏光片放量/盈利,2026-08-10T00:00:00+00:00,watch,boundary_judged_watch,"Retained after boundary review. 深纺织Ａ: Boundary watch: polarizer and optical film products have material-process barriers, but the listed company still has legacy textile/property elements and weaker scale than stronger polarizer peers. triage 69.58; moat 66.56; technology 75.19; market 73.00; quality 57.19; governance 71.44. Special dimension: 偏光片/光学膜.",,,,,,,1,
000048,京基智农,SZSE,main_board,A 农林牧渔,1994-11-01,boundary_pending,生猪+地产双主业，ROE3.6%,养殖成本行业领先验证,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000049,德赛电池,SZSE,main_board,C 制造业,1995-03-20,boundary_pending,2026H1 中报核对（2026-08-23）：营收 107.16 亿(+9.8%)、归母 2.05 亿(+110.4%)、ROE 3.0%（25H1 1.5%）、毛利 9.7%（25H1 9.2%）；与 07 月预告「预增」一致（预告 102~126%，实际 110%）——位置与回报结构结论不变；维持 boundary_pending。前判（2025年报+26Q1+中报预告，2026-08-09）：电池 PACK 封装，毛利9.0%，果链配套,储能/动力放量、客户分散,2026-08-23T00:00:00+00:00,watch,boundary_judged_watch,"Retained after boundary review. 德赛电池: BMS and battery PACK integration leader for consumer electronics, power tools, storage, and NEV applications with global terminal-customer validation and CNAS battery testing capability. triage 75.07; moat 74.97; technology 89.36; market 81.55; quality 50.05; governance 68.00.",,,,,,,1,
000050,深天马Ａ,SZSE,main_board,C 制造业,1995-03-15,boundary_pending,中小尺寸面板，25年报 ROE0.6%，中报预告首亏,车载/专显niche规模与盈利兑现→可升worth_attention,2026-08-09T00:00:00+00:00,watch,direct_watch,"Retained. 深天马Ａ: Direct watch: Tianma has deep small-and-mid-size display, LTPS, AMOLED, automotive, industrial, and professional display capability. It has differentiated positioning versus BOE rather than being a weaker duplicate. triage 73.69; moat 69.38; technology 86.06; market 82.38; quality 59.25; governance 68.06. Special dimension: 中小尺寸/车载/专业显示平台.",,,,,,,1,
000055,方大集团,SZSE,main_board,C 制造业,1996-04-15,boundary_pending,幕墙+地铁屏蔽门，25年报净利-5.2亿,屏蔽门/光伏建筑盈利中枢验证,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000056,*ST皇庭,SZSE,main_board,L 商务服务,1996-07-08,boundary_pending,商业物业运营与地产，毛利25.4%、净利-27.3亿,,2026-08-09T00:00:00+00:00,,,,,,,,,,1,2026-07-10T09:34:52Z
000058,深 赛 格,SZSE,main_board,L 商务服务,1996-12-26,boundary_pending,营收 16.9亿、毛利 26.9%；ROE18-25 1/4/1/2/1/5/2/3，近三年中位 3.3%,无重大变化则维持,2026-08-10T00:00:00+00:00,,,,,,,,,,0,
000059,华锦股份,SZSE,main_board,C 制造业,1997-01-30,boundary_pending,2026H1 中报核对（2026-08-23）：营收 175.11 亿(-12.9%)、归母 3.65 亿(+136.9%)、ROE 3.7%（25H1 -9.4%）、毛利 19.3%（25H1 10.9%）；与 07 月预告「扭亏」一致（预告 135~140%，实际 137%）——位置与回报结构结论不变；维持 boundary_pending。前判（2025年报+26Q1+中报预告，2026-08-09）：炼化+化肥，25年报净利-17.6亿,华锦阿美项目投产后按新资产复核,2026-08-23T00:00:00+00:00,,,,,,,,,,0,
000060,中金岭南,SZSE,main_board,C 制造业,1997-01-23,boundary_pending,铅锌矿采+冶炼，毛利6.5%，自给率与成本未证明领先,低成本资源/储量提升,2026-08-09T00:00:00+00:00,watch,direct_watch,Retained. 中金岭南: integrated multi-metal lead-zinc-copper resource company with internationalized full-chain operations and strong market position. triage 68.08; moat 77.00; technology 67.67; market 81.00; quality 45.83; governance 69.00.,,,,,,,1,
000061,农 产 品,SZSE,main_board,L 商务服务,1997-01-10,boundary_pending,营收 65.3亿、毛利 22.3%；ROE18-25 1/6/6/7/4/7/6/5，近三年中位 6.2%,资产价值释放后复核,2026-08-10T00:00:00+00:00,watch,boundary_judged_watch,Watch. 农 产 品: retained for a national agricultural wholesale-market network and food-supply-chain infrastructure role that is harder to replicate than ordinary retail property. triage 50.08; moat 51.57; technology 36.00; market 75.29; quality 41.29; governance 66.86.,,,,,,,1,
000062,深圳华强,SZSE,main_board,F 批发零售,1997-01-30,boundary_pending,电子元器件分销，毛利8.2%,无重大变化则维持,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000063,中兴通讯,SZSE,main_board,C 制造业,1997-11-18,worth_attention,2026H1 中报复核（2026-08-23）：营收 780.25 亿(+9.0%)、归母 27.53 亿(-45.6%)、ROE 3.6%（25H1 6.8%）、毛利 25.5%（25H1 32.5%）——归母 −45.6%、毛利 32.5→25.5% 为服务器/算力等低毛利业务放量的结构变化，运营商网络设备寡头位置未破坏；维持 worth_attention。登记复核触发：2026 年报毛利率仍 <28% 或 ROE <8% → 按 §5.5 重判载体（池级 L2 分层与参考分由 §7.2 队列复核）。前判（2025年报+2026Q1，2026-08-09）：L2 层，多年 ROE 结构稳定或上升，2025年报与2026Q1 未见护城河损坏,防3.1 ROE 检验通过；维持在池,2026-08-23T00:00:00+00:00,watch,direct_watch,"Retained. 中兴通讯: Global integrated ICT equipment provider serving telecom operators, enterprise/government, and consumers across many countries, with core 5G, transmission, data-center, and communication-system capability. triage 73.88; moat 75.00; technology 79.54; market 86.00; quality 63.13; governance 66.25.",L2,D-产业链爆发/关键瓶颈型,,较高估,FY2025归母-33.3%、2026Q1-46.6%，毛利率持续走低（运营商网络收缩+低毛利算力服务器mix），而PE-TTM 43.3处5年100%分位（历史最高）——利润塌方与估值顶部并存，AI算力叙事未转化为盈利。当前市值已超过修复情形的bull case 2027，定高估，不入池。,yes,211,2026-08-23T21:38:14+00:00
000065,北方国际,SZSE,main_board,F 批发零售,1998-06-05,boundary_pending,营收 135.5亿、毛利 14.3%；ROE18-25 15/16/14/11/9/11/12/7，近三年中位 11.3%、最低 7.3%——回报结构本身成立，但规模或毛利未达逐家深判门槛,无重大变化则维持,2026-08-10T00:00:00+00:00,,,,,,,,,,0,
000066,中国长城,SZSE,main_board,C 制造业,1997-06-26,boundary_pending,信创整机与自主计算，25年报微亏、毛利16.6%,信创放量+盈利改善,2026-08-09T00:00:00+00:00,watch,boundary_judged_watch,Watch. 中国长城: 中国长城有国产整机、信创和PKS生态背景，但经营质量和产品竞争力弱于浪潮、龙芯等更清晰平台。 triage 69.73; moat 71.67; technology 75.17; market 69.17; quality 58.83; governance 67.50.,,,,,,,1,
000068,华控赛格,SZSE,main_board,F 批发零售,1997-06-11,boundary_pending,环保工程与建筑，毛利13.5%、ROE-15.6%,注入实质资产后复核,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000069,华侨城Ａ,SZSE,main_board,K 房地产,1997-09-10,boundary_pending,文旅+地产，25年报净利-145.0亿,地产减包袱+文旅盈利中枢验证,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000070,特发信息,SZSE,main_board,C 制造业,2000-05-11,boundary_pending,光缆+军工电子，毛利17.1%、ROE-39.5%,无重大变化则维持,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000078,ST海王,SZSE,main_board,F 批发零售,1998-12-18,boundary_pending,医药商业流通，营收266.7亿但毛利仅9.2%、ROE-37.1%,摘帽+债务化解,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000088,盐 田 港,SZSE,main_board,G 运输仓储,1997-07-28,boundary_pending,营收 8.6亿、毛利 30.9%；ROE18-25 7/5/5/5/4/9/10/8，近三年中位 8.7%,资产注入/价值实现,2026-08-10T00:00:00+00:00,watch,boundary_judged_watch,Watch. 盐 田 港: 盐田港对应深圳东部深水集装箱门户，码头资产质量和外贸箱源有壁垒；但上市公司资产口径和增长外延需后续深挖。 triage 62.29; moat 76.00; technology 39.29; market 58.00; quality 81.33; governance 71.33.,,,,,,,1,
000089,深圳机场,SZSE,main_board,G 运输仓储,1998-04-20,boundary_pending,2026H1 中报核对（2026-08-23）：营收 26.83 亿(+6.1%)、归母 7.37 亿(+136.0%)、ROE 6.2%（25H1 2.7%）、毛利 24.1%（25H1 24.2%）；与 07 月预告「预增」一致（预告 115~147%，实际 136%）——规制回报/不可判结论不变；维持 boundary_pending。前判（2025年报+26Q1+中报预告，2026-08-09）：机场运营，区位与时刻资源具行政独占性，但航空性收费受民航局管制、免税等非航收入占比低,非航/免税放量；基础设施垄断口径校准,2026-08-23T00:00:00+00:00,watch,boundary_judged_watch,"Retained after boundary review. 深圳机场: Shenzhen airport is a scarce Greater Bay Area aviation asset, but hub overlap and tariff regulation cap conviction. triage 60.93; moat 81.00; technology 35.00; market 70.00; quality 64.50; governance 67.50.",,,,,,,1,
000090,天健集团,SZSE,main_board,E 建筑业,1999-07-21,boundary_pending,2026H1 中报核对（2026-08-23）：营收 65.89 亿(+5.2%)、归母 -3.33 亿(-903.6%)、ROE -3.3%（25H1 0.1%）、毛利 2.3%（25H1 11.1%）；与 07 月预告「首亏」一致（预告 -1017~-776%，实际 -904%）——结构性缩量结论不变；维持 boundary_pending。前判（2025年报+26Q1+中报预告，2026-08-09）：地产+建筑，中报预告首亏,无重大变化则维持,2026-08-23T00:00:00+00:00,,,,,,,,,,0,
000096,广聚能源,SZSE,main_board,F 批发零售,2000-07-24,boundary_pending,成品油与燃气，毛利12.5%、ROE4.1%,无重大变化则维持,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000099,中信海直,SZSE,main_board,G 运输仓储,2000-07-31,boundary_pending,营收 22.4亿、毛利 23.8%；ROE18-25 5/7/6/6/4/5/6/6，近三年中位 5.7%,通航/低空放量、客户分散,2026-08-10T00:00:00+00:00,watch,boundary_judged_watch,Watch. 中信海直: 中信海直是国内少见的上市通用航空和海上直升机服务平台，海油服务、飞行资质和低空经济 optionality 有稀缺性；但市场规模较窄。 triage 61.16; moat 76.00; technology 38.33; market 53.60; quality 82.40; governance 71.40.,,,,,,,1,
000100,TCL科技,SZSE,main_board,C 制造业,2004-01-30,boundary_pending,面板+光伏双主业，25年报 ROE8.0%；面板格局改善但光伏严重过剩拖累,,2026-08-09T00:00:00+00:00,,,,,,,,,,120,2026-08-09T22:17:00+00:00
