market_type,market_label,security_code,security_name,listed_company_name,exchange,industry,peer_groups,final_decision,watch_selection_route,decision_sources,prior_preliminary_attention,decision_reason,capability_assessment,calibrated_standard_implication,triage_score,triage_decision,business_moat_score,technology_barrier_score,market_position_score,business_quality_score,operating_quality_score,industry_outlook_score,governance_risk_score,cyclicality_profile,compounding_profile,source_urls,decided_at_utc,source_decision_files
A_SHARE,A股,600519,贵州茅台,贵州茅台酒股份有限公司,SSE,制造业,食品饮料-饮料-白酒,watch,direct_watch,reviewer_explicit_or_group_rule,core_watch,White liquor deserves attention but long-term growth is not optimistic because younger consumers drink less and future gifting/drinking preferences may shift away from baijiu.,,Baijiu watchlist should be restricted to the strongest national or category leaders with durable brand and channel power.,87.02,challenged,98.00,79.00,95.50,97.58,75.05,76.00,71.68,low_cyclicality,brand_and_origin_compounding,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600519;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600519.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600519.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T00:00:00+00:00,data/processed/a_share_baijiu_peer_group_decisions.csv
A_SHARE,A股,000858,五 粮 液,五 粮 液,SZSE,C 制造业,食品饮料-饮料-白酒,watch,direct_watch,reviewer_explicit_or_group_rule,core_watch,White liquor deserves attention but long-term growth is not optimistic; only the largest leaders justify continued attention.,,Baijiu watchlist should be restricted to the strongest national or category leaders with durable brand and channel power.,85.68,advance_to_deep_review,97.47,86.06,92.13,84.84,54.95,76.00,68.53,low_cyclicality,brand_and_origin_compounding,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000858;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000858.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000858.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-14T00:00:00+00:00,data/processed/a_share_baijiu_peer_group_decisions.csv
A_SHARE,A股,688778,厦钨新能,厦门厦钨新能源材料股份有限公司,SSE,制造业,有色金属-金属非金属新材料-电池材料,watch,direct_watch,analyst_company_by_company_review,advance_to_deep_review,"Retained. 厦钨新能: Direct watch: XTC New Energy has high-end cathode material capability across lithium cobalt oxide and ternary materials, backed by Xiamen Tungsten materials know-how and strong customer validation. It is retained as a high-end cathode specialist, not as generic cathode capacity. triage 83.61; moat 86.71; technology 95.53; market 98.00; quality 60.88; governance 68.47. Special dimension: 高端正极材料平台.","Direct watch: XTC New Energy has high-end cathode material capability across lithium cobalt oxide and ternary materials, backed by Xiamen Tungsten materials know-how and strong customer validation. It is retained as a high-end cathode specialist, not as generic cathode capacity.","Retain additional battery-material companies only when they add a distinct material step, resource/process advantage, customer qualification, or cross-industry material capability not already covered by stronger retained peers.",83.61,advance_to_deep_review,86.71,95.53,98.00,60.88,60.49,72.00,68.47,strategic_critical_material_cycle,resource_technology_optionality,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH688778;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688778.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688778.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T09:53:42+00:00,data/processed/a_share_battery_materials_remaining_peer_group_decisions.csv
A_SHARE,A股,600312,平高电气,河南平高电气股份有限公司,SSE,制造业,电气设备-输变电设备-其他输变电设备,watch,direct_watch,analyst_company_by_company_review,advance_to_deep_review,"Retained. 平高电气: Direct watch: UHV and high-voltage switchgear, GIS, breakers, and control equipment require grid qualification, safety validation, long project references, and state-grid customer trust. This is a true grid-core-equipment moat. triage 82.46; moat 88.26; technology 91.60; market 95.31; quality 65.81; governance 69.44. Special dimension: 特高压/高压开关设备.","Direct watch: UHV and high-voltage switchgear, GIS, breakers, and control equipment require grid qualification, safety validation, long project references, and state-grid customer trust. This is a true grid-core-equipment moat.","Retain power-transmission equipment companies when they own UHV/high-voltage core equipment, full transmission platforms, transformer or tap-changer leadership, inverter/power-electronics platforms, low-voltage electrical brands, or grid-qualified insulation/components that a capital-only entrant cannot quickly replicate.",82.46,advance_to_deep_review,88.26,91.60,95.31,65.81,57.87,68.00,69.44,grid_capex_structural_growth,installed_base_and_engineering_compounding,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600312;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600312.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600312.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T09:22:57+00:00,data/processed/a_share_power_transmission_equipment_peer_group_decisions.csv
A_SHARE,A股,002340,格林美,格林美,SZSE,C 制造业,电池材料与镍钴资源一体化,watch,boundary_judged_watch,analyst_inferred_from_reviewer_standard,watch_if_recycling_loop_accepted,Retained with monitoring. 格林美 is not retained as a stronger precursor peer than 中伟; it is retained for recycling and closed-loop resource recovery. The watch thesis fails if CATL; Huayou; or other giants capture the recycling feedstock channels and compress its economics.,2025 gross margin 14.71%; net margin 4.64%; debt ratio 65.80%. Margins are ordinary but battery recycling depends on channel network; compliant processing qualifications; hydrometallurgy; and customer closed-loop relationships. These are slower to copy than a normal precursor line.,Recycling can qualify when channel control; compliance; processing know-how; and customer closed-loop value are material. Low margin alone is not a rejection if the network is hard to replicate.,82.15,advance_to_deep_review,92.29,89.86,92.00,53.57,57.62,72.00,67.29,strategic_critical_material_cycle,resource_technology_optionality,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002340;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002340.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002340.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00,data/processed/a_share_battery_materials_peer_group_decisions.csv
A_SHARE,A股,300409,道氏技术,道氏技术,SZSE,C 制造业,有色金属-金属非金属新材料-电池材料,watch,boundary_judged_watch,analyst_company_by_company_review,advance_to_deep_review,"Retained. 道氏技术: Boundary watch: cobalt, nickel, manganese, copper and battery-material compounds plus carbon-material exposure create a multi-material platform. It is retained with lower conviction because stronger peers cover precursor/resource leadership and CNT leadership separately. triage 82.01; moat 85.59; technology 95.24; market 85.82; quality 63.47; governance 70.06. Special dimension: 钴镍锰铜材料平台.","Boundary watch: cobalt, nickel, manganese, copper and battery-material compounds plus carbon-material exposure create a multi-material platform. It is retained with lower conviction because stronger peers cover precursor/resource leadership and CNT leadership separately.","Retain additional battery-material companies only when they add a distinct material step, resource/process advantage, customer qualification, or cross-industry material capability not already covered by stronger retained peers.",82.01,advance_to_deep_review,85.59,95.24,85.82,63.47,63.45,72.00,70.06,strategic_critical_material_cycle,resource_technology_optionality,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300409;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300409.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300409.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T09:53:42+00:00,data/processed/a_share_battery_materials_remaining_peer_group_decisions.csv
A_SHARE,A股,601179,中国西电,中国西电电气股份有限公司,SSE,制造业,电气设备-输变电设备-其他输变电设备,watch,direct_watch,analyst_company_by_company_review,advance_to_deep_review,"Retained. 中国西电: Direct watch: transformers, switchgear, HVDC/UHV, power electronics, EPC, and export capability form a full transmission-equipment platform. Scale, qualification, and project references make capital-only entry unrealistic. triage 81.80; moat 85.63; technology 91.98; market 96.80; quality 65.89; governance 69.33. Special dimension: 输配电成套与特高压平台.","Direct watch: transformers, switchgear, HVDC/UHV, power electronics, EPC, and export capability form a full transmission-equipment platform. Scale, qualification, and project references make capital-only entry unrealistic.","Retain power-transmission equipment companies when they own UHV/high-voltage core equipment, full transmission platforms, transformer or tap-changer leadership, inverter/power-electronics platforms, low-voltage electrical brands, or grid-qualified insulation/components that a capital-only entrant cannot quickly replicate.",81.80,advance_to_deep_review,85.63,91.98,96.80,65.89,54.14,68.00,69.33,grid_capex_structural_growth,installed_base_and_engineering_compounding,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH601179;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601179.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601179.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T09:22:57+00:00,data/processed/a_share_power_transmission_equipment_peer_group_decisions.csv
A_SHARE,A股,001257,盛龙股份,盛龙股份,SZSE,B 采矿业,有色金属-稀有金属-其他稀有小金属,watch,boundary_judged_watch,analyst_company_by_company_review,direct_watch,Watch. 盛龙股份: 盛龙股份拥有南泥湖钼矿等矿业权，是国内钼精矿供应商；但上市历史较短、独立长期披露较少，先边界观察。 triage 81.74; moat 82.00; technology 94.00; market 85.20; quality 71.10; governance 70.80.,盛龙股份拥有南泥湖钼矿等矿业权，是国内钼精矿供应商；但上市历史较短、独立长期披露较少，先边界观察。,Boundary retain newly listed resource owners when mine rights are meaningful but public reporting history is short.,81.74,advance_to_deep_review,82.00,94.00,85.20,71.10,71.30,72.00,70.80,strategic_critical_material_cycle,resource_technology_optionality,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001257;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001257.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001257.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=001257;www.lyslgf.cn | https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001257;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001257.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001257.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T11:19:06+00:00,data/processed/a_share_rare_small_metals_remaining_peer_group_decisions.csv
A_SHARE,A股,601033,XD永兴股,广州环投永兴集团股份有限公司,SSE,水利、环境和公共设施管理业,公用事业-环保-环保,watch,boundary_judged_watch,analyst_company_by_company_review,advance_to_deep_review,Retained after boundary review. XD永兴股: Environmental resource-recycling/solid-waste platform with high first-pass scores; retained as a boundary case pending later direct annual-report replacement of aggregator evidence. triage 81.73; moat 83.76; technology 92.02; market 91.39; quality 73.65; governance 68.61.,Environmental resource-recycling/solid-waste platform with high first-pass scores; retained as a boundary case pending later direct annual-report replacement of aggregator evidence.,"Boundary environmental retention is allowed for utility-like concession operators or differentiated membrane/hazardous-waste technology, not generic project contractors.",81.73,advance_to_deep_review,83.76,92.02,91.39,73.65,64.45,68.00,68.61,grid_capex_structural_growth,installed_base_and_engineering_compounding,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH601033;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601033.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601033.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00,data/processed/a_share_environmental_services_peer_group_decisions.csv
A_SHARE,A股,600703,三安光电,三安光电股份有限公司,SSE,制造业,电子设备-光电子器件-LED,watch,direct_watch,analyst_company_by_company_review,advance_to_deep_review,"Retained. 三安光电: Direct watch: Sanan is the LED chip and compound-semiconductor anchor, with epitaxy/chip manufacturing, scale, customer qualification, and optionality in Mini/MicroLED and compound semiconductor platforms. It is not ordinary lighting capacity. triage 81.59; moat 87.00; technology 94.75; market 90.50; quality 53.50; governance 70.00. Special dimension: LED芯片与化合物半导体.","Direct watch: Sanan is the LED chip and compound-semiconductor anchor, with epitaxy/chip manufacturing, scale, customer qualification, and optionality in Mini/MicroLED and compound semiconductor platforms. It is not ordinary lighting capacity.","Retain LED companies when they own LED/compound-semiconductor chip leadership, Mini/MicroLED or packaging technology, global LED display platform capability, or reliable component niches that are not just lighting capacity.",81.59,advance_to_deep_review,87.00,94.75,90.50,53.50,54.33,72.00,70.00,strategic_critical_material_cycle,resource_technology_optionality,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600703;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600703.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600703.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:08:20+00:00,data/processed/a_share_led_peer_group_decisions.csv
