peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
建材-水泥-水泥,600801,华新建材,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,boundary watch for cement plus overseas/new-material/platform optionality,"华新建材 is retained as a boundary cement/building-material platform because overseas expansion, aggregate/new-material exposure, environmental co-processing, and regional strength create a differentiated thesis. It remains below 海螺 because industry cyclicality is still central.","Watch. 华新建材: 华新建材 is retained as a boundary cement/building-material platform because overseas expansion, aggregate/new-material exposure, environmental co-processing, and regional strength create a differentiated thesis. It remains below 海螺 because industry cyclicality is still central. triage 61.78; moat 61.24; technology 64.75; market 77.85; quality 65.29; governance 67.76.",Cement groups should retain only exceptional cost/scale or international/aggregate platforms; ordinary regional cement is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600801,2026-06-10T00:00:00+00:00
建材-水泥-水泥,600668,尖峰集团,reject,reject_for_now,,analyst_company_by_company_review,rejected because cement exposure is regional/cyclical or dominated by retained platforms,"尖峰集团: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms.","Reject for now. 尖峰集团: 尖峰集团: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms. triage 58.46; moat 55.35; technology 71.00; market 59.26; quality 58.71; governance 70.59.",Cement groups should retain only exceptional cost/scale or international/aggregate platforms; ordinary regional cement is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600668,2026-06-10T00:00:00+00:00
建材-水泥-水泥,600585,海螺水泥,reject,watch,direct_watch,analyst_company_by_company_review,"direct watch for exceptional cement cost, scale, and operating discipline","海螺水泥 is retained as the benchmark cement platform because cost, scale, operating discipline, logistics/limestone assets, and long-term industry position are materially stronger than ordinary regional cement peers. Sector headwinds are severe, but this is the clearest exceptional case.","Watch. 海螺水泥: 海螺水泥 is retained as the benchmark cement platform because cost, scale, operating discipline, logistics/limestone assets, and long-term industry position are materially stronger than ordinary regional cement peers. Sector headwinds are severe, but this is the clearest exceptional case. triage 57.80; moat 60.41; technology 49.25; market 81.35; quality 57.53; governance 71.65.",Cement groups should retain only exceptional cost/scale or international/aggregate platforms; ordinary regional cement is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600585,2026-06-10T00:00:00+00:00
建材-水泥-水泥,600449,宁夏建材,reject,reject_for_now,,analyst_company_by_company_review,rejected because cement exposure is regional/cyclical or dominated by retained platforms,"宁夏建材: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms.","Reject for now. 宁夏建材: 宁夏建材: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms. triage 55.22; moat 55.88; technology 57.50; market 66.32; quality 45.41; governance 71.29.",Cement groups should retain only exceptional cost/scale or international/aggregate platforms; ordinary regional cement is rejected.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600449,2026-06-10T00:00:00+00:00
建材-水泥-水泥,000672,上峰水泥,reject,reject_for_now,,analyst_company_by_company_review,rejected because cement exposure is regional/cyclical or dominated by retained platforms,"上峰水泥: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms.","Reject for now. 上峰水泥: 上峰水泥: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms. triage 52.89; moat 47.29; technology 57.12; market 60.91; quality 59.53; governance 68.53.",Cement groups should retain only exceptional cost/scale or international/aggregate platforms; ordinary regional cement is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000672,2026-06-10T00:00:00+00:00
建材-水泥-水泥,002233,塔牌集团,reject,reject_for_now,,analyst_company_by_company_review,rejected because cement exposure is regional/cyclical or dominated by retained platforms,"塔牌集团: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms.","Reject for now. 塔牌集团: 塔牌集团: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms. triage 49.81; moat 43.12; technology 50.25; market 56.91; quality 63.18; governance 71.00.",Cement groups should retain only exceptional cost/scale or international/aggregate platforms; ordinary regional cement is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002233,2026-06-10T00:00:00+00:00
建材-水泥-水泥,000877,天山股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because cement exposure is regional/cyclical or dominated by retained platforms,"天山股份: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms.","Reject for now. 天山股份: 天山股份: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms. triage 49.47; moat 50.82; technology 51.88; market 60.21; quality 46.47; governance 65.71.",Cement groups should retain only exceptional cost/scale or international/aggregate platforms; ordinary regional cement is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000877,2026-06-10T00:00:00+00:00
建材-水泥-水泥,002302,西部建设,reject,reject_for_now,,analyst_company_by_company_review,rejected because cement exposure is regional/cyclical or dominated by retained platforms,"西部建设: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms.","Reject for now. 西部建设: 西部建设: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms. triage 49.36; moat 49.06; technology 59.50; market 56.68; quality 42.35; governance 65.35.",Cement groups should retain only exceptional cost/scale or international/aggregate platforms; ordinary regional cement is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002302,2026-06-10T00:00:00+00:00
建材-水泥-水泥,003037,三和管桩,reject,reject_for_now,,analyst_company_by_company_review,rejected because cement exposure is regional/cyclical or dominated by retained platforms,"三和管桩: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms.","Reject for now. 三和管桩: 三和管桩: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms. triage 49.24; moat 45.47; technology 56.00; market 58.56; quality 49.76; governance 66.41.",Cement groups should retain only exceptional cost/scale or international/aggregate platforms; ordinary regional cement is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=003037,2026-06-10T00:00:00+00:00
建材-水泥-水泥,000401,金隅冀东,reject,reject_for_now,,analyst_company_by_company_review,rejected because cement exposure is regional/cyclical or dominated by retained platforms,"金隅冀东: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms.","Reject for now. 金隅冀东: 金隅冀东: The company has cement, concrete, aggregate, pipe-pile, or regional building-material exposure, but the evidence does not show exceptional cost, scale, international platform, or aggregate/new-material moat strong enough versus retained cement platforms. triage 49.07; moat 46.65; technology 46.88; market 64.68; quality 54.47; governance 67.82.",Cement groups should retain only exceptional cost/scale or international/aggregate platforms; ordinary regional cement is rejected.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000401,2026-06-10T00:00:00+00:00
