security_code,security_name,q1_business_model_score,q2_moat_score,q2_reason,q3_capital_allocation_score,q4_management_score,credibility_deduction,quality_score,quality_tier,tier_reason,prior_tier,primary_strategy_tag,flags,score_reason,batch,evidence_status,evidence_note,evidence_sources,score_version,scored_at
600519,贵州茅台,98,96,,80,75,0,90.15,L1,通道A 护城河型：Q2=96 Q1=98,L1,A-DCF/现金流复利型,,Q1/Q2 双极致：先款后货/零应收/91%毛利/近零维持性开支；品牌+产区+基酒不可买。Q4 计历任董事长贪腐史折扣,anchor,verified,2026 白酒行业深度调整（行业整体价格预计降 30%，次高端与中端调整最显著），但 CR5 集中度由 2025 年 45% 升至 2026 年 50%+，龙头受益。茅台加强控价、增加直营供给。属需求周期与渠道去库存，非护城河受损——与 §5.7.1 规则 1「行业增长走弱不降质量档」一致。无中/高概率侵蚀路径，Q2=96 成立。,sina 2026观察白酒行业格局生变; KPMG 2026中国白酒市场中期研究报告,v0.4,2026-07-31
600900,长江电力,76,97,,85,82,0,87.1,L1,通道A 护城河型：Q2=97 Q1=76,L1,G-股东回报型低估,,Q2 坝址物理唯一+永续特许；Q3 返还路径典范（章程分红≥70%兑现、乌白注入定价合理）；Q1 电价管制无定价权,anchor,verified,六座梯级电站（葛洲坝/三峡/向家坝/溪洛渡/乌东德/白鹤滩），国内水电装机 7169.5 万千瓦；**2026-2030 年分红比例承诺不低于 70%**；2025 六库联调节水增发 140.1 亿千瓦时。坝址物理唯一与返还路径均确认，Q2=97、Q3=85 成立。,2025年年度报告(600900); dfcfw 分红比例承诺公告,v0.4,2026-07-31
000858,五粮液,88,87,明代窖池群不可复制、浓香第一品牌；对照泸州老窖品牌位次略高,76,72,0,82.8,L1,通道A 护城河型：Q2=87 Q1=88,L2,A-DCF/现金流复利型,,Q1 白酒预收+高毛利+近零维持开支；Q2 明代窖池+浓香第一但对照茅台定价权次位；Q4 国企轮换+早年关联占用史,anchor,verified_with_caveat,同白酒行业判断：CR5 集中度上升利好龙头，窖池护城河未受攻击。但五粮液处于价格调整最显著的价格带，阶段性停货保价、批价倒挂持续——属 Q1（已实现经济学结构）压力，Q1=88 或偏高，待下轮复核。Q2=87 成立，不影响 L1 定档。,sina 2026头部酒企规划; cnwinenews.com 白酒业周期筑底,v0.4,2026-07-31
000568,泸州老窖,88,86,1573国宝窖池连续使用450年；较五粮液品牌位次低半档,76,74,0,82.7,L1,通道A 护城河型：Q2=86 Q1=88,L2,A-DCF/现金流复利型,,1573国宝窖池连续使用450年，真实不可复制；品牌位次第三、腰部竞争；Q4 计信托踩雷史,B1消费,verified,窖池护城河未受攻击；公司由「渠道压货」转向「消费者开瓶」的五码溯源，简化渠道层级、清理库存以修复价格体系。属主动调整而非护城河受损。Q2=86 成立。,sina 2026头部酒企规划,v0.4,2026-07-31
688111,金山办公,88,80,信创政策承担主要保护；兼容Office是卖点也意味切出成本低,76,80,0,81.2,L1,通道B 生意模式型：Q2=80 Q1=88,L1,C-GARP成长型,erosion_path(低),Q1 订阅制软件经济学；Q2 弱于表象——兼容Office意味切出成本也低，信创承担主要保护,anchor,corrected,**Q2 打低，「兼容 Office 意味切出成本低」判错**：2026Q1 中国办公软件市场**份额第一 32.1%**，**政企端采购份额常年保持 85% 以上**；国内年度付费个人用户 **4615 万**（+10.67%）、海外 285 万（+63.39%）；**WPS 云文档突破 2900 亿份**——用户数据沉淀本身即切换成本，与「兼容即易切出」相反。WPS AI 月活由 1968 万增至 8013 万（+307%）。微软 Copilot 已降价但仍高于 WPS365 34-55%。77→80，**升 L1（通道B）**。,static.cninfo.com.cn 2026年度提质增效重回报行动方案(688111); 9fzt.com 金山办公信创+AI双翼齐飞,v0.4,2026-07-31
002371,北方华创,72,84,平台广度+客户联合开发+出口管制反向加宽；对标AMAT仍有代差,84,78,0,80.1,L1,通道A 护城河型：Q2=84 Q1=72,L1,D-产业链爆发/关键瓶颈型,,Q2 平台广度+国产替代壁垒+联合开发锁定，出口管制反而加宽；Q1 设备收入lumpy、客户集中,anchor,verified,2025 年跃居全球半导体设备第五（超越 KLA），仅次于 ASML/应用材料/泛林/东京电子；2025 营收 393.53 亿 +30.85%，研发投入超 70 亿。国产替代由政策推动转为市场刚需。「对标AMAT仍有代差」的保留意见成立（国产化率仅 13.6%）。Q2=84 成立。,eet-china.com/news/202602249059,v0.4,2026-07-31
600660,福耀玻璃,70,82,全球单品类30%+份额且主要对手已退出，规模+客户认证双锁,82,88,0,79.9,L1,通道A 护城河型：Q2=82 Q1=70,L1,A-DCF/现金流复利型,,Q4 全池顶级（曹德旺诚信、拒绝多元化、接班明确）；Q2 全球单品类30%+份额；Q1 对强势主机厂,anchor,corrected,**原判措辞有误**：我写「主要对手已退出」，实际 AGC/圣戈班/NSG 均未退出，而是「扩张意愿低、转向盈利改善与运营效率」。四巨头合计份额>75%，福耀 30-35% 且是四家中唯一份额持续提升者。停止扩张≠退出（前者可逆），护城河强度应下调。Q2 83→82，仍在 L1。,东吴证券汽车零部件系列; chyxx.com 汽车玻璃行业报告,v0.4,2026-07-31
600436,片仔癀,84,90,国家绝密配方=法律禁止仿制 + 天然麝香配额，资源与法律双锁；比云南白药「保密配方」高一级,62,64,0,79.0,L1,通道A 护城河型：Q2=90 Q1=84,L2,A-DCF/现金流复利型,,Q2 国家绝密配方（法定独占）+天然麝香配额+品牌三重硬载体；Q3 现金闲置+低分红+多元化平庸,anchor,verified,全国仅两家药企持有国家绝密级配方，片仔癀是唯一工艺与配方「双绝密」的产品；天然麝香国家配额约500kg，公司获约一半（250kg），并控制国内约半数养麝存栏。法律锁确认，Q2=90 成立。成本端麝香40→60万/kg、牛黄57→170万/kg 属 Q1 问题，不构成护城河侵蚀。,thepaper.cn/newsDetail_forward_23091554; cls.cn/detail/1368625,v0.4,2026-07-31
600809,山西汾酒,86,79,清香第一品牌+老作坊；清香壁垒弱于窖池型，全国化依赖渠道,72,72,0,78.3,L1,通道B 生意模式型：Q2=79 Q1=86,L2,A-DCF/现金流复利型,,清香龙头，白酒经济学（预收/高毛利/近零维持开支）好；Q2 清香壁垒弱于窖池型，全国化依赖渠道；Q4 国企轮换,B1消费,corrected,**Q2 打低**：**清香型白酒绝对龙头，品类市占率 60-65%**；2025 营收 387 亿、**行业第三**；全国化已兑现——2025 省内微降 0.81% 而**省外大涨 12.64%**，彻底摆脱对山西本土依赖，「全国化依赖渠道」的判断已过时。77→79，**升 L1（通道B）**。（2026Q1 营收预计 -13%~-10% 属行业深度调整，按白酒行业判断不加侵蚀旗标）,tmtpost.com/8042942 汾酒2026年中观察; stcn.com/article/detail/3871617,v0.4,2026-07-31
688008,澜起科技,80,81,DDR5内存接口三寡头+JEDEC标准参与，逐代重认证,72,76,0,78.2,L1,通道B 生意模式型：Q2=81 Q1=80,L1,D-产业链爆发/关键瓶颈型,,无晶圆厂+60%毛利+JEDEC标准驱动；三寡头逐代重认证；Q3 计津逮CPU失败减值,anchor,verified,全球内存接口芯片市占近 40%，绝对龙头；Rambus/澜起/瑞萨三寡头格局确认；2026-06 第六子代 RCD06 支持 9200MT/s 送样，子代商业化进度持续行业领先。Q2=81 成立。,nbd.com.cn/articles/2026-07-21/4490505; esmchina.com/news/14251,v0.4,2026-07-31
