peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
机械设备-专用设备-农用机械,601038,一拖股份,reject,watch,direct_watch,analyst_company_by_company_review,"retained as the tractor and agricultural-machinery platform with brand, scale, dealer/service network and product breadth","retained as the tractor and agricultural-machinery platform with brand, scale, dealer/service network and product breadth","Watch. 一拖股份: retained as the tractor and agricultural-machinery platform with brand, scale, dealer/service network and product breadth. triage 59.35; moat 52.00; technology 58.56; market 76.25; quality 53.89; governance 67.67.","Agricultural machinery retention requires platform scale, brand/service network, or differentiated global equipment channels; ordinary farm equipment and parts should be rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601038;https://www.first-tractor.com.cn,2026-06-10T00:00:00+00:00
机械设备-专用设备-农用机械,301260,格力博,reject,watch,boundary_judged_watch,analyst_company_by_company_review,"retained for global lithium outdoor-power-equipment channels and product platform, but it is outside the core farm-machinery thesis","retained for global lithium outdoor-power-equipment channels and product platform, but it is outside the core farm-machinery thesis","Watch. 格力博: retained for global lithium outdoor-power-equipment channels and product platform, but it is outside the core farm-machinery thesis. triage 58.50; moat 50.89; technology 61.78; market 61.14; quality 57.67; governance 66.33.","Agricultural machinery retention requires platform scale, brand/service network, or differentiated global equipment channels; ordinary farm equipment and parts should be rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=301260;https://www.greenworkstools.com.cn,2026-06-10T00:00:00+00:00
机械设备-专用设备-农用机械,301533,威马农机,reject,reject,,analyst_company_by_company_review,rejected because small agricultural machinery and general-power products are more replicable by capital and channel spending,rejected because small agricultural machinery and general-power products are more replicable by capital and channel spending,Reject. 威马农机: rejected because small agricultural machinery and general-power products are more replicable by capital and channel spending. triage 56.98; moat 50.56; technology 60.44; market 61.14; quality 55.89; governance 69.67.,"Agricultural machinery retention requires platform scale, brand/service network, or differentiated global equipment channels; ordinary farm equipment and parts should be rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=301533;https://www.weimapower.com,2026-06-10T00:00:00+00:00
机械设备-专用设备-农用机械,300159,*ST新研,reject,reject,,analyst_company_by_company_review,rejected because ST status and mixed agricultural/industrial machinery exposure are not enough versus the retained platform leader,rejected because ST status and mixed agricultural/industrial machinery exposure are not enough versus the retained platform leader,Reject. *ST新研: rejected because ST status and mixed agricultural/industrial machinery exposure are not enough versus the retained platform leader. triage 56.24; moat 46.44; technology 66.00; market 59.36; quality 60.11; governance 68.33.,"Agricultural machinery retention requires platform scale, brand/service network, or differentiated global equipment channels; ordinary farm equipment and parts should be rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300159;https://www.xjjxy.com.cn,2026-06-10T00:00:00+00:00
机械设备-专用设备-农用机械,002931,锋龙股份,reject,reject,,analyst_company_by_company_review,rejected because automotive and outdoor-equipment parts lack standalone machinery-platform moat,rejected because automotive and outdoor-equipment parts lack standalone machinery-platform moat,Reject. 锋龙股份: rejected because automotive and outdoor-equipment parts lack standalone machinery-platform moat. triage 55.90; moat 45.33; technology 61.67; market 53.58; quality 63.89; governance 70.33.,"Agricultural machinery retention requires platform scale, brand/service network, or differentiated global equipment channels; ordinary farm equipment and parts should be rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002931;https://www.fenglong.com,2026-06-10T00:00:00+00:00
机械设备-专用设备-农用机械,300022,吉峰科技,reject,reject,,analyst_company_by_company_review,rejected because agricultural machinery distribution and services are lower-barrier than manufacturing platforms with proprietary products,rejected because agricultural machinery distribution and services are lower-barrier than manufacturing platforms with proprietary products,Reject. 吉峰科技: rejected because agricultural machinery distribution and services are lower-barrier than manufacturing platforms with proprietary products. triage 54.30; moat 52.78; technology 54.00; market 60.69; quality 49.22; governance 65.67.,"Agricultural machinery retention requires platform scale, brand/service network, or differentiated global equipment channels; ordinary farm equipment and parts should be rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300022;https://www.gifore.com,2026-06-10T00:00:00+00:00
机械设备-专用设备-农用机械,300992,泰福泵业,reject,reject,,analyst_company_by_company_review,"rejected because pumps and general equipment are broad and capital-replicable, with no clear agricultural-machinery moat","rejected because pumps and general equipment are broad and capital-replicable, with no clear agricultural-machinery moat","Reject. 泰福泵业: rejected because pumps and general equipment are broad and capital-replicable, with no clear agricultural-machinery moat. triage 54.29; moat 48.67; technology 51.11; market 61.58; quality 55.22; governance 67.00.","Agricultural machinery retention requires platform scale, brand/service network, or differentiated global equipment channels; ordinary farm equipment and parts should be rejected.",true,"https://www.szse.cn/disclosure/listed/notice/index.html?stock=300992;https://www.chinataifu.com,www.chinawaterpump.com",2026-06-10T00:00:00+00:00
机械设备-专用设备-农用机械,002890,弘宇股份,reject,reject,,analyst_company_by_company_review,rejected because hydraulic systems and agricultural parts are component-level and covered by stronger machinery platforms,rejected because hydraulic systems and agricultural parts are component-level and covered by stronger machinery platforms,Reject. 弘宇股份: rejected because hydraulic systems and agricultural parts are component-level and covered by stronger machinery platforms. triage 51.81; moat 46.11; technology 57.22; market 44.69; quality 53.44; governance 69.00.,"Agricultural machinery retention requires platform scale, brand/service network, or differentiated global equipment channels; ordinary farm equipment and parts should be rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002890;https://www.sdhynj.net,2026-06-10T00:00:00+00:00
机械设备-专用设备-农用机械,603789,*ST星农,reject,reject,,analyst_company_by_company_review,rejected because ST status and general agricultural machinery exposure weaken watchlist suitability,rejected because ST status and general agricultural machinery exposure weaken watchlist suitability,Reject. *ST星农: rejected because ST status and general agricultural machinery exposure weaken watchlist suitability. triage 51.23; moat 47.22; technology 63.89; market 43.81; quality 47.00; governance 65.00.,"Agricultural machinery retention requires platform scale, brand/service network, or differentiated global equipment channels; ordinary farm equipment and parts should be rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603789;https://www.xg1688.com,2026-06-10T00:00:00+00:00
机械设备-专用设备-农用机械,920895,花溪科技,reject,reject,,analyst_company_by_company_review,"rejected because small agricultural and livestock machinery lacks scale, brand, or service network advantage versus retained peers","rejected because small agricultural and livestock machinery lacks scale, brand, or service network advantage versus retained peers","Reject. 花溪科技: rejected because small agricultural and livestock machinery lacks scale, brand, or service network advantage versus retained peers. triage 50.36; moat 42.00; technology 58.33; market 40.25; quality 53.67; governance 71.00.","Agricultural machinery retention requires platform scale, brand/service network, or differentiated global equipment channels; ordinary farm equipment and parts should be rejected.",true,https://www.bse.cn/disclosure/announcement.html;https://www.xxhuaxi.com,2026-06-10T00:00:00+00:00
