logged_at_utc,workflow_stage,run_id,as_of,security_code,security_name,decision_type,decision_result,summary_reason,input_files,source_urls,output_file,operator_or_script,workflow_version,decision_id,supersedes_decision_id
,valuation_review,VAL-001,20260612161430,000333,美的集团,valuation_tier,低估 | A-DCF/现金流复利型 | L1-核心候选,"PE约14.3，2026Q1收入/利润同比约12%/14%，ROE约19.7%，现金流和分红回购质量高；以现金流复利型龙头看，当前估值低于其质量。 || 指标: price=83.23, mktcap_100m=5711.45, PE=14.34, PB=2.73, rev_yoy=12.1%, profit_yoy=14.0%, gross=26.4%, net=9.8%, roe=19.7%, cfo/rev=0.1%, peg=trailing_yoy_PEG=1.02",a_share_focus_watchlist_l1_l2_valuation_notes_val001_val005.csv,https://pdf.dfcfw.com/pdf/H3_AP202605121822200727_1.pdf;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225065145&announceTime=1774886400000;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225259066&announceTime=1777478400000,data/processed/a_share_focus_watchlist_l1_l2_valuation.csv,consolidate_valuation_notes (migration),a-share-selection-operation-v5,,
,valuation_review,VAL-001,20260612161418,600519,贵州茅台,valuation_tier,较低估 | A-DCF/现金流复利型 | L1-核心候选,"PE约19.5，ROE约32.5%、净利率约50.5%、现金流和品牌护城河极强；但2026Q1收入/利润同比转负，行业长期低增，按低速FCF和分红看只到较低估，不到深度低估。 || 指标: price=1291.91, mktcap_100m=16149.93, PE=19.52, PB=6.03, rev_yoy=-1.2%, profit_yoy=-4.5%, gross=91.2%, net=50.5%, roe=32.5%, cfo/rev=0.4%, peg=",a_share_focus_watchlist_l1_l2_valuation_notes_val001_val005.csv,https://pdf.dfcfw.com/pdf/H3_AP202605251822844635_1.pdf;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225114741&announceTime=1776355200000;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225187851&announceTime=1777046400000,data/processed/a_share_focus_watchlist_l1_l2_valuation.csv,consolidate_valuation_notes (migration),a-share-selection-operation-v5,,
,valuation_review,VAL-001,20260612161420,600900,长江电力,valuation_tier,中性 | A-DCF/现金流复利型 | L1-核心候选,"水电资产稀缺且现金流质量高，经营现金流/收入约70%；但PE约19.2、PB约3.0，对低增公用事业不便宜，吸引力主要来自稳健而非明显低估。 || 指标: price=28.28, mktcap_100m=6919.61, PE=19.18, PB=3.04, rev_yoy=2.1%, profit_yoy=6.2%, gross=61.7%, net=40.5%, roe=15.9%, cfo/rev=0.7%, peg=trailing_yoy_PEG=3.11",a_share_focus_watchlist_l1_l2_valuation_notes_val001_val005.csv,https://pdf.dfcfw.com/pdf/H3_AP202606011823118724_1.pdf;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225262036&announceTime=1777478400000;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225262110&announceTime=1777478400000,data/processed/a_share_focus_watchlist_l1_l2_valuation.csv,consolidate_valuation_notes (migration),a-share-selection-operation-v5,,
,valuation_review,VAL-002,20260612161439,300124,汇川技术,valuation_tier,较高估 | C-GARP成长型 | L1-核心候选,"PE约38.4，2026Q1收入/利润同比约21.8%/17.8%，平台质量高但PEG偏高；若工业自动化和新能源车业务不能继续上修，当前价格偏贵。 || 指标: price=67.16, mktcap_100m=1618.77, PE=38.36, PB=5.19, rev_yoy=21.8%, profit_yoy=17.8%, gross=29.0%, net=11.5%, roe=16.3%, cfo/rev=0.1%, peg=trailing_yoy_PEG=2.15",a_share_focus_watchlist_l1_l2_valuation_notes_val001_val005.csv,https://pdf.dfcfw.com/pdf/H3_AP202605261822870039_1.pdf;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225208488&announceTime=1777305600000;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225208497&announceTime=1777305600000,data/processed/a_share_focus_watchlist_l1_l2_valuation.csv,consolidate_valuation_notes (migration),a-share-selection-operation-v5,,
,valuation_review,VAL-002,20260612161418,300760,迈瑞医疗,valuation_tier,中性 | C-GARP成长型 | L1-核心候选,"PE约23.4已明显低于历史高位，但2026Q1收入/利润同比约-9%/-30%，采购周期和增长修复仍需验证；按GARP只能给中性，等待业绩企稳后再重评较低估。 || 指标: price=151.04, mktcap_100m=1829.70, PE=23.37, PB=4.74, rev_yoy=-9.4%, profit_yoy=-30.3%, gross=60.3%, net=25.4%, roe=21.6%, cfo/rev=0.3%, peg=",a_share_focus_watchlist_l1_l2_valuation_notes_val001_val005.csv,https://pdf.dfcfw.com/pdf/H3_AP202605071822014423_1.pdf;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225059012&announceTime=1774886400000;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225229244&announceTime=1777392000000,data/processed/a_share_focus_watchlist_l1_l2_valuation.csv,consolidate_valuation_notes (migration),a-share-selection-operation-v5,,
,valuation_review,VAL-002,20260612161431,688111,金山办公,valuation_tier,中性 | C-GARP成长型 | L1-核心候选,"PE约27.5，毛利率约85.9%，订阅和AI办公逻辑强；但2026Q1收入/利润同比约15.8%/11.6%，且利润中需剔除投资收益噪音，估值未到低估。 || 指标: price=215.00, mktcap_100m=996.25, PE=27.45, PB=6.58, rev_yoy=15.8%, profit_yoy=11.6%, gross=85.9%, net=30.7%, roe=15.2%, cfo/rev=0.4%, peg=trailing_yoy_PEG=2.36",a_share_focus_watchlist_l1_l2_valuation_notes_val001_val005.csv,https://pdf.dfcfw.com/pdf/H3_AP202604141821174452_1.pdf;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225032227&announceTime=1774454400000;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225165319&announceTime=1776960000000,data/processed/a_share_focus_watchlist_l1_l2_valuation.csv,consolidate_valuation_notes (migration),a-share-selection-operation-v5,,
,valuation_review,VAL-003,20260612161448,002371,北方华创,valuation_tier,较高估 | D-产业链爆发/关键瓶颈型 | L1-核心候选,"PE约86.7、PB约12.3，收入同比约30.9%但利润同比略降；半导体设备平台价值强，当前估值已要求订单、毛利率和国产替代继续高兑现。 || 指标: price=667.19, mktcap_100m=4832.15, PE=86.73, PB=12.31, rev_yoy=30.9%, profit_yoy=-1.8%, gross=40.1%, net=13.7%, roe=16.4%, cfo/rev=0.1%, peg=",a_share_focus_watchlist_l1_l2_valuation_notes_val001_val005.csv,https://pdf.dfcfw.com/pdf/H3_AP202605061821983893_1.pdf;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225122918&announceTime=1776441600000;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225259650&announceTime=1777478400000,data/processed/a_share_focus_watchlist_l1_l2_valuation.csv,consolidate_valuation_notes (migration),a-share-selection-operation-v5,,
,valuation_review,VAL-003,20260612161445,002594,比亚迪,valuation_tier,较高估 | D-产业链爆发/关键瓶颈型 | L1-核心候选,"PE约30.3，但2026Q1收入/利润同比约3.5%/-19.0%，净利率约4.2%；技术和规模优势仍强，当前估值需要单车利润和海外业务明显修复。 || 指标: price=91.60, mktcap_100m=3193.74, PE=30.31, PB=3.60, rev_yoy=3.5%, profit_yoy=-19.0%, gross=17.7%, net=4.2%, roe=15.3%, cfo/rev=0.1%, peg=",a_share_focus_watchlist_l1_l2_valuation_notes_val001_val005.csv,https://pdf.dfcfw.com/pdf/H3_AP202606031823206367_1.pdf;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225045351&announceTime=1774627200000;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225233071&announceTime=1777392000000,data/processed/a_share_focus_watchlist_l1_l2_valuation.csv,consolidate_valuation_notes (migration),a-share-selection-operation-v5,,
,valuation_review,VAL-003,20260612161451,300274,阳光电源,valuation_tier,中性 | D-产业链爆发/关键瓶颈型 | L1-核心候选,"PE约25.9，利润同比约22.0%、ROE约31.3%，逆变器和储能龙头质量高；但光储竞争、海外政策和储能毛利波动使当前估值大致合理。 || 指标: price=148.76, mktcap_100m=2361.61, PE=25.86, PB=6.53, rev_yoy=14.5%, profit_yoy=22.0%, gross=31.8%, net=15.2%, roe=31.3%, cfo/rev=0.2%, peg=trailing_yoy_PEG=1.18",a_share_focus_watchlist_l1_l2_valuation_notes_val001_val005.csv,https://pdf.dfcfw.com/pdf/H3_AP202605301823094991_1.pdf;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225066678&announceTime=1774972800000;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225208062&announceTime=1777305600000,data/processed/a_share_focus_watchlist_l1_l2_valuation.csv,consolidate_valuation_notes (migration),a-share-selection-operation-v5,,
,valuation_review,VAL-003,20260612161433,300394,天孚通信,valuation_tier,较高估 | D-产业链爆发/关键瓶颈型 | L1-核心候选,"PE约141、PB约56，收入/利润同比约58.8%/50.1%，AI光通信瓶颈强但估值已要求持续高增长和客户订单不断上修。 || 指标: price=280.95, mktcap_100m=3057.83, PE=141.11, PB=56.06, rev_yoy=58.8%, profit_yoy=50.1%, gross=54.0%, net=39.1%, roe=41.9%, cfo/rev=0.4%, peg=trailing_yoy_PEG=2.81",a_share_focus_watchlist_l1_l2_valuation_notes_val001_val005.csv,https://pdf.dfcfw.com/pdf/H3_AP202605311823105371_1.pdf;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225082705&announceTime=1775577600000;https://www.cninfo.com.cn/new/announcement/download?bulletinId=1225128020&announceTime=1776700800000,data/processed/a_share_focus_watchlist_l1_l2_valuation.csv,consolidate_valuation_notes (migration),a-share-selection-operation-v5,,
