security_code,security_name,exchange,board,screen_bucket,screen_decision,quality_tier,strategy_tag,valuation_tier,current_price,pe_ttm,pb,revenue_yoy_pct,profit_yoy_pct,gross_margin_pct,net_margin_pct,cashflow_to_revenue_pct,industry_or_peer_group,monthly_trend_status,research_expectation_status,reason,missing_checks,source_files
688578,艾力斯,SSE,STAR,priority_research_candidate,优先研究候选,L2,C-GARP成长型,较低估,83.05,15.48,5.00,45.80,53.10,96.83,42.20,0.45,医药生物-化学制药-化学制剂,needs_live_kline_confirmation,supported_by_existing_authoritative_review,艾力斯 同时满足已有质量分层较高、2026Q1收入/利润增长较好、估值分档为较低估，符合“小资金优势”框架中的基本面改善+预期差+估值不过热初筛。,必须补充月线6/10/12月均线、近3-6个月相对强弱、最新研报是否继续上修。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688016,心脉医疗,SSE,STAR,priority_research_candidate,优先研究候选,L4,C-GARP成长型,较低估,92.95,19.47,2.80,11.96,12.19,71.08,41.07,0.42,医药生物-医疗器械-高端医械与医疗器械平台,needs_live_kline_confirmation,supported_by_existing_authoritative_review,心脉医疗 同时满足已有质量分层较高、2026Q1收入/利润增长较好、估值分档为较低估，符合“小资金优势”框架中的基本面改善+预期差+估值不过热初筛。,必须补充月线6/10/12月均线、近3-6个月相对强弱、最新研报是否继续上修。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688278,特宝生物,SSE,STAR,priority_research_candidate,优先研究候选,L2,C-GARP成长型,较低估,59.33,23.89,7.17,31.18,24.61,92.96,27.90,0.20,医药生物-生物医药-生物医药,needs_live_kline_confirmation,supported_by_existing_authoritative_review,特宝生物 同时满足已有质量分层较高、2026Q1收入/利润增长较好、估值分档为较低估，符合“小资金优势”框架中的基本面改善+预期差+估值不过热初筛。,必须补充月线6/10/12月均线、近3-6个月相对强弱、最新研报是否继续上修。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688187,时代电气,SSE,STAR,priority_research_candidate,优先研究候选,L3,C-GARP成长型,较低估,53.07,17.41,1.66,15.23,10.64,33.43,15.01,0.14,交运设备-轨道交通设备-轨道交通设备,needs_live_kline_confirmation,supported_by_existing_authoritative_review,时代电气 同时满足已有质量分层较高、2026Q1收入/利润增长较好、估值分档为较低估，符合“小资金优势”框架中的基本面改善+预期差+估值不过热初筛。,必须补充月线6/10/12月均线、近3-6个月相对强弱、最新研报是否继续上修。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688002,睿创微纳,SSE,STAR,priority_research_candidate,优先研究候选,L3,D-产业链爆发/关键瓶颈型,较低估,129.90,41.88,8.48,46.07,97.66,52.51,15.72,0.29,电子设备-红外热成像与特种光电感知,needs_live_kline_confirmation,supported_by_existing_authoritative_review,睿创微纳 同时满足已有质量分层较高、2026Q1收入/利润增长较好、估值分档为较低估，符合“小资金优势”框架中的基本面改善+预期差+估值不过热初筛。,必须补充月线6/10/12月均线、近3-6个月相对强弱、最新研报是否继续上修。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688213,思特威,SSE,STAR,priority_research_candidate,优先研究候选,L3,D-产业链爆发/关键瓶颈型,较低估,87.17,33.51,6.87,51.32,154.94,23.66,11.09,0.01,电子设备-半导体-集成电路,needs_live_kline_confirmation,supported_by_existing_authoritative_review,思特威 同时满足已有质量分层较高、2026Q1收入/利润增长较好、估值分档为较低估，符合“小资金优势”框架中的基本面改善+预期差+估值不过热初筛。,必须补充月线6/10/12月均线、近3-6个月相对强弱、最新研报是否继续上修。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688111,金山办公,SSE,STAR,conditional_candidate,条件候选,L2,C-GARP成长型,中性,215.00,27.45,6.58,15.78,11.63,85.95,30.73,0.42,信息技术-计算机软件-基础软件,needs_live_kline_confirmation,supported_by_existing_authoritative_review,金山办公 业务壁垒较强或长期赛道较好，但当前估值仅中性或利润质量/成长持续性仍需进一步验证，适合等待月线温和上行和预期继续上修。,核对最新月线是否非末端加速；核对研报上修是否来自主业而非一次性收益。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688617,惠泰医疗,SSE,STAR,conditional_candidate,条件候选,L2,C-GARP成长型,中性,205.00,33.47,10.09,25.08,21.91,72.88,31.26,0.37,医药生物-医疗器械-高端医械与医疗器械平台,needs_live_kline_confirmation,supported_by_existing_authoritative_review,惠泰医疗 业务壁垒较强或长期赛道较好，但当前估值仅中性或利润质量/成长持续性仍需进一步验证，适合等待月线温和上行和预期继续上修。,核对最新月线是否非末端加速；核对研报上修是否来自主业而非一次性收益。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688188,柏楚电子,SSE,STAR,conditional_candidate,条件候选,L2,C-GARP成长型,中性,156.38,38.60,7.06,26.52,26.04,77.66,51.49,0.50,信息技术-计算机软件-其他软件服务,needs_live_kline_confirmation,supported_by_existing_authoritative_review,柏楚电子 业务壁垒较强或长期赛道较好，但当前估值仅中性或利润质量/成长持续性仍需进一步验证，适合等待月线温和上行和预期继续上修。,核对最新月线是否非末端加速；核对研报上修是否来自主业而非一次性收益。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688271,联影医疗,SSE,STAR,conditional_candidate,条件候选,L3,C-GARP成长型,中性,114.02,49.51,4.28,33.98,48.14,47.01,13.36,0.19,医药生物-医疗器械-高端医械与医疗器械平台,needs_live_kline_confirmation,supported_by_existing_authoritative_review,联影医疗 业务壁垒较强或长期赛道较好，但当前估值仅中性或利润质量/成长持续性仍需进一步验证，适合等待月线温和上行和预期继续上修。,核对最新月线是否非末端加速；核对研报上修是否来自主业而非一次性收益。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688692,达梦数据,SSE,STAR,conditional_candidate,条件候选,L2,C-GARP成长型,中性,268.26,53.31,8.05,25.03,42.76,96.12,39.44,0.41,信息技术-计算机软件-其他软件服务,needs_live_kline_confirmation,supported_by_existing_authoritative_review,达梦数据 业务壁垒较强或长期赛道较好，但当前估值仅中性或利润质量/成长持续性仍需进一步验证，适合等待月线温和上行和预期继续上修。,核对最新月线是否非末端加速；核对研报上修是否来自主业而非一次性收益。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688301,奕瑞科技,SSE,STAR,conditional_candidate,条件候选,L3,C-GARP成长型,中性,111.90,48.30,5.51,22.90,39.73,51.36,28.09,0.58,医药生物-医疗器械-医疗器械,needs_live_kline_confirmation,supported_by_existing_authoritative_review,奕瑞科技 业务壁垒较强或长期赛道较好，但当前估值仅中性或利润质量/成长持续性仍需进一步验证，适合等待月线温和上行和预期继续上修。,核对最新月线是否非末端加速；核对研报上修是否来自主业而非一次性收益。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688019,安集科技,SSE,STAR,conditional_candidate,条件候选,L2,D-产业链爆发/关键瓶颈型,中性,225.00,62.23,11.37,36.47,46.85,56.72,31.29,0.18,电子设备-半导体-半导体材料,needs_live_kline_confirmation,supported_by_existing_authoritative_review,安集科技 业务壁垒较强或长期赛道较好，但当前估值仅中性或利润质量/成长持续性仍需进一步验证，适合等待月线温和上行和预期继续上修。,核对最新月线是否非末端加速；核对研报上修是否来自主业而非一次性收益。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688235,百济神州,SSE,STAR,conditional_candidate,条件候选,L3,C-GARP成长型,中性,216.36,105.44,10.10,40.46,129.34,87.61,3.82,0.36,医药生物-生物医药-生物医药,needs_live_kline_confirmation,supported_by_existing_authoritative_review,百济神州 业务壁垒较强或长期赛道较好，但当前估值仅中性或利润质量/成长持续性仍需进一步验证，适合等待月线温和上行和预期继续上修。,核对最新月线是否非末端加速；核对研报上修是否来自主业而非一次性收益。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688356,键凯科技,SSE,STAR,conditional_candidate,条件候选,L4,C-GARP成长型,中性,70.03,58.80,3.17,40.13,106.78,63.35,19.39,0.25,医药生物-化学制药-化学辅料药,needs_live_kline_confirmation,supported_by_existing_authoritative_review,键凯科技 业务壁垒较强或长期赛道较好，但当前估值仅中性或利润质量/成长持续性仍需进一步验证，适合等待月线温和上行和预期继续上修。,核对最新月线是否非末端加速；核对研报上修是否来自主业而非一次性收益。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
920186,中科仪,BSE,BSE,bse_pending_candidate,北交所待核验候选,L2,C-GARP成长型,valuation_unavailable,,,,19.30,337.77,26.78,65.35,0.15,机械设备-通用设备-其他通用机械,needs_live_kline_confirmation,supported_by_existing_authoritative_review,中科仪 具备细分壁垒或高增长线索，但北交所流动性、研报覆盖和估值数据不足，不能直接进入优先买入候选。,补充最新价格/成交额、月线趋势、卖方预测变化、年报和一季报逐项核验。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
920509,同惠电子,BSE,BSE,bse_pending_candidate,北交所待核验候选,L2,C-GARP成长型,valuation_unavailable,,,,19.57,36.85,59.51,30.00,0.24,机械设备-通用设备-仪器仪表,needs_live_kline_confirmation,supported_by_existing_authoritative_review,同惠电子 具备细分壁垒或高增长线索，但北交所流动性、研报覆盖和估值数据不足，不能直接进入优先买入候选。,补充最新价格/成交额、月线趋势、卖方预测变化、年报和一季报逐项核验。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
920751,惠同新材,BSE,BSE,bse_pending_candidate,北交所待核验候选,L2,F-垄断资源型,valuation_unavailable,,,,7.03,17.29,40.18,20.17,0.23,有色金属-金属非金属新材料-其他金属新材料,needs_live_kline_confirmation,supported_by_existing_authoritative_review,惠同新材 具备细分壁垒或高增长线索，但北交所流动性、研报覆盖和估值数据不足，不能直接进入优先买入候选。,补充最新价格/成交额、月线趋势、卖方预测变化、年报和一季报逐项核验。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
920982,锦波生物,BSE,BSE,bse_pending_candidate,北交所待核验候选,L2,C-GARP成长型,valuation_unavailable,,,,10.57,-10.95,89.21,40.47,0.39,医药生物-医疗器械-医疗器械,needs_live_kline_confirmation,supported_by_existing_authoritative_review,锦波生物 具备细分壁垒或高增长线索，但北交所流动性、研报覆盖和估值数据不足，不能直接进入优先买入候选。,补充最新价格/成交额、月线趋势、卖方预测变化、年报和一季报逐项核验。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688008,澜起科技,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L3,D-产业链爆发/关键瓶颈型,较高估,224.88,107.46,13.18,49.94,58.35,62.23,39.03,0.37,电子设备-电子设备制造-电子设备制造,needs_live_kline_confirmation,supported_by_existing_authoritative_review,澜起科技 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688012,中微公司,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L1,D-产业链爆发/关键瓶颈型,较高估,303.92,104.35,11.73,36.62,30.69,39.17,16.67,0.19,电子设备-半导体设备,needs_live_kline_confirmation,supported_by_existing_authoritative_review,中微公司 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688041,海光信息,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L2,D-产业链爆发/关键瓶颈型,高估,280.00,238.73,27.70,56.92,31.79,57.83,25.17,0.15,电子设备-半导体-集成电路,needs_live_kline_confirmation,supported_by_existing_authoritative_review,海光信息 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688256,寒武纪,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L2,D-产业链爆发/关键瓶颈型,高估,1240.00,286.75,63.66,453.21,555.24,55.15,31.68,-0.08,电子设备-半导体-集成电路,needs_live_kline_confirmation,supported_by_existing_authoritative_review,寒武纪 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688981,中芯国际,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L2,D-产业链爆发/关键瓶颈型,高估,124.88,198.34,6.68,16.49,36.29,21.62,10.71,0.30,电子设备-半导体-集成电路,needs_live_kline_confirmation,supported_by_existing_authoritative_review,中芯国际 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688200,华峰测控,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L2,D-产业链爆发/关键瓶颈型,较高估,299.98,105.86,14.93,48.72,60.55,73.79,39.82,0.23,电子设备-半导体设备,needs_live_kline_confirmation,supported_by_existing_authoritative_review,华峰测控 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688120,华海清科,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L1,D-产业链爆发/关键瓶颈型,较高估,184.00,82.94,12.01,36.46,5.89,41.81,23.31,0.17,电子设备-半导体设备,needs_live_kline_confirmation,supported_by_existing_authoritative_review,华海清科 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688072,拓荆科技,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L4,D-产业链爆发/关键瓶颈型,较高估,645.18,110.92,25.41,58.87,34.67,34.95,14.03,0.56,电子设备-半导体设备,needs_live_kline_confirmation,supported_by_existing_authoritative_review,拓荆科技 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688809,强一股份,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L3,D-产业链爆发/关键瓶颈型,较高估,569.32,149.65,17.65,57.81,69.43,65.03,39.02,0.38,电子设备-半导体-半导体分立器件,needs_live_kline_confirmation,supported_by_existing_authoritative_review,强一股份 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688498,源杰科技,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L3,D-产业链爆发/关键瓶颈型,高估,1400.01,489.55,70.72,138.50,3212.62,58.11,31.74,0.25,电子设备-电子设备制造-电子设备制造,needs_live_kline_confirmation,supported_by_existing_authoritative_review,源杰科技 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688017,绿的谐波,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L4,C-GARP成长型,高估,351.00,470.55,18.03,47.31,121.42,36.91,22.05,0.27,机械设备-通用设备-其他通用机械,needs_live_kline_confirmation,supported_by_existing_authoritative_review,绿的谐波 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688037,芯源微,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L5,D-产业链爆发/关键瓶颈型,高估,255.59,730.42,18.40,11.11,-64.64,35.39,3.63,0.05,机械设备-专用设备-其他专用机械 | 电子设备-半导体设备,needs_live_kline_confirmation,supported_by_existing_authoritative_review,芯源微 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688361,中科飞测,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L4,D-产业链爆发/关键瓶颈型,高估,226.45,14031.92,15.63,48.75,608.91,49.93,2.86,-0.42,机械设备-专用设备-其他专用机械 | 电子设备-半导体设备,needs_live_kline_confirmation,supported_by_existing_authoritative_review,中科飞测 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688146,中船特气,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L3,D-产业链爆发/关键瓶颈型,高估,302.00,443.95,27.25,15.88,12.43,28.87,15.29,0.30,电子设备-半导体-半导体材料,needs_live_kline_confirmation,supported_by_existing_authoritative_review,中船特气 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
688702,盛科通信,SSE,STAR,excluded_hot_or_overvalued,暂不追高,L4,D-产业链爆发/关键瓶颈型,高估,252.95,-683.31,46.47,6.35,-119.65,49.21,-13.03,0.16,电子设备-半导体-集成电路,needs_live_kline_confirmation,supported_by_existing_authoritative_review,盛科通信 业务质量可能很高，但现有估值分档为较高估或高估，不符合“当前不处于极度高估”的筛选条件。,只有未来盈利/订单继续大幅上修，或价格消化到合理PEG后再重评。,docs/Investment Analysis Framework for Small-Capital Advantages.md;data/processed/a_share_watchlist_quality_tiers.csv;data/processed/a_share_focus_watchlist_l1_l2_valuation.csv;data/interim/a_share_authoritative_review_notes_batch-*.csv
