peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
基础化工-化肥农药-复合肥,002539,云图控股,reject,watch,boundary_judged_watch,analyst_company_by_company_review,retained for compound fertilizer backed by salt and phosphate resources plus integrated phosphorus and soda-ash chemical chain,retained for compound fertilizer backed by salt and phosphate resources plus integrated phosphorus and soda-ash chemical chain,Watch. 云图控股: retained for compound fertilizer backed by salt and phosphate resources plus integrated phosphorus and soda-ash chemical chain. triage 57.62; moat 58.89; technology 60.33; market 76.39; quality 43.33; governance 66.67.,Compound fertilizer inclusion requires resource integration or differentiated fertilizer technology; brand scale alone is not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002539;https://www.wintrueholding.com,2026-06-10T00:00:00+00:00
基础化工-化肥农药-复合肥,002470,金正大,reject,reject,,analyst_company_by_company_review,"rejected because controlled-release fertilizer innovation is visible, but governance/history and channel replicability keep it below retained resource-backed peers","rejected because controlled-release fertilizer innovation is visible, but governance/history and channel replicability keep it below retained resource-backed peers","Reject. 金正大: rejected because controlled-release fertilizer innovation is visible, but governance/history and channel replicability keep it below retained resource-backed peers. triage 54.92; moat 55.56; technology 64.78; market 60.39; quality 46.00; governance 66.00.",Compound fertilizer inclusion requires resource integration or differentiated fertilizer technology; brand scale alone is not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002470;https://www.kingenta.com,2026-06-10T00:00:00+00:00
基础化工-化肥农药-复合肥,000902,新洋丰,reject,watch,boundary_judged_watch,analyst_company_by_company_review,"retained for phosphate-fertilizer leadership, phosphorus new-material optionality and access to large phosphate-resource support","retained for phosphate-fertilizer leadership, phosphorus new-material optionality and access to large phosphate-resource support","Watch. 新洋丰: retained for phosphate-fertilizer leadership, phosphorus new-material optionality and access to large phosphate-resource support. triage 54.05; moat 49.78; technology 52.44; market 69.28; quality 57.56; governance 68.33.",Compound fertilizer inclusion requires resource integration or differentiated fertilizer technology; brand scale alone is not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000902;https://www.yonfer.com,2026-06-10T00:00:00+00:00
基础化工-化肥农药-复合肥,002588,史丹利,reject,reject,,analyst_company_by_company_review,rejected because compound-fertilizer brand and channel scale are not enough without stronger resource or process differentiation,rejected because compound-fertilizer brand and channel scale are not enough without stronger resource or process differentiation,Reject. 史丹利: rejected because compound-fertilizer brand and channel scale are not enough without stronger resource or process differentiation. triage 53.97; moat 48.67; technology 57.00; market 64.83; quality 59.78; governance 67.67.,Compound fertilizer inclusion requires resource integration or differentiated fertilizer technology; brand scale alone is not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002588;https://www.shidanli.cn,2026-06-10T00:00:00+00:00
基础化工-化肥农药-复合肥,002170,芭田股份,reject,watch,boundary_judged_watch,analyst_company_by_company_review,"retained for ecological compound fertilizer plus phosphate-resource and low-carbon fertilizer technology, but kept boundary due fertilizer cyclicality","retained for ecological compound fertilizer plus phosphate-resource and low-carbon fertilizer technology, but kept boundary due fertilizer cyclicality","Watch. 芭田股份: retained for ecological compound fertilizer plus phosphate-resource and low-carbon fertilizer technology, but kept boundary due fertilizer cyclicality. triage 51.19; moat 45.33; technology 49.11; market 54.17; quality 66.00; governance 69.00.",Compound fertilizer inclusion requires resource integration or differentiated fertilizer technology; brand scale alone is not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002170;https://www.batian.com.cn,2026-06-10T00:00:00+00:00
基础化工-化肥农药-复合肥,002758,浙农股份,reject,reject,,analyst_company_by_company_review,rejected because agricultural distribution and commerce scale do not create a durable fertilizer technology or resource moat,rejected because agricultural distribution and commerce scale do not create a durable fertilizer technology or resource moat,Reject. 浙农股份: rejected because agricultural distribution and commerce scale do not create a durable fertilizer technology or resource moat. triage 50.81; moat 52.00; technology 45.00; market 70.17; quality 42.22; governance 66.33.,Compound fertilizer inclusion requires resource integration or differentiated fertilizer technology; brand scale alone is not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002758;https://www.znjtgf.com,2026-06-10T00:00:00+00:00
基础化工-化肥农药-复合肥,002538,ST司特,reject,reject,,analyst_company_by_company_review,rejected because ST status outweighs phosphate/fertilizer assets for first-round watch and stronger resource-backed fertilizer peers exist,rejected because ST status outweighs phosphate/fertilizer assets for first-round watch and stronger resource-backed fertilizer peers exist,Reject. ST司特: rejected because ST status outweighs phosphate/fertilizer assets for first-round watch and stronger resource-backed fertilizer peers exist. triage 47.14; moat 41.22; technology 53.67; market 47.06; quality 46.22; governance 71.00.,Compound fertilizer inclusion requires resource integration or differentiated fertilizer technology; brand scale alone is not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002538;https://www.sierte.com,2026-06-10T00:00:00+00:00
基础化工-化肥农药-复合肥,920159,农大科技,reject,reject,,analyst_company_by_company_review,rejected because humic-acid and controlled-release fertilizer niches are promising but too small and more replicable than retained resource-integrated peers,rejected because humic-acid and controlled-release fertilizer niches are promising but too small and more replicable than retained resource-integrated peers,Reject. 农大科技: rejected because humic-acid and controlled-release fertilizer niches are promising but too small and more replicable than retained resource-integrated peers. triage 46.68; moat 40.11; technology 50.56; market 42.61; quality 49.33; governance 67.00.,Compound fertilizer inclusion requires resource integration or differentiated fertilizer technology; brand scale alone is not enough.,true,https://www.bse.cn/disclosure/announcement.html;https://www.sdndfy.com,2026-06-10T00:00:00+00:00
基础化工-化肥农药-复合肥,300387,富邦科技,reject,reject,,analyst_company_by_company_review,"rejected because digital and biological fertilizer services are early and service-like, without enough durable customer lock-in","rejected because digital and biological fertilizer services are early and service-like, without enough durable customer lock-in","Reject. 富邦科技: rejected because digital and biological fertilizer services are early and service-like, without enough durable customer lock-in. triage 45.98; moat 39.00; technology 54.89; market 38.17; quality 55.56; governance 70.33.",Compound fertilizer inclusion requires resource integration or differentiated fertilizer technology; brand scale alone is not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300387;https://www.forbon.com,2026-06-10T00:00:00+00:00
基础化工-化肥农药-复合肥,002274,华昌化工,reject,reject,,analyst_company_by_company_review,rejected because fertilizer and chemical platform exposure is commodity-heavy and weaker than retained integrated chemical leaders,rejected because fertilizer and chemical platform exposure is commodity-heavy and weaker than retained integrated chemical leaders,Reject. 华昌化工: rejected because fertilizer and chemical platform exposure is commodity-heavy and weaker than retained integrated chemical leaders. triage 43.25; moat 43.44; technology 43.22; market 47.94; quality 34.00; governance 69.67.,Compound fertilizer inclusion requires resource integration or differentiated fertilizer technology; brand scale alone is not enough.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002274;https://www.huachangchem.cn,2026-06-10T00:00:00+00:00
