peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
基础化工-橡胶制品-轮胎,603049,中策橡胶,borderline,watch,direct_watch,analyst_company_by_company_review,"direct watch for domestic tire scale, channel, and brand leadership","中策橡胶 is retained as the clearest domestic tire leader by scale, brand/channel breadth, and product/customer coverage. Tire manufacturing is competitive, but this platform is meaningfully harder to replicate than ordinary capacity expansion.","Watch. 中策橡胶: 中策橡胶 is retained as the clearest domestic tire leader by scale, brand/channel breadth, and product/customer coverage. Tire manufacturing is competitive, but this platform is meaningfully harder to replicate than ordinary capacity expansion. triage 61.99; moat 63.00; technology 63.36; market 83.50; quality 55.82; governance 68.18.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603049,2026-06-10T00:00:00+00:00
基础化工-橡胶制品-轮胎,601966,玲珑轮胎,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary watch for global tire OEM and overseas manufacturing platform,"玲珑轮胎 is retained as a boundary globalizing tire platform with overseas manufacturing, OEM/customer qualification, and brand development. It is weaker than the top domestic leader but differentiated enough for observation.","Watch. 玲珑轮胎: 玲珑轮胎 is retained as a boundary globalizing tire platform with overseas manufacturing, OEM/customer qualification, and brand development. It is weaker than the top domestic leader but differentiated enough for observation. triage 59.76; moat 61.18; technology 66.09; market 76.23; quality 45.64; governance 68.73.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601966,2026-06-10T00:00:00+00:00
基础化工-橡胶制品-轮胎,002984,森麒麟,reject,watch,boundary_judged_watch,analyst_company_by_company_review,"boundary watch for high-end tire, smart manufacturing, and aviation-material optionality","森麒麟 is retained as a boundary case because high-end tire positioning, smart manufacturing, overseas capacity and aviation-material/aircraft tire optionality make the thesis different from generic tire capacity.","Watch. 森麒麟: 森麒麟 is retained as a boundary case because high-end tire positioning, smart manufacturing, overseas capacity and aviation-material/aircraft tire optionality make the thesis different from generic tire capacity. triage 56.45; moat 52.45; technology 60.64; market 67.50; quality 56.00; governance 71.45.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002984,2026-06-10T00:00:00+00:00
基础化工-橡胶制品-轮胎,001233,海安集团,reject,reject_for_now,,analyst_company_by_company_review,rejected because tire exposure is generic or covered by stronger retained peers,"海安集团: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders.","Reject for now. 海安集团: 海安集团: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders. triage 55.42; moat 50.00; technology 63.45; market 48.95; quality 58.73; governance 72.00.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=001233,2026-06-10T00:00:00+00:00
基础化工-橡胶制品-轮胎,601058,赛轮轮胎,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary watch for global tire scale and compound/process technology,"赛轮轮胎 is retained as a boundary global tire platform with scale, overseas capacity, tire technology/process know-how and recycling/material capability. Its moat is manufacturing-cycle exposed but stronger than ordinary tire peers.","Watch. 赛轮轮胎: 赛轮轮胎 is retained as a boundary global tire platform with scale, overseas capacity, tire technology/process know-how and recycling/material capability. Its moat is manufacturing-cycle exposed but stronger than ordinary tire peers. triage 54.49; moat 51.09; technology 49.55; market 71.86; quality 62.18; governance 68.82.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601058,2026-06-10T00:00:00+00:00
基础化工-橡胶制品-轮胎,601163,三角轮胎,reject,reject_for_now,,analyst_company_by_company_review,rejected because tire exposure is generic or covered by stronger retained peers,"三角轮胎: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders.","Reject for now. 三角轮胎: 三角轮胎: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders. triage 51.70; moat 45.36; technology 57.00; market 60.95; quality 51.45; governance 69.91.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601163,2026-06-10T00:00:00+00:00
基础化工-橡胶制品-轮胎,000589,贵州轮胎,reject,reject_for_now,,analyst_company_by_company_review,rejected because tire exposure is generic or covered by stronger retained peers,"贵州轮胎: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders.","Reject for now. 贵州轮胎: 贵州轮胎: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders. triage 51.14; moat 49.27; technology 54.27; market 62.41; quality 44.91; governance 68.27.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000589,2026-06-10T00:00:00+00:00
基础化工-橡胶制品-轮胎,000599,青岛双星,reject,reject_for_now,,analyst_company_by_company_review,rejected because tire exposure is generic or covered by stronger retained peers,"青岛双星: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders.","Reject for now. 青岛双星: 青岛双星: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders. triage 50.65; moat 51.82; technology 63.18; market 48.59; quality 37.64; governance 66.00.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000599,2026-06-10T00:00:00+00:00
基础化工-橡胶制品-轮胎,601500,通用股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because tire exposure is generic or covered by stronger retained peers,"通用股份: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders.","Reject for now. 通用股份: 通用股份: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders. triage 47.69; moat 49.55; technology 47.91; market 51.50; quality 44.18; governance 65.55.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601500,2026-06-10T00:00:00+00:00
基础化工-橡胶制品-轮胎,920020,泰凯英,reject,reject_for_now,,analyst_company_by_company_review,rejected because tire exposure is generic or covered by stronger retained peers,"泰凯英: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders.","Reject for now. 泰凯英: 泰凯英: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders. triage 45.86; moat 39.91; technology 49.73; market 39.14; quality 50.73; governance 69.36.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.bse.cn/disclosure/announcement.html,2026-06-10T00:00:00+00:00
基础化工-橡胶制品-轮胎,600182,S佳通,reject,reject_for_now,,analyst_company_by_company_review,rejected because tire exposure is generic or covered by stronger retained peers,"S佳通: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders.","Reject for now. S佳通: S佳通: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders. triage 45.62; moat 41.73; technology 45.00; market 45.32; quality 50.00; governance 66.09.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600182,2026-06-10T00:00:00+00:00
基础化工-橡胶制品-轮胎,600469,风神股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because tire exposure is generic or covered by stronger retained peers,"风神股份: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders.","Reject for now. 风神股份: 风神股份: The company has tire or rubber-product exposure, but the evidence does not show global scale, OEM/customer qualification, brand/channel reach, or specialty technology strong enough versus retained tire leaders. triage 44.53; moat 42.64; technology 42.82; market 50.05; quality 42.73; governance 66.64.","Tire groups can retain differentiated global/channel/process leaders, but generic tire capacity is rejected.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600469,2026-06-10T00:00:00+00:00
