as_of,net_assets_cny,total_assets_cny,margin_debt_cny,credit_line_cny,leverage_ratio,guarantee_ratio_pct,holdings_market_value_cny,cash_cny,position_count,top_position_weight_pct,account_peak_net_assets_cny,drawdown_from_peak_pct,source,note
2026-07-09,2720179,4768741,2048562,,1.75,232.8,4770462,0,6,41.4,2720179,0.0,user_reported,"用户2026-07-09报告；持仓市值合计与总资产差+1721(0.04%)为口径/四舍五入；净值峰值以首次记录为暂定基线，历史峰值更高请更正；杠杆1.75x超个人体系§4.1的1.3x上限、用户明示暂不调整(计划走熊后降负债)，回撤预算tripwire自本基线起算：净资产≤2,502,565(-8%)移除杠杆/≤2,393,758(-12%)黄色预警/≤2,176,143(-20%)红色预警"
2026-07-09,2820558,4943313,2122755.41,,1.75,232.9,4943313,0,8,24.4,2820558,0.0,user_debt_exact+share_count_price_estimate,"负债2,122,755.41与担保比例233.49%为用户提供的券商精确数(尾盘未收盘)；市值/净资产按用户确认股数×实时价估算(我方口径担保比例232.87%，差0.6pp为时点差与零头现金约1.3万)；全部8只已录建仓日期与割肉价，止损网格全触发情形亏约400,823=净值-14.2%(不含跳空)，触发后担保比例仍约214%；回撤tripwire基线2,820,558：-8%=2,594,913移除杠杆/-12%=2,482,091黄色/-20%=2,256,446红色"
2026-07-10,2825217.26,5004068.48,2178851.22,,1.77,229.66,5004068.48,0,8,24.6,2825217.26,0.0,user_reported_broker_exact,"用户2026-07-11提供券商精确数（2026-07-10收盘口径）：总资产5,004,068.48/负债2,178,851.22/担保比例229.66%；净资产2,825,217.26创基线新高，回撤tripwire更新：-8%=2,599,200去杠杆/-12%=2,486,191黄色/-20%=2,260,174红色；杠杆1.77x仍高于个人体系§4.1的1.3x上限（用户此前明示暂不调整）；当日实现宁德-18,897元、新建浪潮587,475元（收盘浮亏-23,499）"
2026-07-13,2722236,4901087,2178851.22,,1.80,225.0,4892630,8457,8,13.7,2825217.26,3.6,estimated_from_user_trades,"2026-07-13收盘估算：持仓市值=用户确认股数×东财/腾讯双源核实收盘价；现金≈当日卖出2,192,135-买入2,183,678=+8,457（未计佣金印花税）；负债沿用7/10券商精确数未变；当日调仓实现盈亏约-29,712（药明+107,860/立讯-42,322/浪潮-54,911/思特威-40,340）；回撤-3.6%距-8%去杠杆线2,599,200余约4.5%净资产；请用户提供7/13券商精确净资产/负债/担保比例校正本行"
2026-07-14,2743214.44,4639496,1896281.56,,1.69,244.66,4631378,8118,8,13.9,2825217.26,2.9,user_reported_broker_exact,"用户2026-07-14提供：总资产4,639,496/负债1,896,281.56/担保比例244.66%（自洽核验4,639,496/1,896,281.56=244.66%）；净资产2,743,214.44自峰值2,825,217.26回撤-2.9%，距-8%去杠杆线2,599,200余约144,014（约5.2%净资产）；当日卖招行14,400@36.881(-7,042)/药明1,000@125.071(+26,468)/美的1,500@80.584(+2,585)，买胜宏科技1,700@294.508，净回笼约276,370偿融资：负债-282,570、杠杆1.80→1.69、担保比例约225→244.66%；市值/现金细分待收盘扫描补记"
2026-07-17,2694735,4533037,1838302,,1.68,246.6,4524919,8118,17,10.5,2825217.26,4.6,estimated_from_user_trades,"2026-07-17收盘估算：本周26笔成交重建17只持仓；负债=7/14精确数1,896,282-净回笼57,980（未计费税）；总仓位168%N超160%N包络上限、距-8%去杠杆线2,599,200仅余约3.5%N；请用户回报券商精确净资产/负债/担保比例校正"
2026-07-20,2814557.64,4653060.00,1838502.36,,1.65,253.1,4523790,129270,18,19.7,2825217.26,0.4,user_reported_broker_exact,"用户2026-07-20矫正（券商精确）：净资产2,814,557.64/总负债1,838,502.36，总资产4,653,060.00、担保比例253.1%、杠杆1.65x为推算；当日卖 宇通200@30.27/双汇200@24.9/美的5,000@82.008、买 亿联2,900@37.551+4,600@37.653（净回笼≈13.9万），中签长鑫科技(688825)2,000股@8.66缴款17,320；现金≈12.9万、持仓市值≈452.4万为倒推估算；账面重建持仓按今日收盘≈477.1万、较倒推值高约24.7万（≈5%）——上周26笔批量重建存在股数/成本误差（实证：美的账面3,400股与实卖5,000股矛盾，已按7/14精确口径6,600−5,000=1,600股矫正待核），请逐只回报券商持仓股数；回撤-0.4%距-8%去杠杆线2,599,200余约21.5万；总仓位倒推≈160.7%N（账面≈169.5%N）仍超160%N包络，止损网格新设后≈11.2%N超8%N硬顶（东阿阿胶仍缺割肉价）；v1.11割肉价口径统一为Tier-0硬底"
2026-07-20,2814557.64,4653060.00,1838502.36,,1.65,253.1,4653060.00,0,18,10.5,2825217.26,0.4,user_reported_broker_exact_reconciled,"矫正行（取代同日前行）：用户确认 美的剩3,200股、亿联仅买入300股总持7,500股后，17只A股按当日收盘市值4,635,740.00+长鑫科技新股2,000×8.66=17,320.00＝总资产4,653,060.00，与券商净资产2,814,557.64+负债1,838,502.36**对账精确到分**；现金≈0（当日卖出回笼约42.1万全额自动偿还融资，7/17快照负债估算1,838,302实际约2,230,656、少记约39.2万，今日精确数已覆盖）；除美的/亿联外其余15只账面股数经对账确认无误；当日净卖出：宇通200@30.27/双汇200@24.9/美的5,000@82.008，买亿联300@约37.6，中签缴款17,320；总仓位164.7%N（v1.12卖出许可下包络与回撤梯维持待用户明示）；止损网格≈10.7%N（撤销提案入R7冷静期，最早2026-07-27确认，期间转监测口径）；东阿阿胶仍缺割肉价"
2026-07-22,2799953.81,4613568.00,1813614.19,,1.65,254.4,4430512,183056,18,18.6,2825217.26,0.9,user_reported_broker_exact,"用户盘后回报精确数：净资产2,799,953.81/总资产4,613,568/负债1,813,614.19；7/21-22两日17笔成交（清仓锦波Tier-0执行/羚锐/豪威/马应龙/比亚迪/恒瑞，减东阿5000/双汇800/宇通900，茅台加200股升重仓，新建国电南瑞/招商银行/公牛/睿创微纳/紫光国微/青岛啤酒），净卖出约20.8万；6只新仓+长鑫无割肉价；持仓市值/现金为收盘快照推算"
2026-07-22,2799953.81,4613568.00,1813614.19,,1.65,254.4,4613568,0,18,18.6,2825217.26,0.9,user_reported_broker_exact_reconciled,"矫正行（取代同日前行）：用户补报青岛啤酒3,400股@53.452后，17只A股按收盘市值4,596,248+长鑫17,320=4,613,568与券商总资产**对账精确到元**、现金≈0（前行现金18.3万系漏记该笔所致）；两日实际净卖出仅约2.6万（非20.8万）；总仓位（A股口径）164.2%N**仍超160%N包络上限（连续第6个交易日）**，回带内需再减约11.6万或净资产+2.6%；7只割肉价设定/上调后17只全覆盖Tier-0，止损网格Σ≈10.7%N（R7冷静期监测口径，7/27拍板）；单笔风险全部≤1.5%N（紫金上调29后1.07%N）"
