security_code,security_name,effective_date,change_reason,decision,reviewed_at,note
002128,电投能源,2026-06-03,增发A股上市,reset,2026-09-02,发股收购白音华煤电（同一控制下合并），已登记 entity_reset_dates.csv：reset_report_date 2025-12-31、known_from 2026-08-26
002128,电投能源,2026-07-17,增发A股上市,no_reset,2026-09-02,配套募集 45 亿元现金（1.7308 亿股＠26 元），不改变主体；股数与募资由下一份定期报告经 external_equity_intra 承接
002379,宏桥控股,2026-01-13,增发A股上市,reset,2026-09-02,资产注入（宏创控股→宏桥控股）对价股上市，已登记 entity_reset_dates.csv：reset_report_date 2025-12-31
601088,中国神华,2026-03-16,增发A股上市,reset,2026-09-02,发股收购国家能源集团资产（同一控制下合并），已登记 entity_reset_dates.csv：reset_report_date 2025-12-31、known_from 2026-08-29
688981,中芯国际,2026-06-23,增发A股上市,no_reset,2026-09-02,发行股份购买中芯北方 49% 股权（5.4718 亿股＠74.20 元，作价 406 亿元）；中芯北方原持股 51% 已并表，合并范围与增长路径不变，少数股东权益转为母公司权益、股数 +6.8%，由下一份定期报告经股权桥承接
688018,乐鑫科技,2025-10-17,增发A股上市,no_reset,2026-09-02,"向特定对象发行 1,044.0288 万股＠170.29 元募集现金 17.78 亿元（Wi-Fi 7／RISC-V AI 芯片研发项目），不改变主体"
002003,伟星股份,2023-10-23,增发A股上市,no_reset,2026-09-02,"向特定对象发行 13,208.8397 万股＠9.05 元募集现金 11.95 亿元（越南服饰辅料等产能项目），不改变主体"
688301,奕瑞科技,2025-10-16,增发A股上市,no_reset,2026-09-02,"向特定对象发行 1,104.8980 万股募集现金 11.74 亿元，不改变主体"
605117,德业股份,2024-06-25,增发A股上市,no_reset,2026-09-02,"向特定对象发行 3,599.7120 万股＠55.56 元募集现金 20.00 亿元（25.5GW 逆变器产线），不改变主体"
002920,德赛西威,2025-10-24,增发A股上市,no_reset,2026-09-02,"向特定对象发行 4,189.3333 万股＠105.00 元募集现金 43.99 亿元（中西部基地、智能汽车电子产线、智算中心研发），不改变主体"
002594,比亚迪,2025-06-10,其他变动原因,no_reset,2026-09-02,2024 年度 10 送 8 转 12 的 H 股部分（H 股 12.28 亿 × 2 = 24.56 亿股）先行登记，A 股部分 2025-07-29 除权上市；除权日已在 corporate_actions 登记（送转 2.0、派 3.974），带由 exright_adjust 折算，不是发行
688082,盛美上海,2025-09-26,增发A股上市,no_reset,2026-09-02,"向特定对象发行 3,860.1326 万股＠116.11 元募集现金 44.82 亿元，不改变主体"
