peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
房地产-房地产服务-房地产服务,300917,特发服务,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"特发服务: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. 特发服务: 特发服务: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 80.11; moat 86.50; technology 86.29; market 90.50; quality 62.00; governance 69.50.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300917,2026-06-10T00:00:00+00:00
房地产-房地产服务-房地产服务,001914,招商积余,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"招商积余: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. 招商积余: 招商积余: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 50.20; moat 53.00; technology 36.71; market 81.00; quality 36.50; governance 68.50.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=001914,2026-06-10T00:00:00+00:00
房地产-房地产服务-房地产服务,600622,光大嘉宝,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"光大嘉宝: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. 光大嘉宝: 光大嘉宝: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 42.64; moat 46.33; technology 36.00; market 50.33; quality 34.00; governance 66.50.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600622,2026-06-10T00:00:00+00:00
房地产-房地产服务-房地产服务,000560,我爱我家,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"我爱我家: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. 我爱我家: 我爱我家: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 41.13; moat 38.17; technology 33.57; market 61.67; quality 29.17; governance 66.50.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000560,2026-06-10T00:00:00+00:00
房地产-房地产服务-房地产服务,002968,新大正,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"新大正: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. 新大正: 新大正: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 40.84; moat 37.33; technology 27.00; market 65.33; quality 35.67; governance 69.50.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002968,2026-06-10T00:00:00+00:00
房地产-房地产服务-房地产服务,603506,南都物业,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"南都物业: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. 南都物业: 南都物业: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 39.68; moat 37.83; technology 23.86; market 59.33; quality 41.33; governance 67.00.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603506,2026-06-10T00:00:00+00:00
房地产-房地产服务-房地产服务,600684,珠江股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"珠江股份: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. 珠江股份: 珠江股份: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 38.93; moat 33.17; technology 28.14; market 52.67; quality 41.00; governance 69.00.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600684,2026-06-10T00:00:00+00:00
房地产-房地产服务-房地产服务,002177,御银股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"御银股份: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. 御银股份: 御银股份: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 38.55; moat 32.83; technology 32.00; market 40.33; quality 47.33; governance 71.00.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002177,2026-06-10T00:00:00+00:00
房地产-房地产服务-房地产服务,600239,ST云城,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"ST云城: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. ST云城: ST云城: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 37.66; moat 37.00; technology 26.00; market 49.00; quality 38.50; governance 66.00.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600239,2026-06-10T00:00:00+00:00
房地产-房地产服务-房地产服务,002285,世联行,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"世联行: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. 世联行: 世联行: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 37.59; moat 35.67; technology 31.00; market 52.67; quality 25.67; governance 70.00.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002285,2026-06-10T00:00:00+00:00
房地产-房地产服务-房地产服务,002188,中天服务,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"中天服务: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. 中天服务: 中天服务: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 36.34; moat 31.50; technology 22.43; market 47.00; quality 45.83; governance 68.00.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002188,2026-06-10T00:00:00+00:00
房地产-房地产服务-房地产服务,600605,汇通能源,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate services lack durable pricing power,"汇通能源: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats.","Reject for now. 汇通能源: 汇通能源: The company has property management, brokerage, commercial real-estate service, leasing, municipal service, or mixed real-estate exposure. The business is labor- and contract-intensive, structurally pressured, and easier to contest than technology, brand, or resource moats. triage 35.91; moat 30.67; technology 26.00; market 43.67; quality 45.00; governance 70.50.",Low-barrier service industries can have zero watchlist companies when the work is mainly execution and contract renewal without durable pricing power.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600605,2026-06-10T00:00:00+00:00
