peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
文化传媒-营销服务-营销服务,600986,浙文互联,borderline,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"scale and state-backed cultural resources exist, but automotive marketing, precise marketing, live commerce, and computing stories remain service/project businesses without hard lock-in.","Rejected for now. 浙文互联: scale and state-backed cultural resources exist, but automotive marketing, precise marketing, live commerce, and computing stories remain service/project businesses without hard lock-in. triage 63.43; moat 59.46; technology 58.91; market 70.50; quality 62.15; governance 68.46.","Reject broad marketing agencies, livestream/e-commerce operators, PR/event providers, legacy ad companies, ST cases, and content/IP stories when the moat is mainly relationships, execution labor, or media resale rather than hard platform control.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600986;https://www.zwhlgroup.com,2026-06-09T15:43:46+00:00
文化传媒-营销服务-营销服务,301171,易点天下,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"cross-border intelligent marketing platform with global advertiser/media-resource relationships and technology-driven overseas user acquisition, retained as a niche rather than a high-conviction moat.","Retained after boundary review. 易点天下: cross-border intelligent marketing platform with global advertiser/media-resource relationships and technology-driven overseas user acquisition, retained as a niche rather than a high-conviction moat. triage 60.88; moat 57.15; technology 65.57; market 66.35; quality 70.23; governance 68.69.","Boundary-retain only marketing-technology or global advertising platforms with differentiated overseas media access, data/algorithm tooling, scaled client base, or AI-enabled workflow capability beyond project execution.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=301171;https://www.eclicktech.com.cn,2026-06-09T15:43:46+00:00
文化传媒-营销服务-营销服务,002131,利欧股份,borderline,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"pump manufacturing is useful but not the reviewed thesis here; digital marketing business is agency-like and lower margin, with no distinct moat versus retained marketing platforms.","Rejected for now. 利欧股份: pump manufacturing is useful but not the reviewed thesis here; digital marketing business is agency-like and lower margin, with no distinct moat versus retained marketing platforms. triage 60.55; moat 59.23; technology 62.48; market 76.73; quality 48.85; governance 69.92.","Reject broad marketing agencies, livestream/e-commerce operators, PR/event providers, legacy ad companies, ST cases, and content/IP stories when the moat is mainly relationships, execution labor, or media resale rather than hard platform control.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002131;https://www.leogroup.cn,2026-06-09T15:43:46+00:00
文化传媒-营销服务-营销服务,002878,元隆雅图,borderline,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"integrated marketing, gifts, IP, and metaverse services are relationship/execution-heavy and easy for funded competitors to reproduce.","Rejected for now. 元隆雅图: integrated marketing, gifts, IP, and metaverse services are relationship/execution-heavy and easy for funded competitors to reproduce. triage 60.34; moat 55.00; technology 69.26; market 63.04; quality 52.69; governance 69.23.","Reject broad marketing agencies, livestream/e-commerce operators, PR/event providers, legacy ad companies, ST cases, and content/IP stories when the moat is mainly relationships, execution labor, or media resale rather than hard platform control.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002878;https://www.ylyato.com,2026-06-09T15:43:46+00:00
文化传媒-营销服务-营销服务,003010,若羽臣,borderline,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,brand digital operation and e-commerce services have execution value but limited durable switching cost versus stronger platform owners.,Rejected for now. 若羽臣: brand digital operation and e-commerce services have execution value but limited durable switching cost versus stronger platform owners. triage 60.12; moat 59.38; technology 58.04; market 65.12; quality 77.62; governance 66.15.,"Reject broad marketing agencies, livestream/e-commerce operators, PR/event providers, legacy ad companies, ST cases, and content/IP stories when the moat is mainly relationships, execution labor, or media resale rather than hard platform control.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=003010;https://www.gzruoyuchen.com,2026-06-09T15:43:46+00:00
文化传媒-营销服务-营销服务,002354,天娱数科,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"AI marketing and app distribution language is interesting, but business model remains marketing/service-platform execution with weaker durable moat evidence.","Rejected for now. 天娱数科: AI marketing and app distribution language is interesting, but business model remains marketing/service-platform execution with weaker durable moat evidence. triage 58.49; moat 55.23; technology 63.96; market 54.50; quality 66.77; governance 69.62.","Reject broad marketing agencies, livestream/e-commerce operators, PR/event providers, legacy ad companies, ST cases, and content/IP stories when the moat is mainly relationships, execution labor, or media resale rather than hard platform control.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002354;https://www.tianyushuke.com,2026-06-09T15:43:46+00:00
文化传媒-营销服务-营销服务,300792,壹网壹创,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,e-commerce service provider and brand accelerator model is useful but replicable and dependent on platform traffic and client contracts.,Rejected for now. 壹网壹创: e-commerce service provider and brand accelerator model is useful but replicable and dependent on platform traffic and client contracts. triage 58.27; moat 56.69; technology 58.61; market 55.27; quality 69.92; governance 71.00.,"Reject broad marketing agencies, livestream/e-commerce operators, PR/event providers, legacy ad companies, ST cases, and content/IP stories when the moat is mainly relationships, execution labor, or media resale rather than hard platform control.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300792;https://www.topwinchance.com,2026-06-09T15:43:46+00:00
文化传媒-营销服务-营销服务,300805,电声股份,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"offline experience-marketing network is labor and execution intensive, not a scarce technology or asset platform.","Rejected for now. 电声股份: offline experience-marketing network is labor and execution intensive, not a scarce technology or asset platform. triage 58.05; moat 54.62; technology 58.43; market 64.27; quality 55.00; governance 70.85.","Reject broad marketing agencies, livestream/e-commerce operators, PR/event providers, legacy ad companies, ST cases, and content/IP stories when the moat is mainly relationships, execution labor, or media resale rather than hard platform control.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300805;https://www.brandmax.com.cn,2026-06-09T15:43:46+00:00
文化传媒-营销服务-营销服务,002712,思美传媒,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,advertising and cultural-tourism marketing service scale does not create enough durable lock-in.,Rejected for now. 思美传媒: advertising and cultural-tourism marketing service scale does not create enough durable lock-in. triage 56.90; moat 57.69; technology 56.30; market 68.73; quality 47.92; governance 68.77.,"Reject broad marketing agencies, livestream/e-commerce operators, PR/event providers, legacy ad companies, ST cases, and content/IP stories when the moat is mainly relationships, execution labor, or media resale rather than hard platform control.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002712;https://www.simei.cc,2026-06-09T15:43:46+00:00
文化传媒-营销服务-营销服务,002654,万润科技,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"LED and digital-marketing mix is diluted, and the marketing thesis is not differentiated.","Rejected for now. 万润科技: LED and digital-marketing mix is diluted, and the marketing thesis is not differentiated. triage 54.05; moat 45.92; technology 56.83; market 61.81; quality 54.00; governance 66.38.","Reject broad marketing agencies, livestream/e-commerce operators, PR/event providers, legacy ad companies, ST cases, and content/IP stories when the moat is mainly relationships, execution labor, or media resale rather than hard platform control.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002654;https://www.masonled.com,2026-06-09T15:43:46+00:00
