peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
有色金属-金属非金属新材料-其他金属新材料,920751,惠同新材,direct_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as a metal-fiber and metal-felt specialist,惠同新材聚焦金属纤维、金属纤维毡和相关多孔材料，工艺路线、客户验证和材料应用经验不是简单扩产可以复制。,Watch. 惠同新材: 惠同新材聚焦金属纤维、金属纤维毡和相关多孔材料，工艺路线、客户验证和材料应用经验不是简单扩产可以复制。 triage 78.97; moat 77.53; technology 98.00; market 66.89; quality 68.84; governance 72.00.,Retain metal-fiber specialists when process know-how and qualified applications create a scarce material niche.,true,https://www.bse.cn/disclosure/announcement.html?companyCode=920751;https://www.ht-metalfiber.com,2026-06-09T15:57:54+00:00
有色金属-金属非金属新材料-其他金属新材料,300930,屹通新材,direct_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for iron-based powder-metallurgy capability,屹通新材做高品质铁基粉体，粉末稳定性、粒径控制和下游客户验证有工艺壁垒，但平台广度弱于西部超导、宝武镁业等直接关注对象。,Watch. 屹通新材: 屹通新材做高品质铁基粉体，粉末稳定性、粒径控制和下游客户验证有工艺壁垒，但平台广度弱于西部超导、宝武镁业等直接关注对象。 triage 65.59; moat 67.68; technology 72.44; market 62.37; quality 61.79; governance 69.16.,Boundary retain powder-metallurgy companies when process control and customer validation are visible but platform breadth is narrower.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300930;https://www.ytpowder.com,2026-06-09T15:57:54+00:00
有色金属-金属非金属新材料-其他金属新材料,603124,江南新材,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for copper-based electronic and plating materials,江南新材的铜基材料、氧化铜粉和精密铜散热/镀铜材料服务 PCB、光伏铜电镀等环节，具备局部材料工艺价值。,Watch. 江南新材: 江南新材的铜基材料、氧化铜粉和精密铜散热/镀铜材料服务 PCB、光伏铜电镀等环节，具备局部材料工艺价值。 triage 63.18; moat 59.47; technology 57.56; market 80.13; quality 46.21; governance 67.26.,Boundary retain copper-material specialists when the product serves higher-value electronics or photovoltaic process niches rather than generic smelting.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603124;https://www.jiangnancopper.com,2026-06-09T15:57:54+00:00
有色金属-金属非金属新材料-其他金属新材料,002182,宝武镁业,reject,watch,direct_watch,analyst_company_by_company_review,directly retained as a global magnesium and lightweight-materials platform,宝武镁业具备镁合金资源、冶炼、深加工和汽车/航空/轨交轻量化应用能力，资金进入不能短期复制其一体化和客户验证。,Watch. 宝武镁业: 宝武镁业具备镁合金资源、冶炼、深加工和汽车/航空/轨交轻量化应用能力，资金进入不能短期复制其一体化和客户验证。 triage 57.46; moat 58.95; technology 64.67; market 71.08; quality 44.00; governance 66.95.,"Retain global lightweight-material platforms when resource, process, and customer qualification combine.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002182;https://www.rsm.com.cn,2026-06-09T15:57:54+00:00
有色金属-金属非金属新材料-其他金属新材料,688122,西部超导,reject,watch,direct_watch,analyst_company_by_company_review,"directly retained as a superconducting, titanium-alloy, and superalloy strategic-material platform",西部超导覆盖 NbTi 超导材料、钛合金和高温合金等战略材料，航空、军工、核磁等高验证场景使其真实壁垒远高于旧算法分数。,Watch. 西部超导: 西部超导覆盖 NbTi 超导材料、钛合金和高温合金等战略材料，航空、军工、核磁等高验证场景使其真实壁垒远高于旧算法分数。 triage 54.36; moat 46.37; technology 56.89; market 68.13; quality 60.84; governance 67.84.,Retain strategic-material platforms even when current-cycle profit or narrow peer scale makes baseline scores look low.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=688122;https://www.c-wst.com,2026-06-09T15:57:54+00:00
有色金属-金属非金属新材料-其他金属新材料,603978,深圳新星,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for master aluminium alloy and light-alloy materials,深圳新星在铝晶粒细化剂、铝中间合金和轻合金材料中有全球规模和工艺积累，但周期性和产品扩展性需要后续跟踪。,Watch. 深圳新星: 深圳新星在铝晶粒细化剂、铝中间合金和轻合金材料中有全球规模和工艺积累，但周期性和产品扩展性需要后续跟踪。 triage 53.65; moat 55.79; technology 59.22; market 61.61; quality 44.21; governance 66.63.,Boundary retain master-alloy leaders when global scale and formulation/process know-how are visible.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603978;https://www.stalloys.com,2026-06-09T15:57:54+00:00
有色金属-金属非金属新材料-其他金属新材料,000969,安泰科技,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for central research-institute advanced-materials capability,安泰科技源自钢研体系，覆盖难熔材料、粉末冶金、磁性材料和工具材料等先进材料，平台能力强但业务较分散。,Watch. 安泰科技: 安泰科技源自钢研体系，覆盖难熔材料、粉末冶金、磁性材料和工具材料等先进材料，平台能力强但业务较分散。 triage 52.56; moat 46.89; technology 54.22; market 68.34; quality 50.95; governance 68.47.,Boundary retain research-institute material platforms when multiple hard-material capabilities are publicly visible.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000969;https://www.atmcn.com,2026-06-09T15:57:54+00:00
有色金属-金属非金属新材料-其他金属新材料,601137,博威合金,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for high-performance copper alloy and precision materials,博威合金有铜合金新材料、精密加工和国际客户布局，材料牌号、认证和全球交付形成一定壁垒。,Watch. 博威合金: 博威合金有铜合金新材料、精密加工和国际客户布局，材料牌号、认证和全球交付形成一定壁垒。 triage 50.63; moat 49.00; technology 48.67; market 71.71; quality 47.58; governance 66.89.,Boundary retain copper-alloy platforms when grade development and global customer qualification are meaningful.,true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601137;https://www.bowayalloy.com,2026-06-09T15:57:54+00:00
有色金属-金属非金属新材料-其他金属新材料,002540,亚太科技,reject,reject_for_now,,analyst_company_by_company_review,rejected because automotive aluminum processing is covered by stronger retained lightweight-material and auto-part peers,亚太科技有汽车铝材和精密管材能力，但相对宝武镁业、西部材料以及已保留汽车零部件平台，独立不可替代性不足。,Reject for now. 亚太科技: 亚太科技有汽车铝材和精密管材能力，但相对宝武镁业、西部材料以及已保留汽车零部件平台，独立不可替代性不足。 triage 50.38; moat 47.42; technology 44.33; market 70.45; quality 49.68; governance 69.42.,Reject aluminum-processing companies when qualification exists but stronger retained peers already cover the lightweighting thesis.,true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002540;https://www.yatal.com;https://www.apalt.com,2026-06-09T15:57:54+00:00
有色金属-金属非金属新材料-其他金属新材料,688456,有研粉材,reject,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for state-research-origin metal powder capability,有研粉材依托有研体系，覆盖铜粉、锡基焊粉等金属粉体，材料配方、粉体工艺和客户认证有局部壁垒。,Watch. 有研粉材: 有研粉材依托有研体系，覆盖铜粉、锡基焊粉等金属粉体，材料配方、粉体工艺和客户认证有局部壁垒。 triage 50.28; moat 48.32; technology 51.89; market 59.50; quality 46.84; governance 68.79.,"Boundary retain metal-powder companies when state-research origin, powder formulation, and customer qualification support defensibility.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=688456;https://www.gripm.com,2026-06-09T15:57:54+00:00
