segment_id,segment_start,segment_end,trading_days,signal_date,security_code,security_name,pv,signal_close,intrinsic_value,ma20,ma60,band_available_at,activation_date,anchor_date,stop_anchor,stop_line,qualification,rank,eligible_count,execution_date,execution_close,price_history_end,target_1y,end_1y,status_1y,end_close_1y,return_1y,target_3y,end_3y,status_3y,end_close_3y,return_3y
1,2009-11-02,2009-11-04,3,2009-11-02,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
1,2009-11-02,2009-11-04,3,2009-11-02,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
1,2009-11-02,2009-11-04,3,2009-11-02,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
2,2009-11-05,2010-01-11,47,2009-11-05,000022,深赤湾A,0.9479,14.46,15.2553,13.657000000000034,13.566666666666713,2009-10-31,2009-11-05,,,,initial,1,1,2009-11-06,14.2,2018-12-20,2010-11-06,2010-11-08,complete,15.53,0.09366197183098746,2012-11-06,2012-11-06,complete,8.95,-0.3697183098591542
2,2009-11-05,2010-01-11,47,2009-11-05,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
2,2009-11-05,2010-01-11,47,2009-11-05,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
3,2010-01-12,2010-01-21,8,2010-01-12,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
3,2010-01-12,2010-01-21,8,2010-01-12,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
3,2010-01-12,2010-01-21,8,2010-01-12,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
4,2010-01-22,2010-02-24,19,2010-01-22,000022,深赤湾A,1.0423,15.9,15.2553,15.756500000000031,15.110666666666706,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued,1,1,2010-01-25,15.66,2018-12-20,2011-01-25,2011-01-25,complete,14.76,-0.0574712643678148,2013-01-25,2013-01-25,complete,13.04,-0.16730523627075278
4,2010-01-22,2010-02-24,19,2010-01-22,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
4,2010-01-22,2010-02-24,19,2010-01-22,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
5,2010-02-25,2010-03-04,6,2010-02-25,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
5,2010-02-25,2010-03-04,6,2010-02-25,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
5,2010-02-25,2010-03-04,6,2010-02-25,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
6,2010-03-05,2010-03-09,3,2010-03-05,000022,深赤湾A,1.039,15.85,15.2553,15.393500000000031,15.391000000000039,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued,1,1,2010-03-08,15.92,2018-12-20,2011-03-08,2011-03-08,complete,18.58,0.1670854271356801,2013-03-08,2013-03-08,complete,13.31,-0.16394472361808898
