signal_date,security_code,security_name,pv,signal_close,intrinsic_value,ma20,ma60,band_available_at,activation_date,anchor_date,stop_anchor,stop_line,qualification,rank,eligible_count,execution_date,execution_close,price_history_end,target_1y,end_1y,status_1y,end_close_1y,return_1y,target_3y,end_3y,status_3y,end_close_3y,return_3y,ma60_break_date
2009-11-05,000022,深赤湾A,0.9479,14.46,15.2553,13.657000000000034,13.566666666666713,2009-10-31,2009-11-05,,,,initial,1,1,2009-11-06,14.2,2018-12-20,2010-11-06,2010-11-08,complete,15.53,0.09366197183098746,2012-11-06,2012-11-06,complete,8.95,-0.3697183098591542,2009-12-22
2009-12-22,000022,深赤湾A,0.9302,14.19,15.2553,14.969000000000031,14.27516666666671,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2009-12-23,14.33,2018-12-20,2010-12-23,2010-12-23,complete,14.76,0.030006978367063564,2012-12-23,2012-12-24,complete,9.99,-0.30286113049546326,2009-12-22
2009-12-23,000022,深赤湾A,0.9393,14.33,15.2553,14.940500000000032,14.282333333333378,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2009-12-24,14.65,2018-12-20,2010-12-24,2010-12-24,complete,14.89,0.01638225255972836,2012-12-24,2012-12-24,complete,9.99,-0.31808873720136444,2010-01-26
2010-01-26,000022,深赤湾A,0.9826,14.99,15.2553,15.803000000000031,15.16500000000004,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-01-27,14.8,2018-12-20,2011-01-27,2011-01-27,complete,15.18,0.0256756756756773,2013-01-27,2013-01-28,endpoint_quote_missing,,,2010-01-26
2010-01-27,000022,深赤湾A,0.9702,14.8,15.2553,15.786000000000033,15.177166666666704,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-01-28,15.0,2018-12-20,2011-01-28,2011-01-28,complete,15.05,0.0033333333333349646,2013-01-28,2013-01-28,endpoint_quote_missing,,,2010-01-27
2010-01-28,000022,深赤湾A,0.9833,15.0,15.2553,15.77500000000003,15.189333333333371,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-01-29,15.23,2018-12-20,2011-01-29,2011-01-31,complete,15.39,0.010505581089955696,2013-01-29,2013-01-29,endpoint_quote_missing,,,2010-01-28
2010-01-29,000022,深赤湾A,0.9983,15.23,15.2553,15.780000000000033,15.202166666666704,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-02-01,15.18,2018-12-20,2011-02-01,2011-02-01,complete,15.2,0.0013175230566553342,2013-02-01,2013-02-01,complete,14.65,-0.034914361001316174,2010-02-01
2010-02-01,000022,深赤湾A,0.9951,15.18,15.2553,15.77800000000003,15.218500000000036,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-02-02,15.44,2018-12-20,2011-02-02,2011-02-09,complete,15.48,0.0025906735751315413,2013-02-02,2013-02-04,complete,13.71,-0.11204663212435106,2010-02-01
2010-02-02,000022,深赤湾A,1.0121,15.44,15.2553,15.785500000000031,15.230500000000037,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-02-03,15.9,2018-12-20,2011-02-03,2011-02-09,complete,15.48,-0.02641509433962097,2013-02-03,2013-02-04,complete,13.71,-0.13773584905660274,2010-02-05
2010-02-05,000022,深赤湾A,0.9806,14.96,15.2553,15.814500000000027,15.276166666666706,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-02-08,14.79,2018-12-20,2011-02-08,2011-02-09,complete,15.48,0.046653144016229,2013-02-08,2013-02-08,complete,13.75,-0.07031778228532681,2010-02-05
2010-02-08,000022,深赤湾A,0.9695,14.79,15.2553,15.797000000000029,15.27483333333337,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-02-09,14.88,2018-12-20,2011-02-09,2011-02-09,complete,15.48,0.04032258064516281,2013-02-09,2013-02-18,complete,13.87,-0.06787634408602072,2010-02-08
2010-02-09,000022,深赤湾A,0.9754,14.88,15.2553,15.735500000000027,15.272333333333371,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-02-10,15.05,2018-12-20,2011-02-10,2011-02-10,complete,15.85,0.053156146179403674,2013-02-10,2013-02-18,complete,13.87,-0.07840531561461705,2010-02-09
2010-02-10,000022,深赤湾A,0.9865,15.05,15.2553,15.680500000000029,15.271166666666705,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-02-11,14.97,2018-12-20,2011-02-11,2011-02-11,complete,15.72,0.0501002004008031,2013-02-11,2013-02-18,complete,13.87,-0.07348029392117483,2010-02-10
2010-02-11,000022,深赤湾A,0.9813,14.97,15.2553,15.602500000000031,15.268166666666705,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-02-12,15.13,2018-12-20,2011-02-12,2011-02-14,complete,16.06,0.06146728354263198,2013-02-12,2013-02-18,complete,13.87,-0.08327825512227272,2010-02-11
2010-02-12,000022,深赤湾A,0.9918,15.13,15.2553,15.536000000000033,15.268000000000038,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-02-22,14.97,2018-12-20,2011-02-22,2011-02-22,complete,18.27,0.22044088176352883,2013-02-22,2013-02-22,complete,13.34,-0.10888443553774119,2010-02-12
2010-02-22,000022,深赤湾A,0.9813,14.97,15.2553,15.439000000000032,15.265500000000038,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-02-23,15.03,2018-12-20,2011-02-23,2011-02-23,complete,18.17,0.20891550232867773,2013-02-23,2013-02-25,complete,13.52,-0.100465735196273,2010-02-22
2010-02-23,000022,深赤湾A,0.9852,15.03,15.2553,15.34050000000003,15.261500000000039,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-02-24,15.33,2018-12-20,2011-02-24,2011-02-24,complete,18.21,0.18786692759295676,2013-02-24,2013-02-25,complete,13.52,-0.11806914546640468,2010-02-23
2010-02-24,000022,深赤湾A,1.0049,15.33,15.2553,15.27800000000003,15.275833333333372,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued,1,1,2010-02-25,15.72,2018-12-20,2011-02-25,2011-02-25,complete,18.17,0.15585241730280086,2013-02-25,2013-02-25,complete,13.52,-0.13994910941475724,2010-03-25
2010-03-25,000022,深赤湾A,1.0167,15.51,15.2553,15.927500000000029,15.618500000000033,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-03-26,15.8,2018-12-20,2011-03-26,2011-03-28,complete,16.86,0.06708860759493751,2013-03-26,2013-03-26,complete,13.66,-0.1354430379746827,2010-03-25
2010-03-26,000022,深赤湾A,1.0357,15.8,15.2553,15.937500000000028,15.637666666666698,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-03-29,15.97,2018-12-20,2011-03-29,2011-03-29,complete,16.6,0.0394489668127751,2013-03-29,2013-03-29,complete,12.87,-0.1941139636819028,2010-04-13
2010-04-13,000022,深赤湾A,1.018,15.53,15.2553,15.980500000000024,15.784666666666705,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-04-14,15.62,2018-12-20,2011-04-14,2011-04-14,complete,17.31,0.1081946222791299,2013-04-14,2013-04-15,complete,13.08,-0.162612035851472,2010-04-13
2010-04-14,000022,深赤湾A,1.0239,15.62,15.2553,15.975500000000022,15.776500000000038,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-04-15,15.67,2018-12-20,2011-04-15,2011-04-15,complete,17.07,0.08934269304403375,2013-04-15,2013-04-15,complete,13.08,-0.165283982131461,2010-04-14
2010-04-15,000022,深赤湾A,1.0272,15.67,15.2553,15.952500000000024,15.768500000000039,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-04-16,15.8,2018-12-20,2011-04-16,2011-04-18,complete,17.4,0.10126582278481044,2013-04-16,2013-04-16,complete,13.43,-0.1499999999999997,2010-04-15
2010-04-16,000022,深赤湾A,1.0357,15.8,15.2553,15.940000000000023,15.756333333333371,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-04-19,15.29,2018-12-20,2011-04-19,2011-04-19,complete,16.75,0.09548724656638385,2013-04-19,2013-04-19,complete,13.97,-0.08633093525179814,2010-04-19
2010-04-19,000022,深赤湾A,1.0023,15.29,15.2553,15.887500000000026,15.73683333333337,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-04-20,15.34,2018-12-20,2011-04-20,2011-04-20,complete,16.49,0.07496740547588021,2013-04-20,2013-04-22,complete,14.39,-0.061929595827900474,2010-04-19
