period,signal_date,security_code,security_name,pv,signal_close,intrinsic_value,ma20,ma60,band_available_at,activation_date,anchor_date,stop_anchor,stop_line,qualification,rank,eligible_count,execution_date,execution_close,price_history_end,target_1y,end_1y,status_1y,end_close_1y,return_1y,target_3y,end_3y,status_3y,end_close_3y,return_3y
2012Q1,2012-01-04,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
2012Q1,2012-01-04,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
2012Q1,2012-01-04,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
2012Q2,2012-04-05,000651,格力电器,0.7438,20.86,28.0451,20.70750000000011,19.35849999999997,2011-10-28,2010-07-28,2010-07-29,13.144333333333353,13.144333333333353,continued,1,1,2012-04-06,20.84,2026-08-07,2013-04-06,2013-04-08,complete,28.95,0.4215518198355599,2015-04-06,2015-04-07,complete,44.37,1.3797411121644547
2012Q2,2012-04-05,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
2012Q2,2012-04-05,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
2012Q3,2012-07-02,002001,新 和 成,0.8673,21.27,24.5235,21.34750000000002,20.489333333333317,2012-04-24,2012-05-29,2012-05-30,20.30883333333332,20.30883333333332,continued_below_ma20,1,1,2012-07-03,20.98,2026-08-07,2013-07-03,2013-07-03,complete,14.75,-0.2763321582627225,2015-07-03,2015-07-03,endpoint_quote_missing,,
2012Q3,2012-07-02,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
2012Q3,2012-07-02,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
2012Q4,2012-10-08,600585,海螺水泥,0.6175,15.61,25.2777,14.926499999999972,14.565333333333324,2012-08-15,2012-09-26,2012-09-27,14.514999999999992,14.514999999999992,continued,1,2,2012-10-09,16.07,2026-08-07,2013-10-09,2013-10-09,complete,15.42,-0.02385827564570897,2015-10-09,2015-10-09,complete,18.19,0.21063418327407968
2012Q4,2012-10-08,600309,万华化学,1.0266,14.25,13.8804,13.156500000000038,13.13283333333334,2012-08-21,2012-10-08,,,,initial,2,2,2012-10-09,14.33,2026-08-07,2013-10-09,2013-10-09,complete,16.6,0.20170237879232134,2015-10-09,2015-10-09,complete,16.48,0.25950093935695695
2012Q4,2012-10-08,,无合格标的,,,,,,,,,,,,3,2,,,,,,,,,,,,,
2013Q1,2013-01-04,000651,格力电器,0.6179,25.32,40.978,24.327500000000093,23.05099999999996,2012-10-31,2010-07-28,2010-07-29,12.644333333333353,12.644333333333353,continued,1,10,2013-01-07,26.36,2026-08-07,2014-01-07,2014-01-07,complete,29.97,0.18165892625595337,2016-01-07,2016-01-07,complete,19.58,0.7200813266000363
2013Q1,2013-01-04,000338,潍柴动力,0.6442,25.41,39.4431,24.741499999999995,22.097833333333313,2012-10-29,2012-10-17,2012-10-18,18.964305555555534,18.964305555555534,continued,2,10,2013-01-07,25.05,2026-08-07,2014-01-07,2014-01-07,complete,17.75,-0.2791085036233074,2016-01-07,2016-01-07,complete,8.39,-0.29826319071512575
2013Q1,2013-01-04,600066,宇通客车,0.6678,24.35,36.4636,22.60700000000014,21.657666666666614,2012-10-23,2012-12-24,2012-12-25,21.474166666666616,21.474166666666616,continued,3,10,2013-01-07,24.82,2026-08-07,2014-01-07,2014-01-07,complete,17.32,0.2821916085500269,2016-01-07,2016-01-07,complete,19.93,1.3500460177977045
2013Q2,2013-04-01,000651,格力电器,0.7089,29.05,40.978,28.093000000000085,27.936166666666626,2012-10-31,2010-07-28,2010-07-29,12.644333333333353,12.644333333333353,continued,1,3,2013-04-02,28.75,2026-08-07,2014-04-02,2014-04-02,complete,28.21,0.01980242438749169,2016-04-02,2016-04-05,endpoint_quote_missing,,
2013Q2,2013-04-01,600309,万华化学,0.937,17.94,19.1458,16.96600000000004,16.563333333333343,2013-03-26,2012-12-20,2012-12-21,13.650500000000012,13.650500000000012,continued,2,3,2013-04-02,17.81,2026-08-07,2014-04-02,2014-04-02,complete,18.03,0.05018746554438236,2016-04-02,2016-04-05,complete,15.59,-0.041328813627532934
2013Q2,2013-04-01,600897,厦门空港,1.0027,13.83,13.7926,13.773000000000014,13.6635,2012-10-30,2012-12-27,2012-12-28,12.51333333333333,12.51333333333333,continued,3,3,2013-04-02,13.81,2026-08-07,2014-04-02,2014-04-02,complete,14.2,0.05803340387965372,2016-04-02,2016-04-05,complete,19.94,0.5579151818801691
2013Q3,2013-07-01,601398,工商银行,0.9837,4.03,4.0966,3.8893,3.867933333333334,2013-04-27,2013-06-28,2013-07-01,3.867933333333334,3.867933333333334,continued,1,2,2013-07-02,4.02,2026-08-07,2014-07-02,2014-07-02,complete,3.41,-0.08739656788521033,2016-07-02,2016-07-04,complete,4.54,0.26908246297171345
2013Q3,2013-07-01,600066,宇通客车,1.0059,19.14,19.0272,18.076500000000078,16.937574074074043,2013-04-23,2012-12-24,2012-12-25,11.541203703703676,11.541203703703676,continued,2,2,2013-07-02,20.05,2026-08-07,2014-07-02,2014-07-02,complete,16.33,-0.158902286468264,2016-07-02,2016-07-04,complete,20.17,0.7251595096305927
2013Q3,2013-07-01,,无合格标的,,,,,,,,,,,,3,2,,,,,,,,,,,,,
2013Q4,2013-10-08,000933,神火股份,0.4203,5.63,13.3968,5.710999999999998,5.370999999999984,2013-08-06,2013-08-21,2013-08-22,5.209999999999983,5.209999999999983,continued_below_ma20,1,15,2013-10-09,5.59,2026-08-07,2014-10-09,2014-10-09,complete,4.74,-0.1502038182937916,2016-10-09,2016-10-10,complete,4.88,-0.1251043530113285
2013Q4,2013-10-08,600031,三一重工,0.4957,7.64,15.4133,7.75350000000002,7.223833333333335,2013-08-31,2013-09-03,2013-09-04,7.1175000000000015,7.1175000000000015,continued_below_ma20,2,15,2013-10-09,7.61,2026-08-07,2014-10-09,2014-10-09,complete,5.91,-0.20695409131677023,2016-10-09,2016-10-10,complete,5.52,-0.2551816832283196
2013Q4,2013-10-08,000338,潍柴动力,0.5077,19.83,39.0547,19.88,18.64466666666664,2013-08-30,2013-08-29,2013-08-30,18.38683333333331,18.38683333333331,continued_below_ma20,3,15,2013-10-09,20.01,2026-08-07,2014-10-09,2014-10-09,complete,20.5,0.037134470251553475,2016-10-09,2016-10-10,complete,9.31,-0.026137389090660657
2014Q1,2014-01-02,000651,格力电器,0.6315,32.08,50.8023,32.494500000000066,30.431999999999963,2013-10-28,2010-07-28,2010-07-29,11.644333333333353,11.644333333333353,continued_below_ma20,1,6,2014-01-03,30.99,2026-08-07,2015-01-03,2015-01-05,complete,40.8,0.38361079290049815,2017-01-03,2017-01-03,complete,25.06,0.9403987514631076
2014Q1,2014-01-02,600585,海螺水泥,0.6612,16.48,24.9248,17.350499999999975,16.487833333333324,2013-10-29,2013-11-25,2013-11-26,15.748333333333324,15.748333333333324,continued_below_ma20,2,6,2014-01-03,15.73,2026-08-07,2015-01-03,2015-01-05,complete,22.69,0.4740996642910551,2017-01-03,2017-01-03,complete,17.39,0.19736031527504472
2014Q1,2014-01-02,600660,福耀玻璃,0.6634,8.19,12.3462,8.583999999999968,8.480833333333319,2013-10-29,2012-11-30,2012-12-03,6.593999999999984,6.593999999999984,continued_below_ma20,3,6,2014-01-03,8.03,2026-08-07,2015-01-03,2015-01-05,complete,13.0,0.719859752859447,2017-01-03,2017-01-03,complete,18.67,1.7239501544503262
2014Q2,2014-04-01,002304,洋河股份,0.5894,51.76,87.8214,52.19050000000013,46.80616666666659,2013-10-29,2014-02-13,2014-02-14,41.14099999999993,41.14099999999993,continued_below_ma20,1,4,2014-04-02,53.95,2026-08-07,2015-04-02,2015-04-02,complete,82.3,0.585414500832073,2017-04-02,2017-04-05,complete,87.26,1.4577665663063804
2014Q2,2014-04-01,600660,福耀玻璃,0.7383,8.22,11.1336,7.890499999999968,7.852166666666652,2014-02-25,2012-11-30,2012-12-03,6.593999999999984,6.593999999999984,continued,2,4,2014-04-02,8.42,2026-08-07,2015-04-02,2015-04-02,complete,16.82,1.1221648965472322,2017-04-02,2017-04-05,complete,22.64,2.150175246015271
2014Q2,2014-04-01,000858,五 粮 液,0.7487,17.23,23.013,17.001499999999997,15.789333333333325,2013-10-28,2014-03-05,2014-03-06,15.430499999999984,15.430499999999984,continued,3,4,2014-04-02,17.28,2026-08-07,2015-04-02,2015-04-02,complete,23.36,0.4074836153025423,2017-04-02,2017-04-05,complete,43.12,1.7145963674747011
2014Q3,2014-07-01,601088,中国神华,0.4247,14.51,34.1649,14.469499999999956,14.365999999999998,2014-04-26,2014-05-12,2014-05-13,13.920333333333328,13.920333333333328,continued,1,17,2014-07-02,14.68,2026-08-07,2015-07-02,2015-07-02,complete,18.64,0.39609277840833945,2017-07-02,2017-07-03,endpoint_quote_missing,,
2014Q3,2014-07-01,000333,美的集团,0.5029,18.89,37.5613,18.370499999999993,17.733766666666664,2014-04-29,2014-05-28,2014-05-29,16.83643333333333,16.83643333333333,continued,2,17,2014-07-02,19.3,2026-08-07,2015-07-02,2015-07-02,complete,35.99,0.91520684044338,2017-07-02,2017-07-03,complete,41.8,2.5664021160367687
2014Q3,2014-07-01,000338,潍柴动力,0.5401,17.7,32.7694,17.679999999999996,17.539166666666645,2014-04-30,2014-05-12,2014-05-13,17.190166666666645,17.190166666666645,continued,3,17,2014-07-02,17.8,2026-08-07,2015-07-02,2015-07-02,complete,27.81,0.5819982918686284,2017-07-02,2017-07-03,complete,13.0,0.5379243412849815
2014Q4,2014-10-08,000933,神火股份,0.3499,4.71,13.4615,4.467499999999998,4.238333333333318,2013-10-23,2014-07-28,2014-07-29,3.6544333333333183,3.6544333333333183,continued,1,23,2014-10-09,4.74,2026-08-07,2015-10-09,2015-10-09,complete,4.33,-0.08649789029535726,2017-10-09,2017-10-09,complete,11.51,1.4367250214496425
2014Q4,2014-10-08,601088,中国神华,0.4605,15.4,33.4389,15.391499999999958,15.049666666666663,2014-08-23,2014-05-12,2014-05-13,13.010333333333328,13.010333333333328,continued,2,23,2014-10-09,15.45,2026-08-07,2015-10-09,2015-10-09,complete,15.17,0.012967694316696976,2017-10-09,2017-10-09,complete,20.69,0.44307658868728383
2014Q4,2014-10-08,600031,三一重工,0.5763,5.94,10.3067,5.747000000000023,5.513000000000005,2014-08-30,2014-07-29,2014-07-30,5.069500000000003,5.069500000000003,continued,3,23,2014-10-09,5.91,2026-08-07,2015-10-09,2015-10-09,complete,6.7,0.13784797025736406,2017-10-09,2017-10-09,complete,7.77,0.32363973458615325
2015Q1,2015-01-05,000933,神火股份,0.4895,6.59,13.4615,5.849499999999997,5.100666666666652,2013-10-23,2014-07-28,2014-07-29,3.6544333333333183,3.6544333333333183,continued,1,13,2015-01-06,6.32,2026-08-07,2016-01-06,2016-01-06,complete,4.84,-0.23417721518987178,2018-01-06,2018-01-08,complete,10.9,0.7306887098480315
2015Q1,2015-01-05,601088,中国神华,0.6458,22.32,34.5614,18.74599999999996,16.483833333333333,2014-10-25,2014-05-12,2014-05-13,13.010333333333328,13.010333333333328,continued,2,13,2015-01-06,22.86,2026-08-07,2016-01-06,2016-01-06,complete,15.75,-0.2892075108069774,2018-01-06,2018-01-08,complete,25.08,0.18224825126335098
2015Q1,2015-01-05,600585,海螺水泥,0.6655,22.69,34.0941,19.546499999999977,17.957333333333327,2014-10-21,2014-04-09,2014-04-10,15.449499999999993,15.449499999999993,continued,3,13,2015-01-06,22.07,2026-08-07,2016-01-06,2016-01-06,complete,16.68,-0.22245708312396384,2018-01-06,2018-01-08,complete,33.97,0.670409075017272
2015Q2,2015-04-01,600585,海螺水泥,0.8665,23.13,26.6948,21.143499999999975,20.838333333333324,2015-03-24,2014-04-09,2014-04-10,15.449499999999993,15.449499999999993,continued,1,6,2015-04-02,23.06,2026-08-07,2016-04-02,2016-04-05,complete,16.91,-0.24557692921050178,2018-04-02,2018-04-02,complete,32.44,0.526691085249033
2015Q2,2015-04-01,000651,格力电器,0.9419,44.7,47.4593,41.42450000000005,41.02749999999996,2014-10-31,2010-07-28,2010-07-29,10.144333333333353,10.144333333333353,continued,2,6,2015-04-02,44.33,2026-08-07,2016-04-02,2016-04-05,endpoint_quote_missing,,,2018-04-02,2018-04-02,complete,45.97,1.4762903434367627
2015Q2,2015-04-01,600031,三一重工,0.9855,10.24,10.3905,9.07600000000002,8.759333333333336,2014-10-31,2014-07-29,2014-07-30,5.069500000000003,5.069500000000003,continued,3,6,2015-04-02,10.15,2026-08-07,2016-04-02,2016-04-05,complete,5.7,-0.43635490663833754,2018-04-02,2018-04-02,complete,8.16,-0.18855096477203148
2015Q3,2015-07-01,601088,中国神华,0.6814,19.77,29.0152,22.36349999999996,21.42066666666667,2015-04-25,2014-05-12,2014-05-13,12.270333333333328,12.270333333333328,continued_below_ma20,1,7,2015-07-02,18.64,2026-08-07,2016-07-02,2016-07-04,complete,14.29,-0.21620171673819755,2018-07-02,2018-07-02,complete,19.05,0.06750015856136993
2015Q3,2015-07-01,000792,盐湖股份,0.7308,27.01,36.9588,31.48460000000002,29.564366666666672,2015-04-30,2014-07-22,2014-07-23,14.90903333333335,14.90903333333335,continued_below_ma20,2,7,2015-07-02,24.31,2026-08-07,2016-07-02,2016-07-04,complete,21.32,-0.12299465240641727,2018-07-02,2018-07-02,complete,10.5,-0.35031184787205605
2015Q3,2015-07-01,600585,海螺水泥,0.7824,20.33,25.9829,24.264999999999972,23.87599999999999,2015-04-29,2014-04-09,2014-04-10,14.799499999999993,14.799499999999993,continued_below_ma20,3,7,2015-07-02,20.02,2026-08-07,2016-07-02,2016-07-04,complete,14.94,-0.23124351104715835,2018-07-02,2018-07-02,complete,32.01,0.7451965591407463
2015Q4,2015-10-08,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
2015Q4,2015-10-08,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
2015Q4,2015-10-08,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
2016Q1,2016-01-04,000792,盐湖股份,0.6098,23.11,37.8992,24.33100000000004,22.691166666666653,2015-10-31,2014-07-22,2014-07-23,14.90903333333335,14.90903333333335,continued_below_ma20,1,9,2016-01-05,22.15,2026-08-07,2017-01-05,2017-01-05,complete,19.73,-0.10798609497410627,2019-01-05,2019-01-07,complete,6.68,-0.5463683595632434
2016Q1,2016-01-04,600309,万华化学,0.7476,16.85,22.5397,17.89450000000004,17.830166666666678,2015-10-27,2012-12-20,2012-12-21,11.950500000000012,11.950500000000012,continued_below_ma20,2,9,2016-01-05,16.86,2026-08-07,2017-01-05,2017-01-05,complete,23.47,0.4089665589970437,2019-01-05,2019-01-07,complete,28.75,1.1864299368748261
2016Q1,2016-01-04,000651,格力电器,0.8338,20.21,24.2375,21.840500000000034,19.56399999999998,2015-10-31,2010-07-28,2010-07-29,3.5721666666666767,3.5721666666666767,continued_below_ma20,3,9,2016-01-05,20.85,2026-08-07,2017-01-05,2017-01-05,complete,25.26,0.3047517450380368,2019-01-05,2019-01-07,complete,36.48,0.9706886693598302
2016Q2,2016-04-01,601088,中国神华,0.5601,14.2,25.3533,14.134499999999951,13.8685,2016-03-25,2014-05-12,2014-05-13,12.270333333333328,12.270333333333328,continued,1,11,2016-04-05,14.25,2026-08-07,2017-04-05,2017-04-05,complete,19.35,0.38830245663143237,2019-04-05,2019-04-08,complete,20.53,0.5786321412399271
2016Q2,2016-04-01,000338,潍柴动力,0.6,8.13,13.5509,8.012500000000008,7.880166666666651,2016-03-31,2016-03-30,2016-03-31,7.905666666666651,7.880166666666651,continued,2,11,2016-04-05,8.29,2026-08-07,2017-04-05,2017-04-05,complete,11.58,0.42831796209271733,2019-04-05,2019-04-08,complete,14.51,2.9145952101035153
2016Q2,2016-04-01,600031,三一重工,0.6591,5.65,8.5722,5.5575000000000205,5.3923333333333385,2015-10-31,2016-03-28,2016-03-29,5.43766666666667,5.3923333333333385,continued,3,11,2016-04-05,5.7,2026-08-07,2017-04-05,2017-04-05,complete,7.35,0.2918615984405468,2019-04-05,2019-04-08,complete,13.8,1.4776437383849728
2016Q3,2016-07-01,601225,陕西煤业,0.7159,5.22,7.2918,4.799000000000004,4.650666666666669,2015-10-27,2016-06-27,2016-06-28,4.606666666666668,4.606666666666668,continued,1,11,2016-07-04,5.66,2026-08-07,2017-07-04,2017-07-04,complete,7.37,0.3021201413427568,2019-07-04,2019-07-04,complete,9.26,0.7481892728309354
2016Q3,2016-07-01,601939,建设银行,0.8838,4.76,5.3859,4.670400000000003,4.535633333333327,2016-04-30,2012-10-18,2012-10-19,2.848833333333328,2.848833333333328,continued,2,11,2016-07-04,4.8,2026-08-07,2017-07-04,2017-07-04,complete,6.11,0.33045663956639526,2019-07-04,2019-07-04,complete,7.5,0.7077361807762488
2016Q3,2016-07-01,601398,工商银行,0.9275,4.47,4.8192,4.401499999999999,4.312166666666669,2016-04-29,2014-04-14,2014-04-15,2.8747333333333347,2.8747333333333347,continued,3,11,2016-07-04,4.54,2026-08-07,2017-07-04,2017-07-04,complete,5.25,0.21927466806321383,2019-07-04,2019-07-04,complete,5.68,0.5059707961011899
2016Q4,2016-10-10,601088,中国神华,0.5989,15.41,25.7292,15.087999999999953,15.004166666666668,2016-08-27,2014-05-12,2014-05-13,11.950333333333328,11.950333333333328,continued,1,8,2016-10-11,15.54,2026-08-07,2017-10-11,2017-10-11,complete,20.57,0.3523346203346198,2019-10-11,2019-10-11,complete,18.92,0.3650582789863528
2016Q4,2016-10-10,600585,海螺水泥,0.6728,17.02,25.2985,17.039999999999974,16.602333333333334,2016-08-23,2016-07-15,2016-07-18,14.687999999999999,14.687999999999999,continued_below_ma20,2,8,2016-10-11,16.89,2026-08-07,2017-10-11,2017-10-11,complete,24.09,0.4605076997030575,2019-10-11,2019-10-11,complete,43.26,1.829906186910272
2016Q4,2016-10-10,000338,潍柴动力,0.6809,9.31,13.6728,8.981500000000008,8.77466666666665,2016-08-31,2016-07-15,2016-07-18,7.787333333333318,7.787333333333318,continued,3,8,2016-10-11,9.33,2026-08-07,2017-10-11,2017-10-11,complete,7.52,0.6591799851105482,2019-10-11,2019-10-11,complete,11.88,1.8804340282787004
2017Q1,2017-01-03,600585,海螺水泥,0.6639,17.39,26.1918,17.536999999999974,17.5225,2016-10-28,2016-07-15,2016-07-18,14.687999999999999,14.687999999999999,continued_below_ma20,1,5,2017-01-04,17.32,2026-08-07,2018-01-04,2018-01-04,complete,32.1,0.8978148701422488,2020-01-04,2020-01-06,complete,53.32,2.4013977975903265
2017Q1,2017-01-03,000338,潍柴动力,0.7392,9.97,13.488,10.261000000000006,10.027333333333317,2016-10-28,2016-07-15,2016-07-18,7.687333333333318,7.687333333333318,continued_below_ma20,2,5,2017-01-04,10.3,2026-08-07,2018-01-04,2018-01-04,complete,8.61,0.7363121573386364,2020-01-04,2020-01-06,complete,15.19,2.3410585992436475
2017Q1,2017-01-03,000651,格力电器,0.7825,25.06,32.0265,25.091000000000033,23.762166666666648,2016-10-31,2010-07-28,2010-07-29,2.0721666666666767,2.0721666666666767,continued_below_ma20,3,5,2017-01-04,25.14,2026-08-07,2018-01-04,2018-01-04,complete,46.58,0.9377728226769628,2020-01-04,2020-01-06,complete,65.88,1.8581270183464995
2017Q2,2017-04-05,601088,中国神华,0.718,19.35,26.9495,18.074999999999953,17.290333333333336,2017-03-18,2014-05-12,2014-05-13,11.950333333333328,11.950333333333328,continued,1,6,2017-04-06,19.17,2026-08-07,2018-04-06,2018-04-09,complete,20.29,0.0813364018533862,2020-04-06,2020-04-07,complete,16.14,-0.05602065176569393
2017Q2,2017-04-05,600585,海螺水泥,0.7855,21.32,27.1434,21.134499999999974,20.073333333333334,2017-03-24,2016-07-15,2016-07-18,14.687999999999999,14.687999999999999,continued,2,6,2017-04-06,21.64,2026-08-07,2018-04-06,2018-04-09,complete,33.61,0.5904058205995173,2020-04-06,2020-04-07,complete,57.8,1.951112428271537
2017Q2,2017-04-05,000338,潍柴动力,0.8417,11.58,13.7582,11.388000000000009,11.17266666666665,2017-03-30,2016-07-15,2016-07-18,7.687333333333318,7.687333333333318,continued,3,6,2017-04-06,11.56,2026-08-07,2018-04-06,2018-04-09,complete,8.53,0.5326855976555698,2020-04-06,2020-04-07,complete,13.13,1.5731815908703761
2017Q3,2017-07-03,000338,潍柴动力,1.0365,13.0,12.5423,12.147500000000008,11.48549999999998,2017-04-28,2016-07-15,2016-07-18,7.687333333333318,7.687333333333318,continued,1,2,2017-07-04,13.2,2026-08-07,2018-07-04,2018-07-04,complete,8.11,0.27617079716123083,2020-07-04,2020-07-06,complete,15.51,1.661959295414495
2017Q3,2017-07-03,600585,海螺水泥,1.0422,22.7,21.7815,21.364999999999974,20.84733333333333,2017-04-26,2016-07-15,2016-07-18,14.187999999999999,14.187999999999999,continued,2,2,2017-07-04,22.71,2026-08-07,2018-07-04,2018-07-04,complete,31.09,0.41653517784627625,2020-07-04,2020-07-06,complete,58.42,1.8774406777487291
2017Q3,2017-07-03,,无合格标的,,,,,,,,,,,,3,2,,,,,,,,,,,,,
2017Q4,2017-10-09,600585,海螺水泥,0.9613,24.74,25.7359,24.569999999999972,23.987499999999997,2017-08-22,2016-07-15,2016-07-18,14.187999999999999,14.187999999999999,continued,1,2,2017-10-10,24.38,2026-08-07,2018-10-10,2018-10-10,complete,35.2,0.4939385653085424,2020-10-10,2020-10-12,complete,56.89,1.610142348151523
2017Q4,2017-10-09,000338,潍柴动力,0.9718,7.53,7.7486,7.466500000000005,7.070333333333325,2017-08-31,2016-07-15,2016-07-18,3.718666666666659,3.718666666666659,continued,2,2,2017-10-10,7.55,2026-08-07,2018-10-10,2018-10-10,complete,8.49,0.18073395497944222,2020-10-10,2020-10-12,complete,16.02,1.3807262160194806
2017Q4,2017-10-09,,无合格标的,,,,,,,,,,,,3,2,,,,,,,,,,,,,
2018Q1,2018-01-02,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
2018Q1,2018-01-02,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
2018Q1,2018-01-02,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
2018Q2,2018-04-02,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
2018Q2,2018-04-02,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
2018Q2,2018-04-02,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
2018Q3,2018-07-02,000338,潍柴动力,0.5784,8.57,14.8174,8.996000000000006,8.613833333333329,2018-04-28,2016-07-15,2016-07-18,3.568666666666659,3.568666666666659,continued_below_ma20,1,4,2018-07-03,8.44,2026-08-07,2019-07-03,2019-07-03,complete,12.41,0.5483550861465241,2021-07-03,2021-07-05,complete,17.19,1.2610568176185577
2018Q3,2018-07-02,002128,电投能源,0.6755,8.62,12.7614,9.1415,9.049333333333392,2018-04-24,2014-07-22,2014-07-23,5.932500000000049,5.932500000000049,continued_below_ma20,2,4,2018-07-03,8.56,2026-08-07,2019-07-03,2019-07-03,complete,8.76,0.02336448598130958,2021-07-03,2021-07-05,complete,10.35,0.33474648610133295
