arm,first_date,side,code,action,shares,price,reason
WJ_RF5,2025-03-25,BASE,000792,买入,100,16.760,定投加仓
WJ_RF5,2025-03-25,BASE,002466,买入,119600,31.220,定投加仓
WJ_RF5,2025-03-25,BASE,601187,买入,100,5.880,定投加仓
WJ_RF5,2025-03-25,BASE,601229,卖出,403800,9.430,换仓：让位给空间更大的000661
WJ_RF3,2025-03-25,BASE,000792,买入,100,16.760,定投加仓
WJ_RF3,2025-03-25,BASE,002466,买入,119600,31.220,定投加仓
WJ_RF3,2025-03-25,BASE,601187,买入,100,5.880,定投加仓
WJ_RF3,2025-03-25,BASE,601229,卖出,403800,9.430,换仓：让位给空间更大的000661
WJ_RF4,2025-03-25,BASE,000792,买入,100,16.760,定投加仓
WJ_RF4,2025-03-25,BASE,002466,买入,119600,31.220,定投加仓
WJ_RF4,2025-03-25,BASE,601187,买入,100,5.880,定投加仓
WJ_RF4,2025-03-25,BASE,601229,卖出,403800,9.430,换仓：让位给空间更大的000661
WJ_RF6,2025-03-25,BASE,000792,买入,100,16.760,定投加仓
WJ_RF6,2025-03-25,BASE,002466,买入,119600,31.220,定投加仓
WJ_RF6,2025-03-25,BASE,601187,买入,100,5.880,定投加仓
WJ_RF6,2025-03-25,BASE,601229,卖出,403800,9.430,换仓：让位给空间更大的000661
WJ_RF7,2025-03-25,BASE,000792,买入,100,16.760,定投加仓
WJ_RF7,2025-03-25,BASE,002466,买入,119600,31.220,定投加仓
WJ_RF7,2025-03-25,BASE,601187,买入,100,5.880,定投加仓
WJ_RF7,2025-03-25,BASE,601229,卖出,403800,9.430,换仓：让位给空间更大的000661
WJ_RF5S04,2025-03-25,BASE,000792,买入,100,16.760,定投加仓
WJ_RF5S04,2025-03-25,BASE,002466,买入,119600,31.220,定投加仓
WJ_RF5S04,2025-03-25,BASE,601187,买入,100,5.880,定投加仓
WJ_RF5S04,2025-03-25,BASE,601229,卖出,403800,9.430,换仓：让位给空间更大的000661
WJ_RF5S06,2025-03-25,BASE,000792,买入,100,16.760,定投加仓
WJ_RF5S06,2025-03-25,BASE,002466,买入,119600,31.220,定投加仓
WJ_RF5S06,2025-03-25,BASE,601187,买入,100,5.880,定投加仓
WJ_RF5S06,2025-03-25,BASE,601229,卖出,403800,9.430,换仓：让位给空间更大的000661
WJ_RF5X3,2014-09-18,BASE,000933,买入,36400,4.450,定投加仓
WJ_RF5X3,2014-09-18,BASE,002128,买入,100,7.780,定投加仓
WJ_RF5X3,2014-09-18,BASE,600660,卖出,16200,9.960,换仓·减一档：让位给600031
WJ_RF5X3,2014-09-18,BASE,601088,买入,400,15.250,定投加仓
WJ_RF5X3,2014-09-18,BASE,601398,买入,100,3.560,定投加仓
WJ_RF5X3,2014-09-18,WJ_RF5X3,000933,买入,1800,4.450,定投加仓
