valuation_batch_id,batch_sequence,quality_tier_scope,strategy_family,strategy_method_note,stock_count,security_codes,security_names,valuation_review_status,valuation_label_set,batch_note,created_at_utc
VAL-001,1,L1,A,DCF/现金流复利：用FCF收益率、利润增长、分红回购、ROIC和预期年化收益率判断，不用单期PE下结论。,3,600519;600900;000333,贵州茅台;长江电力;美的集团,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：中性:1, 低估:1, 较低估:1。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-002,2,L1,C,GARP成长：用2-3年收入利润增速、现金流转化、竞争壁垒和PEG判断；高PE可被高确定性增长消化。,3,300760;688111;300124,迈瑞医疗;金山办公;汇川技术,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：中性:2, 较高估:1。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-003,3,L1,D,产业链爆发/瓶颈：核实需求票、瓶颈票、利润票，用2-3年正常化利润和订单/产能/客户验证判断。,10,600406;300750;300394;688008;300274;688981;002594;688041;688256;002371,国电南瑞;宁德时代;天孚通信;澜起科技;阳光电源;中芯国际;比亚迪;海光信息;寒武纪;北方华创,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：中性:2, 较低估:1, 较高估:4, 高估:3。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-004,4,L1,D,产业链爆发/瓶颈：核实需求票、瓶颈票、利润票，用2-3年正常化利润和订单/产能/客户验证判断。,5,300502;300308;688012;302132;600760,新易盛;中际旭创;中微公司;中航成飞;中航沈飞,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：中性:1, 较低估:1, 较高估:3。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-005,5,L1,F,垄断资源/周期资源：用中枢商品价格、成本曲线、储量/NAV、穿越周期现金流判断，避免把顶部利润永久化。,3,601899;601088;600938,紫金矿业;中国神华;中国海油,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：中性:2, 较高估:1。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-006,6,L1,G,股东回报型低估：核实现金和经营现金流、分红回购、负债和治理，用现金+保守业务价值判断。,1,600036,招商银行,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：较低估:1。后续需逐股打开PDF研报复核预测假设。,2026-06-14T19:00:45Z
VAL-007,7,L2,A,DCF/现金流复利：用FCF收益率、利润增长、分红回购、ROIC和预期年化收益率判断，不用单期PE下结论。,10,000858;600809;002001;300628;600436;605499;601816;600025;603288;600298,五 粮 液;山西汾酒;新 和 成;亿联网络;片仔癀;东鹏饮料;京沪高铁;华能水电;海天味业;安琪酵母,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：中性:2, 低估:1, 较低估:3, 较高估:3, 高估:1。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-008,8,L2,A,DCF/现金流复利：用FCF收益率、利润增长、分红回购、ROIC和预期年化收益率判断，不用单期PE下结论。,3,600660;603195;600690,福耀玻璃;公牛集团;海尔智家,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：中性:1, 低估:1, 较低估:1。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-009,9,L2,C,GARP成长：用2-3年收入利润增速、现金流转化、竞争壁垒和PEG判断；高PE可被高确定性增长消化。,10,600276;002422;002223;301269;002920;603259;688235;600570;688578;688617,恒瑞医药;科伦药业;鱼跃医疗;华大九天;德赛西威;药明康德;百济神州;恒生电子;艾力斯;惠泰医疗,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：中性:3, 较低估:3, 较高估:3, 高估:1。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-010,10,L2,C,GARP成长：用2-3年收入利润增速、现金流转化、竞争壁垒和PEG判断；高PE可被高确定性增长消化。,10,688188;603658;688278;300347;688692;688271;600845;300573;688016;600161,柏楚电子;安图生物;特宝生物;泰格医药;达梦数据;联影医疗;宝信软件;兴齐眼药;心脉医疗;天坛生物,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：中性:4, 较低估:3, 较高估:1, 高估:2。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
