security_code,security_name,flag_side,verdict,pe_median_usable,evidence,action
600519,贵州茅台,低位极端,劣化不构成不可逆,yes,净利率3年仅降2.2pp(52.7→50.5)且ROE最新回升至32.5%；TTM归母827.2亿、2026E 856.4亿(+3.5%)、16家覆盖预期修正持平(-0.4%)。降幅属经营波动而非结构塌陷。,历史PE趋势可参考，带维持
603195,公牛集团,低位极端,劣化不构成不可逆,yes,净利率3年不降反升(22.6→25.4)；ROE降4.3pp主因高分红压低净资产基数而非盈利能力；2026E 42.7亿(+2.7%)、11家覆盖修正持平(+0.4%)。,历史PE趋势可参考，带维持
600406,国电南瑞,低位极端,劣化不构成不可逆,yes,净利率3年仅降1.3pp、ROE基本平稳(16.1→16.3最新回升)；2026E 91.0亿(+9.4%)、5家覆盖修正持平(-0.1%)。,历史PE趋势可参考，带维持
600809,山西汾酒,低位极端,劣化有实质,no,ROE连降3年共11.2pp(44.7→33.5)；虽2026E +7.0%，但16家覆盖预期修正下调8.1%——下调幅度大于预期增速，指向持续下修。,历史中位不可信；带按一致预期锚重建并标脆弱
000568,泸州老窖,低位极端,劣化确凿,no,ROE连降12.4pp(35.1→22.7)；2026E 95.3亿较TTM为负增长(-4.1%)、16家覆盖修正下调7.0%。负增长+下修双证。,历史中位不可信；带按一致预期锚重建并标脆弱
600436,片仔癀,低位极端,劣化确凿且无研报支撑,no,净利率降5.2pp、ROE降8.7pp(23.5→14.8)；一致预期覆盖不足(仅2份)，无前瞻锚可用。,历史中位不可信；带按 A-2 保守口径并标脆弱，须补研报覆盖
600085,同仁堂,低位极端,劣化确凿且研报覆盖薄,no,净利率降4.8pp、ROE降3.8pp；一致预期仅3家覆盖(12.8亿/+18.9%)，样本不足以支撑前瞻锚。,历史中位不可信；标脆弱，须补研报覆盖
300760,迈瑞医疗,低位极端,劣化已发生但预期企稳,watch,净利率降7.7pp、ROE降12pp(33.6→21.6)，劣化幅度大；但2026E 85.5亿(+9.1%)、16家覆盖修正仅微降1.7%，预期已企稳。,带维持但标脆弱；下一次复核核对增速是否兑现
000786,北新建材,低位极端,劣化与预期矛盾,watch,净利率降3.7pp、ROE降4.7pp；但2026E 34.7亿较TTM +21.1%、15家覆盖修正仅-2.9%。历史下行与预期反弹方向相反。,带维持但标脆弱；矛盾未解前不加仓
002372,伟星新材,低位极端,劣化确凿但预期企稳,watch,净利率自峰值降9.3pp、ROE降11.2pp、营收连降3年(地产链拖累)；但2026E 8.2亿(+9.2%)、15家覆盖修正上调4.1%。,带维持但标脆弱；关注营收是否转正
600486,扬农化工,低位极端,周期底部特征非不可逆劣化,yes,ROE降11.5pp但净利率已在回升(11.4→10.8→11.5→13.6区间波动)；2026E 15.8亿较TTM +26.0%、16家覆盖修正上调2.0%。属周期底部而非结构劣化。,历史PE趋势可参考，带维持
603529,爱玛科技,低位极端,预期大幅下调需警惕,no,净利率基本平稳但ROE降9.9pp(31.1→21.2)；2026E 虽 +25.5%，但8家覆盖预期修正下调12.0%——下调幅度为全部16家之最。,历史中位不可信；带标脆弱，下调兑现前不采信高增速
000725,京东方A,高位极端,改善真实但预期在下调,no,净利率连升3年(-1.0→2.5)属实；但14家覆盖预期修正下调7.7%，安全阀已触发、前瞻锚未采用。改善未获研报确认。,不判结构性重估；沿用历史加权口径，维持高估
002128,电投能源,高位极端,净利率改善但ROE反向,watch,净利率连升4.1pp，但ROE同期由18.2%降至14.9%——改善来自产品价格而非资本效率，扩张摊薄回报；2026E +33.7%、8家覆盖修正持平。,不判结构性重估；带维持并标脆弱
000657,中钨高新,高位极端,改善方向一致但覆盖过薄,watch,净利率与ROE均连升3年，方向一致；但2026E一致预期49.9亿较TTM暴增155.8%、仅5家覆盖、修正上调10.7%。155%的增幅在5家样本上不足以采信。,带维持并标脆弱；须补研报覆盖至≥10家再评估结构性
603067,振华股份,高位极端,改善叠加强上调但覆盖薄,watch,净利率与ROE均在回升；2026E +19.2%、预期修正上调17.8%(全池最强)，但仅4家覆盖。,带维持并标脆弱；须补研报覆盖再评估
