security_code,security_name,garbage_subtype,priority,verification_task,current_reason,evidence_basis,required_evidence,outcome_rule,deadline,queued_at_utc
000820,*ST节能,governance_fraud,P0,证据以嫌疑/历史记忆为主，v18新规下嫌疑不足以garbage：优先对照文书，查无坐实即降回boundary,长期蹭热点夸大宣传、公告与财报明显不匹配（garbage条件2造假嫌疑），神雾系治理灾难未解决，主业空心多年,round1轻量初筛（神雾系暴雷史，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
000995,皇台酒业,governance_fraud,P0,证据以嫌疑/历史记忆为主，v18新规下嫌疑不足以garbage：优先对照文书，查无坐实即降回boundary,历史财务造假（虚增存货/收入），治理灾难,需核验立案调查/处罚公告,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
600599,*ST熊猫,governance_fraud,P0,证据以嫌疑/历史记忆为主，v18新规下嫌疑不足以garbage：优先对照文书，查无坐实即降回boundary,实控人涉非法吸收公众存款被批捕且未让渡控制权，上市公司沦为壳（判例13后半）,round1轻量初筛（互金爆雷，判例13）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
600654,中安科,governance_fraud,P0,证据以嫌疑/历史记忆为主，v18新规下嫌疑不足以garbage：优先对照文书，查无坐实即降回boundary,确认借壳造假且责任方仍在控股位（判例13后半）,round1轻量初筛（安防造假，判例13）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
600696,*ST岩石,governance_fraud,P0,证据以嫌疑/历史记忆为主，v18新规下嫌疑不足以garbage：优先对照文书，查无坐实即降回boundary,长期治理灾难（操纵与重大违规史），*ST,需核验监管处罚/重组公告,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
000056,*ST皇庭,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,控股股东资金占用/违规担保坐实且未解决，责任人仍在位，核心资产被拍卖，治理灾难持续,round1轻量初筛（监管通报与债务处置公告史，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
000518,*ST四环,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,隐瞒实控人信披违法坐实处罚+市场禁入，公司长期蹭热点，治理灾难未解决,round1轻量初筛（证监会处罚决定史+炒作史，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
000826,*ST启环,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,虚增在建工程/营收信披违法坐实处罚，责任控股体系仍在位，债务危机未解决,round1轻量初筛（证监会处罚与债务史，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
000892,欢瑞世纪,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,借壳期间连续虚增营收利润坐实处罚，实控人夫妇仍在位，治理灾难未解决,round1轻量初筛（证监会处罚决定+实控人现状，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002069,獐子岛,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（2020年证监会处罚：借扇贝死亡虚减利润、虚增利润，时任董事长吴厚刚市场禁入）；海底存货不可验证，治理财务长期不透明,round1轻量初筛（证监会处罚决定，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002323,*ST雅博,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（虚构境外工程虚增营收利润，证监会处罚+责任人刑事追责）；主业金属屋面工程属垫资低门槛破损模式，无重建持久优势可能,round1轻量初筛（证监会处罚与刑事判决，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002424,ST百灵,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（2024年证监会处罚：2021-2022年年报虚假记载虚增营收利润），实控人仍在位未整改出清,round1轻量初筛（证监会处罚决定，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002470,金正大,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（2021年证监会处罚：2015-2018年虚增收入利润，规模巨大），责任人未彻底出清,round1轻量初筛（证监会处罚决定，需核验当前控制权）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002485,ST雪发,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,治理灾难未解决（雪松系占用坐实未追回，实控人因非法集资被刑事追责，股权冻结），主业空心化,round1轻量初筛（占用披露与刑事进展，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
300078,思创智联,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（2019-2020年虚增营收利润，实控人十年市场禁入），责任人未出清,round1轻量初筛（处罚决定书，需核验当前控制权）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
300091,*ST金灵,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（连续六年虚增利润，跨越控制权变更仍延续），治理财务长期不透明,round1轻量初筛（处罚决定书，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
300267,尔康制药,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（虚增利润约2.5亿被处罚），实控人未出清,round1轻量初筛（处罚决定书，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
300427,红相股份,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（连续六年虚增军工收入利润，实控人被禁入），责任人未彻底出清,round1轻量初筛（处罚决定书，需核验控制权）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
603377,ST东时,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,实控人操纵证券市场刑事坐实且未让渡控制权（判例13后半，需核验终审与控制权现状）,round1轻量初筛（驾培治理）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
688076,ST诺泰,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假：通过虚假交易虚增收入利润，行政处罚落地，责任人在位（造假坐实）,round1轻量初筛（governance_fraud，需核验处罚决定书与最新整改公告）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
688565,力源科技,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实且责任人仍在控股位（需核验处罚决定书与控制权现状）,round1轻量初筛（水处理造假）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002047,*ST宝鹰,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
