review_batch_id,security_code,security_name,annual_report_title,current_report_title,research_report_org,research_report_title,review_status,primary_strategy_tag_final,watchlist_decision_final,quality_tier_final,moat_conclusion,peer_double_check_conclusion,bear_case_summary,base_case_summary,bull_case_summary
batch-064,600426,华鲁恒升,华鲁恒升2025年年度报告,华鲁恒升2026年一季度报告,环球富盛理财有限公司,26Q1归母净利润同比增长57.96％，毛利率创近两年单季度新高,reviewed_authoritative_deep_review,F-周期资源/材料型,tactical_candidate,L3-战术候选,华鲁恒升是煤化工和基础化工成本龙头，园区一体化、煤气化工艺和资本开支纪律形成优势。,相比普通化工企业更强，但资源稀缺性和非周期属性弱于L2资源/材料锚点，L3。,化工价差回落，新项目回报率下降。,成本优势支撑中枢利润。,景气回升叠加新材料项目提升利润中枢。
batch-064,600456,宝钛股份,宝鸡钛业股份有限公司2025年年度报告,宝鸡钛业股份有限公司2026年第一季度报告,,,reviewed_with_public_research_gap,F-垄断资源型,tactical_candidate,L3-战术候选,宝钛股份是钛材龙头，航空航天钛材客户认证、熔炼加工和质量体系构成壁垒。,相比西部超导等更高端军工材料平台，宝钛周期和品类限制较多，L3。,航空订单推迟，民品钛材价格下行。,高端钛材稳定交付。,航空航天需求放量提升利润率。
batch-064,600967,内蒙一机,内蒙古第一机械集团股份有限公司2025年年度报告,内蒙古第一机械集团股份有限公司2026年第一季度报告,山西证券股份有限公司,国内军品市场保持稳定，军贸及智能装备持续突破,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,内蒙一机是地面装备重要平台，军工资质、型号和总装能力形成较强准入壁垒。,相比航空/电子材料高弹性平台，内蒙一机订单周期和资产效率约束较强，L3。,军品订单延期，军贸低于预期。,装备交付稳定，智能装备小幅贡献。,军贸放量和无人/智能装备重估。
batch-064,300395,菲利华,2025年年度报告,2026年一季度报告,中银国际证券股份有限公司,石英电子布静待下半年需求释放，多元业务协同共进,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,quasi_core_candidate,L2-准核心候选,菲利华在石英玻璃、石英纤维和半导体/航空材料上有高纯材料、客户认证和工艺壁垒。,与半导体关键材料L2锚点相近，受需求周期和客户节奏限制非L1。,半导体需求弱，电子布放量慢。,石英材料稳健增长，电子布逐步释放。,半导体和军工材料双轮放量，利润率提升。
batch-064,600028,中国石化,中国石化2025年度报告,中国石化2026年第一季度报告,信达证券股份有限公司,油价中枢上移，库存增利与炼油盈利改善推动业绩修复,reviewed_authoritative_deep_review,F-垄断资源型,zero_position_watch,L4-零仓位观察,中国石化拥有炼化销售网络和央企资源，但上游资源优势弱于中国海油，炼化利润周期性强。,相比中国海油的上游资源和分红确定性，中国石化质量低一档，L4。,油价下跌、炼化价差收窄、政策压制利润。,炼化销售稳定，高分红维持。,油价和炼化价差共振改善盈利。
batch-064,601958,金钼股份,金钼股份2025年年度报告,金钼股份2026年第一季度报告,国元证券股份有限公司,首次覆盖报告：资源完全自给，钼产业链布局日趋完善,reviewed_authoritative_deep_review,F-垄断资源型,tactical_candidate,L3-战术候选,金钼股份具备钼资源完全自给和钼产业链布局，资源品位和自给率形成成本优势。,资源自给优势清晰，但品种空间和周期性低于紫金/洛钼，L3。,钼价回落，需求放缓。,资源自给支撑高于行业的中枢盈利。,钼供给紧张和深加工放量提升利润。
batch-064,600160,巨化股份,巨化股份2025年年度报告,巨化股份2026年第一季度报告,开源证券股份有限公司,公司深度报告：卡位先进制程核心环节，“半导体血管”超纯PFA打破国外垄断，助力“中国芯”自主可控,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,巨化股份拥有氟化工产业链、制冷剂配额和高端PFA等材料布局，配额和工艺形成壁垒。,相比普通化工周期股更有配额和半导体材料催化；PFA尚需验证，L3。,制冷剂价格回落，PFA客户导入慢。,制冷剂利润稳定，PFA小批量贡献。,PFA国产替代加速，制冷剂高景气延续。
batch-064,600416,湘电股份,湘潭电机股份有限公司2025年年度报告,湘潭电机股份有限公司2026年第一季度报告,,,reviewed_with_public_research_gap,C-GARP成长型,zero_position_watch,L4-零仓位观察,湘电股份在大中型电机、军工电机和电气传动有技术积累，但历史盈利波动和业务验证不足。,相比卧龙电驱、汇川等更清晰平台，湘电证据不足，L4。,订单波动、历史包袱拖累利润。,特种电机稳定，经营改善。,军工和高端电机订单放量。
batch-064,000708,中信特钢,2025年年度报告,2026年一季度报告,民生证券股份有限公司,2025年半年报点评：业绩稳健增长，加快品种结构调整,reviewed_authoritative_deep_review,F-周期资源/材料型,tactical_candidate,L3-战术候选,中信特钢是特钢龙头，产品结构、客户认证、规模和成本管理形成较强制造壁垒。,相比普钢公司显著更优；与半导体/军工材料L2相比周期性更强，L3。,制造业需求弱、钢价下行。,高端品种支撑盈利稳定。,品种升级和出口提升利润率。
batch-064,300161,华中数控,2025年年度报告,2026年一季度报告,东吴证券股份有限公司,2025年报&2026一季报点评：2025年利润转正，高端数控系统国产化稳步推进,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,华中数控是国产高端数控系统代表，控制算法、伺服、机床客户和产学研积累构成壁垒。,相比汇川等盈利平台和大机床集团，华中数控商业化仍弱，L3。,高端数控导入慢，费用投入压利润。,国产化订单稳步增长，利润维持正向。,高端数控系统进入更多主流机床厂。
batch-064,600378,昊华科技,昊华科技2025年年度报告,昊华科技2026年第一季度报告,中邮证券有限责任公司,高端氟材料驱动增长，在建产能有序推进,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,昊华科技在高端氟材料、电子化学品和军工化工材料上有中化体系资源、工艺和客户壁垒。,相比华特/雅克等更纯半导体材料平台，昊华业务更杂但具材料壁垒，L3。,新产能消化慢，传统化工下行。,高端氟材料稳健增长。,电子材料和军工材料放量提升估值。
batch-064,300748,金力永磁,2025年年度报告,2026年一季度报告,东兴证券股份有限公司,2025年年报业绩点评：产销持续增长，利润高增符合预期,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,金力永磁是高性能稀土永磁龙头之一，晶界渗透、客户认证和自动化制造构成壁垒。,相比北方稀土资源端，金力偏加工制造；相比普通磁材企业更强，L3。,稀土价格波动、客户压价。,新能源车和风电客户稳定增长。,机器人和节能电机打开高端磁材空间。
batch-064,688122,西部超导,2025年年度报告,2026年第一季度报告,开源证券股份有限公司,公司首次覆盖报告：军工材料龙头崛起，多业务协同开启成长新周期,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,quasi_core_candidate,L2-准核心候选,西部超导是军工钛合金、高温合金和超导材料龙头，材料配方、认证和批产能力壁垒强。,与菲利华、光威复材同属高壁垒军工/半导体材料，可列L2；军工订单周期限制非L1。,军工订单放缓，产能利用率不足。,钛合金和高温合金稳定增长。,航空发动机和民机材料放量，超导应用贡献增量。
batch-064,688032,禾迈股份,杭州禾迈电力电子股份有限公司2025年年度报告,2026年第一季度报告,东吴证券股份有限公司,25年报及26年一季报点评：结构性影响Q1盈利略有承压，26年户储及大储迎来收获期,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,zero_position_watch,L4-零仓位观察,禾迈股份在微逆和储能逆变器有技术和海外渠道，但光储逆变器竞争强、价格压力大。,相比阳光电源、德业等更强平台，禾迈竞争和规模限制较大，L4。,海外需求弱、价格战、库存压力。,户储和大储逐步恢复。,新市场和大储项目放量。
batch-064,688281,华秦科技,2025年年度报告,2026年第一季度报告,开源证券股份有限公司,公司首次覆盖报告：隐身材料放量在即，航发新材料开启第二成长曲线,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,quasi_core_candidate,L2-准核心候选,华秦科技是隐身材料和军工新材料核心供应商，配方、型号认证和保密资质构成强壁垒。,军工新材料稀缺性强，可列L2；受军工订单节奏和客户集中限制非L1。,型号放量低于预期，军工订单延迟。,隐身材料稳定交付，航发材料逐步贡献。,新型号批产和航发材料打开成长空间。
batch-064,300699,光威复材,2025年年度报告,2026年一季度报告,中银国际证券股份有限公司,三季度业绩环比改善，能源新材料快速增长,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,quasi_core_candidate,L2-准核心候选,光威复材是碳纤维和复合材料龙头，军工认证、纤维制备、预浸料和复材应用构成高壁垒。,与西部超导、菲利华同属高壁垒材料L2；价格竞争和业务波动限制非L1。,军品订单波动，民品价格竞争。,军工业务稳定，能源新材料增长。,高端碳纤维和复材应用放量。
batch-064,600879,航天电子,航天时代电子技术股份有限公司2025年年度报告,航天时代电子技术股份有限公司2026年第一季度报告,国信证券股份有限公司,“激光+无人”并举，军民双线齐飞,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,航天电子在航天电子、惯导、测控和无人系统等军工电子领域有体系内资质和型号壁垒。,相比中航光电等高盈利军工电子锚点，航天电子资产效率和利润率较弱，L3。,军工订单延期，利润率低。,航天电子配套稳定，无人系统增长。,无人和激光装备放量提升估值。
batch-064,688599,天合光能,天合光能股份有限公司2025年年度报告,天合光能股份有限公司2026年第一季度报告,东吴证券股份有限公司,2025年年报及2026年一季报点评：储能盈利能力提升，向解决方案供应商迈进,reviewed_authoritative_deep_review,C-GARP成长型,not_watch,L5-不纳入观察,天合光能是光伏一体化龙头之一，但组件和电池环节产能过剩、价格竞争和资本开支压力强。,相比宁德、阳光等更强新能源瓶颈，天合所在环节竞争过剩，不纳入观察池，L5。,组件价格继续下行，存货和减值压力。,储能改善但光伏利润低位。,储能和解决方案转型成功。
batch-064,600486,扬农化工,2025年年度报告,2026年第一季度报告,环球富盛理财有限公司,农化龙头景气回暖，葫芦岛优创基地释放增量,reviewed_authoritative_deep_review,F-周期资源/材料型,zero_position_watch,L4-零仓位观察,扬农化工是农化龙头，合成工艺、环保安全管理和全球客户有壁垒，但农化周期和价格竞争明显。,相比资源/半导体材料锚点，扬农周期属性较强且不可替代性不足，L4。,农药价格下行，新增产能低回报。,景气回暖，基地贡献收入。,高端品种和海外需求提升利润率。
batch-064,600038,中直股份,中航直升机股份有限公司2025年年度报告（更正后）,中航直升机股份有限公司2026年第一季度报告,山西证券股份有限公司,净利润超预期增长，加快多维市场开拓,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,中直股份是直升机总装和航空装备平台，型号、军工资质和总装能力形成强准入壁垒。,相比航空发动机/核心材料L2锚点，中直订单周期和盈利质量约束更大，L3。,军品订单延期，民用需求落地慢。,军用直升机交付稳定，利润改善。,低空经济和新型号放量打开空间。
