priority,priority_reason,severity,security_code,security_name,quality_tier,strategy_tag,valuation_tier,fair_price_low,fair_price_high,band_derivation,violations,fair_price_basis,queued_at
1,持仓,blocking,000333,美的集团,L2,A-DCF/现金流复利型,较低估,88,111,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径62.2-77.8与档位不符，按档位标准带）,2026-08-01
1,持仓,blocking,000858,五粮液,L1,A-DCF/现金流复利型,较低估,83,103,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算,2026-08-01
1,持仓,blocking,000895,双汇发展,L2,G-股东回报型低估,低估,30.4,39.7,fallback,检查2 标签 G 自 v1.28 起不是主标签（已降为股东回报上限（通用校验二）），须按 §6.5.0 重贴,按低估档标准带1.30-1.70×估值价换算,2026-08-01
1,持仓,blocking,000933,神火股份,L2,F-垄断资源型,较低估,26.3,32.9,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径20.0-24.5与档位不符，按档位标准带）,2026-08-01
1,持仓,blocking,300628,亿联网络,L2,A-DCF/现金流复利型,较低估,38.6,48.2,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算,2026-08-01
1,持仓,blocking,300760,迈瑞医疗,L2,C-GARP成长型,较低估,159,198,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径95.0-142.6与档位不符，按档位标准带）,2026-08-01
1,持仓,blocking,600036,招商银行,L2,G-股东回报型低估,低估,47.9,62.7,fallback,检查2 标签 G 自 v1.28 起不是主标签（已降为股东回报上限（通用校验二）），须按 §6.5.0 重贴,按低估档标准带1.30-1.70×估值价换算,2026-08-01
1,持仓,blocking,600066,宇通客车,L2,A-DCF/现金流复利型,低估,36.9,48.3,fallback,检查6 band_derivation=fallback（档位反推带，低估（精确复算为 1.3-1.7×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按低估档标准带1.30-1.70×估值价换算,2026-08-01
1,持仓,blocking,600406,国电南瑞,L1,A-DCF/现金流复利型,低估,28.7,37.5,fallback,检查6 band_derivation=fallback（档位反推带，低估（精确复算为 1.3-1.7×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按低估档标准带1.30-1.70×估值价换算（锚点口径22.6-28.3与档位不符，按档位标准带）,2026-08-01
1,持仓,blocking,601899,紫金矿业,L2,F-垄断资源型,较低估,31.0,38.8,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径24.8-29.0与档位不符，按档位标准带）,2026-08-01
