review_batch_id,security_code,security_name,annual_report_title,current_report_title,research_report_org,research_report_title,review_status,primary_strategy_tag_final,watchlist_decision_final,quality_tier_final,moat_conclusion,peer_double_check_conclusion,bear_case_summary,base_case_summary,bull_case_summary
batch-047,001332,锡装股份,2025年年度报告,2026年一季度报告,太平洋证券股份有限公司,2024业绩符合预期，盈利能力提升,reviewed_authoritative_deep_review,C-GARP成长型,zero_position_watch,L4-零仓位观察,锡装股份从事金属压力容器和专用设备，资质、焊接和项目经验有一定门槛，但本质仍是订单驱动的装备制造。,相比北方华创/中微等关键设备瓶颈，锡装股份缺少稀缺性和议价权，维持L4。,资本开支放缓、项目验收延期、毛利率下滑。,凭项目储备维持稳定增长但议价权有限。,高端压力容器持续突破并改善毛利。
batch-047,688095,福昕软件,福建福昕软件开发股份有限公司2025年年度报告,福建福昕软件开发股份有限公司2026年第一季度报告,东兴证券股份有限公司,2025年三季报点评：双转型提速，经营活动现金流改善明显,reviewed_authoritative_deep_review,C-GARP成长型,tactical_candidate,L3-战术候选,福昕软件在PDF文档软件和开发工具领域具备产品积累、海外客户和订阅转型基础，但直接面对Adobe等全球强竞争者。,相比金山办公的国内生态和用户规模，福昕更垂直、更小，适合L3而非L2。,订阅转型慢，海外竞争压价，费用拖累利润。,订阅和企业授权改善现金流。,PDF生态和AI文档工具带动高质量复利。
batch-047,002180,奔图科技,2025年年度报告,2026年一季度报告,信达证券股份有限公司,充电新领域联手合作，芯片业务有望打开长期发展空间,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,奔图科技围绕打印机整机、耗材和芯片形成国产打印生态，渠道和兼容芯片能力强于普通硬件厂商。,相比办公软件型高粘性平台，奔图更硬件周期和渠道驱动，暂列L3。,政企采购放缓，芯片或耗材竞争压低利润。,国产打印份额提升，耗材贡献稳定利润。,打印生态和芯片外延打开第二曲线。
batch-047,600976,健民集团,健民集团2025年年度报告,健民集团2026年第一季度报告,西南证券股份有限公司,医药工业持续高增，结构优化提升盈利能力,reviewed_authoritative_deep_review,A-DCF/现金流复利型,zero_position_watch,L4-零仓位观察,健民集团拥有儿科中药品牌和渠道基础，但单品和中药品牌壁垒弱于片仔癀、同仁堂等稀缺品牌。,与一线中药稀缺品牌相比，健民护城河和定价权不足，L4。,核心品种放缓，渠道费用侵蚀利润。,医药工业稳健增长。,大单品和院外渠道放量。
batch-047,301161,唯万密封,2025年年度报告,2026年一季度报告,国信证券股份有限公司,2025年第三季度净利润增长94%，人形和半导体已获订单,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,唯万密封在液压密封件等细分领域具备工艺、材料配方和客户认证积累，新进入者需要通过可靠性验证。,相比通用零部件企业，唯万有更清晰的细分工艺壁垒；但规模小、客户集中，L3。,机器人/半导体订单小，工程机械周期拖累。,传统液压修复，新应用贡献增量。,机器人和半导体密封件形成高毛利第二曲线。
batch-047,002006,精工科技,2025年年度报告,2026年一季度报告,国元证券股份有限公司,2025年年报及2026年一季报点评：布局碳纤维全产业链，碳纤维业务发展显著,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,精工科技在碳纤维装备和专用设备有工程经验和产线交付能力，处在国产高端装备链条中的细分环节。,相比半导体设备龙头稀缺性略弱，但优于普通通用设备，L3。,碳纤维扩产放缓导致订单下滑。,装备订单稳定交付。,碳纤维全产业链设备持续放量。
batch-047,002268,电科网安,2025年年度报告,2026年一季度报告,东吴证券股份有限公司,布局智慧医院数智化安全，聚焦新赛道谋求新发展,reviewed_authoritative_deep_review,C-GARP成长型,zero_position_watch,L4-零仓位观察,电科网安有央企背景和安全产品积累，但网络安全行业竞争分散、项目制明显，产品差异化不足。,与具备平台级安全生态或高现金流软件公司相比，电科网安盈利质量和壁垒偏弱，L4。,项目回款慢，价格竞争压低利润。,政企安全需求稳健恢复。,信创安全平台化带来利润改善。
batch-047,300066,三川智慧,2025年年度报告,2026年一季度报告,,,reviewed_with_public_research_gap,C-GARP成长型,not_watch,L5-不纳入观察,三川智慧主业智能水表竞争充分，产品可替代性较高，缺少行业不可复制地位。,相比具备垄断资源或关键设备能力的公司，三川智慧不符合严进观察标准，L5。,招投标价格竞争、回款拖累。,低速稳定经营。,资源回收等新业务带来增量但不确定。
batch-047,688570,天玛智控,天玛智控2025年年度报告,天玛智控2026年第一季度报告,信达证券股份有限公司,份额稳居行业前列，智能制造增量发展,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,天玛智控在煤矿综采智能控制系统具备行业份额、客户案例和安全可靠性验证积累，细分地位较强。,相比普通矿山设备公司，天玛在智能控制环节更稀缺；但行业天花板有限，L3。,煤企资本开支下行，项目延期。,煤矿智能化需求稳定推进。,智能采煤系统渗透率提高，份额维持领先。
batch-047,300388,节能国祯,2025年年度报告,2026年一季度报告,,,reviewed_with_public_research_gap,G-股东回报型低估/稳健资产,not_watch,L5-不纳入观察,节能国祯是水务环保工程和运营企业，行业项目制、回款慢、竞争充分，护城河弱。,环保工程类公司普遍资本占用高且议价权弱，不符合前三档标准，L5。,回款恶化、利润被项目成本吞噬。,存量运营稳定但低回报。,国资资源改善融资和项目获取。
