ticker,from,to,cik,name,status
AA,2011-11-01,2012-03-22,0000004281,Howmet Aerospace Inc.,mapped
AAPL,2011-11-01,,0000320193,Apple Inc.,mapped
ABBV,2013-12-01,,0001551152,AbbVie Inc.,mapped
ABT,2011-11-01,,0000001800,ABBOTT LABORATORIES,mapped
ACN,2012-03-23,,0001467373,Accenture plc,mapped
ADBE,2019-04-30,,0000796343,ADOBE INC.,mapped
AEP,2011-11-01,2014-06-22,0000004904,AMERICAN ELECTRIC POWER CO INC,mapped
AGN,2016-08-16,2020-05-11,0001578845,Allergan plc,mapped
AIG,2013-06-05,2026-03-21,0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",financial
ALL,2011-11-01,2021-03-21,0000899051,ALLSTATE CORP,financial
AMAT,2026-03-22,,0000006951,APPLIED MATERIALS INC /DE,mapped
AMD,2022-09-19,,0000002488,ADVANCED MICRO DEVICES INC,mapped
AMGN,2011-11-01,,0000318154,AMGEN INC,mapped
AMT,2020-04-09,,0001053507,AMERICAN TOWER CORP /MA/,financial
AMZN,2011-11-01,,0001018724,AMAZON COM INC,mapped
APA,2012-09-23,2016-08-15,0000006769,APACHE CORP,mapped
APC,2012-03-23,2014-03-26,0000773910,ANADARKO PETROLEUM CORP,mapped
APC,2014-04-23,2016-03-20,0000773910,ANADARKO PETROLEUM CORP,mapped
AVGO,2021-03-22,,0001730168,Broadcom Inc.,mapped
AVP,2011-11-01,2012-03-22,0000008868,AVON PRODUCTS INC,mapped
AXP,2011-11-01,,0000004962,AMERICAN EXPRESS CO,financial
BA,2011-11-01,,0000012927,BOEING CO,mapped
BAC,2011-11-01,,0000070858,BANK OF AMERICA CORP /DE/,financial
BAX,2011-11-01,2016-08-15,0000010456,BAXTER INTERNATIONAL INC,mapped
BHI,2011-11-01,2013-06-04,0000808362,Baker Hughes Holdings LLC,mapped
BIIB,2014-06-23,2022-03-18,0000875045,BIOGEN INC.,mapped
BK,2011-11-01,2026-05-20,0001390777,Bank of New York Mellon Corp,financial
BKNG,2018-03-08,,0001075531,Booking Holdings Inc.,mapped
BLK,2015-11-02,2024-02-19,0001364742,"BlackRock Finance, Inc.",financial
BLK,2024-02-20,,0002012383,"BlackRock, Inc.",financial
BMY,2011-11-01,,0000014272,BRISTOL MYERS SQUIBB CO,mapped
BNY,2026-05-22,,0001390777,Bank of New York Mellon Corp,financial
BRK.B,2011-11-01,,0001067983,BERKSHIRE HATHAWAY INC,financial
C,2011-11-01,,0000831001,CITIGROUP INC,financial
CAT,2011-11-01,,0000018230,CATERPILLAR INC,mapped
CELG,2016-08-16,2019-11-20,0000816284,CELGENE CORP /DE/,mapped
CHTR,2017-09-05,2025-09-04,0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",mapped
CHTR,2025-09-07,2025-09-20,0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",mapped
CL,2011-11-01,,0000021665,COLGATE PALMOLIVE CO,mapped
CMCSA,2011-11-01,,0001166691,COMCAST CORP,mapped
COF,2011-11-01,,0000927628,CAPITAL ONE FINANCIAL CORP,financial
COP,2011-11-01,,0001163165,CONOCOPHILLIPS,mapped
COST,2011-11-01,,0000909832,COSTCO WHOLESALE CORP /NEW,mapped
CPB,2011-11-01,2012-09-22,0000016732,CAMPBELL'S Co,mapped
CRM,2020-05-13,,0001108524,"Salesforce, Inc.",mapped
CSCO,2011-11-01,,0000858877,"CISCO SYSTEMS, INC.",mapped
CTS,2013-05-07,2013-08-06,,,unmapped
CVS,2011-11-01,,0000064803,CVS HEALTH Corp,mapped
CVX,2011-11-01,,0000093410,CHEVRON CORP,mapped
DD,2011-11-01,2017-08-31,0000030554,"EIDP, Inc.",mapped
DD,2017-09-01,2017-09-04,0001666700,"DuPont de Nemours, Inc.",mapped
DD,2019-06-05,2019-06-09,0001666700,"DuPont de Nemours, Inc.",mapped
DD,2019-06-25,2019-06-26,0001666700,"DuPont de Nemours, Inc.",mapped
DD,2019-07-19,2022-09-18,0001666700,"DuPont de Nemours, Inc.",mapped
DE,2023-09-17,,0000315189,DEERE & CO,mapped
DELL,2011-11-01,2013-10-28,0000826083,DELL INC,mapped
DHR,2016-06-15,,0000313616,DANAHER CORP /DE/,mapped
DIS,2011-11-01,2018-06-24,0001001039,TWDC Enterprises 18 Corp.,mapped
DIS,2018-06-25,,0001744489,Walt Disney Co,mapped
DOW,2011-11-01,2017-08-31,0000029915,DOW CHEMICAL CO /DE/,mapped
DOW,2019-04-03,2025-03-21,0001751788,DOW INC.,mapped
DUK,2016-06-15,,0001326160,Duke Energy CORP,mapped
DVN,2011-11-01,2016-06-14,0001090012,DEVON ENERGY CORP/DE,mapped
DWDP,2017-09-05,2019-06-02,0001666700,"DuPont de Nemours, Inc.",mapped
EBAY,2012-03-23,2016-08-15,0001065088,EBAY INC,mapped
EMC,2011-11-01,2016-09-06,0000790070,EMC CORP,mapped
EMR,2012-09-23,,0000032604,EMERSON ELECTRIC CO,mapped
ETR,2011-11-01,2012-03-22,0000065984,ENTERGY CORP /DE/,mapped
EXC,2011-11-01,2024-03-15,0001109357,EXELON CORP,mapped
F,2011-11-01,2025-03-21,0000037996,FORD MOTOR CO,mapped
FB,2013-12-23,2022-06-08,0001326801,"Meta Platforms, Inc.",mapped
FCX,2011-11-01,2016-08-15,0000831259,FREEPORT-MCMORAN INC,mapped
FDX,2011-11-01,,0001048911,FEDEX CORP,mapped
FOX,2016-08-16,2018-10-08,0001308161,"TWENTY-FIRST CENTURY FOX, INC.",mapped
FOX,2018-10-09,2019-04-29,0001754301,Fox Corp,mapped
FOXA,2013-12-01,2018-10-08,0001308161,"TWENTY-FIRST CENTURY FOX, INC.",mapped
FOXA,2018-10-09,2019-04-29,0001754301,Fox Corp,mapped
GD,2011-11-01,,0000040533,GENERAL DYNAMICS CORP,mapped
GE,2011-11-01,,0000040545,GENERAL ELECTRIC CO,mapped
GEV,2026-03-22,,0001996810,GE Vernova Inc.,mapped
GILD,2011-11-01,,0000882095,"GILEAD SCIENCES, INC.",mapped
GM,2013-06-07,,0001467858,General Motors Co,mapped
GOOG,2014-04-03,2015-10-01,0001288776,GOOGLE INC.,mapped
GOOG,2015-10-02,,0001652044,Alphabet Inc.,mapped
GOOGL,2016-08-16,,0001652044,Alphabet Inc.,mapped
GS,2011-11-01,,0000886982,GOLDMAN SACHS GROUP INC,financial
HAL,2011-11-01,2019-04-02,0000045012,HALLIBURTON CO,mapped
HD,2011-11-01,,0000354950,"HOME DEPOT, INC.",mapped
HNZ,2011-11-01,2013-06-04,0000046640,Kraft Heinz Foods Co,mapped
HON,2011-11-01,2026-06-28,0000773840,HONEYWELL INTERNATIONAL INC,mapped
HONA,2026-06-29,,0002089271,Honeywell Aerospace Inc.,mapped
HPQ,2011-11-01,2015-11-01,0000047217,HP INC,mapped
HSH,2012-07-30,2012-09-22,,,unmapped
IBM,2011-11-01,,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,mapped
INTC,2011-11-01,,0000050863,INTEL CORP,mapped
INTU,2024-03-16,,0000896878,INTUIT INC.,mapped
ISRG,2025-03-22,,0001035267,INTUITIVE SURGICAL INC,mapped
JNJ,2011-11-01,,0000200406,JOHNSON & JOHNSON,mapped
JPM,2011-11-01,,0000019617,JPMORGAN CHASE & CO,financial
KFT,2011-11-01,2012-11-27,0001103982,"Mondelez International, Inc.",mapped
KHC,2016-11-12,2025-03-21,0001637459,Kraft Heinz Co,mapped
KMI,2016-08-16,2021-03-21,0001506307,"KINDER MORGAN, INC.",mapped
KO,2011-11-01,,0000021344,COCA COLA CO,mapped
KRAFT,2013-01-02,2013-01-02,,,unmapped
LIN,2021-03-22,,0001707925,LINDE PLC,mapped
LLY,2012-03-23,2013-01-01,0000059478,ELI LILLY & Co,mapped
LLY,2013-03-07,,0000059478,ELI LILLY & Co,mapped
LMT,2011-11-01,,0000936468,LOCKHEED MARTIN CORP,mapped
LOW,2011-11-01,,0000060667,LOWES COMPANIES INC,mapped
LRCX,2026-03-22,,0000707549,LAM RESEARCH CORP,mapped
MA,2011-11-01,,0001141391,Mastercard Inc,mapped
MCD,2011-11-01,,0000063908,MCDONALDS CORP,mapped
MDLZ,2012-11-28,2013-01-01,0001103982,"Mondelez International, Inc.",mapped
MDLZ,2013-03-07,,0001103982,"Mondelez International, Inc.",mapped
MDT,2011-11-01,2014-07-13,0000064670,MEDTRONIC INC,mapped
MDT,2014-07-14,,0001613103,Medtronic plc,mapped
MET,2011-11-01,2026-03-21,0001099219,METLIFE INC,financial
META,2022-06-09,,0001326801,"Meta Platforms, Inc.",mapped
MMM,2011-11-01,,0000066740,3M CO,mapped
MO,2011-11-01,,0000764180,"ALTRIA GROUP, INC.",mapped
MON,2011-11-01,2018-06-06,0001110783,MONSANTO CO /NEW/,mapped
MRK,2011-11-01,,0000310158,"Merck & Co., Inc.",mapped
MS,2011-11-01,,0000895421,MORGAN STANLEY,financial
MSFT,2011-11-01,,0000789019,MICROSOFT CORP,mapped
MU,2026-03-22,,0000723125,MICRON TECHNOLOGY INC,mapped
NEE,2016-03-21,,0000753308,NEXTERA ENERGY INC,mapped
NFLX,2018-06-07,,0001065280,NETFLIX INC,mapped
NKE,2011-11-01,,0000320187,"NIKE, Inc.",mapped
NOV,2011-11-01,2016-08-15,0001021860,NOV Inc.,mapped
NOW,2025-03-22,,0001373715,"ServiceNow, Inc.",mapped
NSC,2011-11-01,2016-06-14,0000702165,NORFOLK SOUTHERN CORP,mapped
