ticker,from,to,cik,series,status
ABT,2009-01-01,,0000001800,yahoo:ABT,ok
AMD,2009-01-01,2013-09-22,0000002488,yahoo:AMD,ok
AMD,2017-03-20,,0000002488,yahoo:AMD,ok
APD,2009-01-01,,0000002969,yahoo:APD,ok
AYE,2009-01-01,2011-02-27,0000003673,tiingo:AYE,ok
SWKS,2015-03-12,,0000004127,yahoo:SWKS,ok
ARNC,2009-01-01,2019-10-29,0000004281,yahoo:HWM,partial
ARNC,2019-10-30,2020-04-05,0000004281,yahoo:HWM,ok
HWM,2020-04-06,,0000004281,yahoo:HWM,ok
HES,2009-01-01,2025-07-22,0000004447,tiingo:HES,ok
AEP,2009-01-01,,0000004904,yahoo:AEP,ok
AAL,2015-03-23,2024-09-22,0000006201,yahoo:AAL,ok
ADI,2009-01-01,,0000006281,yahoo:ADI,ok
APA,2009-01-01,2021-02-28,0000006769,yahoo:APA,ok
AMAT,2009-01-01,,0000006951,yahoo:AMAT,ok
ADM,2009-01-01,,0000007084,yahoo:ADM,ok
SWN,2009-01-01,2017-04-03,0000007332,tiingo:SWN,ok
ADP,2009-01-01,,0000008670,yahoo:ADP,ok
AVY,2009-01-01,,0000008818,yahoo:AVY,ok
AVP,2009-01-01,2015-03-22,0000008868,tiingo:AVP,ok
BALL,2022-05-10,,0000009389,yahoo:BALL,ok
BLL,2009-01-01,2022-05-09,0000009389,yahoo:BALL,ok
BCR,2009-01-01,2017-12-28,0000009892,tiingo:BCR,ok
BAX,2009-01-01,,0000010456,yahoo:BAX,ok
BDX,2009-01-01,,0000010795,yahoo:BDX,ok
BMS,2009-01-01,2014-12-04,0000011199,yahoo:BMS,ok
BIO,2020-06-22,2024-09-22,0000012208,yahoo:BIO,ok
HRB,2009-01-01,2020-09-20,0000012659,yahoo:HRB,ok
BA,2009-01-01,,0000012927,yahoo:BA,ok
BMY,2009-01-01,,0000014272,yahoo:BMY,ok
BF.B,2009-01-01,,0000014693,yahoo:BF-B,ok
CPB,2009-01-01,2026-06-21,0000016732,yahoo:CPB,ok
STZ,2009-01-01,,0000016918,yahoo:STZ,ok
CAT,2009-01-01,,0000018230,yahoo:CAT,ok
CTL,2009-01-01,2020-09-17,0000018926,yahoo:LUMN,ok
LUMN,2020-09-18,2023-03-19,0000018926,yahoo:LUMN,ok
FTR,2009-01-01,2017-03-19,0000020520,,no_price
CLX,2009-01-01,,0000021076,yahoo:CLX,ok
KO,2009-01-01,,0000021344,yahoo:KO,ok
CL,2009-01-01,,0000021665,yahoo:CL,ok
DXC,2009-01-01,2015-11-30,0000023082,yahoo:DXC,ok
CAG,2009-01-01,2026-06-29,0000023217,yahoo:CAG,ok
TAP,2009-01-01,,0000024545,yahoo:TAP-A,ok
GLW,2009-01-01,,0000024741,yahoo:GLW,ok
CMI,2009-01-01,,0000026172,yahoo:CMI,ok
TGT,2009-01-01,,0000027419,yahoo:TGT,ok
DAL,2013-09-11,,0000027904,yahoo:DAL,ok
DG,2012-12-03,,0000029534,yahoo:DG,ok
RRD,2009-01-01,2012-12-11,0000029669,tiingo:RRD,ok
DOV,2009-01-01,,0000029905,yahoo:DOV,ok
DOW,2009-01-01,2017-08-31,0000029915,,no_price
OMC,2009-01-01,,0000029989,yahoo:OMC,ok
DD,2009-01-01,2017-08-31,0000030554,yahoo:CTA-PB,ok
FLS,2009-01-01,2021-03-21,0000030625,yahoo:FLS,ok
ETN,2009-01-01,2012-06-21,0000031277,yahoo:ETN,ok
ECL,2009-01-01,,0000031462,yahoo:ECL,ok
PKI,2009-01-01,2023-05-15,0000031791,yahoo:RVTY,ok
RVTY,2023-05-16,,0000031791,yahoo:RVTY,ok
EMR,2009-01-01,,0000032604,yahoo:EMR,ok
EFX,2009-01-01,,0000033185,yahoo:EFX,ok
EQT,2009-01-01,2018-11-12,0000033213,yahoo:EQT,ok
EQT,2022-10-03,,0000033213,yahoo:EQT,ok
XOM,2009-01-01,2026-06-30,0000034088,yahoo:XOM,ok
FDO,2009-01-01,2015-07-06,0000034408,tiingo:FDO,ok
MEE,2009-01-01,2011-06-01,0000037748,yahoo:MEE,ok
FMC,2009-08-19,2025-03-23,0000037785,yahoo:FMC,ok
F,2009-01-01,,0000037996,yahoo:F,ok
FRX,2009-01-01,2014-06-30,0000038074,tiingo:FRX,ok
TGNA,2009-01-01,2017-06-01,0000039899,tiingo:TGNA,ok
GPS,2009-01-01,2022-02-01,0000039911,yahoo:GAP,ok
GD,2009-01-01,,0000040533,yahoo:GD,ok
GE,2009-01-01,,0000040545,yahoo:GE,ok
GIS,2009-01-01,,0000040704,yahoo:GIS,ok
