review_batch_id,security_code,security_name,annual_report_title,current_report_title,research_report_org,research_report_title,review_status,primary_strategy_tag_final,watchlist_decision_final,quality_tier_final,moat_conclusion,peer_double_check_conclusion,bear_case_summary,base_case_summary,bull_case_summary
batch-004,688208,道通科技,道通科技2025年年度报告,道通科技2026年第一季度报告,中银国际证券股份有限公司,业绩高速增长，AI赋能表现亮眼,reviewed_authoritative_deep_review,C-GARP成长型,tactical_candidate,L3-战术候选,汽车诊断和新能源充电设备公司，年报、2026Q1和中银国际研报支持业绩高增和AI赋能，但业务本质仍是专业设备和渠道扩张。,与迈瑞/阳光/天孚等高壁垒公司相比，道通更适合战术观察。,充电业务竞争压毛利，海外需求放缓。,诊断业务稳健，充电设备逐步改善。,AI诊断和海外充电订单超预期。
batch-004,603236,移远通信,2025年年度报告,2026年第一季度报告,东莞证券股份有限公司,深度报告：从连接模组到智能生态，领军5G-A与AI时代,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,蜂窝物联网模组全球龙头，年报、2026Q1和东莞证券深度报告支持5G-A与AI模组生态。,与亿联网络/中兴等相比，移远规模强但利润率和壁垒弱，L3。,价格竞争导致毛利率回落，库存风险上升。,IoT模组稳步增长，AI模组小幅贡献。,AI/车载模组形成高毛利新品类。
batch-004,300919,中伟新材,2025年年度报告,2026年一季度报告,东吴证券股份有限公司,2026年一季报点评：业绩符合预期，镍价上行贡献弹性,reviewed_authoritative_deep_review,D-电池材料周期/关键材料,tactical_candidate,L3-战术候选,三元前驱体和电池材料公司，年报、2026Q1和东吴证券研报支持镍价弹性和材料一体化，但材料环节周期强。,相对宁德/比亚迪，中伟是上游材料供应商，不具备同等不可替代性，L3。,镍钴价格下行、三元需求弱、存货减值。,高镍产品维持份额，利润修复。,资源一体化和海外客户超预期。
batch-004,600183,生益科技,生益科技2025年年度报告,生益科技2026年第一季度报告,太平洋证券股份有限公司,产品结构优化，业绩爆发式增长,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,quasi_core_candidate,L2-准核心候选,覆铜板龙头，年报、2026Q1和太平洋证券研报支持产品结构优化和AI服务器高端材料景气。,对比深南电路和三环，生益是AI PCB上游关键材料，L2合理但受材料周期约束。,AI需求放缓，普通CCL价格竞争。,高端材料放量，产品结构改善。,高端CCL供不应求，利润率持续上修。
batch-004,000739,普洛药业,2025年年度报告,2026年一季度报告,中邮证券有限责任公司,CDMO引擎驱动增长，盈利能力持续改善,reviewed_authoritative_deep_review,C-GARP成长型,tactical_candidate,L3-战术候选,原料药和CDMO公司，年报、2026Q1和中邮证券研报支持CDMO驱动增长和盈利改善。,低于恒瑞、凯莱英/药明等更明确平台，L3。,API价格下行，CDMO订单推迟。,CDMO增长，盈利能力改善。,高端项目放量，利润率上台阶。
batch-004,300661,圣邦股份,2025年年度报告,2026年一季度报告,国信证券股份有限公司,一季度收入创季度新高，收入规模效应有望加速利润释放,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,quasi_core_candidate,L2-准核心候选,国产模拟芯片龙头，年报、2026Q1和国信证券研报支持收入创新高和规模效应释放。,在A股模拟芯片中壁垒较强，可L2；但规模和全球竞争力尚不及设备L1。,库存周期反转，国产替代慢，毛利率下行。,收入恢复增长，规模效应释放。,汽车/工业高端模拟突破，利润率上修。
batch-004,002938,鹏鼎控股,2025年年度报告,2026年一季度报告,中邮证券有限责任公司,加码CAPEX扩充AI产能，全面覆盖AI时代云管端应用,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,quasi_core_candidate,L2-准核心候选,全球PCB龙头，年报、2026Q1和中邮证券研报支持加码AI产能并覆盖云管端应用。,与深南电路同为PCB高端制造核心，L2；客户集中使其不升L1。,AI订单低于预期，消费电子弱，客户砍单。,AI产能逐步放量，消费电子稳健。,AI云端PCB和车载客户突破。
batch-004,000063,中兴通讯,2025年年度报告,2026年一季度报告,国金证券股份有限公司,连接+算力双轮驱动，利润筑底回升,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,quasi_core_candidate,L2-准核心候选,通信设备和算力平台公司，年报、2026Q1和国金证券研报支持连接+算力双轮驱动和利润筑底。,全球通信设备寡头之一，业务壁垒强；但制裁风险和利润质量约束，L2。,地缘限制升级，运营商CAPEX下行，服务器利润薄。,通信业务稳健，算力业务修复利润。,算力基础设施高增，利润率改善。
batch-004,600707,彩虹股份,彩虹股份2025年年度报告,彩虹股份2026年第一季度报告,,,reviewed_with_public_research_gap,F-显示面板/玻璃周期,no_watchlist_inclusion,L5-移出观察池,显示面板/基板玻璃公司，年报和2026Q1显示强周期属性，本轮未获取公开署名研报。,相比京东方/TCL双龙头和玻璃基板更强逻辑，彩虹缺少差异化核心优势，剔除。,面板价格下行，折旧和减值拖累。,周期修复但资本回报普通。,若基板玻璃形成高份额高利润可重评。
batch-004,603707,健友股份,健友股份2025年年度报告,健友股份2026年一季度报告,信达证券股份有限公司,生物药商业化元年开启，看好26年业绩修复,reviewed_authoritative_deep_review,C-GARP成长型,zero_position_watch,L4-零仓位观察,肝素和制剂企业，年报、2026Q1和信达证券研报支持生物药商业化和业绩修复，但护城河不够强。,与恒瑞/迈瑞/健帆等更强医药公司相比，健友不宜进前三档。,肝素价格低迷，制剂放量慢。,制剂业务修复，生物药起步。,生物药商业化超预期。
