review_batch_id,security_code,security_name,annual_report_title,current_report_title,research_report_org,research_report_title,review_status,primary_strategy_tag_final,watchlist_decision_final,quality_tier_final,moat_conclusion,peer_double_check_conclusion,bear_case_summary,base_case_summary,bull_case_summary
batch-074,688077,大地熊,大地熊2025年年度报告,大地熊2026年第一季度报告,,,reviewed_with_public_research_gap,F-垄断资源型,zero_position_watch,L4-零仓位观察,大地熊是稀土永磁企业，高性能钕铁硼有工艺和客户认证壁垒，但资源端和客户优势不突出。,相比金力永磁、中科三环及北方稀土资源端，大地熊差异化不足，L4。,稀土价格波动、价格竞争、客户份额不足。,磁材业务随需求修复。,机器人和新能源客户放量。
batch-074,600876,凯盛新能,凯盛新能2025年年度报告,凯盛新能2026年一季度报告,,,reviewed_with_public_research_gap,E-落难白马/反转型,not_watch,L5-不纳入观察,凯盛新能主要处于光伏玻璃和新能源玻璃链条，行业产能过剩和价格竞争严重。,光伏玻璃过剩赛道不符合严选观察池，L5。,光伏玻璃价格低迷、库存和减值压力。,行业筑底，经营修复。,若行业出清并形成高分红可重评。
batch-074,603045,福达合金,2025年年度报告,2026年一季度报告,,,reviewed_with_public_research_gap,C-GARP成长型,zero_position_watch,L4-零仓位观察,福达合金做电接触材料和合金材料，细分工艺和客户基础存在，但市场空间较窄。,相比宏发、良信等电气核心部件锚点，福达只是材料配套，L4。,下游电器需求弱、贵金属价格波动。,电接触材料稳定。,新能源/电力设备材料放量。
batch-074,002395,双象股份,2025年年度报告,2026年一季度报告,,,reviewed_with_public_research_gap,F-周期资源/材料型,not_watch,L5-不纳入观察,双象股份涉及人造革、PU材料和部分光学材料，核心业务低壁垒且周期性强。,相比安利股份等更强功能材料企业，双象不符合入池标准，L5。,消费需求弱、材料价格竞争。,主业低速修复。,若光学材料形成核心客户可重评。
batch-074,002440,闰土股份,2025年年度报告,2026年一季度报告,华鑫证券有限责任公司,公司事件点评报告：染料产销量增长，公司市占率稳固,reviewed_authoritative_deep_review,F-周期资源/材料型,not_watch,L5-不纳入观察,闰土股份是染料企业，规模和市占率有基础，但染料周期、纺织需求和价格竞争主导利润。,相比浙江龙盛等更强染料龙头仍不足以入池，L5。,染料价格低迷、出口需求弱。,产销量增长带来修复。,行业供给收缩推动价差上行。
batch-074,002458,益生股份,2025年年度报告,2026年一季度报告,太平洋证券股份有限公司,益生股份年报点评：种鸡业务龙头地位稳固，种猪出栏高速增长,reviewed_authoritative_deep_review,C-GARP成长型,zero_position_watch,L4-零仓位观察,益生股份是白羽肉鸡种鸡龙头，祖代种源和扩繁体系有壁垒，但养殖周期和疫病风险明显。,相比牧原等成本龙头，益生业务更周期且波动大，L4。,鸡价下行、疫病、种猪扩张失败。,种鸡业务维持龙头利润。,白羽鸡周期上行带来高弹性。
batch-074,688598,金博股份,2025年年度报告,2026年第一季度报告,爱建证券有限责任公司,首次覆盖报告：高端电动车放量驱动碳陶业务加速成长,reviewed_authoritative_deep_review,D-产业链爆发/关键瓶颈型,tactical_candidate,L3-战术候选,金博股份在碳/碳复合材料和碳陶刹车材料上有材料工艺壁垒，正从光伏热场向高端应用转型。,相比光威等复材锚点，金博光伏暴露更高；碳陶期权支持L3。,光伏热场低迷、碳陶导入慢。,光伏业务筑底，碳陶逐步放量。,碳陶刹车进入高端车型并重塑估值。
batch-074,603285,键邦股份,2025年年度报告,2026年第一季度报告,,,reviewed_with_public_research_gap,F-周期资源/材料型,zero_position_watch,L4-零仓位观察,键邦股份处于高分子材料助剂等精细化工赛道，细分产品有工艺壁垒但规模和验证有限。,相比呈和、利安隆等更成熟助剂平台，键邦证据不足，L4。,产品价格下行、客户导入慢。,主业稳定增长。,高端助剂客户放量。
batch-074,605377,华旺科技,杭州华旺新材料科技股份有限公司2025年年度报告,杭州华旺新材料科技股份有限公司2026年第一季度报告,西南证券股份有限公司,业绩筑底静待修复，保持高分红水平,reviewed_authoritative_deep_review,G-股东回报型低估/稳健资产,zero_position_watch,L4-零仓位观察,华旺科技是装饰原纸龙头之一，规模和客户有基础，高分红提供股东回报，但成长性有限。,相比更强材料/消费龙头，华旺以分红稳定为主，L4。,地产链需求弱、浆价上行。,业绩筑底，高分红维持。,需求修复和品类扩张提升利润。
batch-074,603978,深圳新星,2025年年度报告,2026年第一季度报告,华鑫证券有限责任公司,公司事件点评报告：多重周期拐点叠加，盈利进入上行通道,reviewed_authoritative_deep_review,F-周期资源/材料型,zero_position_watch,L4-零仓位观察,深圳新星在铝晶粒细化剂和氟铝酸盐等材料上有细分工艺，但业务周期和新业务风险较高。,相比南山铝业、新疆众和等铝产业链锚点，深圳新星壁垒和财务质量弱，L4。,周期拐点失败、新业务低回报。,主业随周期修复。,新材料放量带来利润弹性。
