security_code,security_name,quality_tier,strategy_tag_letter,old_tag,changed,tag_reason
000063,中兴通讯,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
000100,TCL科技,L2,H,D,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
000157,中联重科,L3,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
000333,美的集团,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
000338,潍柴动力,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
000403,派林生物,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
000408,藏格矿业,L2,F,F,,有可独立计量储量，可算NAV
000423,东阿阿胶,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
000425,徐工机械,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
000538,云南白药,L1,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
000568,泸州老窖,L1,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
000651,格力电器,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
000657,中钨高新,L2,H,F,Y,硬质合金加工，钨矿储量在母公司、自身无可独立计量储量，不适用 F
000661,长春高新,L2,E,E,,沿用原 E（§6.5.0 判定顺序下未命中前 9 条）
000725,京东方A,L2,H,D,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
000733,振华科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
000786,北新建材,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
000792,盐湖股份,L2,F,F,,有可独立计量储量，可算NAV
000858,五粮液,L1,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
000893,亚钾国际,L2,F,F,,有可独立计量储量，可算NAV
000895,双汇发展,L2,K,G,Y,稳态低增长+高分红
000933,神火股份,L2,F,F,,有可独立计量储量，可算NAV；混合型：煤矿（F分部）+电解铝（H分部），须分部 SOTP，主标签按利润占比最大分部
000938,紫光股份,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
000951,中国重汽,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
000960,锡业股份,L2,F,F,,有可独立计量储量，可算NAV
000998,隆平高科,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
000999,华润三九,L2,A,C,Y,§6.5.3 C→A 判据三条全部成立（首轮按 §6.5.0 第 9 条初始判定）：三年一致预期 CAGR 10.3%（判据① <12% ✓，阈值按近三年最低 ROE 15.9% 分档）；近三年 ROE 16.1/17.3/15.9（②均≥12% ✓）；经营现金流/净利润 1.73（③≥0.8 ✓）
002001,新和成,L2,H,C,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
002007,华兰生物,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002008,大族激光,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002025,航天电器,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002027,分众传媒,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
002032,苏泊尔,L2,K,G,Y,稳态+近满额分红
002049,紫光国微,L1,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002050,三花智控,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002128,电投能源,L2,F,F,,有可独立计量储量，可算NAV；混合型：褐煤矿（F分部）+电解铝+自备电（H分部），须分部 SOTP
002130,沃尔核材,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002138,顺络电子,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002142,宁波银行,L2,J,G,Y,银行
002153,石基信息,L2,N,E,Y,酒店IT云转型
002156,通富微电,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002158,汉钟精机,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002179,中航光电,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002180,奔图科技,L2,E,E,,沿用原 E（§6.5.0 判定顺序下未命中前 9 条）
002222,福晶科技,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002223,鱼跃医疗,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002236,大华股份,L3,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002252,上海莱士,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002262,恩华药业,L2,A,C,Y,§6.5.3 C→A 判据三条全部成立（首轮按 §6.5.0 第 9 条初始判定）：三年一致预期 CAGR 11.4%（判据① <12% ✓，阈值按近三年最低 ROE 13.9% 分档）；近三年 ROE 13.9/16.8/17.3（②均≥12% ✓）；经营现金流/净利润 1.02（③≥0.8 ✓）
002270,华明装备,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002273,水晶光电,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002281,光迅科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002304,洋河股份,L2,E,E,,沿用原 E（§6.5.0 判定顺序下未命中前 9 条）
002311,海大集团,L2,C,C,,饲料为主导分部（收入约八成，份额+成本加成驱动），养殖周期为辅——不按 H
002318,久立特材,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002338,奥普光电,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002352,顺丰控股,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002371,北方华创,L1,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002372,伟星新材,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
002384,东山精密,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002409,雅克科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002410,广联达,L2,N,E,Y,造价软件云转型
002414,高德红外,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002415,海康威视,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002422,科伦药业,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002430,杭氧股份,L2,K,G,Y,工业气体现场制气长约（take-or-pay）为主导分部，零售气周期为辅；混合按利润占比最大分部定标签
002438,江苏神通,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002460,赣锋锂业,L2,F,F,,有可独立计量储量，可算NAV
002463,沪电股份,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002465,海格通信,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002466,天齐锂业,L2,F,F,,有可独立计量储量，可算NAV
002475,立讯精密,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002484,江海股份,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002532,天山铝业,L2,H,F,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
002594,比亚迪,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002595,豪迈科技,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002648,卫星化学,L2,H,F,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
002675,东诚药业,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
