
### 分档条件校准（面板 panel_moat_bank_v6b.csv，自 2005-01-01，月末观测；分档 = 2026 年人工分档，含后视）


**前向 3 年 含分红再投年化**

| 分档 | 只数 | n | Spearman | 公允 P/V(前向=10%) | [0,0.8) | [0.8,0.9407) | [0.9407,1.2) | [1.2,1.6) | [1.6,2) | [2,2.5236) | [2.5236,4) | [4,99) |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| L1 | 18 | 1626 | -0.35 | 3.89 | +22% (139) | +20% (64) | +22% (111) | +17% (240) | +14% (185) | +12% (148) | +10% (330) | -2% (409) |
| L2 | 164 | 7764 | -0.28 | 3.41 | +23% (603) | +14% (257) | +14% (515) | +17% (838) | +13% (983) | +13% (1142) | +6% (1875) | -1% (1551) |
| L3 | 13 | 197 | -0.10 | — | — | +11% (8) | +6% (31) | -1% (15) | +21% (6) | +3% (11) | +1% (41) | +1% (85) |
| NA | 85 | 6984 | -0.32 | 1.11 | +17% (455) | +13% (385) | +7% (824) | +3% (1171) | +1% (1023) | -0% (861) | +0% (1303) | -9% (962) |

**前向 5 年 含分红再投年化**

| 分档 | 只数 | n | Spearman | 公允 P/V(前向=10%) | [0,0.8) | [0.8,0.9407) | [0.9407,1.2) | [1.2,1.6) | [1.6,2) | [2,2.5236) | [2.5236,4) | [4,99) |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| L1 | 18 | 1275 | -0.26 | 5.7 | +20% (128) | +18% (55) | +25% (102) | +13% (217) | +16% (146) | +15% (130) | +12% (254) | +2% (243) |
| L2 | 164 | 5608 | -0.24 | 4.21 | +19% (483) | +15% (184) | +17% (366) | +14% (589) | +13% (716) | +12% (826) | +8% (1346) | +5% (1098) |
| L3 | 13 | 59 | -0.51 | 1.18 | — | — | +6% (20) | — | — | — | — | -3% (24) |
| NA | 85 | 5650 | -0.25 | 0.83 | +14% (261) | +11% (252) | +9% (616) | +4% (938) | +2% (870) | -0% (736) | +4% (1186) | -3% (791) |

逐票统计已写入 data/processed/experiments/exp_oi128_130_adopt/tier_forward_percode_new.csv

**L1 逐票：样本数、Spearman(P/V, 前向3年)、公允 P/V（前向 3 年 = 要求回报）、P/V 中位**

| 代码 | 名称 | n | Spearman | 公允 P/V | P/V 中位 | P/V<0.9407 占比 |
| --- | --- | ---: | ---: | ---: | ---: | ---: |
| 601088 | 中国神华 | 155 | -0.47 | 0.69 | 0.83 | 62% |
| 600862 | 中航高科 | 41 | -0.20 | — | 3.12 | 0% |
| 000538 | 云南白药 | 137 | +0.06 | — | 2.17 | 0% |
| 002371 | 北方华创 | 29 | -0.96 | 18.58 | 5.48 | 0% |
| 688120 | 华海清科 | 0 | — | — | 2.84 | 0% |
| 600406 | 国电南瑞 | 161 | -0.36 | 3.87 | 2.25 | 0% |
| 300750 | 宁德时代 | 53 | -0.89 | 6.16 | 2.73 | 0% |
| 600415 | 小商品城 | 173 | -0.80 | 2.23 | 1.84 | 1% |
| 600809 | 山西汾酒 | 126 | -0.60 | 3.5 | 3.21 | 0% |
| 600160 | 巨化股份 | 4 | — | — | 4.14 | 0% |
| 688008 | 澜起科技 | 28 | -0.74 | 4.67 | 4.29 | 0% |
| 600436 | 片仔癀 | 151 | -0.42 | 6.36 | 4.27 | 0% |
| 600660 | 福耀玻璃 | 223 | -0.58 | 1.76 | 1.15 | 29% |
| 688122 | 西部超导 | 3 | — | — | 2.32 | 0% |
| 600519 | 贵州茅台 | 223 | -0.70 | 4.45 | 2.74 | 5% |
| 688111 | 金山办公 | 15 | -0.96 | — | 7.23 | 0% |
| 603505 | 金石资源 | 28 | -0.94 | 4.05 | 4.25 | 0% |
| 600900 | 长江电力 | 76 | -0.11 | 3.41 | 1.59 | 0% |
