group,start,P_pp,CAGR_pp,P25_pp,DD5_pp,MDD_pp,negative_flip,min_ratio_delta,forced_delta,turnover_delta
full,2009-11-01,5.765179100000001,5.624249369459222,8.537842415012165,-1.7937948671333248,-1.9227163112955803,False,-0.021132626787544906,0.0,0.5444810418574537
full,2010-05-01,4.218201980000003,3.205080577484476,7.49992331465108,-0.36164794029320824,0.04146850187072282,False,-0.010086141205134957,0.0,-0.22066059996526377
full,2010-11-01,0.19687221400000005,1.3372625515695846,0.3196188954140977,-0.47368541547971876,-0.25976213308119833,False,0.0005469548337211361,0.0,0.5612209328732716
full,2011-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2011-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2012-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2012-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2013-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2013-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2014-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2014-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2015-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2015-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2016-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2009-11-01,-2.5632844599999984,-3.0016587989205146,0.06937073100234947,1.8770790220696054,1.8655775517161133,False,-0.03333646435648041,0.0,-0.22557817255619472
A,2010-05-01,-2.80163628,-3.2544676278285944,-1.3440903596980247,1.4195407174959596,0.8386230487827162,False,2.3187482592890163e-05,0.0,-0.6936649541836744
A,2010-11-01,-0.3110043000000007,0.48003972166414943,-1.3791935607832873,0.7938289298560441,0.027307374489438097,False,-0.00018065397651834125,0.0,-0.1556941131319851
A,2011-05-01,0.06792147999999942,-0.521995932197794,-2.5364363354710484,0.6046901456690623,0.05962442255922351,False,0.000239402272332212,0.0,0.5205782038924083
A,2011-11-01,-0.7352563199999995,-0.5765460759153074,-0.14740299841784488,1.3571858952764582,-0.05747021775767136,False,0.000920184189965978,0.0,-0.10835258308826656
A,2012-05-01,0.08488645000000461,-0.22704666565078746,0.742651546714379,-0.5485437973435037,0.38804170274588934,False,-0.03488122404737237,0.0,0.4441482882869483
A,2012-11-01,-0.07102207999999943,-1.266747945404334,-0.349001130322546,1.0138075902942023,1.2848325397385896,False,-0.033329326592525854,0.0,-0.03407793861656305
A,2013-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2013-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2014-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2014-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2015-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2015-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2016-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
