security_code,security_name,garbage_subtype,priority,verification_task,current_reason,evidence_basis,required_evidence,outcome_rule,deadline,queued_at_utc,verified_at_utc,outcome,verified_note
000820,*ST节能,governance_fraud,P0,证据以嫌疑/历史记忆为主，v18新规下嫌疑不足以garbage：优先对照文书，查无坐实即降回boundary,长期蹭热点夸大宣传、公告与财报明显不匹配（garbage条件2造假嫌疑），神雾系治理灾难未解决，主业空心多年,round1轻量初筛（神雾系暴雷史，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,downgraded_to_boundary,garbage纠错降级：造假坐实（2022-06证监会处罚决定书+吴道洪市场禁入）但责任人已实质出局——神雾集团股份司法拍卖至7.67%、2025年报为无控股股东无实控人状态；按§5.4.7规则7（责任人出清）降回boundary_pending。主业空心属可逆业务否决。
000995,皇台酒业,governance_fraud,P0,证据以嫌疑/历史记忆为主，v18新规下嫌疑不足以garbage：优先对照文书，查无坐实即降回boundary,历史财务造假（虚增存货/收入），治理灾难,需核验立案调查/处罚公告,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,"坐实文书：甘肃证监局处罚(2016-10)；赵满堂立案告知书(证监立案字0142026039号,2026-06)；核验2026-07-10(web对照文书)"
600599,*ST熊猫,governance_fraud,P0,证据以嫌疑/历史记忆为主，v18新规下嫌疑不足以garbage：优先对照文书，查无坐实即降回boundary,实控人涉非法吸收公众存款被批捕且未让渡控制权，上市公司沦为壳（判例13后半）,round1轻量初筛（互金爆雷，判例13）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：赵伟平批捕(2022-09)+银湖网刑事立案(2019)；公司立案告知书(2025-12)；核验2026-07-10(web对照文书)
600654,中安科,governance_fraud,P0,证据以嫌疑/历史记忆为主，v18新规下嫌疑不足以garbage：优先对照文书，查无坐实即降回boundary,确认借壳造假且责任方仍在控股位（判例13后半）,round1轻量初筛（安防造假，判例13）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：证监会行政处罚决定书(2019-05)+涂国身10年市场禁入；中恒汇志仍控股(2024年公司起诉其追讨业绩补偿)；核验2026-07-10(web对照文书)
600696,*ST岩石,governance_fraud,P0,证据以嫌疑/历史记忆为主，v18新规下嫌疑不足以garbage：优先对照文书，查无坐实即降回boundary,长期治理灾难（操纵与重大违规史），*ST,需核验监管处罚/重组公告,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：上海奉贤警方立案通报(2024-09)+刑事强制措施；2026-04-30退市；核验2026-07-10(web对照文书)
000056,*ST皇庭,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,控股股东资金占用/违规担保坐实且未解决，责任人仍在位，核心资产被拍卖，治理灾难持续,round1轻量初筛（监管通报与债务处置公告史，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：2025年报无法表示意见审计报告(2026-04)+退市风险警示；深圳证监局警示函/责令改正(2022)；核验2026-07-10(web对照文书)
000518,*ST四环,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,隐瞒实控人信披违法坐实处罚+市场禁入，公司长期蹭热点，治理灾难未解决,round1轻量初筛（证监会处罚决定史+炒作史，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：证监会处罚+陆克平终身市场禁入决定书；再立案(2023-10/2024-10)；核验2026-07-10(web对照文书)
000826,*ST启环,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,虚增在建工程/营收信披违法坐实处罚，责任控股体系仍在位，债务危机未解决,round1轻量初筛（证监会处罚与债务史，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：湖北证监局行政处罚决定书(2023)+控股子公司处罚(2025-09)；核验2026-07-10(web对照文书)
000892,欢瑞世纪,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,借壳期间连续虚增营收利润坐实处罚，实控人夫妇仍在位，治理灾难未解决,round1轻量初筛（证监会处罚决定+实控人现状，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：重庆证监局处罚(2019-11)+财政部处罚(2025-11)+证监会立案告知书(2026-04-21)；核验2026-07-10(web对照文书)
002069,獐子岛,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（2020年证监会处罚：借扇贝死亡虚减利润、虚增利润，时任董事长吴厚刚市场禁入）；海底存货不可验证，治理财务长期不透明,round1轻量初筛（证监会处罚决定，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,downgraded_to_boundary,garbage纠错降级：造假坐实（2020-06证监会处罚+吴厚刚终身市场禁入）但2022-03司法拍卖后控股股东变更（大连盐化集团/国资系），吴厚刚2020年已出局；按§5.4.7规则7与康美药业先例降回boundary_pending。海底存货审计可验证性仍是核心复核项。
