cik,name,ticker,exchange,ticker_source,sic,years
0000104169,Walmart Inc.,WMT,Nasdaq,submissions,5331,11
0000034088,EXXON MOBIL CORP,XOM,,primary_document,2911,11
0001094517,TOYOTA MOTOR CORP/,TM,NYSE,submissions,3711,4
0000093410,CHEVRON CORP,CVX,NYSE,submissions,2911,11
0000040545,GENERAL ELECTRIC CO,GE,NYSE,submissions,3600,11
0000732717,AT&T INC.,T,NYSE,submissions,4813,11
0000037996,FORD MOTOR CO,F,NYSE,submissions,3711,11
0001119639,PETROBRAS - PETROLEO BRASILEIRO SA,PBR,NYSE,submissions,1311,2
0000047217,HP INC,HPQ,NYSE,submissions,3570,11
0000927653,MCKESSON CORP,MCK,NYSE,submissions,5122,11
0000732712,VERIZON COMMUNICATIONS INC,VZ,NYSE,submissions,4813,11
0000064803,CVS HEALTH Corp,CVS,NYSE,submissions,5912,11
0000721371,CARDINAL HEALTH INC,CAH,NYSE,submissions,5122,11
0000051143,INTERNATIONAL BUSINESS MACHINES CORP,IBM,NYSE,submissions,3570,11
0000080424,PROCTER & GAMBLE Co,PG,NYSE,submissions,2840,11
0000056873,KROGER CO,KR,NYSE,submissions,5411,11
0001140859,"Cencora, Inc.",COR,NYSE,submissions,5122,11
0000909832,COSTCO WHOLESALE CORP /NEW,COST,Nasdaq,submissions,5331,11
0000007084,Archer-Daniels-Midland Co,ADM,NYSE,submissions,2070,11
0000012927,BOEING CO,BA,NYSE,submissions,3721,11
0000354950,"HOME DEPOT, INC.",HD,NYSE,submissions,5211,11
0000027419,TARGET CORP,TGT,NYSE,submissions,5331,11
0000104207,WALGREEN CO,,,,5912,6
0001413329,Philip Morris International Inc.,PM,NYSE,submissions,2111,11
0000200406,JOHNSON & JOHNSON,JNJ,NYSE,submissions,2834,11
0001170650,MEDCO HEALTH SOLUTIONS INC,,,,5912,3
0000789019,MICROSOFT CORP,MSFT,Nasdaq,submissions,7372,11
0000101778,MARATHON OIL CORP,MRO,,primary_document,1311,6
0000101829,RTX Corp,RTX,NYSE,submissions,3724,11
0000826083,DELL INC,,,,3571,4
0001163165,CONOCOPHILLIPS,COP,NYSE,submissions,2911,11
0000078003,PFIZER INC,PFE,NYSE,submissions,2834,11
0000764478,BEST BUY CO INC,BBY,NYSE,submissions,5731,11
0000060667,LOWES COMPANIES INC,LOW,NYSE,submissions,5211,11
0001510295,Marathon Petroleum Corp,MPC,NYSE,submissions,2911,9
0001090727,UNITED PARCEL SERVICE INC,UPS,NYSE,submissions,4210,11
0000029915,DOW CHEMICAL CO /DE/,DOW,,primary_document,2821,9
0000067099,MITSUI & CO LTD,,,,5172,1
0000936468,LOCKHEED MARTIN CORP,LMT,NYSE,submissions,3760,11
0001310067,SEARS HOLDINGS CORP,,,,5311,9
0000077476,PEPSICO INC,PEP,Nasdaq,submissions,2080,11
0000320193,Apple Inc.,AAPL,Nasdaq,submissions,3571,11
0001144519,BUNGELTD,BG,,primary_document,2070,11
0000086144,SAFEWAY INC,SWY,,primary_document,5411,6
0000095521,SUPERVALU INC,,,,5141,9
0001103982,"Mondelez International, Inc.",MDLZ,Nasdaq,submissions,2000,11
0001001039,TWDC Enterprises 18 Corp.,,,,7990,10
0000858877,"CISCO SYSTEMS, INC.",CSCO,Nasdaq,submissions,3576,11
0001166691,COMCAST CORP,CMCSA,Nasdaq,submissions,4841,11
0000050863,INTEL CORP,INTC,Nasdaq,submissions,3674,11
0001048911,FEDEX CORP,FDX,NYSE,submissions,4513,11
0000018230,CATERPILLAR INC,CAT,NYSE,submissions,3531,11
0000101830,SPRINT LLC,,,,4813,9
0000040533,GENERAL DYNAMICS CORP,GD,NYSE,submissions,3730,11
0001091587,ABB LTD,ABLZF,OTC,submissions,3613,11
0000021344,COCA COLA CO,KO,NYSE,submissions,2080,11
0000001800,ABBOTT LABORATORIES,ABT,NYSE,submissions,2834,11
0001308161,"TWENTY-FIRST CENTURY FOX, INC.",,,,4841,10
0000773840,HONEYWELL INTERNATIONAL INC,HON,Nasdaq,submissions,3724,11
0000004447,HESS CORP,HES,,primary_document,2911,7
0001018003,INGRAM MICRO INC,,,,5045,7
0000095304,SUNOCO INC,,,,2911,3
0000053669,JOHNSON CONTROLS INC,,,,7380,8
0000027904,"DELTA AIR LINES, INC.",DAL,NYSE,submissions,4512,11
