cy,cik,name,revenue,sic,ticker,exchange,ticker_source,obs_from,obs_to
2009,0000104169,Walmart Inc.,408085000000,5331,WMT,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000034088,EXXON MOBIL CORP,301500000000,2911,XOM,,primary_document,2010-04-30,2011-03-31
2009,0001094517,TOYOTA MOTOR CORP/,203687000000,3711,TM,NYSE,submissions,2010-04-30,2011-03-31
2009,0000093410,CHEVRON CORP,171636000000,2911,CVX,NYSE,submissions,2010-04-30,2011-03-31
2009,0000040545,GENERAL ELECTRIC CO,154396000000,3600,GE,NYSE,submissions,2010-04-30,2011-03-31
2009,0000732717,AT&T INC.,122513000000,4813,T,NYSE,submissions,2010-04-30,2011-03-31
2009,0000037996,FORD MOTOR CO,116283000000,3711,F,NYSE,submissions,2010-04-30,2011-03-31
2009,0001119639,PETROBRAS - PETROLEO BRASILEIRO SA,115892000000,1311,PBR,NYSE,submissions,2010-04-30,2011-03-31
2009,0000047217,HP INC,114552000000,3570,HPQ,NYSE,submissions,2010-04-30,2011-03-31
2009,0000927653,MCKESSON CORP,108702000000,5122,MCK,NYSE,submissions,2010-04-30,2011-03-31
2009,0000732712,VERIZON COMMUNICATIONS INC,107808000000,4813,VZ,NYSE,submissions,2010-04-30,2011-03-31
2009,0000064803,CVS HEALTH Corp,98215000000,5912,CVS,NYSE,submissions,2010-04-30,2011-03-31
2009,0000721371,CARDINAL HEALTH INC,95991500000,5122,CAH,NYSE,submissions,2010-04-30,2011-03-31
2009,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,95758000000,3570,IBM,NYSE,submissions,2010-04-30,2011-03-31
2009,0000080424,PROCTER & GAMBLE Co,76694000000,2840,PG,NYSE,submissions,2010-04-30,2011-03-31
2009,0000056873,KROGER CO,76609000000,5411,KR,NYSE,submissions,2010-04-30,2011-03-31
2009,0001140859,"Cencora, Inc.",71759990000,5122,COR,NYSE,submissions,2010-04-30,2011-03-31
2009,0000909832,COSTCO WHOLESALE CORP /NEW,71422000000,5331,COST,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000007084,Archer-Daniels-Midland Co,69207000000,2070,ADM,NYSE,submissions,2010-04-30,2011-03-31
2009,0000012927,BOEING CO,68281000000,3721,BA,NYSE,submissions,2010-04-30,2011-03-31
2009,0000354950,"HOME DEPOT, INC.",66176000000,5211,HD,NYSE,submissions,2010-04-30,2011-03-31
2009,0000027419,TARGET CORP,65357000000,5331,TGT,NYSE,submissions,2010-04-30,2011-03-31
2009,0000104207,WALGREEN CO,63335000000,5912,,,,2010-04-30,2011-03-31
2009,0001413329,Philip Morris International Inc.,62080000000,2111,PM,NYSE,submissions,2010-04-30,2011-03-31
2009,0000200406,JOHNSON & JOHNSON,61897000000,2834,JNJ,NYSE,submissions,2010-04-30,2011-03-31
2009,0001170650,MEDCO HEALTH SOLUTIONS INC,59804200000,5912,,,,2010-04-30,2011-03-31
2009,0000789019,MICROSOFT CORP,58437000000,7372,MSFT,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000101778,MARATHON OIL CORP,53287000000,1311,MRO,,primary_document,2010-04-30,2011-03-31
2009,0000101829,RTX Corp,52920000000,3724,RTX,NYSE,submissions,2010-04-30,2011-03-31
2009,0000826083,DELL INC,52902000000,3571,,,,2010-04-30,2011-03-31
2009,0001163165,CONOCOPHILLIPS,50605000000,2911,COP,NYSE,submissions,2010-04-30,2011-03-31
2009,0000078003,PFIZER INC,49269000000,2834,PFE,NYSE,submissions,2010-04-30,2011-03-31
2009,0000764478,BEST BUY CO INC,49243000000,5731,BBY,NYSE,submissions,2010-04-30,2011-03-31
2009,0000060667,LOWES COMPANIES INC,47220000000,5211,LOW,NYSE,submissions,2010-04-30,2011-03-31
2009,0001510295,Marathon Petroleum Corp,45530000000,2911,MPC,NYSE,submissions,2010-04-30,2011-03-31
2009,0001090727,UNITED PARCEL SERVICE INC,45297000000,4210,UPS,NYSE,submissions,2010-04-30,2011-03-31
2009,0000029915,DOW CHEMICAL CO /DE/,44875000000,2821,DOW,,primary_document,2010-04-30,2011-03-31
2009,0000067099,MITSUI & CO LTD,44048000000,5172,,,,2010-04-30,2011-03-31
2009,0000936468,LOCKHEED MARTIN CORP,43867000000,3760,LMT,NYSE,submissions,2010-04-30,2011-03-31
2009,0001310067,SEARS HOLDINGS CORP,43360000000,5311,,,,2010-04-30,2011-03-31
2009,0000077476,PEPSICO INC,43232000000,2080,PEP,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000320193,Apple Inc.,42905000000,3571,AAPL,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0001144519,BUNGELTD,41926000000,2070,BG,,primary_document,2010-04-30,2011-03-31
2009,0000086144,SAFEWAY INC,40850700000,5411,SWY,,primary_document,2010-04-30,2011-03-31
2009,0000095521,SUPERVALU INC,40597000000,5141,,,,2010-04-30,2011-03-31
2009,0001103982,"Mondelez International, Inc.",38754000000,2000,MDLZ,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0001001039,TWDC Enterprises 18 Corp.,36149000000,7990,,,,2010-04-30,2011-03-31
2009,0000858877,"CISCO SYSTEMS, INC.",36117000000,3576,CSCO,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0001166691,COMCAST CORP,35756000000,4841,CMCSA,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000050863,INTEL CORP,35127000000,3674,INTC,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0001048911,FEDEX CORP,34734000000,4513,FDX,NYSE,submissions,2010-04-30,2011-03-31
2009,0000018230,CATERPILLAR INC,32396000000,3531,CAT,NYSE,submissions,2010-04-30,2011-03-31
2009,0000101830,SPRINT LLC,32260000000,4813,,,,2010-04-30,2011-03-31
2009,0000040533,GENERAL DYNAMICS CORP,31981000000,3730,GD,NYSE,submissions,2010-04-30,2011-03-31
