group,start,P_pp,CAGR_pp,P25_pp,DD5_pp,MDD_pp,negative_flip,min_ratio_delta,forced_delta,turnover_delta
full,2009-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2010-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2010-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2011-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2011-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2012-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2012-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2013-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2013-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2014-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2014-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2015-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2015-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
full,2016-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2009-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2010-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2010-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2011-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2011-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2012-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2012-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2013-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2013-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2014-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2014-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2015-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2015-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
A,2016-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
