security_code,security_name,verdict,rule,reason
600036,招商银行,worth_attention,锚11,零售之王已成型：一卡通/金葵花体系带来同业最高活期存款占比与最低负债成本，ROE 23%持续高于同业，属规则11要求的穿越周期优质franchise
600519,贵州茅台,worth_attention,锚3,毛利91%净利率43%，传承品牌+茅台镇产区+基酒库存，资本无法复制
000858,五粮液,worth_attention,锚3,毛利69%，国家名酒+明代古窖池+基酒规模，白酒第一大单品
000568,泸州老窖,worth_attention,锚3,毛利69%ROE35%，1573国宝窖池群为不可复制实物资产
002304,洋河股份,worth_attention,锚3,毛利56%ROE59%营收增63%，双沟+洋河两块国家名酒牌照与老窖池齐备，绵柔品类+渠道深耕
600809,山西汾酒,worth_attention,锚3,毛利77%，清香型鼻祖+杏花村产区+国家名酒
000651,格力电器,worth_attention,§5.4.1-4,空调双寡头，自建专卖店渠道+品牌+压缩机自制，外资与国内对手长期未撼动其空调地位（资本复制测试实证通过）
002032,苏泊尔,worth_attention,锚12,炊具品类第一+SEB技术与出口渠道，毛利28%在硬件品类属高位
002508,老板电器,worth_attention,锚12,油烟机毛利55%显示定价权，与方太构成高端双寡头，厨电品牌+橱柜渠道壁垒真实
000895,双汇发展,worth_attention,§5.4.1-4,肉制品全国第一，冷链+经销网络+品牌，营收363亿规模优势难复制
000869,张裕A,worth_attention,锚3,毛利75%净利率29%ROE35%，1892年品牌+烟台/宁夏产区+全国渠道，国产葡萄酒绝对龙头【今日不在池】
600276,恒瑞医药,worth_attention,§5.4.1-4,毛利84%，仿制药规模第一且研发投入行业最高，管线与销售队伍双壁垒
002007,华兰生物,worth_attention,锚12,毛利77%净利率49%，血浆站为政策性稀缺牌照，属capped-capacity型垄断
000538,云南白药,worth_attention,锚12,国家保密配方，法律意义上不可复制
000423,东阿阿胶,worth_attention,锚12,阿胶品类垄断+驴皮资源+提价能力已在2006-2010连续验证
600161,天坛生物,worth_attention,锚12,血制品与疫苗双牌照，浆站资源稀缺
600993,马应龙,worth_attention,锚12,痔疮用药品类近乎垄断，四百年老字号品牌
002262,恩华药业,worth_attention,锚12,麻醉精神类药物定点生产牌照，国家严格管制的稀缺资质
600750,华润江中,worth_attention,锚12,健胃消食片在助消化OTC品类份额过半，品类垄断+品牌
600031,三一重工,worth_attention,§5.4.1-4,混凝土机械全球第一，毛利37%显著高于中联30%柳工22%，技术与服务网络形成溢价
000157,中联重科,worth_attention,§5.4.1-4,工程机械第二，起重机械与混凝土机械双龙头，毛利30%高于行业
000338,潍柴动力,worth_attention,§5.4.1-4,10L以上重卡柴油机份额超八成，与陕重汽法士特形成动力总成协同
600066,宇通客车,worth_attention,§5.4.1-4,客车行业第一，定制化能力+全国服务网络+品牌，客车非标属性抬高复制难度
600309,万华化学,worth_attention,§5.4.1-4,MDI全球仅五家掌握，自主技术突破+成本最低，技术壁垒极高
600298,安琪酵母,worth_attention,§5.4.1-4,酵母国内份额过半全球第三，发酵菌种与规模成本双壁垒
002415,海康威视,worth_attention,§5.4.1-4,视频监控国内第一，毛利52%，算法+产品线+渠道三重壁垒（上市首年但招股书已含三年审计数据，不适用次新股资料不足）
002236,大华股份,worth_attention,§5.4.1-4,监控第二极，毛利43%，与海康形成双寡头
601088,中国神华,worth_attention,锚12,煤电路港航一体化，自有铁路与港口为独占资产+低成本曲线+规模三要素齐备
601899,紫金矿业,worth_attention,锚12,低成本金铜矿+储量规模+湿法冶炼技术，资源三要素齐备
000792,盐湖股份,worth_attention,锚12,察尔汗盐湖钾肥资源国内独占，毛利67%
