security_code,security_name,verdict,rule,reason
600519,贵州茅台,worth_attention,锚3,毛利91%净利率48%，护城河持续
000858,五粮液,worth_attention,锚3,毛利74%，国家名酒+古窖池
000568,泸州老窖,worth_attention,锚3,毛利83%，1573国宝窖池群
002304,洋河股份,worth_attention,锚3,毛利72%，双沟+洋河双名酒
600809,山西汾酒,worth_attention,锚3,毛利72%，清香鼻祖+杏花村
000596,古井贡酒,worth_attention,锚3,毛利75%，明代古窖+徽酒渠道
603288,海天味业,worth_attention,§5.4.1-4,酱油全国第一毛利42%最低ROE 31%
600887,伊利股份,worth_attention,§5.4.1-4,乳业双寡头营收969亿，奶源+冷链+品牌
000895,双汇发展,worth_attention,§5.4.1-4,肉制品第一ROE 35%
000651,格力电器,worth_attention,§5.4.1-4,空调双寡头
000333,美的集团,worth_attention,§5.4.1-4,白电全品类双寡头营收2857亿
600690,海尔智家,worth_attention,§5.4.1-4,白电三强，卡萨帝高端化成功
002032,苏泊尔,worth_attention,锚12,炊具品类第一
002372,伟星新材,worth_attention,§5.4.1-4,PPR零售品牌毛利44%最低ROE 26%
002508,老板电器,worth_attention,锚12,油烟机毛利56%最低ROE 22%，高端双寡头【今日不在池】
603899,晨光股份,worth_attention,§5.4.1-4,书写工具份额第一，零售终端网络【今日不在池】
600132,重庆啤酒,worth_attention,§5.4.1-4,嘉士伯中国资产注入完成，区域强势品牌+国际品牌组合
603195,公牛集团,worth_attention,判例11,转换插座份额过六成，百万级网点渠道；判例11所述小米攻公牛十年未撼动即资本复制测试实证通过
600276,恒瑞医药,worth_attention,§5.4.1-4,毛利88%最低ROE 23%，创新药管线兑现
600436,片仔癀,worth_attention,锚12,国家绝密配方+麝香配额
000661,长春高新,worth_attention,锚12,金赛生长激素品类近垄断毛利87%
002007,华兰生物,worth_attention,锚12,血浆站牌照
002262,恩华药业,worth_attention,锚12,麻精药定点牌照毛利76%
300760,迈瑞医疗,worth_attention,§5.4.1-4,医疗器械三大产线平台化，毛利65%最低ROE 28%，全球渠道
300529,健帆生物,worth_attention,锚12,血液灌流器品类垄断毛利85%
603259,药明康德,worth_attention,§5.4.1-4,CRO/CDMO全球规模龙头，科学家团队与客户粘性
300015,爱尔眼科,worth_attention,§5.4.1-4,眼科连锁最低ROE 19%，医生体系+并购基金
002415,海康威视,worth_attention,§5.4.1-4,视频监控全球第一营收635亿
002236,大华股份,worth_attention,§5.4.1-4,监控第二极最低ROE 22%
300124,汇川技术,worth_attention,§5.4.1-4,变频伺服国产龙头，工控平台化
