security_code,security_name,final_review_outcome,recommended_attention_class,current_attention_class,confidence,review_reason,next_hard_evidence,review_scope,source_ids,source_registry,related_migration_decision_id,production_action
000063,中兴通讯,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,全球电信设备寡头和专利池不能因 ROE 未达 15% 被抹去；多国运营商也不是结构性单一买方。但服务器增长是否稀释经营回报、设备核心业务是否被华为全面覆盖，现有分部证据仍不足以支持恢复。,设备业务同口径利润与跨运营商客户留存；服务器剥离后的经营回报,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:000063:fdab24,none_research_recommendation_only
000425,徐工机械,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,起重机与挖掘机的优势位置不同，三一并未全面覆盖徐工；旧制造业分位及整体 ROE 不是充分移出依据。最新年报支持起重机械地位，尚缺该分部跨周期利润、良率和资本回报证据。,起重机械分部多年利润、资本占用及与中联/利勃海尔的同产品比较,prior_second_review_carried_forward,S16,sources.csv,attention_class_migration:2026-09-07:000425:b15f30,none_research_recommendation_only
000951,中国重汽,认可维持移出,boundary_pending,boundary_pending,medium,A 股上市主体与重汽集团出口渠道资产不能混用；旧文新能源份额比较也不直接证明燃油出口渠道已失效。即使撤回这两处推论，上市主体可独享的品牌、渠道利润与切换成本仍未得到充分证明。,核清集团/H 股/A 股资产和利润归属，验证出口产品持续溢价,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:000951:6547d8,none_research_recommendation_only
002130,沃尔核材,认可维持移出,boundary_pending,boundary_pending,medium,高速通信线有认证与工艺价值，但不能用小业务的 AI 链地位代替整个集团的优势判断；旧资料尚未证明它已支撑公司主要经营利润，也未证明热缩材料的不可替代性。,高速线材归属利润占比、客户认证延续及传统业务同业成本差,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:002130:56a4c5,none_research_recommendation_only
002158,汉钟精机,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,把高回报全部归于光伏过于武断。2025 年压缩机收入增 5.83%、毛利率 34.07%且上升；真空产品收入降 62.76%、毛利率降 12.26 个百分点，需区分周期与份额流失。尚缺主力压缩机持续差异化的同业证据。,螺杆压缩机同产品毛利/寿命/客户留存；真空泵丢单与行业需求拆分,prior_second_review_carried_forward,S11,sources.csv,attention_class_migration:2026-09-07:002158:fb674e,none_research_recommendation_only
002223,鱼跃医疗,维持移出，撤回恢复建议,boundary_pending,boundary_pending,medium,接受此前恢复表负面信息呈现不足；产品组合与现金流不能代替同品类持久溢价或渠道锁定证据。利润下降不单独构成护城河证伪。,同规格售价、终端份额、复购及推广投入回报，不仅是ROE回升,response_dispute_reverified,F06,final_review.json,attention_class_migration:2026-09-07:002223:aaeebc,none_research_recommendation_only
002273,水晶光电,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,红外滤光片与微棱镜认证不要求垄断份额才成立；苹果议价强不等于供应商无工艺壁垒。现有证据仍缺切换成本、良率优势与跨客户复制能力，先维持边界而非宣称无护城河。,同规格微棱镜良率/供应商替换、非苹果业务盈利,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:002273:5d49ea,none_research_recommendation_only
002409,雅克科技,建议恢复关注,worth_attention,boundary_pending,medium,电子材料客户验证及LNG材料多年认证迭代、多个船厂实际交付共同支持；LNG占公司收入27.53%，不能视为不重要的附带业务。,新供应商实际替代、分部归属利润与经营资本、分销及商誉风险,response_dispute_reverified,F07;F12;F13,final_review.json,attention_class_migration:2026-09-07:002409:3a8051,none_research_recommendation_only
002484,江海股份,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,广义铝电解份额不能代表工业高端电容的份额与可靠性要求；与顺络等被动元件企业应使用相同重资产解释。尚缺细分市场份额、寿命认证和成本领先的可比证据，暂不恢复。,工业高端电容同口径份额、认证周期、与日系及艾华的回报比较,prior_second_review_carried_forward,S15,sources.csv,attention_class_migration:2026-09-07:002484:b26fc2,none_research_recommendation_only
002683,广东宏大,认可维持移出,boundary_pending,boundary_pending,medium,并购取得稀缺资产本身不等于稀缺性消失，但多数收入来自矿服，不能只用民爆牌照代表全公司。项目执行、牌照和杠杆目前不足以证明持续高于同业的经营优势。,矿服存量合同续约/成本优势、剔除并购影响后的现金回报,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:002683:db33a0,none_research_recommendation_only
002837,英维克,认可维持移出,boundary_pending,boundary_pending,medium,全链条液冷方案有工程能力，尚未形成不可替代接口或稳定成本差；已有多种竞争方案、利润率承压共同支持边界处理。撤回无出处的固定 1—2 年认证期，不把没有牌照作为唯一否决项。,同一代液冷产品的份额、单位利润、客户切换与接口标准绑定,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:002837:59d9f4,none_research_recommendation_only
002906,华阳集团,认可维持移出,boundary_pending,boundary_pending,medium,HUD 是独立细分位置，不能仅以德赛座舱优势全面覆盖。现有材料仍缺 HUD 的持续利润优势和不可替代产品证据，销量领先不足以确认长期定价或成本壁垒。,HUD 分部同产品利润/良率、平台定点续延和切换成本,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:002906:cf8ee3,none_research_recommendation_only
300034,钢研高纳,认可维持移出,boundary_pending,boundary_pending,medium,军用牌号认证真实；结构性集中买方下，长期归属利润和现金回报偏弱需要更严审查。相较仅用 15%门槛，原资料所示多年盈利能力衰退是更合理的保留边界理由。,军品审价、少数股东损益及核心牌号分部回报的多年拆分,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:300034:c223b8,none_research_recommendation_only
300346,南大光电,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,MO 源与高纯气体的合成纯化、客户验证不能因十年 ROE 低而被直接否定；2025 年经营现金流约 7.33 亿元也不支持简单归为差现金流企业。但研发、少数股东与各品类利润归属尚未拆清，暂不恢复。,MO 源/特气分部经营资本回报、归属利润及新品验证，不等待单纯股价上涨,prior_second_review_carried_forward,S12,sources.csv,attention_class_migration:2026-09-07:300346:3077b9,none_research_recommendation_only
300360,炬华科技,认可维持移出,boundary_pending,boundary_pending,medium,国网可比资质供货商众多，招标份额本身没有排他性；当前材料缺少与电表同行拉开的持续成本、软件或客户锁定优势。高现金利息不能代替核心产品回报。,核心计量业务独立成本差或持续复购软件收入证据,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:300360:7d94da,none_research_recommendation_only
300435,中泰股份,认可维持移出,boundary_pending,boundary_pending,medium,深冷设备的工程能力值得记录，但仅靠领先自述和通用资质不足以证明难复制；城燃及减值拖累使公司层面可持续盈利载体更不清晰。,特定高端换热器认证/份额/利润证据，城燃资产风险隔离,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:300435:3738db,none_research_recommendation_only
300476,胜宏科技,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,HDI 与沪电主力高多层板并非完全同工序；扩产需要资本不等于良率可用钱即时复制。最新年报确认高端产品布局，跨代良率、客户替换及扩产后回报仍缺独立验证，先保持边界。,连续产品代际的量产良率、实际认证替换和扩产现金回报,prior_second_review_carried_forward,S17,sources.csv,attention_class_migration:2026-09-07:300476:522632,none_research_recommendation_only
300573,兴齐眼药,认可维持移出,boundary_pending,boundary_pending,medium,阿托品首证窗口缺少已证实的长期排他保护，竞争申请已进入审评，暂不按独家长期利润入池。但申请受理不等于获批，也不证明临床和渠道能立即复制；旧判确定性过强。,监管批准、适应症/浓度、专利期、眼科渠道复购与竞争后价格,prior_second_review_carried_forward,S21,sources.csv,attention_class_migration:2026-09-07:300573:25d7ca,none_research_recommendation_only
301498,乖宝宠物,认可维持移出,boundary_pending,boundary_pending,medium,自有宠粮品牌已有规模，但分散竞争与获客投入使品牌独立拉力尚待验证。凭近期利润弱化不能证明无壁垒；结合当前缺乏持久复购/价格溢价证据，维持边界合理。,同价位复购、自然流量、销售费用后贡献利润及渠道库存,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:301498:681b6a,none_research_recommendation_only
