source_id,title,url,checked_at,evidence_used
S01,2025年度国内系统重要性银行名单（吉林省委金融办转载监管发布）,https://jr.jl.gov.cn/jrzx/jrdt/jgdt/202602/t20260214_3554740.html,2026-09-07,名单包含江苏银行；监管身份不直接决定研究池代表资格
S02,中控技术2025年年报（发行人公告转载）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12123899&stockid=688777,2026-09-07,控制系统毛利率51.42%同比升2.04个百分点；S2B业务毛利率5.12%
S02H,中控技术2026年半年报（发行人公告转载）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12571859&stockid=688777,2026-09-07,扣非归母同比下降64.47%；经营现金流为负且恶化
S03,航材股份2023年年报（发行人公告转载）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=9917788&stockid=688563,2026-09-07,募资71.091亿元；年末归属净资产25.91亿增至100.13亿；利润同期增长
S04,航材股份2025年年报（发行人公告转载）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12053006&stockid=688563,2026-09-07,钛合金等航空材料业务与超募资金收购镇江钛合金；不据此计算调整ROIC
S05,珀莱雅2025年年报英文版,https://static.cninfo.com.cn/finalpage/2026-04-22/1225138269.PDF,2026-09-07,第37至39页主营毛利率73.31%且上升1.89个百分点
S06,珀莱雅2026年半年报（发行人公告转载）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12523832&stockid=603605,2026-09-07,扣非每股收益下降；分步合并重估收益4.4536亿元属于非经常性收益
S07,鱼跃医疗2025年年报,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/63dda053-2c9c-4ecd-bb73-b1266d9feedf.PDF,2026-09-07,销售毛利率50.60%同比升0.46个百分点；公告HTML交叉核对
S08,鱼跃医疗2026年半年报（发行人公告转载）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12517600&stockid=002223,2026-09-07,呼吸收入下降13.33%；血糖/POCT增长17.94%；经营现金流11.82亿元
S09,雅克科技2025年年报,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/ca7939f4-757b-4c6d-a09f-41e7c3ac02c9.PDF,2026-09-07,前驱体与LNG材料不同业务；公司披露为全球少数GTT认证LNG绝热板材供应商之一
S10,雅克科技2026年半年报摘要,https://static.cninfo.com.cn/finalpage/2026-08-26/1225503910.PDF,2026-09-07,扣非归母增0.68%；经营现金流同比降12.13%
S11,汉钟精机2025年年报（发行人公告转载）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12179211,2026-09-07,压缩机与真空产品分部收入和毛利差异
S12,南大光电2025年年报,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/34fc646f-1d2c-4e52-8f93-4d32bba9ff38.PDF,2026-09-07,合成纯化检测体系；经营现金流约7.33亿元
S13,海兴电力2025年年报,https://static.cninfo.com.cn/finalpage/2026-04-21/1225131971.PDF,2026-09-07,海外收入32.17亿元占67.46%；当地经营与客户风险
S14,民士达2025年年报,https://dataclouds.cninfo.com.cn/sjother2/bse_onmarket/2026/20260319/2d3cde48238111f19154fa163ee65716.pdf,2026-09-07,UL与客户验证陈述；芳纶纸毛利率42.22%与关联采购用公告HTML交叉核对
S14H,民士达2026年半年报（发行人公告转载）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12510654&stockid=920394,2026-09-07,芳纶纸毛利率42.31%同比升0.40个百分点；收入下降不能等同壁垒归零
S15,江海股份2025年年报（发行人公告转载）,https://stock.stockstar.com/notice/SN2026040900030997.shtml,2026-09-07,工业类电容应用范围；未独立确认高端细分份额
S16,徐工机械2025年年报（发行人公告转载）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12261780&stockid=000425,2026-09-07,起重机及不同工程机械的差异化位置；不以自述全球排名作为唯一证明
S17,胜宏科技2025年年报,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-13/070dfea8-4c7b-4bd0-91a6-a7b045f12f4d.PDF,2026-09-07,HDI与高多层板业务范围；未独立验证客户更换和跨代良率
S18,金钼股份2025年年报（发行人公告转载）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12062172,2026-09-07,矿山及约13%全球销量自述；成本含贸易与深加工需拆分
S19,DJI发布Osmo360官方公告,https://www.dji.com/pr/newsroom/news/dji-release-osmo-360-us,2026-09-07,2025年7月31日产品正式发布；不能推断研发只用一年
