security_code,security_name,current_attention_class,review_outcome,confidence,review_reason,next_hard_evidence,external_check_scope,new_source_ids,new_source_urls,prior_verdict,prior_reason_not_reverified,prior_sources_not_all_reopened,related_migration_decision_id,production_action
000063,中兴通讯,boundary_pending,暂维持移出，原理由需修正,medium,全球电信设备寡头和专利池不能因 ROE 未达 15% 被抹去；多国运营商也不是结构性单一买方。但服务器增长是否稀释经营回报、设备核心业务是否被华为全面覆盖，现有分部证据仍不足以支持恢复。,设备业务同口径利润与跨运营商客户留存；服务器剥离后的经营回报,prior_record_logic_only,,,降 boundary_pending,四寡头格局真实但未转化为回报：十一年 ROE ≥15% 仅 3 年、两年亏损、中位 12.3%、净利率约 4%、营收 CAGR 2.9%；运营商单一买方下 ROE 不稳定，客户集中口径不满足；2026H1 毛利 −7pp、经营现金流转负。,data/interim/moat_audit_2026-09-07/batch_01_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000063_中兴通讯/README.md ; docs/peer-group-calibration/a-share-communication-transmission.md,attention_class_migration:2026-09-07:000063:fdab24,none_recommendation_only
000425,徐工机械,boundary_pending,暂维持移出，原理由需修正,medium,起重机与挖掘机的优势位置不同，三一并未全面覆盖徐工；旧制造业分位及整体 ROE 不是充分移出依据。最新年报支持起重机械地位，尚缺该分部跨周期利润、良率和资本回报证据。,起重机械分部多年利润、资本占用及与中联/利勃海尔的同产品比较,targeted_source_check,S16,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12261780&stockid=000425,降 boundary_pending,规模（全球第三、起重机第一）未转化为六项之一：净利率约 6.6%、十一年 ROE 中位 9.8%、≥15% 仅 1 年、门类分位中位 51 与制造业中位持平；多寡头同质竞争无定价权，分层表自认「测试部分通过」即存疑。,data/interim/moat_audit_2026-09-07/batch_01_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000425_徐工机械/README.md ; docs/peer-group-calibration/a-share-construction-machinery.md,attention_class_migration:2026-09-07:000425:b15f30,none_recommendation_only
000951,中国重汽,boundary_pending,认可维持移出,medium,A 股上市主体与重汽集团出口渠道资产不能混用；旧文新能源份额比较也不直接证明燃油出口渠道已失效。即使撤回这两处推论，上市主体可独享的品牌、渠道利润与切换成本仍未得到充分证明。,核清集团/H 股/A 股资产和利润归属，验证出口产品持续溢价,prior_record_logic_only,,,降 boundary_pending,唯一难买要素是 21 年出口第一的海外服务网络（品牌渠道锁），但十年毛利 10.0→7.5%、ROE 中位 9.85% 未转化为定价权或超额回报；三一/徐工 7 年内在新能源重卡越过重汽，复制测试存疑，存疑不留。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000951_中国重汽/README.md ; docs/peer-group-calibration/a-share-commercial-vehicles.md ; data/raw/financials/2025-12-31.csv ; https://finance.sina.com.cn/roll/2025-12-18/doc-inhcfepm8577566.shtml ; https://caifuhao.eastmoney.com/news/20260328214600033131720 ; https://www.yunshuren.com/article-60734.html ; https://www.sohu.com/a/914504399_120774496,attention_class_migration:2026-09-07:000951:6547d8,none_recommendation_only
002130,沃尔核材,boundary_pending,认可维持移出,medium,高速通信线有认证与工艺价值，但不能用小业务的 AI 链地位代替整个集团的优势判断；旧资料尚未证明它已支撑公司主要经营利润，也未证明热缩材料的不可替代性。,高速线材归属利润占比、客户认证延续及传统业务同业成本差,prior_record_logic_only,,,降 boundary_pending,高速铜缆全球第二（2024约25%）、224G批量交付英伟达，但2025高速通信线收入10.17亿仅占84.51亿的12%；2016-19年ROE 0.8~7.7%，超额回报仅始于AI景气，铜/光路线可切换，复制测试存疑。,data/interim/moat_audit_2026-09-07/batch_03_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; https://finance.sina.com.cn/stock/aigc/stockfs/2026-03-31/doc-inhswttx9226835.shtml ; https://caifuhao.eastmoney.com/news/20260602205356245899940 ; https://finance.sina.com.cn/stock/relnews/cn/2025-01-09/doc-ineeixvc3240910.shtml,attention_class_migration:2026-09-07:002130:56a4c5,none_recommendation_only
002158,汉钟精机,boundary_pending,暂维持移出，原理由需修正,medium,把高回报全部归于光伏过于武断。2025 年压缩机收入增 5.83%、毛利率 34.07%且上升；真空产品收入降 62.76%、毛利率降 12.26 个百分点，需区分周期与份额流失。尚缺主力压缩机持续差异化的同业证据。,螺杆压缩机同产品毛利/寿命/客户留存；真空泵丢单与行业需求拆分,targeted_source_check,S11,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12179211,降 boundary_pending,螺杆压缩机市占约12%非主导；光伏真空泵份额高但2025营收-20.4%、归母-45.7%；半导体真空泵Edwards/Ebara占约80%。2015-19年ROE 10~13%（分位45~56），2020-24年超额回报系光伏景气。,data/interim/moat_audit_2026-09-07/batch_03_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; https://www.fxbaogao.com/detail/5376362 ; https://zhuanlan.zhihu.com/p/643779210 ; https://file.finance.qq.com/finance/hs/pdf/2025/04/26/1223303172.PDF,attention_class_migration:2026-09-07:002158:fb674e,none_recommendation_only
002223,鱼跃医疗,boundary_pending,建议恢复关注,medium,家用器械的品牌信任、产品组合与渠道沉淀仍在；2025 年毛利率 50.60%并上升，不能用 2024 年呼吸业务回落证明整体品牌失效。2026H1 呼吸收入仍下降，但血糖增长、经营现金流 11.82 亿元支持继续研究；恢复不代表忽略推广费与资本配置。,呼吸产品份额、扣非利润与销售费用效率；海外认证转为持续回款,targeted_source_check,S07;S08,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/63dda053-2c9c-4ecd-bb73-b1266d9feedf.PDF;https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12517600&stockid=002223,降 boundary_pending,载体仅品牌渠道锁（制氧机12年全网销量第一、血压计年销千万台）；疫情前2016-19年ROE 11~14%（分位49~60），2025回落至11.4%，2024制氧机/呼吸机收入-22.4%、集采下买一送一清库存，回报平庸无结构性原因。,data/interim/moat_audit_2026-09-07/batch_03_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; docs/peer-group-calibration/a-share-medical-device.md ; https://static.cninfo.com.cn/finalpage/2025-04-26/1223316577.PDF ; https://mp.ofweek.com/medical/a356714336597 ; https://news.qq.com/rain/a/20260311A02D3R00,attention_class_migration:2026-09-07:002223:aaeebc,none_recommendation_only
002273,水晶光电,boundary_pending,暂维持移出，原理由需修正,medium,红外滤光片与微棱镜认证不要求垄断份额才成立；苹果议价强不等于供应商无工艺壁垒。现有证据仍缺切换成本、良率优势与跨客户复制能力，先维持边界而非宣称无护城河。,同规格微棱镜良率/供应商替换、非苹果业务盈利,prior_record_logic_only,,,降 boundary_pending,红外截止滤光片全球份额21%（2023）为第一但非垄断，微棱镜为苹果第一供应商；十年ROE中位9.1%、无一年≥15%、分位中位51，毛利28~31%持平，定价由大客户主导，无超额回报亦无结构性原因。,data/interim/moat_audit_2026-09-07/batch_03_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; https://pdf.dfcfw.com/pdf/H3_AP202406131636081279_1.pdf ; https://www.foundersc.com/u/cms/www/ZX/20231020/1f9bf6b65d0948b0bb67bc2a8b8c60b4.pdf,attention_class_migration:2026-09-07:002273:5d49ea,none_recommendation_only
002409,雅克科技,boundary_pending,建议恢复关注,medium,旧判漏计 LNG 保温绝热板材的 GTT 准入和船厂验证，把前驱体子公司的壁垒视为不属于上市公司也不成立。前驱体工艺/客户认证与 LNG 材料构成两个实际业务载体；分销收入摊薄毛利应影响质量评价。,前驱体与 LNG 归属利润/资本回报、客户导入持续性及商誉风险,targeted_source_check,S09;S10,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/ca7939f4-757b-4c6d-a09f-41e7c3ac02c9.PDF;https://static.cninfo.com.cn/finalpage/2026-08-26/1225503910.PDF,降 boundary_pending,前驱体2025收入21.11亿仅占86.11亿的24.5%（毛利44.8%、稼动率59.3%），其余为光刻胶分销、LNG保温等；十年ROE中位6.9%、无一年≥15%、分位中位34，并购溢价摊薄回报。护城河仅在子公司，公司层面复制存疑。,data/interim/moat_audit_2026-09-07/batch_03_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; https://static.cninfo.com.cn/finalpage/2026-04-28/1225216876.PDF ; https://finance.sina.com.cn/wm/2026-05-09/doc-inhxhcxm1639959.shtml ; https://www.sohu.com/a/1028890569_122014422,attention_class_migration:2026-09-07:002409:3a8051,none_recommendation_only
002484,江海股份,boundary_pending,暂维持移出，原理由需修正,medium,广义铝电解份额不能代表工业高端电容的份额与可靠性要求；与顺络等被动元件企业应使用相同重资产解释。尚缺细分市场份额、寿命认证和成本领先的可比证据，暂不恢复。,工业高端电容同口径份额、认证周期、与日系及艾华的回报比较,targeted_source_check,S15,https://stock.stockstar.com/notice/SN2026040900030997.shtml,降 boundary_pending,国内份额约 7.6% 仅为分散市场第一梯队，高端在日系手中；十一年 ROE 最高 14.4%、中位 10.2%、分位 47，毛利十年不动，无重资产低谷或投入期等结构性解释，载体未转化为超额回报。,data/interim/moat_audit_2026-09-07/batch_04_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/002484_江海股份/README.md ; docs/peer-group-calibration/a-share-electronic-components.md ; data/archive/completed-queues/evidence_review_log.md ; data/raw/financials/<FY>-12-31.csv（同业 ROE 序列） ; https://bg.qianzhan.com/trends/detail/506/241216-0c9ece18.html ; https://www.qianzhan.com/analyst/detail/220/241015-caefa6e9.html,attention_class_migration:2026-09-07:002484:b26fc2,none_recommendation_only
002683,广东宏大,boundary_pending,认可维持移出,medium,并购取得稀缺资产本身不等于稀缺性消失，但多数收入来自矿服，不能只用民爆牌照代表全公司。项目执行、牌照和杠杆目前不足以证明持续高于同业的经营优势。,矿服存量合同续约/成本优势、剔除并购影响后的现金回报,prior_record_logic_only,,,降 boundary_pending,牌照载体只覆盖民爆14.7%收入，主业矿服70.9%为执行型服务且资质多家持有；牌照可经并购购买（公司即以此扩张）；十年ROE中位8.8%、无一年≥15%，2025 14.2%靠并购杠杆（每股净负债18.5、26H1现金流转负）。,data/interim/moat_audit_2026-09-07/batch_11_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/002683_广东宏大/README.md ; docs/peer-group-calibration/a-share-civil-explosives.md ; 东财 F10 经营分析/核心题材（emweb.securities.eastmoney.com/PC_HSF10，2026H1 经营评述与 2025 分部）,attention_class_migration:2026-09-07:002683:db33a0,none_recommendation_only
