security_code,security_name,research_recommendation_before_user_resolution,adopted_attention_class,adopted_action,adopted_reason,review_trigger,previous_migration_decision_id,new_migration_decision_id,evidence_file
000063,中兴通讯,boundary_pending,boundary_pending,retain_exclusion,全球电信设备寡头和专利池不能因 ROE 未达 15% 被抹去；多国运营商也不是结构性单一买方。但服务器增长是否稀释经营回报、设备核心业务是否被华为全面覆盖，现有分部证据仍不足以支持恢复。,设备业务同口径利润与跨运营商客户留存；服务器剥离后的经营回报,attention_class_migration:2026-09-07:000063:fdab24,,final_removed_reviews.csv
000425,徐工机械,boundary_pending,boundary_pending,retain_exclusion,起重机与挖掘机的优势位置不同，三一并未全面覆盖徐工；旧制造业分位及整体 ROE 不是充分移出依据。最新年报支持起重机械地位，尚缺该分部跨周期利润、良率和资本回报证据。,起重机械分部多年利润、资本占用及与中联/利勃海尔的同产品比较,attention_class_migration:2026-09-07:000425:b15f30,,final_removed_reviews.csv
000951,中国重汽,boundary_pending,boundary_pending,retain_exclusion,A 股上市主体与重汽集团出口渠道资产不能混用；旧文新能源份额比较也不直接证明燃油出口渠道已失效。即使撤回这两处推论，上市主体可独享的品牌、渠道利润与切换成本仍未得到充分证明。,核清集团/H 股/A 股资产和利润归属，验证出口产品持续溢价,attention_class_migration:2026-09-07:000951:6547d8,,final_removed_reviews.csv
002130,沃尔核材,boundary_pending,boundary_pending,retain_exclusion,高速通信线有认证与工艺价值，但不能用小业务的 AI 链地位代替整个集团的优势判断；旧资料尚未证明它已支撑公司主要经营利润，也未证明热缩材料的不可替代性。,高速线材归属利润占比、客户认证延续及传统业务同业成本差,attention_class_migration:2026-09-07:002130:56a4c5,,final_removed_reviews.csv
002158,汉钟精机,boundary_pending,boundary_pending,retain_exclusion,把高回报全部归于光伏过于武断。2025 年压缩机收入增 5.83%、毛利率 34.07%且上升；真空产品收入降 62.76%、毛利率降 12.26 个百分点，需区分周期与份额流失。尚缺主力压缩机持续差异化的同业证据。,螺杆压缩机同产品毛利/寿命/客户留存；真空泵丢单与行业需求拆分,attention_class_migration:2026-09-07:002158:fb674e,,final_removed_reviews.csv
002223,鱼跃医疗,boundary_pending,boundary_pending,retain_exclusion,接受此前恢复表负面信息呈现不足；产品组合与现金流不能代替同品类持久溢价或渠道锁定证据。利润下降不单独构成护城河证伪。,同规格售价、终端份额、复购及推广投入回报，不仅是ROE回升,attention_class_migration:2026-09-07:002223:aaeebc,,final_removed_reviews.csv
002273,水晶光电,boundary_pending,boundary_pending,retain_exclusion,红外滤光片与微棱镜认证不要求垄断份额才成立；苹果议价强不等于供应商无工艺壁垒。现有证据仍缺切换成本、良率优势与跨客户复制能力，先维持边界而非宣称无护城河。,同规格微棱镜良率/供应商替换、非苹果业务盈利,attention_class_migration:2026-09-07:002273:5d49ea,,final_removed_reviews.csv
002409,雅克科技,worth_attention,worth_attention,restore,用户最终裁定恢复。半导体前驱体的配方及晶圆厂验证，与LNG材料多年认证和多船厂工程交付共同形成实质业务；2025LNG收入23.70亿元、占27.53%。 半导体客户集中、并购整合与商誉；化学材料毛利下滑及韩国先科净利润下降，业务回报兑现仍需验证。,前驱体或LNG新供应商通过认证并形成实质替代；LNG独立利润与投入资本恶化；韩国先科利润、商誉减值、客户集中和关联业务整合出现重大变化时复核。,attention_class_migration:2026-09-07:002409:3a8051,attention_class_migration:2026-09-07:002409:final_user_resolution,user_resolution.json
002484,江海股份,boundary_pending,boundary_pending,retain_exclusion,广义铝电解份额不能代表工业高端电容的份额与可靠性要求；与顺络等被动元件企业应使用相同重资产解释。尚缺细分市场份额、寿命认证和成本领先的可比证据，暂不恢复。,工业高端电容同口径份额、认证周期、与日系及艾华的回报比较,attention_class_migration:2026-09-07:002484:b26fc2,,final_removed_reviews.csv
002683,广东宏大,boundary_pending,boundary_pending,retain_exclusion,并购取得稀缺资产本身不等于稀缺性消失，但多数收入来自矿服，不能只用民爆牌照代表全公司。项目执行、牌照和杠杆目前不足以证明持续高于同业的经营优势。,矿服存量合同续约/成本优势、剔除并购影响后的现金回报,attention_class_migration:2026-09-07:002683:db33a0,,final_removed_reviews.csv
002837,英维克,boundary_pending,boundary_pending,retain_exclusion,全链条液冷方案有工程能力，尚未形成不可替代接口或稳定成本差；已有多种竞争方案、利润率承压共同支持边界处理。撤回无出处的固定 1—2 年认证期，不把没有牌照作为唯一否决项。,同一代液冷产品的份额、单位利润、客户切换与接口标准绑定,attention_class_migration:2026-09-07:002837:59d9f4,,final_removed_reviews.csv
002906,华阳集团,boundary_pending,boundary_pending,retain_exclusion,HUD 是独立细分位置，不能仅以德赛座舱优势全面覆盖。现有材料仍缺 HUD 的持续利润优势和不可替代产品证据，销量领先不足以确认长期定价或成本壁垒。,HUD 分部同产品利润/良率、平台定点续延和切换成本,attention_class_migration:2026-09-07:002906:cf8ee3,,final_removed_reviews.csv
300034,钢研高纳,boundary_pending,boundary_pending,retain_exclusion,军用牌号认证真实；结构性集中买方下，长期归属利润和现金回报偏弱需要更严审查。相较仅用 15%门槛，原资料所示多年盈利能力衰退是更合理的保留边界理由。,军品审价、少数股东损益及核心牌号分部回报的多年拆分,attention_class_migration:2026-09-07:300034:c223b8,,final_removed_reviews.csv
