security_code,security_name,current_attention_class,review_outcome,confidence,review_reason,next_hard_evidence,external_check_scope,new_source_ids,new_source_urls,prior_verdict,prior_reason_not_reverified,prior_sources_not_all_reopened,related_migration_decision_id,production_action
000333,美的集团,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,全球白电规模第一梯队、空调内销并列第一，规模＋T+3 供应链＋全球制造网络非 3-5 年可复制；十一年 ROE 全部≥19.7%、门类分位常年≥85，成本优势已持续转化为超额回报；小米入局为侵蚀路径。,data/interim/moat_audit_2026-09-07/batch_01_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000333_美的集团/README.md ; docs/peer-group-calibration/a-share-white-appliances.md,,none_recommendation_only
000338,潍柴动力,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,重卡发动机份额第一＋整车配套锁＋大缸径全球领先，发动机耐久验证与配套关系非资金 3-5 年可复制；ROE 2017-21 均≥16.9%、现金转化 2.58；但新能源重卡渗透率 2026-05 达 40.9%，柴油机载体正被替代，侵蚀高。,data/interim/moat_audit_2026-09-07/batch_01_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000338_潍柴动力/README.md ; docs/peer-group-calibration/a-share-auto-parts.md ; https://auto.cnr.cn/2015xc/20260709/t20260709_527698735.shtml ; https://www.stcn.com/article/detail/4022068.html,,none_recommendation_only
000408,藏格矿业,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,察尔汗采矿权＋盐湖低成本钾锂＋巨龙铜业 30.78% 权益，稀缺/配额、成本曲线、规模储量三项同时成立，物理锁不可购买；十年 ROE 中位 19.4%、8 年≥15%，低谷年为治理事件而非载体失效。,data/interim/moat_audit_2026-09-07/batch_01_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000408_藏格矿业/README.md ; docs/peer-group-calibration/a-share-lithium-resource.md ; docs/peer-group-calibration/a-share-potash-remaining.md ; https://pdf.dfcfw.com/pdf/H2_AN202603131820554995_1.pdf ; https://static.cninfo.com.cn/finalpage/2026-04-18/1225121149.PDF,,none_recommendation_only
000423,东阿阿胶,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,阿胶行业份额约 70%、福牌仅 10%，同仁堂/福牌数十年未撼动其定价基准，品牌心智＋驴皮资源非资金 3-5 年可复制；2019-22 低谷为提价过度后自伤性去库存，2025 ROE 已回 16.7%、毛利 73%。,data/interim/moat_audit_2026-09-07/batch_01_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000423_东阿阿胶/README.md ; docs/peer-group-calibration/a-share-traditional-chinese-medicine.md ; https://finance.sina.com.cn/roll/2025-07-17/doc-inffttzw5353836.shtml ; https://www.sohu.com/a/919703828_114835,,none_recommendation_only
000426,兴业银锡,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体=银锡多金属高品位矿体：银资源3.36万吨亚洲第一、锡44.46万吨国内第二（SRK JORC），低价期矿山毛利仍50%+；十年ROE中位3.2%系2019银漫事故停产两年与减值，非结构性，2023-25 ROE 16-21%。,data/interim/moat_audit_2026-09-07/batch_11_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000426_兴业银锡/README.md ; docs/peer-group-calibration/a-share-lead-zinc.md ; https://news.smm.cn/news/103123349 ; 东财 F10 经营分析/核心题材（emweb.securities.eastmoney.com/PC_HSF10，2026H1 经营评述与 2025 分部）,,none_recommendation_only
000538,云南白药,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为国家保密配方（法律锁）与牙膏第一份额（>20%、连续第一），资金买不到；ROE 中位 10.5% 平庸源于合并白药控股后的权益翻倍、大额净现金与省医药批发，非载体失效。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000538_云南白药/README.md ; docs/peer-group-calibration/a-share-traditional-chinese-medicine.md ; http://notice.10jqka.com.cn/api/pdf/7a47a6b51ae2b211.pdf ; https://tidenews.com.cn/news.html?id=3088514 ; https://news.qq.com/rain/a/20250401A08SMC00,,none_recommendation_only
000568,泸州老窖,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为连续使用 450 余年的 1573 国宝窖池群（全国重点文保，物理锁）与国窖高端品牌，资本无法复制；十年 ROE 中位 25.5%、10 年≥15%，回报持续；当前下滑为渠道周期，毛利 85% 未破。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000568_泸州老窖/README.md ; docs/peer-group-calibration/a-share-baijiu.md ; https://www.sc.chinanews.com.cn/bwbd/2025-11-14/237118.html ; https://www.lzlj.com/feature/gbjcq1573/,,none_recommendation_only
000596,古井贡酒,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为安徽省内宴席渠道与品牌锁（华中占 88.4%），洋河等全国名酒十余年未能撼动，同业 3~5 年追不上；十年 ROE 中位 19.5%、无一年<14%，下行期毛利仍升。全国化断言不成立，但不影响载体。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000596_古井贡酒/README.md ; docs/peer-group-calibration/a-share-baijiu.md ; https://www.bbtnews.com.cn/2026/0429/592195.shtml ; https://news.qq.com/rain/a/20260429A06FF900 ; https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-29/bedaac65-570f-49f2-ae12-5f9ec759a8c3.PDF,,none_recommendation_only
000651,格力电器,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为空调品牌溢价（毛利高美的 3~5pt）与压缩机自供成本，十年 ROE 中位 25.7%、11 年≥15% 持续超额；小米五年拿到 13.7% 月度份额是真实侵蚀但未越过格力的定价与回报，测试仍过。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000651_格力电器/README.md ; docs/peer-group-calibration/a-share-white-appliances.md ; https://bao.hvacr.cn/202510_2115359.html ; https://t.cj.sina.com.cn/articles/view/5486558172/147063bdc00101h5ra ; https://cj.sina.com.cn/articles/view/7879996078/1d5af32ae06801k7du,,none_recommendation_only
000725,京东方A,worth_attention,维持关注，重点复核,medium,现行资本密集行业口径允许结构、技术和规模壁垒先于高回报兑现。惠科四条高世代线证明资金与产业积累能够形成竞争，削弱只有巨额投资即不可复制的理由，但不等于复制京东方全平台。2026H1 扣非利润仍增长；没有足够证据直接移出。,同代际良率/单位成本、OLED 验证、自由现金流和有效新增供给,targeted_source_check,S25;S26;S27,https://pdf.dfcfw.com/pdf/H2_AN202603311820924514_1.pdf;https://pdf.dfcfw.com/pdf/H2_AN202606171823642129_1.pdf;https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12572072&stockid=000725,维持,按 §5.4.5 规则 6（不可逆结构整合＋数百亿产线壁垒）维持：份额全球第一、韩厂已退出。但十年 ROE 中位 4%，2025 年 4.4% 仍低于 TCL 8.0%，惠科曾以资本 8 年建成 14.4% 份额，超额回报未证。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000725_京东方Ａ/README.md ; docs/peer-group-calibration/a-share-display-devices.md ; data/raw/financials/2025-12-31.csv ; https://www.52solution.com/news/80059580/ ; https://m.21jingji.com/article/20250401/herald/037637877cead5c7506306de25e3cc46.html ; https://static.cninfo.com.cn/finalpage/2026-04-01/1225068510.PDF,,none_recommendation_only
